SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Tibouchina castellensis,-41.184700012207,-20.6035995483398
Tibouchina castellensis,-41.184700012207,-20.6035995483398
Tibouchina castellensis,-40.855598449707,-19.8019008636475
Tibouchina castellensis,-41.184700012207,-20.6035995483398
Tibouchina castellensis,-41.184700012207,-20.6035995483398
Tibouchina castellensis,-41.0972,-20.5211
Tibouchina castellensis,-41.3664016723633,-21.0641994476318
Tibouchina castellensis,-41.184700012207,-20.6035995483398
Tibouchina castellensis,-41.088539,-20.517453
Tibouchina castellensis,-41.100556,-20.520556
Tibouchina castellensis,-41.184700012207,-20.6035995483398
Tibouchina castellensis,-41.184700012207,-20.6035995483398
Tibouchina castellensis,-41.184700012207,-20.6035995483398
Tibouchina castellensis,-41.184700012207,-20.6035995483398
Tibouchina castellensis,-41.100556,-20.519167
Tibouchina castellensis,-41.100556,-20.519167
Tibouchina castellensis,-41.100556,-20.519167
Tibouchina castellensis,-40.981111,-19.741389
Tibouchina castellensis,-41.100556,-20.519167
Tibouchina castellensis,-41.100556,-20.519167
Tibouchina castellensis,-41.019167,-20.403889
Tibouchina castellensis,-41.100556,-20.519167
Tibouchina castellensis,-40.981111,-19.741389
Tibouchina castellensis,-41.100556,-20.519167
Tibouchina castellensis,-41.083611,-20.516111
Tibouchina castellensis,-41.083611,-20.516111
Tibouchina castellensis,-41.550556,-20.939444
Tibouchina castellensis,-41.083611,-20.516111
Tibouchina castellensis,-41.100556,-20.520556
Tibouchina castellensis,-41.389167,-20.6575
Tibouchina castellensis,-41.023056,-20.407222
Tibouchina castellensis,-41.0875,-20.519444
Tibouchina castellensis,-41.083333,-20.516667
Tibouchina castellensis,-41.184700012207,-20.6035995483398
Tibouchina cf. castellensis,-41.3664016723633,-21.0641994476318
Tibouchina cf. castellensis,-41.3664016723633,-21.0641994476318
