SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Tibouchina cf. sellowiana,-49.499722,-28.35
Tibouchina cf. rupestris,-50.5835990905762,-29.4480991363525
Tibouchina cf edmundoi,-50.368333,-6.3925
Tibouchina cf. edmundoi,-50.253889,-6.054444
Tibouchina cf. heteromalla,-40.553611,-18.653333
Tibouchina cf. frigidula,-43.8466987609863,-19.9855995178223
Tibouchina cf. granulosa,-43.937801361084,-19.9207992553711
Tibouchina cf. herbacea,-43.5080986022949,-20.2875003814697
Tibouchina cf. herbacea,-43.937801361084,-19.9207992553711
Tibouchina cf. lithophila,0,-16.059167
Tibouchina cf. moricandiana,-43.937801361084,-19.9207992553711
Tibouchina cf. gracilis,-48,-15.86667
Tibouchina cf. gracilis,-47.30944,-16.0375
Tibouchina cf. gracilis,-48.01667,-15.91667
Tibouchina cf. gracilis,-48.01667,-15.86667
Tibouchina cf. gracilis,-48.01667,-15.91667
Tibouchina cf. gracilis,-48.19111,-15.9075
Tibouchina cf. gracilis,-48.016666,-15.866666
Tibouchina cf. gracilis,-47.848055,-15.873611
Tibouchina cf. papyrus,-47.707222,-11.670555
Tibouchina cf. pogonanthera,-46.224166,-13.361944
Tibouchina cf. verticillaris,-47.69,-12.926944
Tibouchina cf. gracilis,-47.9296989440918,-15.7797002792358
Tibouchina cf. gracilis,-47.9296989440918,-15.7797002792358
Tibouchina cf. floribunda,-45.004722222,-23.239444444
Tibouchina cf. grandifolia,-47.9296989440918,-15.7797002792358
Tibouchina cf. verticillaris,-52.439514,-9.803331
Tibouchina cf. barbigera,-52.366111,-9.763889
Tibouchina cf. barbigera,-52.336111,-9.704722
Tibouchina cf. barbigera,-52.366389,-9.763889
Tibouchina cf. rosanae,-52.427194,-9.800606
Tibouchina cf. pogonanthera,-52.361111,-9.761667
Tibouchina cf. sellowiana,-49.049722,-27.54
Tibouchina cf. urbanii,-51.3011016845703,-30.2910995483398
Tibouchina cf. urbanii,-51.3011016845703,-30.2910995483398
Tibouchina cf. urbanii,-51.3011016845703,-30.2910995483398
Tibouchina cf. cisplatensis,-50.9919013977051,-29.9444007873535
Tibouchina cf. urbanii,-51.3958015441895,-30.6732997894287
Tibouchina cf. multiflora,-43.937801361084,-19.9207992553711
Tibouchina cf. multiflora,-43.937801361084,-19.9207992553711
Tibouchina cf. multiflora,-43.937801361084,-19.9207992553711
Tibouchina cf. multiflora,-43.937801361084,-19.9207992553711
Tibouchina cf. multiflora,-43.937801361084,-19.9207992553711
Tibouchina cf. multiflora,-43.937801361084,-19.9207992553711
Tibouchina cf. herbacea,-44.611400604248,-21.2164001464844
Tibouchina cf. candoleana,-43.2469,-18.0772
Tibouchina cf moricandiana,-44.925556,-6.4725
Tibouchina cf. heteromalla,-41.5331001281738,-20.763599395752
Tibouchina cf. heteromalla,-41.3664016723633,-21.0641994476318
Tibouchina cf. castellensis,-41.3664016723633,-21.0641994476318
Tibouchina cf. castellensis,-41.3664016723633,-21.0641994476318
Tibouchina cf. sellowiana,-49.049722,-27.54
Tibouchina cf. bracteolata,-41.525778,-12.604778
Tibouchina cf longifolia,-72.8958,-7.61417
Tibouchina cf. gracilis,-51.3250007629395,-30.113899230957
Tibouchina cf. asperior,-50.07080078125,-29.5853004455566
Tibouchina cf. herbacea,-49.7268981933594,-29.3353004455566
Tibouchina cf. moricandiana,-49.6025009155273,-27.414400100708
