SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Trigonia nivea,-42.0938987731934,-3.31889009475708
Trigonia nivea,-41.7766990661621,-2.90472006797791
Trigonia nivea,-41.7766990661621,-2.90472006797791
Trigonia nivea,-41.7766990661621,-2.90472006797791
Trigonia nivea,-41.7766990661621,-2.90472006797791
Trigonia nivea,-41.7766990661621,-2.90472006797791
Trigonia nivea,-49.261100769043,-24.823600769043
Trigonia nivea,-46.5800018310547,-23.3099994659424
Trigonia nivea,-41.85,-13.283333
Trigonia nivea fasciculata,-41.783333,-13.55
Trigonia nivea nivea,-41.316667,-12.9
Trigonia nivea nivea,-41.316667,-12.85
Trigonia nivea,-42.4599990844727,-5.03806018829346
Trigonia nivea,-48.497222,-27.778333
Trigonia nivea,-48.69,-28.08
Trigonia nivea,-48.871389,-27.718889
Trigonia nivea,-48.5491981506348,-27.596700668335
Trigonia nivea,-39.7322006225586,-18.5932998657227
Trigonia nivea,-39.7322006225586,-18.5932998657227
Trigonia nivea,-39.7322006225586,-18.5932998657227
Trigonia nivea,-39.7322006225586,-18.5932998657227
Trigonia nivea,-39.7322006225586,-18.5932998657227
Trigonia nivea nivea,-49.261447,-24.825669
Trigonia nivea,-46.511111,-22.8375
Trigonia nivea,-46.189722,-22.895833
Trigonia nivea,-48.471417,-24.79375
Trigonia nivea,-47.885,-24.608333
Trigonia nivea,-48.469444,-24.6175
Trigonia nivea,-47.109167,-22.829167
Trigonia nivea,-48.591528,-23.711467
Trigonia nivea,-49.316667,-22.166667
Trigonia nivea,-48.1075,-23.544583
Trigonia nivea,-38.55,-10.833333
Trigonia nivea,-45.084167,-23.366389
Trigonia nivea,-49.5,-22.25
Trigonia nivea,-46.916667,-22.833333
Trigonia nivea,-45.084167,-23.365556
Trigonia nivea,-46.916667,-22.833333
Trigonia nivea,-41.316667,-12.9
Trigonia nivea,-41.316667,-12.85
Trigonia nivea,-45.033333,-23.466667
Trigonia nivea,-49.5,-22.25
Trigonia nivea,-49.5,-22.25
Trigonia nivea,-54.3025016784668,-22.4818992614746
Trigonia nivea,-42.9674987792969,-21.4596996307373
Trigonia nivea,-43.7144012451172,-19.1688995361328
Trigonia nivea,-43.7144012451172,-19.1688995361328
