SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Trilepis lhotzkiana,-41.033333,-11.633333
Trilepis lhotzkiana,-39.866667,-12.9
Trilepis lhotzkiana,-65.483333,-0.316667
Trilepis lhotzkiana,-40.7402992248535,-18.9831008911133
Trilepis lhotzkiana robusta,-41.184700012207,-20.6035995483398
Trilepis lhotzkiana,-40.4006004333496,-18.710599899292
Trilepis lhotzkiana,-40.4006004333496,-18.710599899292
Trilepis lhotzkiana,-40.4006004333496,-18.710599899292
Trilepis lhotzkiana,-39.866667,-12.9
Trilepis lhotzkiana,-41.354475,-11.901903
Trilepis lhotzkiana,-44.6425018310547,-21.4874992370605
Trilepis lhotzkiana,-43.2075004577637,-22.9027996063232
Trilepis lhotzkiana,-41.950139,-13.517139
Trilepis lhotzkiana,-41.95,-13.517222
Trilepis lhotzkiana,-41.949167,-13.515278
Trilepis lhotzkiana,-41.6636009216309,-13.2496995925903
Trilepis lhotzkiana,-39.8588981628418,-12.8699998855591
Trilepis lhotzkiana,-41.8114013671875,-13.5789003372192
Trilepis lhotzkiana,-40.6002998352051,-19.9356002807617
Trilepis lhotzkiana,-40.7663993835449,-17.7031002044678
Trilepis lhotzkiana,-44.065601348877,-20.6707992553711
Trilepis lhotzkiana,-43.7407989501953,-18.4543991088867
Trilepis lhotzkiana,-43.801399230957,-20.2532997131348
Trilepis lhotzkiana,-43.7449989318848,-19.513599395752
Trilepis lhotzkiana,-43.562198638916,-18.6144008636475
Trilepis lhotzkiana,-43.4152984619141,-19.959400177002
Trilepis lhotzkiana,-41.7868995666504,-22.3708000183105
Trilepis lhotzkiana,-43.03105,-22.46225
Trilepis lhotzkiana,-43.7144012451172,-19.1688995361328
Trilepis lhotzkiana,-44.6349983215332,-20.5414009094238
Trilepis lhotzkiana,-43.937801361084,-19.9207992553711
Trilepis lhotzkiana,-43.8466987609863,-19.9855995178223
Trilepis lhotzkiana,-44.505383,-21.227664
Trilepis lhotzkiana,-43.21,-22.9
Trilepis lhotzkiana,-41.51,-17.86
Trilepis lhotzkiana,-41.19,-20.6
Trilepis lhotzkiana,-42.53,-22.28
Trilepis lhotzkiana,-39.7,-12.716667
Trilepis lhotzkiana,-47.5499992370605,-24.7000007629395
Trilepis lhotzkiana,-44.3093939,-21.7406431
Trilepis lhotzkiana,-42.03,-20.78
Trilepis lhotzkiana,-42.760556,-22.354167
Trilepis lhotzkiana,-43.251886,-22.960856
Trilepis lhotzkiana,-43.283576,-22.988972
Trilepis lhotzkiana,-43.250118,-22.98261
Trilepis lhotzkiana,-43.1036,-22.8833
Trilepis lhotzkiana,-65.87,5.72
Trilepis lhotzkiana,-65.48,-0.32
Trilepis lhotzkiana,-43.8014,-20.2533
Trilepis lhotzkiana,-42.5206,-20.6669
Trilepis lhotzkiana,-42.5206,-20.6669
Trilepis lhotzkiana,-42.5206,-20.6669
Trilepis lhotzkiana,-42.5206,-20.6669
Trilepis lhotzkiana,-43.6003,-18.2494
Trilepis lhotzkiana,-41.309359,-15.995066
Trilepis lhotzkiana,-43.7142,-19.1692
Trilepis lhotzkiana,-43.9378,-19.9208
Trilepis lhotzkiana,-43.4927778,-20.1263
Trilepis lhotzkiana,-43.6003,-18.2494
