SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Turnera rubrobracteata,-40.7402992248535,-18.9831008911133
Turnera rubrobracteata,-40.4006004333496,-18.710599899292
Turnera rubrobracteata,-40.4475,-18.77
Turnera rubrobracteata,-40.4625,-18.766944
Turnera rubrobracteata,-40.456944,-18.766389
Turnera rubrobracteata,-40.793333,-19.187222
Turnera rubrobracteata,-40.4006004333496,-18.710599899292
Turnera rubrobracteata,-40.4006004333496,-18.710599899292
Turnera rubrobracteata,-40.4006004333496,-18.710599899292
Turnera rubrobracteata,-40.7575,-19.770833
Turnera rubrobracteata,-40.980556,-19.741389
Turnera rubrobracteata,-40.551111,-19.348333
Turnera rubrobracteata,-40.798611,-18.944167
Turnera rubrobracteata,-40.665556,-18.977778
Turnera rubrobracteata,-40.551111,-19.348333
Turnera rubrobracteata,-40.463333,-19.275833
Turnera rubrobracteata,-41.116667,-18.416667
Turnera rubrobracteata,-40.769444,-18.975556
Turnera rubrobracteata,-40.461944,-19.281667
Turnera rubrobracteata,-40.800278,-18.945
Turnera rubrobracteata,-40.664722,-18.977778
Turnera rubrobracteata,-40.4625,-18.766944
Turnera rubrobracteata,-40.783333,-19.188611
Turnera rubrobracteata,-40.855598449707,-19.8019008636475
Turnera rubrobracteata,-40.8513984680176,-19.2250003814697
Turnera rubrobracteata,-40.666667,-19.416667
Turnera rubrobracteata,-40.4006004333496,-18.710599899292
Turnera rubrobracteata,-40.4006004333496,-18.710599899292
Turnera rubrobracteata,-40.4006004333496,-18.710599899292
Turnera rubrobracteata,-40.739444,-19.760833
Turnera rubrobracteata,-40.981111,-19.741389
Turnera rubrobracteata,-40.551111,-19.348333
Turnera rubrobracteata,-40.800278,-18.945
Turnera rubrobracteata,-40.463333,-19.275833
Turnera rubrobracteata,-40.665556,-18.977778
Turnera rubrobracteata,-40.934722,-19.751111
Turnera rubrobracteata,-40.798611,-18.944167
Turnera rubrobracteata,-40.551111,-19.348333
Turnera rubrobracteata,-40.461944,-19.281667
Turnera rubrobracteata,-40.769444,-18.975556
Turnera rubrobracteata,-40.664694,-18.977639
Turnera rubrobracteata,-40.466667,-18.766667
Turnera rubrobracteata,-40.4625,-18.766944
Turnera rubrobracteata,-41.121111,-18.421667
Turnera rubrobracteata,-40.7575,-19.770833
Turnera rubrobracteata,-40.443889,-18.7825
Turnera rubrobracteata,-41.122333,-18.423833
Turnera rubrobracteata,-40.685528,-18.9875
Turnera rubrobracteata,-40.4475,-18.77
Turnera rubrobracteata,-41.088056,-18.898889
Turnera rubrobracteata,-41.124722,-18.533889
Turnera rubrobracteata,-40.463889,-19.277778
Turnera rubrobracteata,-40.876389,-19.230833
Turnera rubrobracteata,-40.909167,-19.274167
