SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Vanilla bahiana,-40.2733001708984,-19.8202991485596
Vanilla bahiana,-40.2733001708984,-19.8202991485596
Vanilla bahiana,-39.7322006225586,-18.5932998657227
Vanilla bahiana,-40.0722007751465,-19.3910999298096
Vanilla bahiana,-39.8588981628418,-18.716100692749
Vanilla bahiana,-39.8588981628418,-18.716100692749
Vanilla bahiana,-39.7322006225586,-18.5932998657227
Vanilla bahiana,-39.7322006225586,-18.5932998657227
Vanilla bahiana,-40.0722007751465,-19.3910999298096
Vanilla bahiana,-40.0722007751465,-19.3910999298096
Vanilla bahiana,-40.0722007751465,-19.3910999298096
Vanilla bahiana,-40.0722007751465,-19.3910999298096
Vanilla bahiana,-39.8588981628418,-18.716100692749
Vanilla bahiana,-39.8588981628418,-18.716100692749
Vanilla bahiana,-39.8588981628418,-18.716100692749
Vanilla bahiana,-46.8800010681152,-23.1800003051758
Vanilla bahiana,-47.4700012207031,-20.25
Vanilla bahiana,-35.142056,-6.741861
Vanilla bahiana,-34.976944,-6.502222
Vanilla bahiana,-34.978056,-7.114167
Vanilla bahiana,-35.084422,-6.8047
Vanilla bahiana,-34.959722,-7.424444
Vanilla bahiana,-34.980833,-6.495833
Vanilla bahiana,-34.906139,-7.834444
Vanilla bahiana,-34.860993,-7.14694
Vanilla bahiana,-35.142056,-6.741861
Vanilla bahiana,-34.978633,-6.493617
Vanilla bahiana,-35.023558,-6.374122
Vanilla bahiana,-42.4749984741211,-14.0693998336792
Vanilla bahiana,-35.8535995483398,-7.17082977294922
Vanilla bahiana,-35.2327995300293,-7.09638977050781
Vanilla bahiana,-44.040599822998,-22.9596996307373
Vanilla bahiana,-39.922222,-19.690278
Vanilla bahiana,-39.4282989501953,-12.7656002044678
Vanilla bahiana,-38.510799407959,-12.9710998535156
Vanilla bahiana,-47.85,-15.866667
Vanilla bahiana,-39.0247001647949,-16.2780990600586
Vanilla bahiana,-34.959722,-7.424444
Vanilla bahiana,-39.4719,-12.8531
Vanilla bahiana,-38.9472007751465,-15.6750001907349
Vanilla bahiana,-41.7868995666504,-22.3708000183105
Vanilla bahiana,-43.2075004577637,-22.9027996063232
Vanilla bahiana,-43.2075004577637,-22.9027996063232
Vanilla bahiana,-43.2075004577637,-22.9027996063232
Vanilla bahiana,-43.2075004577637,-22.9027996063232
Vanilla bahiana,-43.2075004577637,-22.9027996063232
Vanilla bahiana,-43.2075004577637,-22.9027996063232
Vanilla bahiana,-40.5110015869141,-20.6580009460449
Vanilla bahiana,-48.05,-21.35
Vanilla bahiana,-40.066667,-19.383333
Vanilla bahiana,-40.066667,-19.383333
Vanilla bahiana,-40.215556,-20.243611
Vanilla bahiana,-39.744722,-18.681944
Vanilla bahiana,-39.886667,-19.667778
Vanilla bahiana,-39.709167,-19.190278
Vanilla bahiana,-39.733611,-18.623889
Vanilla bahiana,-39.733611,-18.624444
Vanilla bahiana,-39.746111,-18.683611
Vanilla bahiana,-39.7075,-19.192222
Vanilla bahiana,-39.736667,-19.479722
Vanilla bahiana,-39.885556,-19.670556
Vanilla bahiana,-39.892222,-19.671667
Vanilla bahiana,-39.75,-18.783333
Vanilla bahiana,-39.738611,-18.958056
Vanilla bahiana,-39.735833,-18.625833
Vanilla bahiana,-39.738333,-18.958611
Vanilla bahiana,-39.888333,-19.668333
Vanilla bahiana,-39.931667,-19.698889
Vanilla bahiana,-38.510799407959,-12.9710998535156
Vanilla bahiana,-39.7322006225586,-18.5932998657227
Vanilla bahiana,-39.7322006225586,-18.5932998657227
Vanilla bahiana,-39.7322006225586,-18.5932998657227
Vanilla bahiana,-40.5110015869141,-20.6580009460449
Vanilla bahiana,-40.5110015869141,-20.6580009460449
Vanilla bahiana,-40.5110015869141,-20.6580009460449
Vanilla bahiana,-40.0722007751465,-19.3910999298096
Vanilla bahiana,-40.0722007751465,-19.3910999298096
