SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Vellozia candida,-41.3666648865,-15.9499998093
Vellozia candida,-40.7402992248535,-18.9831008911133
Vellozia candida,-40.7402992248535,-18.9831008911133
Vellozia candida,-41.184700012207,-20.6035995483398
Vellozia candida,-41.3664016723633,-21.0641994476318
Vellozia candida,-41.3664016723633,-21.0641994476318
Vellozia candida,-40.4006004333496,-18.710599899292
Vellozia candida,-40.611400604248,-18.6149997711182
Vellozia candida,-43.2075004577637,-22.9027996063232
Vellozia candida,-40.456944,-18.766389
Vellozia candida,-43.2075,-22.9031
Vellozia candida,-61.03,5.9
Vellozia candida,-41.1239,-20.0744
Vellozia candida,-43.1035995483398,-22.88330078125
Vellozia candida,-41.2902984619141,-20.1460990905762
Vellozia candida,-41.3664016723633,-21.0641994476318
Vellozia candida,-41.2331008911133,-18.5664005279541
Vellozia candida,-40.9803009033203,-18.7817001342773
Vellozia candida,-40.588611,-18.639444
Vellozia candida,-40.604167,-18.615
Vellozia candida,-41.1239013671875,-20.0741996765137
Vellozia candida,-41.184700012207,-20.6035995483398
Vellozia candida,-40.4006004333496,-18.710599899292
Vellozia candida,-40.4006004333496,-18.710599899292
Vellozia candida,-40.4006004333496,-18.710599899292
Vellozia candida,-40.4006004333496,-18.710599899292
Vellozia candida,-40.4006004333496,-18.710599899292
Vellozia candida,-40.4006004333496,-18.710599899292
Vellozia candida,-44.3616981506348,-15.4881000518799
Vellozia candida,-43.1035995483398,-22.88330078125
Vellozia candida,-43.1035995483398,-22.88330078125
Vellozia candida,-43.2075004577637,-22.9027996063232
Vellozia candida,-43.2075004577637,-22.9027996063232
Vellozia candida,-43.2075004577637,-22.9027996063232
Vellozia candida,-43.2075004577637,-22.9027996063232
Vellozia candida,-61.0333,5.9
Vellozia candida,-44.7131004333496,-23.2178001403809
Vellozia candida,-44.7131004333496,-23.2178001403809
Vellozia candida,-43.2075004577637,-22.9027996063232
Vellozia candida,-43.2075004577637,-22.9027996063232
Vellozia candida,-43.2075004577637,-22.9027996063232
Vellozia candida,-43.2075004577637,-22.9027996063232
Vellozia candida,-43.2075004577637,-22.9027996063232
Vellozia candida,-43.2075004577637,-22.9027996063232
Vellozia candida,-39.777222,-16.678056
Vellozia candida,-41.260833,-17.856111
Vellozia candida,-40.876667,-19.231111
Vellozia candida,-43.243611,-22.991667
Vellozia candida,-40.582778,-18.643889
Vellozia candida,-40.777778,-19.006111
Vellozia candida,-40.995833,-17.8275
Vellozia candida,-40.995,-17.863333
Vellozia candida,-41.219444,-17.978333
Vellozia candida,-43.285917,-22.943722
Vellozia candida,-40.468889,-18.803889
Vellozia candida,-43.1035995483398,-22.88330078125
Vellozia candida,-43.2075004577637,-22.9027996063232
Vellozia candida,-43.2075004577637,-22.9027996063232
Vellozia candida,-41.2331008911133,-18.5664005279541
Vellozia candida,-41.366667,-15.95
Vellozia candida,-41.260944,-17.855972
Vellozia candida,-41.260944,-17.855972
Vellozia candida,-41.260944,-17.855972
Vellozia candida,-41.260944,-17.855972
Vellozia candida,-41.216944,-17.978333
Vellozia candida,-61.03333,5.9
Vellozia candida,-44.614772,-23.263447
Vellozia candida,-40.716667,-17.616667
Vellozia candida,-43.2075004577637,-22.9027996063232
Vellozia candida,-43.2075004577637,-22.9027996063232
Vellozia candida,-41.2971992492676,-16.0053005218506
Vellozia candida,-41.100556,-20.519167
Vellozia candida,-41.036111,-20.076389
Vellozia candida,-41.100556,-20.519167
Vellozia candida,-41.100556,-20.519167
Vellozia candida,-40.665556,-18.977778
Vellozia candida,-40.798611,-18.944167
Vellozia candida,-40.798611,-18.944167
Vellozia candida,-40.802056,-18.944556
Vellozia candida,-40.551111,-19.348333
Vellozia candida,-40.432778,-18.7825
Vellozia candida,-40.667778,-18.978889
Vellozia candida,-40.4475,-18.770278
Vellozia candida,-41.083611,-20.516111
Vellozia candida,-41.098611,-20.5375
Vellozia candida,-41.098611,-20.5375
Vellozia candida,-40.774889,-19.191472
Vellozia candida,-40.741389,-19.827222
Vellozia candida,-40.6,-19.936111
Vellozia candida,-41.1239013671875,-20.0741996765137
Vellozia candida,-40.8908004760742,-18.7549991607666
Vellozia candida,-40.6305999755859,-19.539400100708
Vellozia candida,-40.716667,-18.616667
Vellozia candida,-39.8588981628418,-12.8699998855591
Vellozia candida,-43.2075004577637,-22.9027996063232
