SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Vellozia plicata,-40.7402992248535,-18.9831008911133
Vellozia plicata,-40.7402992248535,-18.9831008911133
Vellozia plicata,-40.611400604248,-18.6149997711182
Vellozia plicata,-35.893778,-7.469361
Vellozia plicata,-36.890083,-7.47625
Vellozia plicata,-36.890083,-7.47625
Vellozia plicata,-36.8975,-7.470833
Vellozia plicata,-36.889722,-7.476389
Vellozia plicata,-41.093611,-19.4275
Vellozia plicata,-43.6744003295898,-15.3382997512817
Vellozia plicata,-41.2971992492676,-16.0053005218506
Vellozia plicata,-43.6744003295898,-15.3382997512817
Vellozia plicata,-53.859722,-15.215
Vellozia plicata,-42.2789001464844,-20.7255992889404
Vellozia plicata,-40.9803009033203,-18.7817001342773
Vellozia plicata,-40.9803009033203,-18.7817001342773
Vellozia plicata,-40.9803009033203,-18.7817001342773
Vellozia plicata,-40.995833,-18.571944
Vellozia plicata,-40.916111,-20.175278
Vellozia plicata,-41.4775,-20.375833
Vellozia plicata,-40.6591987609863,-20.3633003234863
Vellozia plicata,-40.5110015869141,-20.6580009460449
Vellozia plicata,-41.3664016723633,-21.0641994476318
Vellozia plicata,-41.3664016723633,-21.0641994476318
Vellozia plicata,-40.3377990722656,-20.3194007873535
Vellozia plicata,-40.3377990722656,-20.3194007873535
Vellozia plicata,-40.3377990722656,-20.3194007873535
Vellozia plicata,-40.3377990722656,-20.3194007873535
Vellozia plicata,-40.3377990722656,-20.3194007873535
Vellozia plicata,-40.3377990722656,-20.3194007873535
Vellozia plicata,-40.3377990722656,-20.3194007873535
Vellozia plicata,-42.0293998718262,-20.7331008911133
Vellozia plicata,-43.3300018310547,-9.27861022949219
Vellozia plicata,-44.3060989379883,-10.0363998413086
Vellozia plicata,-40.252778,-14.322222
Vellozia plicata,-41.0425,-13.762222
Vellozia plicata,-40.199825,-18.886696
Vellozia plicata,-40.5410995483398,-18.1236000061035
Vellozia plicata,-44.37,-15.48
Vellozia plicata,-39.87,-12.9
Vellozia plicata,-42.5,-11.4
Vellozia plicata,-42.502799987793,-11.4288997650146
Vellozia plicata,-40.4308013916016,-13.4411001205444
Vellozia plicata,-39.8588981628418,-12.8699998855591
Vellozia plicata,-39.3328018188477,-10.4378004074097
Vellozia plicata,-42.9388999938965,-13.6091995239258
Vellozia plicata,-42.9388999938965,-13.6091995239258
Vellozia plicata,-40.7219009399414,-20.8377990722656
Vellozia plicata,-40.7219009399414,-20.8377990722656
Vellozia plicata,-40.7219009399414,-20.8377990722656
Vellozia plicata,-40.7663993835449,-17.7031002044678
Vellozia plicata,-40.5008010864258,-9.39861011505127
Vellozia plicata,-41.245556,-10.229667
Vellozia plicata,-39.479139,-8.126333
Vellozia plicata,-38.555528,-7.822722
Vellozia plicata,-42.908611,-12.339722
Vellozia plicata,-39.854167,-12.869722
Vellozia plicata,-40.614,-19.842361
Vellozia plicata,-37.228417,-7.876528
Vellozia plicata,-39.216528,-8.303
Vellozia plicata,-40.7575,-19.770833
Vellozia plicata,-40.876667,-19.231111
Vellozia plicata,-40.806389,-19.238889
Vellozia plicata,-40.995833,-17.8275
Vellozia plicata,-42.210278,-13.456111
Vellozia plicata,-41.196944,-17.86125
Vellozia plicata,-53.859722,-15.215
Vellozia plicata,-42.210278,-13.456111
Vellozia plicata,-40.084167,-12.501667
Vellozia plicata,-42.908611,-12.339722
Vellozia plicata,-40.084167,-12.501667
Vellozia plicata,-36.89,-7.476389
Vellozia plicata,-38.868056,-8.316667
Vellozia plicata,-38.958611,-8.286944
Vellozia plicata,-37.8225,-7.916389
Vellozia plicata,-36.938889,-8.499722
Vellozia plicata,-43.288056,-13.072778
Vellozia plicata,-40.2117004394531,-12.7672004699707
Vellozia plicata,-40.7461013793945,-20.040599822998
Vellozia plicata,-43.3502998352051,-21.7642002105713
Vellozia plicata,-43.3502998352051,-21.7642002105713
Vellozia plicata,-42.9674987792969,-21.4596996307373
Vellozia plicata,-43.3502998352051,-21.7642002105713
Vellozia plicata,-37.605028,-8.3375
Vellozia plicata,-37.2799987792969,-7.02443981170654
Vellozia plicata,-41.260944,-17.855972
Vellozia plicata,-41.260944,-17.855972
Vellozia plicata,-41.260944,-17.855972
Vellozia plicata,-43.240528,-19.548642
Vellozia plicata,-42.483333,-20.716667
Vellozia plicata,0,-18.520411
Vellozia plicata,-41.4131011962891,-20.4641990661621
Vellozia plicata,-41.0638999938965,-19.4958000183105
Vellozia plicata,-41.0638999938965,-19.4958000183105
Vellozia plicata,-42.0293998718262,-20.7331008911133
Vellozia plicata,-42.6288986206055,-19.5186004638672
Vellozia plicata,-43.6744003295898,-15.3382997512817
Vellozia plicata,-43.6744003295898,-15.3382997512817
Vellozia plicata,-43.932201385498,-14.7558002471924
Vellozia plicata,-41.448056,-21.797222
Vellozia plicata,-41.448056,-21.797222
Vellozia plicata,-41.448056,-21.797222
Vellozia plicata,-41.4575,-21.791944
Vellozia plicata,-41.455,-21.7925
Vellozia plicata,-42.8960990905762,-12.3169002532959
Vellozia plicata,-41.6636009216309,-13.2496995925903
Vellozia plicata,-42.502799987793,-11.4288997650146
Vellozia plicata,-40.2117004394531,-12.7672004699707
Vellozia plicata,-41.2971992492676,-16.0053005218506
Vellozia plicata,-41.2971992492676,-16.0053005218506
Vellozia plicata,-40.3377990722656,-20.3194007873535
Vellozia plicata,-39.521667,-12.769167
Vellozia plicata,-40.304444,-20.276667
Vellozia plicata,-40.681389,-19.805556
Vellozia plicata,-40.681389,-19.805556
Vellozia plicata,-40.739444,-19.760833
Vellozia plicata,-40.6875,-19.757222
Vellozia plicata,-40.601944,-19.906111
Vellozia plicata,-40.665556,-18.977778
Vellozia plicata,-40.647778,-19.023056
Vellozia plicata,-40.665556,-18.977778
Vellozia plicata,-40.798611,-18.944167
Vellozia plicata,-40.681389,-19.805556
Vellozia plicata,-40.6625,-18.985
Vellozia plicata,-40.189722,-18.905
Vellozia plicata,-40.98525,-18.569278
Vellozia plicata,-41.209722,-21.340278
Vellozia plicata,-40.679167,-19.397222
Vellozia plicata,-40.739722,-19.826944
Vellozia plicata,-41.088611,-18.899444
Vellozia plicata,-40.698056,-18.988611
Vellozia plicata,-40.838889,-19.491389
Vellozia plicata,-40.681944,-19.403611
Vellozia plicata,-40.85,-19.65
Vellozia plicata,-40.8908004760742,-18.7549991607666
Vellozia plicata,-41.3664016723633,-21.0641994476318
Vellozia plicata,-39.521667,-12.769167
Vellozia plicata,-39.8588981628418,-12.8699998855591
Vellozia plicata,-38.785278,-9.083333
Vellozia plicata,-36.737966,-8.392269
Vellozia plicata,-40.129,-10.229666
Vellozia plicata,-39.216527,-8.303
Vellozia plicata,-38.055527,-7.822722
Vellozia plicata,-39.479138,-8.126333
Vellozia plicata,-37.228416,-7.876527
Vellozia plicata,-42.728138,-8.881333
Vellozia plicata,-38.056055,-7.822833
Vellozia plicata,-43.489416,-9.220083
Vellozia plicata,-39.33975,-10.437638
Vellozia plicata,-39.187388,-8.415527
