SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Vellozia variegata,-41.184700012207,-20.6035995483398
Vellozia variegata,-41.3664016723633,-21.0641994476318
Vellozia variegata,-40.4006004333496,-18.710599899292
Vellozia variegata,-40.95,-20.433333
Vellozia variegata,-42.0175,-21.9675
Vellozia variegata,-39.475833,-12.853611
Vellozia variegata,-41.8675,-21.848056
Vellozia variegata,-39.4282989501953,-12.7656002044678
Vellozia variegata,-40.6591987609863,-20.3633003234863
Vellozia variegata,-40.6591987609863,-20.3633003234863
Vellozia variegata,-40.6591987609863,-20.3633003234863
Vellozia variegata,-40.443889,-18.776944
Vellozia Cf. variegata,-43.6002998352051,-18.2493991851807
Vellozia variegata,-42.0175,-21.9675
Vellozia variegata,-41.083611,-20.516111
Vellozia variegata,-40.4625,-18.7669
Vellozia variegata,-41.008089,-20.436427
Vellozia variegata,-39.4758,-12.8536
Vellozia variegata,-41.2902984619141,-20.1460990905762
Vellozia variegata,-42.5208015441895,-20.6667003631592
Vellozia variegata,-42.5208015441895,-20.6667003631592
Vellozia variegata,-42.5208015441895,-20.6667003631592
Vellozia variegata,-42.5208015441895,-20.6667003631592
Vellozia variegata,-42.5208015441895,-20.6667003631592
Vellozia variegata,-42.5208015441895,-20.6667003631592
Vellozia variegata,-42.5208015441895,-20.6667003631592
Vellozia variegata,-42.5208015441895,-20.6667003631592
Vellozia variegata,-42.2789001464844,-20.7255992889404
Vellozia variegata,-40.995833,-18.571944
Vellozia variegata,-40.815,-19.895278
Vellozia variegata,-41.3950004577637,-20.789400100708
Vellozia variegata,-41.3664016723633,-21.0641994476318
Vellozia variegata,-41.3664016723633,-21.0641994476318
Vellozia variegata,-40.4006004333496,-18.710599899292
Vellozia variegata,-40.4006004333496,-18.710599899292
Vellozia variegata,-40.3078002929688,-20.1285991668701
Vellozia variegata,-40.3078002929688,-20.1285991668701
Vellozia variegata,-40.3078002929688,-20.1285991668701
Vellozia variegata,-39.46667,-12.85
Vellozia variegata,-42.0293998718262,-20.7331008911133
Vellozia variegata,-39.53,-12.75
Vellozia variegata,-39.53,-12.75
Vellozia variegata,-42.0293998718262,-20.7331008911133
Vellozia variegata,-43.1786003112793,-22.5049991607666
Vellozia variegata,-42.0080986022949,-21.9552993774414
Vellozia variegata,-41.8675,-21.848
Vellozia variegata,-40.791111,-18.766944
Vellozia variegata,-42.472194,-20.747778
Vellozia variegata,-42.475806,-20.702833
Vellozia variegata,-40.456667,-18.769167
Vellozia variegata,-39.475,-12.854722
Vellozia variegata,-40.812778,-19.895833
Vellozia variegata,-40.614444,-20.173056
Vellozia variegata,-41.911944,-21.898889
Vellozia variegata,-41.913333,-21.869444
Vellozia variegata,-42.0080986022949,-21.9552993774414
Vellozia variegata,-39.466667,-12.85
Vellozia variegata,-40.443889,-18.776944
Vellozia variegata,-39.533333,-12.75
Vellozia variegata,-39.533333,-12.75
Vellozia variegata,-39.533333,-12.75
Vellozia variegata,-39.466667,-12.85
Vellozia variegata,-39.475833,-12.853611
Vellozia variegata,-39.466667,-12.85
Vellozia variegata,-43.1786003112793,-22.5049991607666
Vellozia variegata,-39.475556,-12.854444
Vellozia variegata,-39.53333,-12.75
Vellozia variegata,-39.533333,-12.75
Vellozia variegata,-39.471944,-12.853056
Vellozia variegata,-39.475833,-12.853611
Vellozia variegata,-40.4006004333496,-18.710599899292
Vellozia variegata,-40.6002998352051,-19.9356002807617
Vellozia variegata,-40.6591987609863,-20.3633003234863
Vellozia variegata,-42.0080986022949,-21.9552993774414
Vellozia variegata,-39.466667,-12.85
Vellozia variegata,-39.475556,-12.853611
Vellozia variegata,-39.2832,-12.5116
Vellozia variegata,-40.814722,-19.897778
Vellozia variegata,-40.814722,-19.897778
Vellozia variegata,-40.824722,-19.888889
Vellozia variegata,-41.100556,-20.519167
Vellozia variegata,-41.100556,-20.519167
Vellozia variegata,-40.472222,-19.914167
Vellozia variegata,-40.814722,-19.897778
Vellozia variegata,-40.775278,-19.796944
Vellozia variegata,-41.100556,-20.519167
Vellozia variegata,-40.775278,-19.796944
Vellozia variegata,-41.100556,-20.519167
Vellozia variegata,-40.739444,-19.760833
Vellozia variegata,-40.604167,-19.780556
Vellozia variegata,-40.604167,-19.780556
Vellozia variegata,-41.100556,-20.519167
Vellozia variegata,-40.614444,-20.173056
Vellozia variegata,-40.775278,-19.796944
Vellozia variegata,-40.551111,-19.348333
Vellozia variegata,-40.665556,-18.977778
Vellozia variegata,-40.798611,-18.944167
Vellozia variegata,-40.798611,-18.944167
Vellozia variegata,-40.981111,-19.741389
Vellozia variegata,-40.798611,-18.944167
Vellozia variegata,-40.775278,-19.796944
Vellozia variegata,-40.775278,-19.796944
Vellozia variegata,-40.775278,-19.796944
Vellozia variegata,-40.4625,-18.766944
Vellozia variegata,-40.988056,-18.570556
Vellozia variegata,-40.667778,-18.978889
Vellozia variegata,-41.121111,-18.421667
Vellozia variegata,-40.443889,-18.776944
Vellozia variegata,-41.083611,-20.516111
Vellozia variegata,-41.083611,-20.516111
Vellozia variegata,-40.98525,-18.569278
Vellozia variegata,-39.796111,-16.61
Vellozia variegata,-40.980014,-20.411644
Vellozia variegata,-40.473889,-19.907944
Vellozia variegata,-40.7775,-19.8025
Vellozia variegata,-40.614444,-20.173056
Vellozia variegata,-41.286139,-20.175833
Vellozia variegata,-40.4575,-18.77
Vellozia variegata,-40.4575,-18.77
Vellozia variegata,-41.545833,-20.940556
Vellozia variegata,-40.614444,-20.173056
Vellozia variegata,-40.813306,-19.896972
Vellozia variegata,-41.100556,-20.519167
Vellozia variegata,-40.319167,-20.17
Vellozia variegata,-41.3664016723633,-21.0641994476318
Vellozia variegata,-39.475556,-12.854444
Vellozia variegata,-39.5233001708984,-12.771900177002
Vellozia variegata,-39.5233001708984,-12.771900177002
Vellozia variegata,-39.5233001708984,-12.771900177002
Vellozia variegata,-39.5233001708984,-12.771900177002
