SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Vernonanthura discolor,-50.6156005859375,-24.3239002227783
Vernonanthura discolor,-49.4103012084961,-25.5930995941162
Vernonanthura discolor,-49.2731018066406,-25.4277992248535
Vernonanthura discolor,-49.2731018066406,-25.4277992248535
Vernonanthura discolor,-50.6156005859375,-24.3239002227783
Vernonanthura discolor,-49.1988983154297,-25.9281005859375
Vernonanthura discolor,-53.733333,-26.533333
Vernonanthura discolor,-51.572778,-26.641667
Vernonanthura discolor,-50.132222,-27.275
Vernonanthura discolor,-50.433333,-26.889722
Vernonanthura discolor,-50.5835990905762,-29.4480991363525
Vernonanthura discolor,-50.644167,-29.474444
Vernonanthura discolor,-45.068333,-23.325
Vernonanthura discolor,-50.769444,-30.455556
Vernonanthura discolor,-45.5075,-23.624167
Vernonanthura discolor,-49.590556,-26.459722
Vernonanthura discolor,-45.183333,-23.4
Vernonanthura discolor,-44.9667015075684,-22.3903007507324
Vernonanthura discolor,-38.5,-12.966667
Vernonanthura discolor,-43.229722,-22.502222
Vernonanthura discolor,-44.099722,-22.859722
Vernonanthura discolor,-44.099722,-22.859722
Vernonanthura discolor,-42.57,-22.59
Vernonanthura discolor,-42.75,-22.409722
Vernonanthura discolor,-53.4552993774414,-24.9557991027832
Vernonanthura discolor,-49.237481,-26.839506
Vernonanthura discolor,-51.299997,-25.380003
Vernonanthura discolor,-50,-25.25
Vernonanthura discolor,-42.495833,-22.491667
Vernonanthura discolor,-51.698239,-26.581425
Vernonanthura discolor,-49.14,-25.2
Vernonanthura discolor,-49.32,-25.92
Vernonanthura discolor,-49.948333,-28.798883
Vernonanthura discolor,-51.112611,-26.196389
Vernonanthura discolor,-51.987778,-26.105361
Vernonanthura discolor,-41.754722,-21.811389
Vernonanthura discolor,-50.421806,-24.578583
Vernonanthura discolor,-50.409906,-27.120969
Vernonanthura discolor,-49.3825,-26.276389
Vernonanthura discolor,-49.015556,-25.4475
Vernonanthura discolor,-43.2,-22.5
Vernonanthura discolor,-42.39,-22.41
Vernonanthura discolor,-43.74,-22.59
Vernonanthura discolor,-49.68,-28.08
Vernonanthura discolor,-50.495,-26.278333
Vernonanthura discolor,-50.005278,-25.253611
Vernonanthura discolor,-49.203333,-27.118056
Vernonanthura discolor,-49.203333,-27.118056
Vernonanthura discolor,-50.939997,-25.739997
Vernonanthura discolor,-50.4,-25.38
Vernonanthura discolor,-50.759997,-24.840003
Vernonanthura discolor,-52.200003,-25.020003
Vernonanthura discolor,-41.8683013916016,-20.4333000183105
Vernonanthura discolor,-49.2242012023926,-25.2917003631592
