SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Vriesea procera,-48.834400177002,-25.476900100708
Vriesea procera,-54.74,4.270556
Vriesea procera,-54.74,4.270556
Vriesea procera,-56.5,4.6
Vriesea procera,-56.5,4.6
Vriesea procera,-59.666667,6.433333
Vriesea procera,-41.591111,-22.246667
Vriesea procera,-40.2924995422363,-20.3297004699707
Vriesea procera,-51.3011016845703,-30.2910995483398
Vriesea procera,-50.0097007751465,-29.7455997467041
Vriesea procera,-39.7322006225586,-18.5932998657227
Vriesea procera,-40.4006004333496,-18.710599899292
Vriesea procera,-39.8588981628418,-18.716100692749
Vriesea procera,-39.7322006225586,-18.5932998657227
Vriesea procera,-39.7322006225586,-18.5932998657227
Vriesea procera,-39.7322006225586,-18.5932998657227
Vriesea procera,-40.0722007751465,-19.3910999298096
Vriesea procera,-40.0722007751465,-19.3910999298096
Vriesea procera,-40.0722007751465,-19.3910999298096
Vriesea procera,-39.8588981628418,-18.716100692749
Vriesea procera,-39.8588981628418,-18.716100692749
Vriesea procera,-39.8588981628418,-18.716100692749
Vriesea procera,-44.816667,-23.333333
Vriesea procera,-44.852778,-23.375
Vriesea procera procera,-47.916389,-25.191667
Vriesea procera rubra,-40.0722007751465,-19.3910999298096
Vriesea procera procera,-48.5092010498047,-25.5200004577637
Vriesea procera,-48.5092010498047,-25.5200004577637
Vriesea procera,-47.9199981689453,-25.0100002288818
Vriesea procera,-47.9199981689453,-25.0100002288818
Vriesea procera procera,-45.0699996948242,-23.4300003051758
Vriesea procera,-35.142056,-6.741861
Vriesea procera,-35.147778,-6.742222
Vriesea procera,-35.6916999816895,-6.96332979202271
Vriesea procera,-35.1260986328125,-6.83861017227173
Vriesea procera,-42.757222,-22.433611
Vriesea procera,-44.3180999755859,-23.0067005157471
Vriesea procera,-42.6530990600586,-22.4624996185303
Vriesea procera,-42.3917007446289,-22.6508007049561
Vriesea procera,-39.8675,-19.537778
Vriesea procera,-39.817222,-19.575
Vriesea procera,-39.856944,-19.651944
Vriesea procera rubra,-39.0494003295898,-14.7889003753662
Vriesea procera rubra,-39.0731010437012,-13.3703002929688
Vriesea procera debilis,-40.6591987609863,-20.3633003234863
Vriesea procera tenuis,-43.6002998352051,-18.2493991851807
Vriesea procera,-48.7118988037109,-25.4286003112793
Vriesea procera,-50.1618995666504,-25.0949993133545
Vriesea procera,-50.9777984619141,-25.2131004333496
Vriesea procera,-48.5092010498047,-25.5200004577637
Vriesea procera var. procera,-48.5092010498047,-25.5200004577637
Vriesea procera,-48.5092010498047,-25.5200004577637
Vriesea procera,-48.5092010498047,-25.5200004577637
Vriesea procera,-48.5092010498047,-25.5200004577637
Vriesea procera,-48.5428009033203,-25.8174991607666
Vriesea procera,-48.5092010498047,-25.5200004577637
Vriesea procera,-48.5092010498047,-25.5200004577637
Vriesea procera,-48.5092010498047,-25.5200004577637
Vriesea procera,-48.5092010498047,-25.5200004577637
Vriesea procera,0,-23.233333
Vriesea procera,-46.939998626709,-23.8500003814697
