SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Vriesea vellozicola,-40.7402992248535,-18.9831008911133
Vriesea vellozicola,-40.611400604248,-18.6149997711182
Vriesea vellozicola,-40.9785995483398,-18.5468997955322
Vriesea vellozicola,-41.260833,-17.856111
Vriesea vellozicola,-40.739444,-19.760833
Vriesea vellozicola,-40.775278,-19.796944
Vriesea vellozicola,-40.739444,-19.760833
Vriesea vellozicola,-40.739444,-19.760833
Vriesea vellozicola,-40.775278,-19.796944
Vriesea vellozicola,-40.551111,-19.348333
Vriesea vellozicola,-40.665556,-18.977778
Vriesea vellozicola,-40.551111,-19.348333
Vriesea vellozicola,-40.664444,-18.973889
Vriesea vellozicola,-40.769444,-18.975556
Vriesea vellozicola,-40.664694,-18.977639
Vriesea vellozicola,-40.775278,-19.796944
Vriesea vellozicola,-40.775278,-19.796944
Vriesea vellozicola,-40.995,-18.5725
Vriesea vellozicola,-40.667778,-18.978889
Vriesea vellozicola,-41.122333,-18.423833
Vriesea vellozicola,-40.993097,-18.575017
Vriesea vellozicola,-40.756111,-19.766944
Vriesea vellozicola,-40.463889,-19.277778
Vriesea vellozicola,-40.525278,-19.310833
