SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Zygopetalum maculatum,-49.6356010437012,-25.5839004516602
Zygopetalum maculatum,-49.0553016662598,-25.3055992126465
Zygopetalum maculatum,-41.184700012207,-20.6035995483398
Zygopetalum maculatum,-48.834167,-25.238056
Zygopetalum maculatum,-41.293333,-12.984167
Zygopetalum maculatum,-49.1150016784668,-25.2061004638672
Zygopetalum maculatum,-49.0553016662598,-25.3055992126465
Zygopetalum maculatum,-50.0064010620117,-25.4293994903564
Zygopetalum maculatum,-49.0633010864258,-25.4416999816895
Zygopetalum maculatum,-49.0633010864258,-25.4416999816895
Zygopetalum maculatum,-49.0633010864258,-25.4416999816895
Zygopetalum maculatum,-49.1988983154297,-25.9281005859375
Zygopetalum maculatum,-49.2655982971191,-26.1924991607666
Zygopetalum maculatum,-43.536111,-20.159444
Zygopetalum maculatum,-48,-25
Zygopetalum maculatum,-48.5092010498047,-25.5200004577637
Zygopetalum maculatum,-49.0553016662598,-25.3055992126465
Zygopetalum maculatum,-49.0633010864258,-25.4416999816895
Zygopetalum maculatum,-49.0769004821777,-25.3656005859375
Zygopetalum maculatum,-49.0633010864258,-25.4416999816895
Zygopetalum maculatum,-48.834400177002,-25.476900100708
Zygopetalum maculatum,-50.1618995666504,-25.0949993133545
Zygopetalum maculatum,-49.0553016662598,-25.3055992126465
Zygopetalum maculatum,-48.5746994018555,-25.8827991485596
Zygopetalum maculatum,-48.5746994018555,-25.8827991485596
Zygopetalum maculatum,-49.0769004821777,-25.3656005859375
Zygopetalum maculatum,-44.5633010864258,-22.4960994720459
Zygopetalum maculatum,-43.937801361084,-19.9207992553711
Zygopetalum maculatum,-43.4075012207031,-20.0746994018555
Zygopetalum maculatum,-43.4075012207031,-20.0746994018555
Zygopetalum maculatum,-43.4075012207031,-20.0746994018555
Zygopetalum maculatum,-48.8456001281738,-26.3043994903564
Zygopetalum maculatum,-44.510186,-21.225761
Zygopetalum maculatum,-49.668056,-24.171111
Zygopetalum maculatum,-50.9494018554688,-24.2082996368408
Zygopetalum maculatum,-49.069167,-24.062778
Zygopetalum maculatum,-49.071944,-24.063333
Zygopetalum maculatum,-49.071944,-24.063333
Zygopetalum maculatum,-49.070833,-24.0625
Zygopetalum maculatum,-45.191667,-23.447778
Zygopetalum maculatum,-43.386389,-22.445833
Zygopetalum maculatum,-43.370278,-22.446111
Zygopetalum maculatum,-43.381944,-22.451111
Zygopetalum maculatum,-43.1786003112793,-22.5049991607666
Zygopetalum maculatum,-41.483611,-20.299167
Zygopetalum maculatum,-41.3664016723633,-21.0641994476318
Zygopetalum maculatum,-46.883333,-23.183333
Zygopetalum maculatum,-46.883333,-23.183333
Zygopetalum maculatum,-46.883333,-23.183333
Zygopetalum maculatum,-47.816667,-22.25
Zygopetalum maculatum,-46.883333,-23.183333
Zygopetalum maculatum,-46.883333,-23.183333
Zygopetalum maculatum,-47.816667,-22.25
Zygopetalum maculatum,-47.816667,-22.25
Zygopetalum maculatum,-47.816667,-22.25
Zygopetalum maculatum,-46.883333,-23.183333
Zygopetalum maculatum,-49.0553016662598,-25.3055992126465
Zygopetalum maculatum,-41.6857986450195,-20.6200008392334
Zygopetalum maculatum,-40.6591987609863,-20.3633003234863
Zygopetalum maculatum,-41.6671981811523,-20.5414009094238
Zygopetalum maculatum,-41.5358009338379,-20.3458003997803
Zygopetalum maculatum,-41.3664016723633,-21.0641994476318
Zygopetalum maculatum,-40.7461013793945,-20.040599822998
Zygopetalum maculatum,-40.3078002929688,-20.1285991668701
Zygopetalum maculatum,-41.8683013916016,-20.4333000183105
Zygopetalum maculatum,-41.8683013916016,-20.4333000183105
Zygopetalum maculatum,-46.3367004394531,-22.028600692749
Zygopetalum maculatum,-44.584167,-21.606667
Zygopetalum maculatum,-44.586111,-21.603889
Zygopetalum maculatum,-44.586139,-21.60375
Zygopetalum maculatum,-49.8294,-25.3023
Zygopetalum maculatum,-49.0036,-25.3887
Zygopetalum maculatum,-48.4919,-25.0906
Zygopetalum maculatum,-49.6356010437012,-25.5839004516602
Zygopetalum maculatum,-50.0971984863281,-24.9178009033203
Zygopetalum maculatum,-48.845472,-25.231889
Zygopetalum maculatum,-49.6585,-24.162889
Zygopetalum maculatum,-41.383333,-12.566667
Zygopetalum maculatum,-41.383333,-12.566667
Zygopetalum maculatum,-41.383333,-13
Zygopetalum maculatum,-41.883333,-13.333333
