MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:09:47-03,UFES,SAMES,3747,PreservedSpecimen,Plantae,,,,Plantaginaceae,Achetaria,crenata,,Achetaria crenata,(Ronse & Philcox) V.C.Souza,,,,,,"Pinto Junior,H.V.; Luber,J.;Tuler,A.C.",271,,2016,04,20,,,Brasil,Espírito Santo,Águia Branca,,-40.7402992248535,-18.9831008911133,-406622222.0,-189813889.0,19701,,,,,,,,,,,,,SAMES03747,SAMES03747,auto
2021-03-24 17:09:47-03,UFES,SAMES,6559,PreservedSpecimen,Plantae,,,,Plantaginaceae,Achetaria,crenata,,Achetaria crenata,(Ronse & Philcox) V.C.Souza,,,,,,"Menezes,L.F.T.; Yoama,E.;Ribeiro,F.;Oliveira,S.M.",2365,,2017,05,17,,,Brasil,Espírito Santo,Águia Branca,,-40.7402992248535,-18.9831008911133,-407397222.0,-189850000.0,19701,,,,,,,,,,,,Flores azuis Habito: Erva,SAMES06559,,auto
2021-03-24 17:09:47-03,UFES,SAMES,1670,PreservedSpecimen,Plantae,,,,Plantaginaceae,Achetaria,crenata,,Achetaria crenata,(Ronse & Philcox) V.C.Souza,,,,,,"Pinto Junior, H.V.; Covre, C.",257,,2016,03,21,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Vertente leste da Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,Herbácea habitando ilha de vegetação em afloramento rochoso; folhas verdes; flores roxas com centro azulado; sol; abundante.,SAMES01670,,auto
2021-03-24 17:09:48-03,UFES,SAMES,8234,PreservedSpecimen,Plantae,,,,Plantaginaceae,Achetaria,crenata,,Achetaria crenata,(Ronse & Philcox) V.C.Souza,,,,,,"Pinto Junior,H.V.; W.S.Justiuno.;T.Sperandio.;Menezes,L.F.T.",412,,2018,03,22,,,Brasil,Espírito Santo,Vila Pavão,PEDRA DO VIADINHO.,-40.611400604248,-18.6149997711182,-405558333.0,-186230556.0,19647,,,,,,,,,,,,"Folhas verdes, flores azuladas, sol, habitando ilha de vegetação inselberg.",SAMES08234,,auto
2021-06-30 13:27:36-03,MBM,MBM,90003,S,Plantae,,,,Scrophulariaceae,Achetaria,crenata,,Achetaria crenata,(Ronse & Philcok) V.C. Souza,"Souza, V.C.",,,,,"Hatschbach, G.",47813,,,,,,Southern America,Brazil,Minas Gerais,Carlos Chagas,"Rod. BR-418, km 112",-40.7663993835449,-17.7031002044678,0,0,46387,,,,,,,,,,,,,MBM090003,MBM090003,auto
2021-06-30 13:27:36-03,MBM,MBM,83223,S,Plantae,,,,Scrophulariaceae,Achetaria,crenata,,Achetaria crenata,(Ronse & Philcok) V.C. Souza,"Souza, V.C.",,,,,"Hatschbach, G.",46331,,,,,,Southern America,Brazil,Minas Gerais,Medina,Rod. BR-116,-41.4768981933594,-16.2224998474121,0,0,44236,,,,,,,,,,,,,MBM083223,MBM083223,auto
2021-05-13 11:01:30-03,Cenargen,CEN,106103,PreservedSpecimen,Plantae,,,,Plantaginaceae,Achetaria,crenata,,Achetaria crenata,(Ronse & Philcox) V.C.Souza,G. M. Antar,2018,09,,,Anderson Cássio Sevilha,7230,,2018,03,06,,,Brasil,MG,BERIZAL,Topo da Serra do Anastácio.,-41.779444,-15.757222,-41.779444,-15.757222,,,1422,1422,,,,Exsicatas,4,,,,Ocorrendo sobre os sulcos de rocha. Topo de serra.,CEN00106103,CEN00106103,
2021-06-13 16:41:00-03,NY,NYBG,911439,PreservedSpecimen,Plantae,Magnoliophyta,,Lamiales,Plantaginaceae,Achetaria,crenata,,Achetaria crenata,(Roscoe & Philcox) V.C.Souza,V. C. Souza,,,,,G. G. Hatschbach,46331,,1983,05,13,,South America,Brazil,Minas Gerais,Medina,Rod. BR-116,-41.4767,-16.2225,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994540' target='other'> <mi>dwc_moreinfo</mi></a>,NY00911439,NY00911439_01,
2021-02-08 13:25:41-03,UFBA-IMS,HVC,1855,PreservedSpecimen,Plantae,,,,Plantaginaceae,Achetaria,crenata,,Achetaria crenata,(Ronse & Philcox) V.C.Souza,,,,,,M. Carmo; A.K.A. Santos,290,,2017,11,22,,,Brasil,Bahia,Boa Nova,Lajedo dos Beija-Flores. Lajedo dos Beija-Flores.,-40.215,-14.332222,40º12'54''W,14º19'56''S,,,880,880,,,,,,,,,"Folhas verde claro levemente discolores. Flores roxas rajadas de branco. Habitat: Caatinga - vegetação de afloramento rochoso, rodeado por mata de cipó. Habito: Herbáceo",HVC00001855,,
2019-11-13 11:28:28-03,USP,SPF,115629,PreservedSpecimen,Plantae,,,,Plantaginaceae,Achetaria,crenata,,Achetaria crenata,(Ronse & Philcox) V.C.Souza,"Souza, VC",1995,,,,"Hatschbach, G",47813,,1984,04,11,,,Brasil,Minas Gerais,Carlos Chagas,,-40.7663993835449,-17.7031002044678,0,0,46387,,,,,,,,,,,,,SPF00115629,SPF00115629,auto
