MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-12-04 15:26:31-03,PUCPR,HUCP,23911,S,Plantae,Monocotiledonea,,,Orchidaceae,Acianthera,prolifera,,Acianthera prolifera,(Herb. ex Lindl.) Pridgeon & M.W. Chase.,"Smidt, EC",,,,,"Almeida, ABR",012,,2015,01,12,,,Brasil,Paraná,Paranaguá,,-48.5092010498047,-25.5200004577637,0,0,24916,,,,,,,,,,,,,HUCP00002883,HUCP00002883,auto
2019-12-04 15:26:31-03,PUCPR,HUCP,23908,S,Plantae,Monocotiledonea,,,Orchidaceae,Acianthera,prolifera,,Acianthera prolifera,(Herb. ex Lindl.) Pridgeon & M.W. Chase.,"Smidt, EC",,,,,"Almeida, ABR",014,,2016,01,12,,,Brasil,Paraná,Paranaguá,,-48.5092010498047,-25.5200004577637,0,0,24916,,,,,,,,,,,,,HUCP00002833,HUCP00002833,auto
2019-12-04 15:26:31-03,PUCPR,HUCP,24856,S,Plantae,Monocotiledonea,,,Orchidaceae,Acianthera,prolifera,,Acianthera prolifera,(Herb. ex Lindl.) Pridgeon & M.W. Chase.,"Smidt, EC",,,,,"Koene, F M",2,,2015,09,16,,,Brasil,Santa Catarina,Garuva,Proveniente de orquidário e cultivada na UFPR,-48.8549995422363,-26.0266990661621,0,0,22441,,,,,,,,,,,,,HUCP00024856,HUCP00024856,auto
2019-12-04 15:26:31-03,PUCPR,HUCP,24852,S,Plantae,Monocotiledonea,,,Orchidaceae,Acianthera,prolifera,,Acianthera prolifera,(Herb. ex Lindl.) Pridgeon & M.W. Chase.,"Smidt, EC",2015,09,,,"Oliveira, L R L; Koene, F M",1,,2015,09,09,,,Brasil,Santa Catarina,Garuva,Proveniente de orquidário e cultivada na UFPR,-48.8549995422363,-26.0266990661621,0,0,22441,,,,,,,,,,,,,HUCP00024852,HUCP00024852,auto
2021-03-24 17:09:42-03,UFES,SAMES,1675,PreservedSpecimen,Plantae,,,,Orchidaceae,Acianthera,prolifera,,Acianthera prolifera,(Herb. ex Lindl.) Pridgeon & M.W.Chase,,,,,,"Pinto Junior, H.V.; Covre, C.",260,,2016,03,21,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Vertente leste da Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,Espécie habitando ilha de vegetação em afloramento rochoso; folhas vermelho-vinho; flores vinho; abundante; sol.,SAMES01675,,auto
2021-02-11 17:20:51-03,UFPR,UPCB,76395,PreservedSpecimen,Plantae,,,,Orchidaceae,Acianthera,prolifera,,Acianthera prolifera,(Herb. ex Lindl.) Pridgean & M.W.Chase.,"Moraes, M.",2012,10,05,,"Fontana, A.P.",4861,,2008,02,19,,,Brasil,Espírito Santo,Nova Venécia,"Serra de Baixo, Pedra do Elefante. Inselbergue. Elev.: 409-653m.",-40.463,-18.767,-40.463,-18.767,,,,,,,,,,,,,Rupestre no sol. Folhas avermelhadas. Flores vinho. Frutos vinho. Material prensado em álcool..,,,
2021-02-11 17:20:51-03,UFPR,UPCB,94128,PreservedSpecimen,Plantae,,,,Orchidaceae,Acianthera,prolifera,,Acianthera prolifera,Herb. Ex Lindl,,,,,,Forzza R. C. | Amorim A. M.| Paixão J. L. | Gomes L. C. J.,5190,,2008,07,17,,,Brasil,Espírito Santo,Nova Venécia,Área de proteção Ambientl da Pedra do Elefante. Pedra do Elefante. Inselbergue.,-40.443889,-18.776944,-40.443889,-18.776944,,,400,400,,,,,,,,,Erva rupícola. Folhas verdes a vináceas. Flores atro-vináceas. Frutos verdes.,UPCB0042358,UPCB0042358,
2019-06-10 10:11:19-03,FZB-BH,BHZB,3000,S,Plantae,,,,Orchidaceae,Acianthera,prolifera,,Acianthera prolifera,,R.C.Mota,2008,04,,,"Ordones, J.",572,,2000,12,15,,,Brasil,MG,Catas Altas,Caraça/ Campo de Fora,-43.4075012207031,-20.0746994018555,,,11966,,,,,,,,,,,,,,,auto
2019-06-10 10:11:19-03,FZB-BH,BHZB,1070,S,Plantae,,,,Orchidaceae,Acianthera,prolifera,,Acianthera prolifera,,R.Mota,2008,04,,,"Grandi, T.S.M.",,,1990,03,28,,,Brasil,MG,Moeda,Serra da Moeda,-44.0527992248535,-20.3330993652344,,,14750,,1500,1500,,,,,,,,,Coletada na 1ª estação. Grupo da formação Itabira-Itabirito hematítico com zonas manganesíferas. Área degradada pela mineração.3,,,auto
2019-12-09 10:46:11-03,UFSJ,HUFSJ,10862,S,Plantae,,,,Orchidaceae,Acianthera,prolifera,,Acianthera prolifera,(Herb. ex Lindl.) Pridgeon & M.W.Chase,"Costa, MTR",2019,06,,,"Costa, MTR; Sobral, M; Alves, R; Carvalho, W; Cardoso, T; Valadares, M",1652,,2019,06,28,,,Brasil,Minas Gerais,São João del-Rei,"Serra do Lenheiro, topo do campo rupestre seguindo na trilha para o areal",-44.510186,-21.225761,-44.510186,-21.225761,,,117,117,,,,,,,,,"Erva rupícola, flores rosadas a avermelhadas, fruto",HUFSJ010862,,
