MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-06-30 13:08:41-03,MBM,MBM,422486,S,Plantae,,,,Bromeliaceae,Alcantarea,extensa,,Alcantarea extensa,(L.B. Sm.) J.R. Grant,"Taufer, M.",2019,05,24,,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.",3302,,2019,03,28,,Southern America,Brazil,Espírito Santo,Cachoeiro de Itapemirim,"Pedra do Cabrito, início da trilha",-41.326944,-20.614167,-41.326944,-20.614167,,,930,930,,,,,,,,,"Erva rupícola; inflorescência com 1,8 m de altura.; Refúgio Vegetacional Altomontano (campo de altitude).",MBM422486,,
2021-06-30 13:08:41-03,MBM,MBM,195460,S,Plantae,,,,Bromeliaceae,Alcantarea,extensa,,Alcantarea extensa,(L.B. Sm.) J.R. Grant,"Leme, E.M.C.",,,,,"Hatschbach, G.; Barboza, E.; Barboza, E.",65296,,1996,07,07,,Southern America,Brazil,Espírito Santo,Alfredo Chaves,Estrada São Bento de Urânia a Castelinho,-40.749698638916,-20.6350002288818,0,0,32447,,,,,,,,,,,,,MBM195460,MBM195460,auto
2019-06-10 10:10:27-03,FZB-BH,BHZB,5612,S,Plantae,,,,Bromeliaceae,Alcantarea,extensa,,Alcantarea extensa,,,,,,,"Giacomin, L.L.",,,2006,01,04,,,Brasil,MG,Belo Horizonte,FZB/BH - Jardim Botânico,-43.937801361084,-19.9207992553711,,,17082,,,,,,,,,,,,"Folhas 54 cm (A). Exsicata subdividida em (A, B, C, D). Cultivado. Unicata. Doação de duplicata para Herbário RB em Abril de 2017",,,auto
2021-06-25 18:18:33-03,UFV,VIC,23791,PreservedSpecimen,Plantae,,,,Bromeliaceae,Alcantarea,extensa,,Alcantarea extensa,(L.B.Sm.) J.R.Grant,"Paula, C.C. de",1999,10,22,,"Goldschmidt, A.",19,,1999,09,22,,,Brasil,Minas Gerais,Araponga,"Parque Estadual da Serra do Brigadeiro, Área de Campo de Altitude, num altitude em torno de 1600 metros.",-42.5208015441895,-20.6667003631592,0,0,16385,,,,,,,,,,,,"Colônias formadas por cerca de 15 rosetas, havendo muitas colônia no local. Planta encontrada em fase de frutificação",VIC023791,VIC023791,auto
2021-06-25 18:18:33-03,UFV,VIC,13840,PreservedSpecimen,Plantae,,,,Bromeliaceae,Alcantarea,extensa,,Alcantarea extensa,(L.B.Sm.) J.R.Grant,"Leme, E.M.C.",1995,05,21,,"Paula, C.C. de",1008,,1995,02,02,,,Brasil,Minas Gerais,Araponga,"Parque Estadual da Serra do Brigadeiro, Estouro, trilha do Pico do Boné, encosta rochosa a +- 1 km da casa do Eugênio",-42.5208015441895,-20.6667003631592,0,0,16385,,,,,,,,,,,,"Rupícola, heliófila; flores com pétalas e estames brancos, inflorescência com +- 1m.",VIC013840,VIC013840,auto
2021-06-25 18:18:33-03,UFV,VIC,32728,PreservedSpecimen,Plantae,,,,Bromeliaceae,Alcantarea,extensa,,Alcantarea extensa,(L.B.Sm.) J.R.Grant,"Pereira, T.A.R.",2010,01,28,,"Pereira, T.A.R.; Pasini, S.D.; Guimarães, C.F.",s.n.,,2010,01,27,,,Brasil,Minas Gerais,Araponga,"Pico do Grama, Setor Sede do Parque Estadual da Serra do Brigadeiro",-42.5208015441895,-20.6667003631592,0,0,16385,,,,,,,,,,,,"Planta rupícola, folhas largas, manchas vinicolores, inflorescência composta, atingindo mais de 1,5 m.",VIC032728,,auto
2021-06-25 18:18:33-03,UFV,VIC,32740,PreservedSpecimen,Plantae,,,,Bromeliaceae,Alcantarea,extensa,,Alcantarea extensa,(L.B.Sm.) J.R.Grant,"Pereira, T.A.R.",2010,01,28,,"Pereira, T.A.R.; Pasini, S.D.; Guimarães, C.F.",s.n.,,2010,01,27,,,Brasil,Minas Gerais,Araponga,"Pico do Grama, Setor Sede do Parque Estadual da Serra do Brigadeiro",-42.5208015441895,-20.6667003631592,0,0,16385,,,,,,,,,,,,"Planta rupícola, folhas largas, manchas vinicolores, escapo ereto, inflorescência composta, aprox. 1,5 m. de altura, pétalas longas, lineares",VIC032740,,auto
2021-06-25 18:18:33-03,UFV,VIC,16511,PreservedSpecimen,Plantae,,,,Bromeliaceae,Alcantarea,extensa,,Alcantarea extensa,(L.B.Sm.) J.R.Grant,"Paula, C.C. de",1996,11,20,,"Paula, C.C. de",1133,,1996,06,21,,,Brasil,Minas Gerais,Fervedouro,"Parque Estadual da Serra do Brigadeiro, Fazenda da Neblina, numa encosta rochosa próxima à fazenda",-42.2789001464844,-20.7255992889404,0,0,20038,,,,,,,,,,,,"Rupícola, heliófila, infloresc?ncia simples e curva",VIC016511,VIC016511,auto
2021-06-25 18:18:33-03,UFV,VIC,15666,PreservedSpecimen,Plantae,,,,Bromeliaceae,Alcantarea,extensa,,Alcantarea extensa,(L.B.Sm.) J.R.Grant,"Paula, C.C. de",1996,03,20,,"Paula, C.C. de",1092,,1996,01,12,,,Brasil,Minas Gerais,Sericita,"Parque Estadual da Serra do Brigadeiro, Serra de Matipó, trilha junto ao córrego São José numa rocha próxima a trilha",-42.4818992614746,-20.4738998413086,0,0,13633,,,,,,,,,,,,"Rupícola, heliófila inflorescência com +- 1,0 m; brácteas verdes com margens e base avermelhadas, pétals brancas finas e flexíveis; estames exertos, brancos.",VIC015666,VIC015666,auto
2021-06-25 18:18:33-03,UFV,VIC,26367,PreservedSpecimen,Plantae,,,,Bromeliaceae,Alcantarea,extensa,,Alcantarea extensa,(L.B.Sm.) J.R.Grant,"Paula, C.C. de",2002,02,27,,"Paula, C.C. de; Silva, R.R. da",s.n.,,2002,02,27,,,Brasil,Minas Gerais,Viçosa,"UFV, Vila Gianeti, coleção UPCB",-42.8819007873535,-20.7539005279541,0,0,13937,,,,,,,,,,,,"Planta florida com cerca de 1,80 m; brácteas escapais vinho; escapo verde; brácteas primárias de verde a vinho; brácteas florais verdes; sépalas vinho; pétalas amarelas.",VIC026367,VIC026367,auto
2020-04-27 16:09:03-03,UFES,VIES,21391,S,Plantae,,,,Bromeliaceae,Alcantarea,extensa,,Alcantarea extensa,(L.B.Sm.) J.R.Grant,"Couto, D.R.",2010,01,29,,"Couto, D.R.; Favoreto, F.C.",1420,,2010,01,29,,,Brasil,Espírito Santo,Cachoeiro de Itapemirim,Burarama. Complexo rupestre de granito. Afloramento acima da torre de televisão.,-41.1128005981445,-20.8488998413086,,,35694,,150,150,,,,,,,,,,VIES021391,VIES021391 VIES021391_1,auto
