MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-05 16:09:36-03,MN,R-TIPOS,211315,PreservedSpecimen,Plantae,,,,Bromeliaceae,Alcantarea,patriae,,Alcantarea patriae,Versieux & Wand.,"Versieux, L.M.",,,,Isotypus,"Versieux, L.M.; Cavalcante, A.M. & Trindade, T.",365,,2007,01,18,,,Brasil,Espírito Santo,Jerônimo Monteiro,Vila Cruzeiro,-41.365306,-20.796278,41°21'55.1W,20°47'46.6S,,,136,136,,,,,,,,,,R000211315,R000211315_001 R000211315_002,
2021-03-05 16:09:36-03,MN,R-TIPOS,211315a,PreservedSpecimen,Plantae,,,,Bromeliaceae,Alcantarea,patriae,,Alcantarea patriae,Versieux & Wand.,"Versieux, L.M.",,,,Isotypus,"Versieux, L.M.; Cavalcante, A.M. & Trindade, T.",365,,2007,01,18,,,Brasil,Espírito Santo,Jerônimo Monteiro,Vila Cruzeiro,-41.365306,-20.796278,41°21'55.1W,20°47'46.6S,,,136,136,,,,,,,,,,R000211315a,R000211315a_001,
2021-06-10 16:17:50-03,UFES,VIES,21395,S,Plantae,,,,Bromeliaceae,Alcantarea,patriae,,Alcantarea patriae,Versieux & Wand.,"Couto, D.R.",2012,03,28,,"Couto, D.R.; Favoreto, F.C.",,,2012,03,28,,,Brasil,Espírito Santo,Cachoeiro de Itapemirim,Burarama.,-41.1128005981445,-20.8488998413086,,,35694,,,,,,,,,,,,,VIES021395,VIES021395,auto
2019-06-27 10:24:19-03,UFES,VIES,21397,S,Plantae,,,,Bromeliaceae,Alcantarea,patriae,,Alcantarea patriae,Versieux & Wand.,Versieux,2012,,,,"Couto, D.R.; Favoreto, F.C.",2135,,2012,03,28,,,Brasil,Espírito Santo,Cachoeiro de Itapemirim,Burarama.,-41.1128005981445,-20.8488998413086,,,35694,,,,,,,,,,,,,VIES021397,VIES021397 VIES021397_1,auto
2020-04-27 16:09:03-03,UFES,VIES,21573,S,Plantae,,,,Bromeliaceae,Alcantarea,patriae,,Alcantarea patriae,Versieux & Wand.,"Couto, D.R.",2010,01,29,,"Couto, D.R.; Favoreto, F.C.",1421,,2010,01,29,,,Brasil,Espírito Santo,Cachoeiro de Itapemirim,Burarama.,-41.1128005981445,-20.8488998413086,,,35694,,,,,,,,,,,,,VIES021573,VIES021573 VIES021573_1,auto
2020-04-27 16:09:03-03,UFES,VIES,21658,S,Plantae,,,,Bromeliaceae,Alcantarea,patriae,,Alcantarea patriae,Versieux & Wand.,"Favoreto, F.C.",2012,05,,,"Favoreto, F.C.; Couto, D.R.",149,,2012,03,28,,,Brasil,Espírito Santo,Cachoeiro de Itapemirim,Burarama.,-41.1128005981445,-20.8488998413086,,,35694,,,,,,,,,,,,,VIES021658,VIES021658 VIES021658_1,auto
2019-06-27 10:24:19-03,UFES,VIES,30888,S,Plantae,,,,Bromeliaceae,Alcantarea,patriae,,Alcantarea patriae,Versieux & Wand.,,,,,,"Campanharo, I.F.; Favoreto, F.C.",34,,2012,06,15,,,Brasil,Espírito Santo,Cachoeiro de Itapemirim,Burarama.,-41.1128005981445,-20.8488998413086,,,35694,,100,100,,,,,,,,,,VIES030888,VIES030888 VIES030888_1 VIES030888_2 VIES030888_3 VIES030888_4 VIES030888_5,auto
2020-04-27 16:09:03-03,UFES,VIES,21390,S,Plantae,,,,Bromeliaceae,Alcantarea,patriae,,Alcantarea patriae,Versieux & Wand.,"Couto, D.R.",2011,01,15,,"Couto, D.R.; Pinto-Júnior, H.",1792,,2011,01,05,,,Brasil,Espírito Santo,Mimoso do Sul,Pedra dos Pontões.,-41.3664016723633,-21.0641994476318,,,29430,,,,,,,,,,,,,VIES021390,VIES021390 VIES021390_1 VIES021390_2 VIES021390_3 VIES021390_4,auto
2020-04-27 16:09:03-03,UFES,VIES,21319,S,Plantae,,,,Bromeliaceae,Alcantarea,patriae,,Alcantarea patriae,Versieux & Wand.,"Couto, D.R.",2012,04,10,,"Couto, D.R.; Pereira, M.C.A.; et al.",1402,,2010,01,14,,,Brasil,Espírito Santo,Mimoso do Sul,Pedra dos Pontões.,-41.3664016723633,-21.0641994476318,,,29430,,,,,,,,,,,,,VIES021319,VIES021319 VIES021319_1,auto
2021-03-15 18:26:13-03,USP,SPF,183000,PreservedSpecimen,Plantae,,,,Bromeliaceae,Alcantarea,patriae,,Alcantarea patriae,Versieux & Wand.,"Versieux, LM",,,,isotype,"Versieux, LM; Calvente, AM; Trindade, T",365,,2007,01,18,,,Brasil,Espírito Santo,Jerônimo Monteiro,"Espírito Santo: Jerônimo Monteiro, Vila Cruzeiro, inselberg.",-41.365278,-20.796111,-41.365278,-20.796111,,,136,136,,,,,,,,,"Flor, escapo e folha em álcool. DNA.; Planta rupícola, heliófila, florida ca. 3,3m, roseta ca. 1,5x1,6 m. Lâmina verde, concolor, com estrias transversais de cera esbranquiçada, sem bordos vinosos, levemente plicada. Ápice torcido. B",SPF00183000,,
