MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:08:47-03,UFES,SAMES,942,PreservedSpecimen,Plantae,,,,Bromeliaceae,Alcantarea,trepida,,Alcantarea trepida,Versieux & Wand.,"Forzza,R.C.",2017,09,03,,"Coelho,R.; Fanticelle,B.S.;PintoJunior,H.V.;Ribeiro,I.F.",422,,2015,04,06,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Vegetação no alto de inselberg.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,Sobre pedra na vertente sul.,SAMES00942,,auto
2021-03-05 16:09:36-03,MN,R-TIPOS,211313,PreservedSpecimen,Plantae,,,,Bromeliaceae,Alcantarea,trepida,,Alcantarea trepida,Versieux & Wand.,,,,,Isoparatypus,"Fontana, A.P.; Goldenberg, R.; Amori, A.M.; Fraga, C.N.; Esgario, E. & São-Mateus, W.",5241,,2008,05,09,,,Brasil,Espírito Santo,Nova Venécia,,-40.466667,-18.8,40°28'00W,18°48'00S,,,314,314,,,,,,,,,,R000211313,R000211313_001 R000211313_002,
2021-06-13 16:41:00-03,NY,NYBG,02169143,PreservedSpecimen,Plantae,Magnoliophyta,,Poales,Bromeliaceae,Alcantarea,trepida,,Alcantarea trepida,Versieux & Wand.,,,,,,A. P. Fontana,5241,,2008,05,09,,South America,Brazil,Espírito Santo,Nova Venécia,"Área de Proteção Ambiental da Pedra do Elefante. Serra de Baixo, beira da rodovia Nova Venécia - São Gabriel da Palha, propriedade do Sr. Valdemar.",-40.4667,-18.8,,,,,314,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2319443' target='other'> <mi>dwc_moreinfo</mi></a>,NY02169143,NY02169143_01,
2021-06-13 16:41:00-03,NY,NYBG,2169144,PreservedSpecimen,Plantae,Magnoliophyta,,Poales,Bromeliaceae,Alcantarea,trepida,,Alcantarea trepida,Versieux & Wand.,,,,,,A. P. Fontana,5241,,2008,05,09,,South America,Brazil,Espírito Santo,Nova Venécia,"Área de Proteção Ambiental da Pedra do Elefante. Serra de Baixo, beira da rodovia Nova Venécia - São Gabriel da Palha, propriedade do Sr. Valdemar.",-40.4667,-18.8,,,,,314,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2319445' target='other'> <mi>dwc_moreinfo</mi></a>,NY02169144,NY02169144_01,
2020-04-27 16:09:03-03,UFES,VIES,26386,S,Plantae,,,,Bromeliaceae,Alcantarea,trepida,,Alcantarea trepida,Versieux & Wand.,"Coser, T.S.",2011,06,07,,"Coser, T.S.; Sarnaglia Júnior, V.B. & Wangler, M.S.",457,,2011,06,04,,,Brasil,Espírito Santo,Colatina,,-40.6305999755859,-19.539400100708,,,57036,,,,,,,,,,,,,VIES026386,VIES026386,auto
2020-04-27 16:09:03-03,UFES,VIES,40939,S,Plantae,,,,Bromeliaceae,Alcantarea,trepida,,Alcantarea trepida,Versieux & Wand.,"Pena, N.T.L.",2015,06,11,,"Pena, N.T.L.; Freitas, J.; Silva, L.A.; Souza, W.O.; Luber, J. & Sossai, B.G.",152,,2015,05,25,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,VIES040939,VIES040939,auto
2020-04-27 16:09:03-03,UFES,VIES,40902,S,Plantae,,,,Bromeliaceae,Alcantarea,trepida,,Alcantarea trepida,Versieux & Wand.,"Pena, N.T.L.",2015,06,11,,"Pena, N.T.L.; Freitas, J.; Silva, L.A.; Souza, W.O.; Luber, J. & Sossai, B.G.",151,,2015,05,25,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,VIES040902,VIES040902,auto
2020-04-27 16:09:03-03,UFES,VIES,40942,S,Plantae,,,,Bromeliaceae,Alcantarea,trepida,,Alcantarea trepida,Versieux & Wand.,"Pena, N.T.L.",2015,06,11,,"Pena, N.T.L.; Freitas, J.; Silva, L.A.; Souza, W.O.; Luber, J. & Sossai, B.G.",157,,2015,05,25,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,VIES040942,VIES040942,auto
2021-07-05 15:24:19-03,MN,R,215821,PreservedSpecimen,Plantae,,,,Bromeliaceae,Alcantarea,trepida,,Alcantarea trepida,Versieux & Wand.,,,,,,"Coser, T.S. 621; Francino, D.M.T.",,,2012,02,29,,,Brasil,Espírito Santo,Pancas,,-40.8513984680176,-19.2250003814697,,,32475,,,,,,,,,,,,,R010004453,R010004453,auto
2019-11-21 10:02:30-03,IBt,SP,399631,S,Plantae,,,,Bromeliaceae,Alcantarea,trepida,,Alcantarea trepida,Versieux & Wand.,"Versieux, LM",2008,,,Holotype,"Versieux, LM; Calvente, AM",396,,2007,01,27,,,Brasil,Espírito Santo,Baixo Guandú,Inselberg em pastagem,-40.843722,-19.490778,-40.843722,-19.490778,,,592,592,,,,,,,,,,SP001767,SP001767 SP001767_01,
2019-11-21 10:02:30-03,IBt,SP,399632,S,Plantae,,,,Bromeliaceae,Alcantarea,trepida,,Alcantarea trepida,Versieux & Wand.,"Wanderley, MGL; Versieux, LM",2008,,,Paratype,"Versieux, LM; Calvente, AM",394,,2007,01,27,,,Brasil,Espírito Santo,Baixo Guandú,,-40.843611,-19.490556,-40.843611,-19.490556,,,592,592,,,,,,,,,,SP003950,SP003950,
2019-11-21 10:02:30-03,IBt,SP,399632a,Extra,Plantae,,,,Bromeliaceae,Alcantarea,trepida,,Alcantarea trepida,Versieux & Wand.,"Wanderley, MGL; Versieux, LM",2008,,,Paratype,"Versieux, LM; Calvente, AM",394,,2007,01,27,,,Brasil,Espírito Santo,Baixo Guandú,,-40.843611,-19.490556,-40.843611,-19.490556,,,592,592,,,,,,,,,,SP003951,SP003951,
2019-11-21 10:02:30-03,IBt,SP,399633,S,Plantae,,,,Bromeliaceae,Alcantarea,trepida,,Alcantarea trepida,Versieux & Wand.,"Wanderley, MGL; Versieux, LM",2008,,,Paratype,"Versieux, LM; Calvente, AM",395,,2007,01,27,,,Brasil,Espírito Santo,Baixo Guandú,,-40.843611,-19.490556,-40.843611,-19.490556,,,592,592,,,,,,,,,,SP003948,SP003948,
2019-11-21 10:02:30-03,IBt,SP,399633a,Extra,Plantae,,,,Bromeliaceae,Alcantarea,trepida,,Alcantarea trepida,Versieux & Wand.,"Wanderley, MGL; Versieux, LM",2008,,,Paratype,"Versieux, LM; Calvente, AM",395,,2007,01,27,,,Brasil,Espírito Santo,Baixo Guandú,,-40.843611,-19.490556,-40.843611,-19.490556,,,592,592,,,,,,,,,,SP003949,SP003949,
2020-12-17 09:29:05-03,IBt,SP,415194,S,Plantae,,,,Bromeliaceae,Alcantarea,trepida,,Alcantarea trepida,Versieux & Wand.,,,,,Paratype,"Fontana, AP; et al.",5241,,2008,05,09,,,Brasil,Espírito Santo,Nova Venécia,"APA da Pedra do Elefante, Serra de Baixo, beira da rodovia Nova Venécia - São Gabriel da Palha",-40.466667,-18.8,-40.466667,-18.8,,,314,314,,,,,,,,,,SP003947,SP003947,
2020-07-24 17:21:05-03,MBML,MBML-HERBARIO,42721,,Plantae,,,,Bromeliaceae,Alcantarea,aff. trepida,,Alcantarea aff. trepida,Versieux & Wand.,T.S. Coser/09-06-2011,,,,,T.S. Coser; V.B. Sarnaglia-Junior & M.S. Wangler,495,,2011,06,09,,,Brasil,Espírito Santo,Itaguaçu,Afloramento rochoso entre o trecho Itarana a Baixo Guandu,-40.859556,-19.638722,"40W51'34,4","19S38'19,4",,,,,,,,,,,,,"Na população indivíduos ocorrendo com inflorescência simples ou ramificada (até três ramos). Folhas verdes. Bracteas escapais e raquis verdes com manchas vináceas. Bracteas florais castanho-amareladas, sépalas verdes a levemente amarel",MBML042721,MBML042721_1 MBML042721_2 MBML042721_3,
2020-07-10 09:44:23-03,MBML,MBML-HERBARIO,25189,,Plantae,,,,Bromeliaceae,Alcantarea,trepida,,Alcantarea trepida,Versieux & Wand.,L. Versieux (SP)/X-2008,,,,,A. P. Fontana; et al,1389,,2005,04,23,,,Brasil,Espírito Santo,Itaguaçu,Pedra do Caparaó,-40.981111,-19.741389,40W58'52,19S44'29,,,,,,,,,,,,,"Rupestre, heliófila; folhas verdes com base branca amarelada; infl. Com 3m; brácteas das flores com base verde e no meio amarelado e ápice vermelho; flores com cálice verde com meio amarelado e ápice vermelho, corola amarela e estames",MBML025189,MBML025189,
2020-07-10 09:44:23-03,MBML,MBML-HERBARIO,36619,,Plantae,,,,Bromeliaceae,Alcantarea,trepida,,Alcantarea trepida,Versieux & Wand.,T.S. Coser/20-06-2011,,,,PARATIPO,R. C. Forzza; et al,5072,,2008,02,18,,,Brasil,Espírito Santo,Nova Venécia,Área de Proteção Ambiental da Pedra do Elefante,-40.446389,-18.782778,40W26'47,18S46'58,,,,,,,,,,,,,,MBML036619,MBML036619_1 MBML036619_2,
2020-07-10 09:44:23-03,MBML,MBML-HERBARIO,42635,,Plantae,,,,Bromeliaceae,Alcantarea,trepida,,Alcantarea trepida,Versieux & Wand.,T.S. Coser,,,,,T.S. Coser; D.M.T. Francino,621,,2012,02,29,,,Brasil,Espírito Santo,Pancas,Caminho para a rampa de vôo livre,-40.876667,-19.231111,40W52'36,19S13'52,,,,,,,,,,,,,"Saxícola. Folhas verdes com bainhas castanhas, brácteas escapais, estéreis, florais castanho amareladas, cerosas, ramos verdes. Sépalas verdes, pétalas marrom claro",MBML042635,MBML042635_1 MBML042635_2,
2020-07-10 09:44:23-03,MBML,MBML-HERBARIO,34559,,Plantae,,,,Bromeliaceae,Alcantarea,trepida,,Alcantarea trepida,Versieux & Wand.,T.S. Coser/20-06-2011,,,,PARATIPO,C. N. de Fraga; et al,1920,,2008,02,19,,,Brasil,Espírito Santo,Cariacica,Reserva Biológica Duas Bocas,-40.457778,-18.766944,40W27'28,18S46'1,,,,,,,,,,,,,,MBML034559,MBML034559_1 MBML034559_2 MBML034559_3,
2019-07-09 12:56:01-03,F,FMNH-SEEDPLANTS,V0401858F,PreservedSpecimen,Plantae,Spermatophyta,Monocotyledoneae,,Bromeliaceae,Alcantarea,trepida,,Alcantarea trepida,,,,,,,A. P. Fontana et al.,5241,,2008,5,9,,South America,Brazil,,,,-52.8731,-10.8339,,,,,,,,,,,,,,,,V0401858F,V0401858F_01 V0401858F_02 V0401858F_03,
