MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:08:30-03,UFES,SAMES,245,PreservedSpecimen,Plantae,,,,Anemiaceae,Anemia,retroflexa,,Anemia retroflexa,Brade,,,,,,"Coelho,R.; PintoJunior,H.V.;Covre,C.",443,,2015,08,19,,,Brasil,Espírito Santo,Águia Branca,"Inselberg, área de coleta do Herval.",-40.7402992248535,-18.9831008911133,-407394444.0,-189972222.0,19701,,,,,,,,,,,,,SAMES00245,,auto
2021-03-24 17:08:30-03,UFES,SAMES,244,PreservedSpecimen,Plantae,,,,Anemiaceae,Anemia,retroflexa,,Anemia retroflexa,Brade,,,,,,"Coelho,R.; PintoJunior,H.V.;Covre,C.",444,,2015,08,19,,,Brasil,Espírito Santo,Águia Branca,"Inselberg, área de coleta do Herval.",-40.7402992248535,-18.9831008911133,-407394444.0,-189972222.0,19701,,,,,,,,,,,,,SAMES00244,,auto
2021-05-17 16:13:04-03,UNICAMP,UEC,57264,S,Plantae,Pteridophyta,,,Schizaeaceae,Anemia,retroflexa,,Anemia retroflexa,Brade,,,,,,"Krieger, L",20988,,1985,12,18,,,Brazil,Espírito Santo,Guarapari,,-40.5110015869141,-20.6580009460449,0,0,28401,,,,,,,,,,,,"Herbáceo. Frondes verde-claro. Muito frequente.; Restinga, sobre pedras, na encosta granítica.",UEC052705,UEC052705,auto
2021-05-17 16:13:04-03,UNICAMP,UEC,57505,S,Plantae,Pteridophyta,,,Schizaeaceae,Anemia,retroflexa,,Anemia retroflexa,Brade,,,,,,"Krieger, L",s.n.,,1982,06,06,,,Brazil,Espírito Santo,Guarapari,,-40.5110015869141,-20.6580009460449,0,0,28401,,,,,,,,,,,,"Na encosta da montanha, em locais sombreados da mata rala.",UEC052706,UEC052706,auto
2020-09-29 14:53:06-03,UFPR,UPCB,77455,PreservedSpecimen,Plantae,Polypodiophyta,,,Anemiaceae,Anemia,retroflexa,,Anemia retroflexa,Brade,"Labiak, P.H.",2014,08,,,"Forzza, R.C. | Amaral, J.A. | Pellegrini, M.O.O.",7536,,2013,04,19,,,Brasil,Espírito Santo,Itarana,"Alto Várzea Alegre, Pedra da Onça, Inselbergue.",-40.812778,-19.895833,-40.812778,-19.895833,,,,,,,,,,,,,Rupícola sobre tapete de musgo..,UPCB0000943,UPCB0000943,
2020-09-29 14:53:06-03,UFPR,UPCB,79062,PreservedSpecimen,Plantae,Polypodiophyta,,,Anemiaceae,Anemia,retroflexa,,Anemia retroflexa,Brade,"Labiak, P.H.",2013,03,,,"Labiak, P.H. | Pereira, J.B.S. | Reginato, M.",5446,,2013,02,06,,,Brasil,Minas Gerais,São Gonçalo do Rio Abaixo,Estação Ambiental de Peti.,-43.37,-19.896,-43.370,-19.896,,,,,,,,,,,,,Rupícola em local ensolarado..,UPCB0000942,UPCB0000942,
2020-09-29 14:53:06-03,UFPR,UPCB,79063,PreservedSpecimen,Plantae,Polypodiophyta,,,Anemiaceae,Anemia,retroflexa,,Anemia retroflexa,Brade,"Labiak, P.H.",2013,03,,,"Labiak, P.H. | Pereira, J.B.S. | Reginato, M.",5446,,2013,02,06,,,Brasil,Minas Gerais,São Gonçalo do Rio Abaixo,Estação Ambiental de Peti.,-43.37,-19.896,-43.370,-19.896,,,,,,,,,,,,,Rupícola em local ensolarado..,UPCB0000941,UPCB0000941,
2020-09-29 14:53:06-03,UFPR,UPCB,77459,PreservedSpecimen,Plantae,Polypodiophyta,,,Anemiaceae,Anemia,retroflexa,,Anemia retroflexa,Brade,"Labiak, P.H.",2014,08,,,"Forzza, R.C. | Amaral, J.A.",7761,,2014,02,12,,,Brasil,Espírito Santo,Lajinha,Monumento Natural dos Pontões Capixaba. Pedra do Sr. Vidal Krause. Inselbergue com capões de mata na base e no topo. Elev.: 245m.,-40.766111,-19.193333,-40.766111,-19.193333,,,,,,,,,,,,,"Erva terrestre, muito frequente..",UPCB0000944,UPCB0000944,
2021-06-13 16:41:00-03,NY,NYBG,1015618,PreservedSpecimen,Plantae,Pteridophyta,,Schizaeales,Anemiaceae,Anemia,retroflexa,,Anemia retroflexa,Brade,P. H. Labiak E.; F. B. Matos,,,,,P. H. Labiak E.,4139,,2007,07,16,,South America,Brazil,Espírito Santo,Afonso Cláudio,Serra Pelada. Pedra dos Três Pontões.,-41.0392,-20.0767,,,,,1050,1050,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1108946' target='other'> <mi>dwc_moreinfo</mi></a>,NY01015618,NY01015618_01,
2021-06-13 16:41:00-03,NY,NYBG,02064250,PreservedSpecimen,Plantae,Pteridophyta,,Schizaeales,Anemiaceae,Anemia,retroflexa,,Anemia retroflexa,Brade,J. T. Mickel,,,,,K. M. Redden,7979,,2002,04,23,,South America,Brazil,Minas Gerais,São Gonçalo do Rio Abaixo,Estac?o de Pesquisa Ambiental de PETI,-43.3653,-19.8925,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2450564' target='other'> <mi>dwc_moreinfo</mi></a>,NY02064250,NY02064250_01,
