MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-08-27 13:25:12-03,IAP,PACA-AGP,47662,PreservedSpecimen,Plantae,Magnoliophyta,Liliatae,Arales,Araceae,Anthurium,aff. crassipes,,Anthurium aff. crassipes,Engl.,Nadruz,2000,03,20,,"Reitz, R.",2907,,1948,01,22,,,Brasil,SC,Itajaí,Braco Serafim,-48.6618995666504,-26.9078006744385,,,27253,,,,,,,,,,,,Habitat: In silva primaeva rupestris. Fenofase: flor,PACA047662,,auto
2021-06-11 14:02:34-03,UFPR,UPCB,97300,PreservedSpecimen,Plantae,,,,Araceae,Anthurium,aff. jenmanii,,Anthurium aff. jenmanii,Engl.,"Nadruz, M.",2015,01,22,,"Labiak, P. | Forzza, R. C. | Amorim, A.A.M. | Freitas, L. | Obermüller, F. | Goldenberg, R. | Barbosa-Silva, R.",5620,,2014,04,17,,,Brasil,Amazonas,Barcelos,"Margens do Rio Aracá, próximo à comunidade de Bacuquara. Afloramento de granito localmente chamado de Serrinha.",-62.9241981506348,-0.974722027778625,,,358570,,30,40,,,,,,,,,"Amazônia. Terrestre. Folhas ca. 1.2 m comp. Frutos brancos, tornando-se vináceos em direção ao ápice. Habitat: Mata de Terra Firme.",UPCB0047651,,auto
2019-02-25 16:27:38-03,UNEMAT,HERBAM,13690,S,Plantae,,,,Araceae,Anthurium,aff. sinuatum,,Anthurium aff. sinuatum,Benth. ex Schott.,"Koch, AK",2016,12,09,,"Antoniazii, S.A.",592,,2016,11,22,,,Brasil,Pará,Jacareacanga,UHE São Manoel - Bosqueamento UTM(0500796/8969832),-57.752799987793,-6.22221994400024,0,0,393024,,164,164,,,,,,,,,,HERBAM013690,,auto
2019-06-10 10:10:53-03,FZB-BH,CVJBFZB,935,S,Plantae,Magnoliophyta,Equisetopsida,Alismatales,Araceae,Anthurium,aff. bonplandii,,Anthurium aff. bonplandii,Bunting,Eduardo G. Gonçalves,2000,08,,,Eduardo G. Gonçalves; L.A.Pereira; F.Cesarino,EGG498,,2000,08,23,,,Brasil,Amapá,Calçoene,Ramal de Lourenço para Caciporé,-50.948600769043,2.49749994277954,51°36'09'',2°19'39'',178685,,,,,,,,1,,,,254,,,auto
2019-06-10 10:10:53-03,FZB-BH,CVJBFZB,1032,S,Plantae,Magnoliophyta,Equisetopsida,Alismatales,Araceae,Anthurium,aff. coriaceum,,Anthurium aff. coriaceum,(Graham) G.Don,Eduardo G. Gonçalvez,,,,,Eduardo G. Gonçalves; H.Lorenzi; Salviani & Lorenzoni,EGG587,,2000,10,11,,,Brasil,Espírito Santo,São Gabriel da Palha,,-40.5355987548828,-19.0174999237061,,,24907,,,,,,,,1,,,,254,,,auto
2019-06-10 10:10:53-03,FZB-BH,CVJBFZB,2771,S,Plantae,Magnoliophyta,Equisetopsida,Alismatales,Araceae,Anthurium,aff. minarum,,Anthurium aff. minarum,Sakur. & Mayo,Carlos A. Ferreira Jr.,2013,09,10,,Carlos Alberto F. Jr. ; Juliana Ordones,CAF1177,,2013,09,06,,,Brasil,Minas Gerais,Catas Altas,"Gruta de Lourdes, Serra do Caraça",-43.4075012207031,-20.0746994018555,,,11966,,,,,,,,2,,,,254,,,auto
2019-06-10 10:10:53-03,FZB-BH,CVJBFZB,2563,S,Plantae,Magnoliophyta,Equisetopsida,Alismatales,Araceae,Anthurium,aff. sellowianum,,Anthurium aff. sellowianum,Kunth,Eduardo G. Gonçalves,2011,,,,Rubens Mota;,,,,,,,,Brasil,Minas Gerais,Itabira,,-43.2268981933594,-19.6191997528076,,,33779,,,,,,,,2,,,,254,,,auto
2020-07-10 09:43:27-03,MBML,MBML-HERBARIO,11072,,Plantae,,,,Araceae,Anthurium,aff. angustifolium,,Anthurium aff. angustifolium,Theófilo & Sakur.,R.T. Valadares/16-08-2016,,,,,Cintia C. Chamas; et al,84,,1996,06,24,,,Brasil,Espírito Santo,Santa Teresa,Estação Biológica de Santa Lúcia,-40.530278,-19.971389,40W31'49,19S58'17,,,,,,,,,,,,,"Epífita a 1,5m de altura, folha 42cm x 6cm, pecíolo 15cm canaliculado, entre-no zero, pedúnculo 29cm circular com leves manchas avermelhadas na base, espádice amarronzado. Trilha Palmito, mata de alta encosta, meia sombra.",MBML011072,MBML011072,
2020-07-10 09:43:27-03,MBML,MBML-HERBARIO,13222,,Plantae,,,,Araceae,Anthurium,aff. angustifolium,,Anthurium aff. angustifolium,Theófilo & Sakur.,R.T. Valadares/16-08-2016,,,,,V. Demuner; et al,1331,,2000,07,28,,,Brasil,Espírito Santo,Santa Teresa,Estação Biológica de Santa Lúcia,-40.530278,-19.971389,40W31'49,19S58'17,,,,,,,,,,,,,"Epífita 2m de altura, pedúnculo e espata vinho claro, espádice vinho escuro. Parte alta da trilha.",MBML013222,MBML013222,
2020-07-10 09:43:27-03,MBML,MBML-HERBARIO,14879,,Plantae,,,,Araceae,Anthurium,aff. angustifolium,,Anthurium aff. angustifolium,Theófilo & Sakur.,R.T. Valadares/16-08-2016,,,,,L. Kollmann; et al,4363,,2001,08,15,,,Brasil,Espírito Santo,Santa Teresa,Cabeceira do Rio Bonito,-40.583333,-19.984167,40W34'60,19S59'3,,,,,,,,,,,,,"Epífita na sombra. Espatas verdes, espádice amarelo.",MBML014879,MBML014879,
