MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:32:40-03,UFES,VIES,28671,S,Plantae,,,,Araceae,Anthurium,fragae,,Anthurium fragae,Nadruz,R.T. Valadares,2021,03,02,,"Assis, A.M.; Cribari, R.S.; Santos, R.; Santos, J.P.",4566,,2018,07,28,,,Brasil,Espírito Santo,Vargem Alta,,-40.996111,-20.456667,40º59'46''W,20º27'24''S,,,1280,1280,,,,,,,,,,VIES028671,VIES028671,
2019-12-06 19:29:12-03,UFES,VIES,36410,S,Plantae,,,,Araceae,Anthurium,fragae,,Anthurium fragae,Nadruz,,,,,,"Assis, A.M.; Cribari, R.S.; Santos, R.",4739,,2018,10,06,,,Brasil,Espírito Santo,Vargem Alta,,-40.991667,-20.454722,40º59'30''W,20º27'17''S,,,1170,1170,,,,,,,,,,VIES036410,VIES036410,
2021-03-24 17:32:40-03,UFES,VIES,41538,S,Plantae,,,,Araceae,Anthurium,fragae,,Anthurium fragae,Nadruz,R.T. Valadares,2021,03,02,,"Cardoso, W.C.; Pope, A.B.; Dal col, A.C.S.; Majevsky, A.J.",353,,2015,08,07,,,Brasil,Espírito Santo,Domingos Martins,Reserva Kautsky.,-40.658056,-20.3725,40º39'29''W,20º22'21''S,,,,,,,,,,,,,,VIES041538,VIES041538,
2019-09-27 18:03:37-03,UFES,VIES,33822,S,Plantae,,,,Araceae,Anthurium,fragae,,Anthurium fragae,Nadruz,R.T. Valadares,2018,12,17,,"Zorzanelli, J.P.F.",977,,2014,04,10,,,Brasil,Espírito Santo,Castelo,Caxixe Frio.,-41.184700012207,-20.6035995483398,,,23588,,1120,1120,,,,,,,,,,VIES033822,VIES033822,auto
2021-03-24 17:32:40-03,UFES,VIES,36260,S,Plantae,,,,Araceae,Anthurium,fragae,,Anthurium fragae,Nadruz,R.T. Valadares,2021,03,02,,Turma de Taxonomia de Campo 2015 -,134,,2015,10,02,,,Brasil,Espírito Santo,Castelo,"Parque Estadual de Forno Grande, trilha do mirante.",-41.184700012207,-20.6035995483398,,,23588,,,,,,,,,,,,,VIES036260,VIES036260,auto
2021-03-24 17:32:40-03,UFES,VIES,40845,S,Plantae,,,,Araceae,Anthurium,fragae,,Anthurium fragae,Nadruz,R.T. Valadares,2021,03,02,,"Dutra, V.F.; Cardoso, W.C.",881,,2017,05,26,,,Brasil,Espírito Santo,Domingos Martins,,-40.6591987609863,-20.3633003234863,,,48150,,,,,,,,,,,,,VIES040845,VIES040845,auto
2020-04-27 16:08:40-03,UFES,VIES,36071,S,Plantae,,,,Araceae,Anthurium,fragae,,Anthurium fragae,Nadruz,R.T. Valadares,2018,11,,,"Valadares, R.T.; Cardoso, W.C.; Wandekoken, D.T.",1419,,2016,02,19,,,Brasil,Espírito Santo,Domingos Martins,Parque Estadual Pedra Azul.,-40.6591987609863,-20.3633003234863,,,48150,,,,,,,,,,,,,VIES036071,VIES036071,auto
2020-04-27 16:08:40-03,UFES,VIES,36066,S,Plantae,,,,Araceae,Anthurium,fragae,,Anthurium fragae,Nadruz,R.T. Valadares,2018,11,,,"Valadares, R.T.; Cardoso, W.C.; Wandekoken, D.T.",1413,,2016,02,19,,,Brasil,Espírito Santo,Domingos Martins,Parque Estadual Pedra Azul. Ao longo do córrego das piscinas naturais.,-40.6591987609863,-20.3633003234863,,,48150,,,,,,,,,,,,,VIES036066,VIES036066,auto
2020-04-27 16:08:40-03,UFES,VIES,36068,S,Plantae,,,,Araceae,Anthurium,fragae,,Anthurium fragae,Nadruz,R.T. Valadares,2018,11,,,"Valadares, R.T.; Cardoso, W.C.; Wandekoken, D.T.",1416,,2016,02,19,,,Brasil,Espírito Santo,Domingos Martins,Parque Estadual Pedra Azul. Ao longo do córrego das piscinas naturais.,-40.6591987609863,-20.3633003234863,,,48150,,,,,,,,,,,,,VIES036068,VIES036068,auto
2020-04-27 16:08:40-03,UFES,VIES,36069,S,Plantae,,,,Araceae,Anthurium,fragae,,Anthurium fragae,Nadruz,R.T. Valadares,2018,11,,,"Valadares, R.T.; Cardoso, W.C.; Wandekoken, D.T.",1417,,2016,02,19,,,Brasil,Espírito Santo,Domingos Martins,Parque Estadual Pedra Azul. Ao longo do córrego das piscinas naturais.,-40.6591987609863,-20.3633003234863,,,48150,,,,,,,,,,,,,VIES036069,VIES036069,auto
2020-04-27 16:08:40-03,UFES,VIES,36072,S,Plantae,,,,Araceae,Anthurium,fragae,,Anthurium fragae,Nadruz,R.T. Valadares,2018,11,,,"Valadares, R.T.; Cardoso, W.C.; Wandekoken, D.T.",1420,,2016,02,19,,,Brasil,Espírito Santo,Domingos Martins,Parque Estadual Pedra Azul. Interior da mata.,-40.6591987609863,-20.3633003234863,,,48150,,,,,,,,,,,,,VIES036072,VIES036072,auto
2020-04-27 16:08:40-03,UFES,VIES,36070,S,Plantae,,,,Araceae,Anthurium,fragae,,Anthurium fragae,Nadruz,R.T. Valadares,2018,11,,,"Valadares, R.T.; Cardoso, W.C.; Wandekoken, D.T.",1418,,2016,02,19,,,Brasil,Espírito Santo,Domingos Martins,Parque Estadual Pedra Azul. Sobre matacão rochoso.,-40.6591987609863,-20.3633003234863,,,48150,,,,,,,,,,,,,VIES036070,VIES036070,auto
2020-04-27 16:08:40-03,UFES,VIES,36073,S,Plantae,,,,Araceae,Anthurium,fragae,,Anthurium fragae,Nadruz,R.T. Valadares,2018,11,,,"Valadares, R.T.; Cardoso, W.C.; Wandekoken, D.T.",1421,,2016,02,19,,,Brasil,Espírito Santo,Domingos Martins,Parque Estadual Pedra Azul. Sobre matacões no interior da mata.,-40.6591987609863,-20.3633003234863,,,48150,,,,,,,,,,,,,VIES036073,VIES036073,auto
2020-04-27 16:08:40-03,UFES,VIES,31797,S,Plantae,,,,Araceae,Anthurium,fragae,,Anthurium fragae,Nadruz,R.T. Valadares,2019,01,17,,"Zorzanelli, J.P.F.; Kollmann, L.J.C. & Fontana, A.P.",685,,2013,05,30,,,Brasil,Espírito Santo,Iúna,Serra do Valentim.,-41.5358009338379,-20.3458003997803,,,32198,,1600,1600,,,,,,,,,,VIES031797,VIES031797,auto
2021-03-24 17:32:40-03,UFES,VIES,30990,S,Plantae,,,,Araceae,Anthurium,fragae,,Anthurium fragae,Nadruz,R.T. Valadares,2021,03,02,,"Couto, D.R.; Leme, E.M.C. & Kollmann, L.J.C.",1213,,2009,06,06,,,Brasil,Espírito Santo,Muqui,Sumidouro.,-41.3457984924316,-20.9517002105713,,,15667,,608,608,,,,,,,,,,VIES030990,VIES030990,auto
2020-04-27 16:08:40-03,UFES,VIES,19179,S,Plantae,,,,Araceae,Anthurium,fragae,,Anthurium fragae,Nadruz,R.T. Valadares,2018,05,04,,"Lorencini, T.S.; Siqueira, V.B.; Braun, A. & Dutra, S.S.",243,,2009,04,18,,,Brasil,Espírito Santo,Santa Maria de Jetibá,Garrafão.,-40.7461013793945,-20.040599822998,,,31867,,,,,,,,,,,,,VIES019179,VIES019179,auto
2020-04-27 16:08:40-03,UFES,VIES,19177,S,Plantae,,,,Araceae,Anthurium,fragae,,Anthurium fragae,Nadruz,R.T. Valadares,2018,05,04,,"Lorencini, T.S.; Siqueira, V.B.; Braun, A. & Dutra, S.S.",260,,2009,04,19,,,Brasil,Espírito Santo,Santa Maria de Jetibá,Garrafão.,-40.7461013793945,-20.040599822998,,,31867,,,,,,,,,,,,,VIES019177,VIES019177,auto
2020-04-27 16:08:40-03,UFES,VIES,19176,S,Plantae,,,,Araceae,Anthurium,fragae,,Anthurium fragae,Nadruz,R.T. Valadares,2018,05,04,,"Lorencini, T.S.; Siqueira, V.B.; Braun, A. & Dutra, S.S.",221,,2009,04,18,,,Brasil,Espírito Santo,Santa Maria de Jetibá,Garrafão.,-40.7461013793945,-20.040599822998,,,31867,,,,,,,,,,,,,VIES019176,VIES019176,auto
2021-02-10 15:39:25-03,UFES,VIES,48706,S,Plantae,,,,Araceae,Anthurium,fragae,,Anthurium fragae,Nadruz,"Valadares, R.T.",2019,,,,"Cardoso, W.C.; Silva, L.A.; Dal col, A.C.S.",460,,2017,04,08,,,Brasil,Espírito Santo,Santa Maria de Jetibá,Pedra do Garrafão.,-40.7461013793945,-20.040599822998,,,31867,,,,,,,,,,,,,VIES048706,VIES048706,auto
2018-12-10 13:05:00-02,MO,MOBOT,101087000,PreservedSpecimen,Plantae,,,,Araceae,Anthurium,fragae,,Anthurium fragae,Nadruz,,,,,,C.N. Fraga|et al.,Fraga 1828,,,,,,South America,Brazil,Espírito Santo,Castelo,,-41.184700012207,-20.6035995483398,,,23588,,,,,,,,,,,,,,,auto
2020-07-23 11:57:44-03,CEPLAC,CEPEC,129844,PreservedSpecimen,Plantae,,,,Araceae,Anthurium,fragae,,Anthurium fragae,,M. Nadruz,,,,,C. N. Fraga,1828,,,,,,,Brasil,Espírito Santo,castelo,,-41.184700012207,-20.6035995483398,,,23588,,,,,,,,,,,,<ll>dwc_commonname:</ll>,,,auto
2020-07-23 11:57:44-03,CEPLAC,CEPEC,129615,PreservedSpecimen,Plantae,,,,Araceae,Anthurium,fragae,,Anthurium fragae,,M. Nadruz,,,,,C. N. Fraga,1991,,,,,,,Brasil,Espírito Santo,castelo,,-41.184700012207,-20.6035995483398,,,23588,,,,,,,,,,,,<ll>dwc_commonname:</ll>,,,auto
