MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:08:38-03,UFES,SAMES,1700,PreservedSpecimen,Plantae,,,,Araceae,Anthurium,marcusianum,,Anthurium marcusianum,"Theófilo, L. Kollmann & Sakur.","Valadares, R.T.",2019,07,16,,"Pinto Junior, H.V.; Luber, J.",228,,2016,03,16,,,Brasil,Espírito Santo,Águia Branca,Santa Luzia. Antiga propriedade do Sr. Ciro Ferreira; afloramento próximo a cachoeira do Arco-íris.,-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,Herbácea habitando ilha de vegetação em afloramento rochoso; folhas verdes; inflorescência escura; abundante; ambiente sombreado.,SAMES01700,,auto
2021-02-10 15:39:25-03,UFES,VIES,48714,S,Plantae,,,,Araceae,Anthurium,marcusianum,,Anthurium marcusianum,"Theoófilo, L.Kollmann & Sakur.",R.T. Valadares,2020,02,18,,"Valadares, R.T.; Silva, L.A.",2284,,2020,02,18,,,Brasil,Espírito Santo,Águia Branca,"Santa Luzia, Pedra da Arco-Íris.",-40.666389,-18.968056,40º39'59''W,18º58'5''S,,,,,,,,,,,,,,VIES048714,VIES048714,
2021-02-10 15:39:25-03,UFES,VIES,48715,S,Plantae,,,,Araceae,Anthurium,marcusianum,,Anthurium marcusianum,"Theoófilo, L.Kollmann & Sakur.",R.T. Valadares,2020,02,18,,"Valadares, R.T.; Silva, L.A.",2283,,2020,02,18,,,Brasil,Espírito Santo,Águia Branca,"Santa Luzia, Pedra da Arco-Íris.",-40.661944,-18.983333,40º39'43''W,18º59'S,,,,,,,,,,,,,,VIES048715,VIES048715,
2021-02-10 15:39:25-03,UFES,VIES,48716,S,Plantae,,,,Araceae,Anthurium,marcusianum,,Anthurium marcusianum,"Theoófilo, L.Kollmann & Sakur.",R.T. Valadares,2020,02,18,,"Valadares, R.T.; Silva, L.A.",2285,,2020,02,18,,,Brasil,Espírito Santo,Águia Branca,"Santa Luzia, Pedra da Arco-Íris.",-40.661667,-18.980556,40º39'42''W,18º58'50''S,,,,,,,,,,,,,,VIES048716,VIES048716,
2019-09-18 16:48:00-03,MO,MOBOT,101155227,PreservedSpecimen,Plantae,,,,Araceae,Anthurium,marcusianum,,Anthurium marcusianum,"Theófilo, L. Kollmann & Sakur.",fide Theófilo et al.,,,,Holotype,Ludovic Kollmann,Kollmann 10937,,2008,4,26,,South America,Brazil,Espírito Santo,Águia Branca,Pedra da Bandeira,-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,1,,,,,,,auto
2020-10-09 08:28:57-03,MBML,MBML-HERBARIO,26508,,Plantae,,,,Araceae,Anthurium,marcusianum,,Anthurium marcusianum,"Theófilo, L.Kollmann & Sakur.",2019,,,,PARATIPO,"V. Demuner; L.F.S Magnago, T. Cruz e Elias Bausen",2272,,2006,04,27,,,Brasil,Espírito Santo,Águia Branca,"Santa Luzia, prop.: Ciro Ferreira",-40.665556,-18.978056,40W39'56,18S58'41,,,170,170,,,,,,,,,"Herbácea, inflorescência verde escura. Sobre rocha, leve camada de solo.",MBML026508,MBML026508,
2020-10-09 08:28:57-03,MBML,MBML-HERBARIO,27380,,Plantae,,,,Araceae,Anthurium,marcusianum,,Anthurium marcusianum,"Theófilo, L.Kollmann & Sakur.",2019,,,,PARATIPO,"V. Demuner; L.F.S. Magnago, T. Cruz, Elias Bausen",2935,,2006,10,18,,,Brasil,Espírito Santo,Águia Branca,"Santa Luzia, prop.: Ciro Ferreira",-40.665556,-18.977778,40W39'56,18S58'40,,,170,170,,,,,,,,,"Herbácea, infrutescência marrom. Vegetação rupestre.",MBML027380,MBML027380,
2020-10-09 08:28:57-03,MBML,MBML-HERBARIO,28801,,Plantae,,,,Araceae,Anthurium,marcusianum,,Anthurium marcusianum,,2019,,,,PARATIPO,"L. F. S. Magnago; V. Demuner, T. Cruz e Elias Bausen",1111,,2006,07,26,,,Brasil,Espírito Santo,Águia Branca,"Pedra da Bandeira, Santa Luzia, prop.: Ciro Ferreira.",-40.665556,-18.977778,40W39'56,18S58'40,,,170,170,,,,,,,,,Terrestre. Espádice vinácea. Frutos verdes. Vegetação rupestre.,MBML028801,MBML028801,
2020-10-09 08:28:57-03,MBML,MBML-HERBARIO,29543,,Plantae,,,,Araceae,Anthurium,marcusianum,,Anthurium marcusianum,"Theófilo, L.Kollmann & Sakur.",2019,,,,PARATIPO,"V. Demuner; T. Cruz, M. Belizário e Elias Bausen.",3466,,2007,04,03,,,Brasil,Espírito Santo,Águia Branca,"Santa Luzia, propr.: Ciro Ferreira",-40.662222,-18.979444,40W39'44,18S58'46,,,250,250,,,,,,,,,"Herbácea espata verde, espádice marrom. Afloramento rochoso.",MBML029543,MBML029543,
2020-10-09 08:28:57-03,MBML,MBML-HERBARIO,30209,,Plantae,,,,Araceae,Anthurium,marcusianum,,Anthurium marcusianum,"Theófilo, L.Kollmann & Sakur.",2019,,,,PARATIPO,"V. Demuner; T. Cruz, R. R. Vervloet e Elias Bausen.",3991,,2007,05,18,,,Brasil,Espírito Santo,Águia Branca,"Santa Luzia, propr.: Ciro Ferreira (proprriedade vendida)",-40.662778,-18.971944,40W39'46,18S58'19,,,450,450,,,,,,,,,"Herbácea espádice vinácea, espata verde, nervuras foliares verde claro. Afloramento rochoso.",MBML030209,MBML030209,
