MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-06-30 13:04:04-03,MBM,MBM,62852,S,Plantae,,,,Araceae,Anthurium,microphyllum,,Anthurium microphyllum,(Hook.) G. Don,"Mayo, S.",,,,,"Hatschbach, G.; et al.; et al.",40365,,1977,10,08,,Southern America,Brazil,Santa Catarina,Laguna,Praia do GI,-48.7807998657227,-28.4825000762939,0,0,21199,,,,,,,,,,,,,MBM062852,,auto
2021-06-25 18:17:26-03,UFV,VIC,052704,PreservedSpecimen,Plantae,,,,Araceae,Anthurium,microphyllum,,Anthurium microphyllum,(Raf.) G.Don,H.V. Pinto Junior,2019,05,17,,"H.V. Pinto Junior; Muller, L.A.C.; Sperandio, T.",495,,2019,01,25,,,Brasil,Espírito Santo,Nova Venécia,"APA Pedra do Elefante, Topo de inselberg, vertente leste",-40.766667,-19.288889,-40.766667,-19.288889,,,674,674,,,,,,,,,"Planta com +/- 15cm, ilha de vegetação, folhas verdes, inflorescência passada, sol, abundante.",VIC052704,VIC052704,
2020-04-27 16:08:42-03,UFES,VIES,24489,S,Plantae,,,,Araceae,Anthurium,microphyllum,,Anthurium microphyllum,(Raf.) G.Don,R.T. Valadares,2018,04,27,,"Gomes, J.M.L",2572,,1999,08,14,,,Brasil,Espírito Santo,Domingos Martins,Pedra do Cachorro e Pedra das Flores.,-40.6591987609863,-20.3633003234863,,,48150,,,,,,,,,,,,,VIES024489,VIES024489,auto
2015-12-11 16:42:00-02,MNHN,RECOLNAT_MNHN_P,P01750088,PreservedSpecimen,,,,,Araceae,Anthurium,microphyllum,,Anthurium microphyllum,(Hook.) G.Don,,,,,,"Glaziou, A.",,8046,1875,6,29,,,Brasil,Rio de Janeiro,Rio de Janeiro,"Brésil. Gávea, na pedra. Rio de Janeiro, Rio de Janeiro, Sudeste, Brasil, América do Sul",-43.2075004577637,-22.9027996063232,,,57442,,,,,,,hb,,,,,". . Herbier de A. Glaziou, donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01750088' target='other'> <mi>dwc_moreinfo</mi></a>",P01750088,P01750088_01,auto
2015-12-11 16:42:00-02,MNHN,RECOLNAT_MNHN_P,P01750089,PreservedSpecimen,,,,,Araceae,Anthurium,microphyllum,,Anthurium microphyllum,(Hook.) G.Don,Andrade & Mayo,,,,,Glaziou,,9037,1876,11,9,,,Brasil,Rio de Janeiro,Rio de Janeiro,"Brésil, R.J., S. Cristovão. Rio de Janeiro, Rio de Janeiro, Sudeste, Brasil, América do Sul",-43.2075004577637,-22.9027996063232,,,57442,,,,,,,hb,,,,,". . No. 44. Herbier de A. Glaziou, donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01750089' target='other'> <mi>dwc_moreinfo</mi></a>",P01750089,P01750089_01,auto
2015-09-03 19:09:23-03,MNHN,RECOLNAT_MNHN_P,P01750091,PreservedSpecimen,,,,,Araceae,Anthurium,microphyllum,,Anthurium microphyllum,(Hook.) G.Don,Andrade & Mayo,,,,,"Glaziou, A.",,8046,1875,6,29,,,Brasil,Rio de Janeiro,Rio de Janeiro,"Gavea. Rio de Janeiro, Rio de Janeiro, Sudeste, Brasil, América do Sul",-43.2075004577637,-22.9027996063232,,,57442,,,,,,,hb,,,,,. . Reçu le A. Octobre 1876 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01750091' target='other'> <mi>dwc_moreinfo</mi></a>,P01750091,P01750091_01,auto
2015-10-22 10:02:28-02,UNIOESTE,UNOP,4198,S,Plantae,,,,Araceae,Anthurium,microphyllum,,Anthurium microphyllum,(Hook.) G.Don,"Temponi, L.G.",2004,02,,,"Temponi, L.G.; Abreu, C.R.M.; Abreu, C.R.M.",320,,2004,02,01,,,Brasil,Rio de Janeiro,Rio de Janeiro,"Pão de Açucar, Estrada Cláudio Coutinho, Paredão CEPI, base da vida da escalada: Italianos",-43.2075004577637,-22.9027996063232,0,0,57442,,150,150,,,,,,,,,"Rupícula. Catafilo fibroso. Lâmina concolor, cartácea, nervuras laterais pouco aparentes, mais escuras e salientes na abaxial. Peciolo reto na adaxial, cilíndrico na abaxial. Espádice nigrescente, espata verde, pedúnculo cilíndrico.",,,auto
2016-08-23 11:12:16-03,NHMLondon,NHM-LONDON-BOT,BM000957046,S,Plantae,,,,Araceae,Anthurium,microphyllum,,Anthurium microphyllum,(Raf.) G.Don,Label determination,,,,,Heinrich Gustav Adolf Engler; b.1844; d.1930; Engl.,182,,,,,,,Brasil,,,,-53.08982,-10.773109,-53.08982,-10.773109,,,,,,,,,,NHMUK:ecatalogue:2309028,,,,,,
2016-08-23 11:12:16-03,NHMLondon,NHM-LONDON-BOT,BM000957047,S,Plantae,,,,Araceae,Anthurium,microphyllum,,Anthurium microphyllum,(Raf.) G.Don,,,,,,John Miers; b.1789; d.1879; Miers,3428,,,,,,,Brasil,Rio de Janeiro,,,-42.64735,-22.531489,-42.64735,-22.531489,,,,,,,,,,NHMUK:ecatalogue:2309039,,,,,,
2016-08-23 11:12:16-03,NHMLondon,NHM-LONDON-BOT,BM000957048,S,Plantae,,,,Araceae,Anthurium,microphyllum,,Anthurium microphyllum,(Raf.) G.Don,Fredrik Pieter Jonker; b.1912; d.1995; Jonker,1952,,,,George Gardner; b.1812; d.1849; Gardner,171,,1836,,,,,Brasil,Rio de Janeiro,,,-42.64735,-22.531489,-42.64735,-22.531489,,,,,,,,,,NHMUK:ecatalogue:2309044,,,,,,
