MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:08:38-03,UFES,SAMES,1705,PreservedSpecimen,Plantae,,,,Araceae,Anthurium,parasiticum,,Anthurium parasiticum,(Vell.) Stellfeld,"Valadares,R.T.",2020,03,12,,"Pinto Junior, H.V.; Luber, J.",232,,2016,03,17,,,Brasil,Espírito Santo,Águia Branca,Córrego Jabuticaba. Propriedade de Rosângela Fausti.,-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,Herbácea habitando interior de mata de encosta; folhas verdes; inflorescência escura; abundante; terrestre.,SAMES01705,,auto
2021-03-24 17:08:38-03,UFES,SAMES,451,PreservedSpecimen,Plantae,,,,Araceae,Anthurium,parasiticum,,Anthurium parasiticum,(Vell.) Stellfeld,"Valadares,R.T.",2020,03,12,,"Monteiro,M.M.; Giaretta,A.O.;Oliveira,I.R.",191,,2010,02,03,,,Brasil,Espírito Santo,Conceição da Barra,Itaúnas. Mata de restinga sobre cordão arenoso arenoso próximo de uma área entre cordões dominada por Montrichardia. Área atrás da fazendo Jequitaia.,-39.7322006225586,-18.5932998657227,-397330556.0,-185830556.0,41644,,,,,,,,,,,,Erva terrestre com inflorescência passada. Habitat: Mata de restinga sobre cordão arenoso arenoso próximo de uma área entre cordões dominada por Montrichardia. Área atrás da fazendo Jequitaia.,SAMES00451,,auto
2021-03-24 17:08:38-03,UFES,SAMES,455,PreservedSpecimen,Plantae,,,,Araceae,Anthurium,parasiticum,,Anthurium parasiticum,(Vell.) Stellfeld,"Valadares,R.T.",2020,03,12,,"Jesus,M.C.F.",309,,2010,08,20,,,Brasil,Espírito Santo,Linhares,Pontal do Ipiranga. Mata seca de restinga.,-40.0722007751465,-19.3910999298096,,,48094,,,,,,,,,,,,Erva com espata verde.,SAMES00455,,auto
2021-03-24 17:08:38-03,UFES,SAMES,1694,PreservedSpecimen,Plantae,,,,Araceae,Anthurium,parasiticum,,Anthurium parasiticum,(Vell.) Stellfeld,"Valadares,R.T.",2020,03,12,,"Pinto Junior, H.V.; Covre, C.",269,,2016,03,21,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Vertente leste da Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,Herbácea habitando ilha de vegetação em afloramento rochoso; folhas verdes; inflorescência marrom com frutos; sombra.,SAMES01694,,auto
2020-06-29 09:29:15-03,UFRRJ,RBR,35507,S,Plantae,,,,Araceae,Anthurium,parasiticum,,Anthurium parasiticum,(Vell.) Stellfeld,M. Nadruz,2012,12,19,,E.L. Jacques,1708,,2008,07,25,,,Brasil,Espírito Santo,Presidente Kennedy,"'Praia das Neves, Próximo da Igreja de N. Srª de Praia das Neves.4 m de altitude.21°14#?#5,7'' S - 40°58#?#59,2'' W'",-41.0466995239258,-21.0988998413086,,,24088,,,,,,,,,,,,,RBR00035507,RBR00035507,auto
2021-06-30 13:04:04-03,MBM,MBM,422809,S,Plantae,,,,Araceae,Anthurium,parasiticum,,Anthurium parasiticum,(Vell.) Stellfeld,"Barboza, E.",2019,06,26,,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.",3473,,2019,04,06,,Southern America,Brazil,Espírito Santo,Nova Venécia,Pedra do Elefante,-40.456944,-18.770556,-40.456944,-18.770556,,,557,557,,,,,,,,,Erva rupícola; inflorescência marrom.; Refúgio Vegetacional Altomontano (campo de altitude e vegetação rupícola).,MBM422809,,
2020-06-15 15:28:33-03,UNESP-RC,HRCB,25995,PreservedSpecimen,Plantae,,,,Araceae,Anthurium,parasiticum,,Anthurium parasiticum,(Vell.) Stellfeld,"Nadruz, M.",2005,01,03,,"Souza, V.C.",11091,,1996,04,11,,,Brasil,São Paulo,Itanhaém,,-46.7799987792969,-24.1800003051758,,,26998,,,,,,,,,,,,Erva terrestre; espata verde com margem arroxeada; espádice vinho-escuro.,,,auto
2020-06-15 15:28:33-03,UNESP-RC,HRCB,25411,PreservedSpecimen,Plantae,,,,Araceae,Anthurium,parasiticum,,Anthurium parasiticum,(Vell.) Stellfeld,"Nadruz, M.",2005,01,03,,"Souza, V.C.",11082,,1996,04,11,,,Brasil,São Paulo,Itanhaém,,-46.7799987792969,-24.1800003051758,,,26998,,,,,,,,,,,,Erva terrestre; espata verde com margem arroxeada; espádice vinho-escuro.,,,auto
2020-06-15 15:28:33-03,UNESP-RC,HRCB,59570,PreservedSpecimen,Plantae,,,,Araceae,Anthurium,parasiticum,,Anthurium parasiticum,(Vell.) Stellfeld,"Coelho, M.A.N.",2011,11,22,,"Poli, L.P.",40,,2013,01,25,,,Brasil,São Paulo,Rio Claro,Planta cultivada no Jardim Experimental do Instituto de Biociências de Rio Claro.,-47.560001373291,-22.4099998474121,,,21773,,,,,,,,,,,,"Planta coletada na Floresta Nacional da Tijuca, Rio de Janeiro/RJ, em 22/11/2011. Terrestre, caule verde, ereto, profilo verde, inteiro, catafilo marrom, decompostos na base e inteiros em direção ao á",,,auto
2019-06-10 10:10:08-03,FZB-BH,BHZB,2565,S,Plantae,,,,Araceae,Anthurium,parasiticum,,Anthurium parasiticum,,E.G.Gonçalves,2001,02,,,"Andrade, I.R.",,,2000,12,01,,,Brasil,MG,Belo Horizonte,FZBBH/ Jardim Botânico / Jardim de Folhagens,-43.937801361084,-19.9207992553711,,,17082,,,,,,,,,,,,Doação Eduardo Gonçalves. ARA 99106. EGG 293.Cultivado,,,auto
