MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:10:04-03,UFES,SAMES,1674,PreservedSpecimen,Plantae,,,,Solanaceae,Aosa,parviflora,,Aosa parviflora,(Schrad. ex DC.) Weigend,"Forzza, R.C.",2016,06,01,,"Pinto Junior, H.V.; Covre, C.",261,,2016,03,21,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Vertente leste da Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,Erva habitando ilha de vegetação em afloramento rochoso; folhas verdes com tricomas; flores brancas; fruto redondo; sol.,SAMES01674,,auto
2021-03-24 17:09:18-03,UFES,SAMES,8227,PreservedSpecimen,Plantae,,,,Loasaceae,Aosa,parviflora,,Aosa parviflora,(Schrad. ex DC.) Weigend,,,,,,"Pinto Junior,H.V.; W.S.Justiuno.;T.Sperandio.;Menezes,L.F.T.",405,,2018,03,22,,,Brasil,Espírito Santo,Vila Pavão,PEDRA DO VIADINHO.,-40.611400604248,-18.6149997711182,-405558333.0,-186230556.0,19647,,,,,,,,,,,,"Folhas verdes com tricomas, caule com tricomas urticantes, flores brancas, sombra abundante, habitando ilha de vegetação inselberg.",SAMES08227,,auto
2021-05-17 15:58:33-03,UNICAMP,UEC,68337,S,Plantae,Magnoliopsida,,,Loasaceae,Aosa,parviflora,,Aosa parviflora,(DC) Weigend,"Acuña Castillo, R",2018,,,,"Salino, A; et al.",29936,,1993,11,11,,,Brazil,São Paulo,Ubatuba,Morro do Puruba,-44.966667,-23.35,-44.966667,-23.35,,,,,,,,,,,,,"Herbácea reptante, flores brancas, cálice verde, frutos imaturos verdes.; Mata de encosta; local sombreado.",UEC135295,UEC135295,
2021-05-17 15:58:33-03,UNICAMP,UEC,85859,S,Plantae,Magnoliopsida,,,Loasaceae,Aosa,parviflora,,Aosa parviflora,(DC) Weigend,"Acuña Castillo, R",2018,,,,"Goldenberg, R; Rezende, AV",32395,,1994,12,13,,,Brazil,São Paulo,Ubatuba,"Ilha Anchieta, trilha da Prainha",-45.0699996948242,-23.4300003051758,0,0,34265,,,,,,,,,,,,"Herbácea, 050 cm de altura. Flores com pétalas brancas, urticante, sobre rocha",UEC125340,UEC125340,auto
2021-06-30 13:17:48-03,MBM,MBM,392892,S,Plantae,,,,Loasaceae,Aosa,parviflora,,Aosa parviflora,(Schrad. ex DC.) Weigend,"Weigend, M.",2013,09,,,"Goldenberg, R.; Fraga, C.N.; Fontana, A.P.; Amorim, A.M.; Esgario, C.; Fraga, C.N.; Fontana, A.P.; Amorim, A.M.; Esgario, C.",1133,,2008,05,09,,Southern America,Brazil,Espírito Santo,Nova Venécia,"Área de Proteção Ambiental da Pedra do Elefante, Serra de Baixo, beira da rodovia Nova Venécia - São Gabriel da Palha, propriedade do Sr. Valdemar",-40.469722,-18.800278,-40.469722,-18.800278,,,314,314,,,,,,,,,Erva com caule suculento e tricomas urticantes. Flores com pétalas e estames brancos.; Vegetação rupícola.,MBM392892,MBM392892,
2021-06-30 13:17:48-03,MBM,MBM,392894,S,Plantae,,,,Loasaceae,Aosa,parviflora,,Aosa parviflora,(Schrad. ex DC.) Weigend,"Weigend, M.",2013,09,,,"Fontana, A.P.; Kollmann, L.; Labiak, P.H.; Schwartsburd, P.B.; Kollmann, L.; Labiak, P.H.; Schwartsburd, P.B.",5802,,2009,01,15,,Southern America,Brazil,Espírito Santo,Nova Venécia,"Área de Proteção Ambiental da Pedra do Elefante, Serra de Baixo, Fazenda Neblina, base da pedra da torre",-40.445556,-18.786944,-40.445556,-18.786944,,,150,150,,,,,,,,,"Erva, ca. 30cm. Flores brancas. Frutos verdes.; Inselbergue.",MBM392894,MBM392894,
2021-06-30 13:17:47-03,MBM,MBM,181167,S,Plantae,,,,Loasaceae,Aosa,parviflora,,Aosa parviflora,(Schrad. ex DC.) Weigend,"Weigend, M.",,,,,"Hatschbach, G.; Hatschbach, M.; Motta, J.T.; Hatschbach, M.; Motta, J.T.",63300,,,,,,Southern America,Brazil,Bahia,Itapebi,"Rod. BR-101, próximo de Itapebi",-39.5339012145996,-15.9507999420166,0,0,43726,,,,,,,,,,,,,MBM181167,MBM181167,auto
2021-06-30 13:17:47-03,MBM,MBM,254974,S,Plantae,,,,Loasaceae,Aosa,parviflora,,Aosa parviflora,(Schrad. ex DC.) Weigend,"Deble, L.P.",,,,,"Hatschbach, G.; Silva, J.M.; Ferreira, L.A.; Silva, J.M.; Ferreira, L.A.",69109,,1999,05,17,,Southern America,Brazil,Espírito Santo,Venda Nova do Imigrante,Varzeão,-41.1347007751465,-20.3397006988525,0,0,15909,,,,,,,,,,,,,MBM254974,MBM254974,auto
2021-06-30 13:17:48-03,MBM,MBM,62921,S,Plantae,,,,Loasaceae,Aosa,parviflora,,Aosa parviflora,(Schrad. ex DC.) Weigend,"Weigend, M.",,,,,"Carauta, J.P.P.; et al.; et al.",3162,,,,,,Southern America,Brazil,Rio de Janeiro,Rio de Janeiro,"Estrada para o Costão, Pão de Açúcar",-43.2075004577637,-22.9027996063232,0,0,57442,,,,,,,,,,,,,MBM062921,MBM062921,auto
2021-06-13 16:41:00-03,NY,NYBG,01092737,PreservedSpecimen,Plantae,Magnoliophyta,,Cornales,Loasaceae,Aosa,parviflora,,Aosa parviflora,(Schrad. ex DC.) Weigend,M. Weigend,,,,,J. L. Paixão,84,,1998,11,18,,South America,Brazil,Bahia,Ilhéus,"Área do CEPEC, km 22 da Rod. Ilhéus/Itabuna (BR 415). Quadra do Arboreto.",-39.2273659,-14.771874,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1232798' target='other'> <mi>dwc_moreinfo</mi></a>,NY01092737,NY01092737_01,
