MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:08:41-03,UFES,SAMES,1695,PreservedSpecimen,Plantae,,,,Aristolochiaceae,Aristolochia,gracilipedunculata,,Aristolochia gracilipedunculata,F.González,,,,,,"Pinto Junior, H.V.; Luber, J.",222,,2016,03,15,,,Brasil,Espírito Santo,Águia Branca,Região dos Três Pontões. Afloramento dissertação do Herval.,-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,"Liana habitando ilha de vegetação em afloramento rochoso; folhas verdes; flores diminutas; fruto redondo, deiscente, com aparência de uma cesta quando aberto; sol pleno; abundante.",SAMES01695,,auto
2021-06-13 16:41:00-03,NY,NYBG,1182723,PreservedSpecimen,Plantae,Magnoliophyta,,Piperales,Aristolochiaceae,Aristolochia,gracilipedunculata,,Aristolochia gracilipedunculata,F.González,F. A. González,,,,,V. Demuner,1008,,2000,05,10,,South America,Brazil,Espírito Santo,Santa Teresa,"São João de Petrópolis, (Barra de Santo Hilário). Paulo Zanette.",-40.6003,-19.9356,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408671' target='other'> <mi>dwc_moreinfo</mi></a>,NY01182723,NY01182723_01,
2021-06-13 16:41:00-03,NY,NYBG,1182724,PreservedSpecimen,Plantae,Magnoliophyta,,Piperales,Aristolochiaceae,Aristolochia,gracilipedunculata,,Aristolochia gracilipedunculata,F.González,F. A. González,,,,,V. Demuner,2119,,2006,03,30,,South America,Brazil,Espírito Santo,Santa Leopoldina,"Bragança, Rancho Chapadão. Prop. João Emilio.",-40.54633,-20.123,,,,,280,550,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408675' target='other'> <mi>dwc_moreinfo</mi></a>,NY01182724,NY01182724_01,
2021-06-13 16:41:00-03,NY,NYBG,1182725,PreservedSpecimen,Plantae,Magnoliophyta,,Piperales,Aristolochiaceae,Aristolochia,gracilipedunculata,,Aristolochia gracilipedunculata,F.González,F. A. González,,,,,V. Demuner,2262,,2006,04,27,,South America,Brazil,Espírito Santo,Aguia Branca,"Santa Luzia, prop. Ciro Ferreira.",-40.66558,-18.97792,,,,,170,600,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408677' target='other'> <mi>dwc_moreinfo</mi></a>,NY01182725,NY01182725_01,
2021-06-13 16:41:00-03,NY,NYBG,1182726,PreservedSpecimen,Plantae,Magnoliophyta,,Piperales,Aristolochiaceae,Aristolochia,gracilipedunculata,,Aristolochia gracilipedunculata,F.González,F. A. González,,,,,V. Demuner,3517,,2007,04,03,,South America,Brazil,Espírito Santo,Aguia Branca,"Santa Luzia, prop. Ciro Ferreira.",-40.6644,-18.9739,,,,,400,600,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408679' target='other'> <mi>dwc_moreinfo</mi></a>,NY01182726,NY01182726_01,
2021-06-13 16:41:00-03,NY,NYBG,1182727,PreservedSpecimen,Plantae,Magnoliophyta,,Piperales,Aristolochiaceae,Aristolochia,gracilipedunculata,,Aristolochia gracilipedunculata,F.González,F. A. González,,,,,V. Demuner,4834,,2007,12,20,,South America,Brazil,Espírito Santo,Aguia Branca,"Santa Luzia, prop. Ciro Ferreira.",-40.66247,-18.98483,,,,,150,270,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408681' target='other'> <mi>dwc_moreinfo</mi></a>,NY01182727,NY01182727_01,
2021-06-13 16:41:00-03,NY,NYBG,1182729,PreservedSpecimen,Plantae,Magnoliophyta,,Piperales,Aristolochiaceae,Aristolochia,gracilipedunculata,,Aristolochia gracilipedunculata,F.González,F. A. González,,,,,L. F. S. Magnago,803,,2006,04,17,,South America,Brazil,Espírito Santo,Colatina,"Alto Moacir, Pedra de Cruzeiro, propr. Landislau.",-40.5508,-19.3481,,,,,150,850,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408685' target='other'> <mi>dwc_moreinfo</mi></a>,NY01182729,NY01182729_01,
2019-12-06 19:29:15-03,UFES,VIES,38774,S,Plantae,,,,Aristolochiaceae,Aristolochia,gracilipedunculata,,Aristolochia gracilipedunculata,F.González,"Freitas, J.; Pena, N.T.L.",,,,,"Pena, N.T.L.; Alves-Araújo, A.",575,,2016,03,07,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante.,-40.264722,-18.465833,40º15'53''W,18º27'57''S,,,,,,,,,,,,,,VIES038774,VIES038774,
2020-07-23 11:58:19-03,CEPLAC,CEPEC,129618,PreservedSpecimen,Plantae,,,,Aristolochiaceae,Aristolochia,gracilipedunculata,,Aristolochia gracilipedunculata,,J. Freitas,,,,,A. M. Amorim,7410,,2008,05,09,,,Brasil,Espírito Santo,NOVA VENÉCIA,Área de Proteção Ambiental da Pedra do Elefante. Serra de Baixo,-40.443889,-18.776944,40W26'38,18S46'37,,,,,,,,,,,,,<ll>dwc_commonname:</ll>,,,
2020-07-23 11:58:19-03,CEPLAC,CEPEC,109875,PreservedSpecimen,Plantae,,,,Aristolochiaceae,Aristolochia,gracilipedunculata,,Aristolochia gracilipedunculata,,A. A. M. Araújo,,,,Holótipo,J. G. Jardim,4756,,2005,10,22,,,Brasil,Bahia,SANTA CRUZ DA VITÓRIA,"Fazenda Boa Fé; 9,3Km na Rodovia para Itajú do Colônia.",-39.786111,-15.04,39W47'10,15S2'24,,,,,,,,,,,,09/05/2012,,,,
