MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-12-04 15:26:09-03,PUCPR,HUCP,3403,S,Plantae,Monilofita,,,Aspleniaceae,Asplenium,serra,,Asplenium serra,Langsd. & L. Fisch.,,,,,,"Britez, RM",s.n.,,1986,03,22,,,Brasil,Paraná,Paranaguá,"Ilha do Mel, Reserva ecológica.",-48.5092010498047,-25.5200004577637,0,0,24916,,,,,,,,,,,,,HUCP00000160,HUCP00000160,auto
2019-12-04 15:26:09-03,PUCPR,HUCP,10520,S,Plantae,Monilofita,,,Aspleniaceae,Asplenium,serra,,Asplenium serra,Langsd. & L. Fisch.,"Labiak, P",1994,06,,,"Labiak, P",109,,1994,04,21,,,Brasil,Santa Catarina,Itapoá,Reserva Volta Velha,-48.6161003112793,-26.1168994903564,0,0,18121,,,,,,,,,,,,UPCB Nº 25795.,HUCP00000241,HUCP00000241,auto
2019-12-04 15:26:09-03,PUCPR,HUCP,23828,S,Plantae,Monilofita,,,Aspleniaceae,Asplenium,serra,,Asplenium serra,Langsd. & L. Fisch.,"Mazziero, FFF",2011,12,15,,"Mazziero, FFF; Soller, A",838,,2011,10,02,,,Brasil,São Paulo,Iporanga,"Parque Estadual Turístico do Alto Ribeira, Núcleo Ouro Grosso.",-48.5900001525879,-24.5799999237061,0,0,38740,,,,,,,,,,,,Crescendo em local parcialmente ensolarado e úmido.,HUCP00000135,HUCP00000135,auto
2020-02-08 10:43:03-03,NBC,NL-BOTANY,L.3727277,PreservedSpecimen,Plantae,,Pteropsida,Polypodiales,Aspleniaceae,Asplenium,serra,,Asplenium serra,Langsd. & Fisch.,,,,,,Beukema H; Verweij PA,,,1991,01,01,,Southern America,Colombia,,,Risaralda; PNN Los Nevados. Vereda El Bosque; Polylepis sericea dwarf forest and Monochaeto lindeniani.,-75.2,4.475,-75.2,4.475,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3727277 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-L3727277,NL-L3727277,
2020-02-08 10:43:03-03,NBC,NL-BOTANY,U.1002611,PreservedSpecimen,Plantae,,Pteropsida,Polypodiales,Aspleniaceae,Asplenium,serra,,Asplenium serra,Langsd. & Fisch.,McKee GS,2000,08,01,,Clarke HD; Williams (Guyana) R; Perry C,,,1999,09,16,,Southern America,Guyana,Upper Takutu-Upper Essequibo,,,-59.2,1.55,-59.2,1.55,,,,,,,,,,,,U 0086147,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1002611 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1002611,NL-U1002611,
2020-02-08 10:43:03-03,NBC,NL-BOTANY,U.1003058,PreservedSpecimen,Plantae,,Pteropsida,Polypodiales,Aspleniaceae,Asplenium,serra,,Asplenium serra,Langsd. & Fisch.,,,,,,Liesner RL,,,1988,10,15,,Southern America,Venezuela,,,"Terr. Fed. Amazonas, Dpto. Atabapo, Cerro Marahuaca, Summit on SE corner, open rocky plateau and ravines.",-65.35,3.616667,-65.35,3.616667,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1003058 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1003058,NL-U1003058,
2020-02-08 10:43:03-03,NBC,NL-BOTANY,U.1003059,PreservedSpecimen,Plantae,,Pteropsida,Polypodiales,Aspleniaceae,Asplenium,serra,,Asplenium serra,Langsd. & Fisch.,,,,,,Liesner RL,,,1988,11,05,,Southern America,Venezuela,,,"Terr. Fed. Amazonas, Dpto. Atabapo, Cerro Huachamacari, base of main wall and slope below it, E. side forest.",-65.716667,3.816667,-65.716667,3.816667,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1003059 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1003059,NL-U1003059,
2020-02-08 10:43:03-03,NBC,NL-BOTANY,U.1003060,PreservedSpecimen,Plantae,,Pteropsida,Polypodiales,Aspleniaceae,Asplenium,serra,,Asplenium serra,Langsd. & Fisch.,,,,,,Holst BK,,,1987,03,27,,Southern America,Venezuela,,,"Edo. Bolivar, Distr. Piar, Aparaman-tepui, westernmost of 4 tepuis in the Aparaman range.",-62.116667,5.9,-62.116667,5.9,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1003060 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1003060,NL-U1003060,
2019-08-27 13:34:54-03,IAP,PACA-AGP,112345,PreservedSpecimen,Plantae,Pteridophyta,Filicopsida,Polypodiales,Aspleniaceae,Asplenium,serra,,Asplenium serra,Langsd. & Fisch.,"Burmeister, E.L.",2011,04,23,,"Burmeister, E.L.",3,,2010,10,13,,,Brasil,RS,Três Cachoeiras,,-49.914192,-29.416453,49°54'51.09W,29°24'59.23S,,,,,,,,,,,,,Hábito: terrícola Ecossistema: floresta ombrófila densa,PACA112345,,
2019-08-27 13:34:54-03,IAP,PACA-AGP,115436,PreservedSpecimen,Plantae,Pteridophyta,Filicopsida,Polypodiales,Aspleniaceae,Asplenium,serra,,Asplenium serra,Langsd. & Fisch.,"Becker, D.F.P.",2013,09,10,,"Becker, D.F.P.",,,2013,09,10,,,Brasil,RS,São Francisco de Paula,Floresta Nacional de São Francisco de Paula,-50.394217,-29.420572,50º23'39.18W,29º25'14.06S,,,,,,,,,,,,,,PACA115436,,
