MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2020-10-27 11:21:59-03,PUCPR,HUCP,25510,S,Plantae,Eudicotiledonea,,,Asteraceae,Baccharis,crispa,,Baccharis crispa,Spreng,"Larocca, P; Cordeiro, J.",2013,,,,"Larocca, P; Felitto, G",61,,2013,03,02,,,Brasil,Parana,Campina Grande do Sul,Morro Camapuã,-49.0553016662598,-25.3055992126465,0,0,55154,,,,,,,,,,,,"Herbácea, 20 cm, flores alvas. Afloramento rochoso.",HUCP00025510,HUCP00025510,auto
2021-04-30 07:50:27-03,PUCPR,HUCP,25756,S,Plantae,Eudicotiledonea,,,Asteraceae,Baccharis,crispa,,Baccharis crispa,Spreng,"Hatschbach, G",,,,,"Botelho, A",553,,1980,07,26,,,Brasil,Parana,Foz do Iguaçu,Vila A de Itaipu,-54.5881004333496,-25.5478000640869,0,0,39570,,,,,,,,,,,,Subarbusto. Nome comum: carqueja. Coleção Ecomuseu/ITAIPU.,HUCP00025756,,auto
2019-12-04 15:24:46-03,PUCPR,HUCP,6647,S,Plantae,Eudicotiledonea,,,Asteraceae,Baccharis,crispa,,Baccharis crispa,Spreng,"Acra, LA",,,,,"Basso, RL",012,,1989,,,,,Brasil,Paraná,Antonina,Pico Paraná,-48.7118988037109,-25.4286003112793,0,0,38300,,,,,,,,,,,,,HUCP00007183,HUCP00007183,auto
2019-12-04 15:24:46-03,PUCPR,HUCP,6648,S,Plantae,Eudicotiledonea,,,Asteraceae,Baccharis,crispa,,Baccharis crispa,Spreng,"Acra, LA",,,,,"Basso, RL Alii",024,,1989,,,,,Brasil,Paraná,Antonina,Pico Paraná,-48.7118988037109,-25.4286003112793,0,0,38300,,,,,,,,,,,,,HUCP00007131,HUCP00007131,auto
2019-12-04 15:24:46-03,PUCPR,HUCP,6649,S,Plantae,Eudicotiledonea,,,Asteraceae,Baccharis,crispa,,Baccharis crispa,Spreng,"Acra, LA",,,,,"Basso, RL Alii",025,,1989,,,,,Brasil,Paraná,Antonina,Pico Paraná,-48.7118988037109,-25.4286003112793,0,0,38300,,,,,,,,,,,,,HUCP00007235,HUCP00007235,auto
2019-12-04 15:24:46-03,PUCPR,HUCP,14187,S,Plantae,Eudicotiledonea,,,Asteraceae,Baccharis,crispa,,Baccharis crispa,Spreng,"Jaszczerski, JC",,,,,"Schiller, CM",s.n.,,1995,04,13,,,Brasil,Paraná,Araucária,Estação,-49.4103012084961,-25.5930995941162,0,0,21346,,,,,,,,,,,,,HUCP00007157,HUCP00007157,auto
2019-12-04 15:24:46-03,PUCPR,HUCP,14188,S,Plantae,Eudicotiledonea,,,Asteraceae,Baccharis,crispa,,Baccharis crispa,Spreng,"Jaszczerski, JC",,,,,"Schiller, CM",003,,1995,04,13,,,Brasil,Paraná,Araucária,Estação,-49.4103012084961,-25.5930995941162,0,0,21346,,,,,,,,,,,,,HUCP00007111,HUCP00007111,auto
2019-12-04 15:24:46-03,PUCPR,HUCP,21342,S,Plantae,Eudicotiledonea,,,Asteraceae,Baccharis,crispa,,Baccharis crispa,Spreng,"Baccaro, M",,,,,"Baccaro, M",018,,2010,05,09,,,Brasil,Paraná,Balsa Nova,,-49.6356010437012,-25.5839004516602,0,0,27346,,,,,,,,,,,,,HUCP00007200,HUCP00007200,auto
2019-12-04 15:24:46-03,PUCPR,HUCP,21837,S,Plantae,Eudicotiledonea,,,Asteraceae,Baccharis,crispa,,Baccharis crispa,Spreng,,,,,,"Selusniaki, M",2669,,2009,03,23,,,Brasil,Paraná,Balsa Nova,,-49.6356010437012,-25.5839004516602,0,0,27346,,,,,,,,,,,,,HUCP00004211,HUCP00004211,auto
2020-10-27 11:21:59-03,PUCPR,HUCP,22033,S,Plantae,Eudicotiledonea,,,Asteraceae,Baccharis,crispa,,Baccharis crispa,Spreng,"Domet, L",,,,,"Domet, L",023,,2011,07,09,,,Brasil,Paraná,Balsa Nova,Rio dos Papagaios,-49.6356010437012,-25.5839004516602,0,0,27346,,,,,,,,,,,,,HUCP00006549,HUCP00006549,auto
