MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-08-27 13:27:02-03,IAP,PACA-AGP,67183,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Asterales,Compositae,Baccharis,platypoda,,Baccharis platypoda,DC.,,,,,,Mautone,705,,1979,05,23,,,Brasil,MG,Ouro Preto,Cachoeira das Andorinhas,-43.5080986022949,-20.2875003814697,,,44599,,,,,,,,,,,,"arbusto aprox. 1m alt.; flores perfumadas visitadas por abelhas; capitulos exudam uma substancia viscosa, frequente. Herb. JBRJ 190686",PACA067183,,auto
2019-08-27 13:27:02-03,IAP,PACA-AGP,67182,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Asterales,Compositae,Baccharis,platypoda,,Baccharis platypoda,DC.,,,,,,H. C. Lima,1315,,1980,08,06,,,Brasil,MG,Ouro Preto,Faz. do Manso,-43.5080986022949,-20.2875003814697,,,44599,,1310,1310,,,,,,,,,arb. 1-2m de alt. capit. albo esverdeados; H. JBRJ 201222 Habitat: na mata seca,PACA067182,,auto
2019-08-27 13:27:02-03,IAP,PACA-AGP,67128,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Asterales,Compositae,Baccharis,platypoda,,Baccharis platypoda,DC.,G. M. Barroso,1961,,,,Duarte,6441,,1961,10,25,,,Brasil,MG,Santa Luzia,Serra do Cipo,-43.8513984680176,-19.7696990966797,,,19939,,,,,,,,,,,,planta de formacao cerrada entre blocos de quartzo; Herb. JBRJ 114469,PACA067128,,auto
2021-03-24 17:08:41-03,UFES,SAMES,6243,PreservedSpecimen,Plantae,,,,Asteraceae,Baccharis,platypoda,,Baccharis platypoda,DC.,,,,,,"Pinto Junior,H.V.; Cruz,G.P.R;Justino,W.S.",288,,2016,05,26,,,Brasil,Espírito Santo,Castelo,,-41.184700012207,-20.6035995483398,-410544444.0,-203066667.0,23588,,,,,,,,,,,,Inflorescência amarela Habito: Arbusto,SAMES06243,,auto
2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0007911,PreservedSpecimen,Plantae,Magnoliophyta,,Asterales,Asteraceae,Baccharis,platypoda,,Baccharis platypoda,DC.,G. Hatschbach,,,,,"O. S. Ribas; J. Cordeiro, E. Barbosa",3062,,2000,2,3,,,Brazil,Parana,,"Serra Ibitiraquire, Morro Camapua (Mun. Campina Grande do Sul)",-49.0833,-25.3,,,,,,,,,,,,,,,"Subarbusto, 50cm, capitulo creme.",,,
2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0057854,PreservedSpecimen,Plantae,Magnoliophyta,,Asterales,Asteraceae,Baccharis,platypoda,,Baccharis platypoda,DC.,J. Cordeiro & V. C. Matin,,,,,J. Cordeiro; J. M. Silva,3558,,2010,3,8,,,Brazil,Minas Gerais,,Parque Nacional do Caparaó (Mun. Alto Caparaó).,-41.874666,-20.433066,,,,,1970,,,,,,,,,,"Subarbusto, 85 cm, capítulos creme.",,,
2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0007912,PreservedSpecimen,Plantae,Magnoliophyta,,Asterales,Asteraceae,Baccharis,platypoda,,Baccharis platypoda,DC.,O. S. Ribas,,,,,J. Cordeiro; E. Barbosa,2174,,2004,5,13,,,Brazil,Parana,,Serra da Bocaina (Mun. Bocaiuva do Sul),-49.1333,-25.1833,,,,,,,,,,,,,,,"Arbusto, 1.60m, capitulo creme.",,,
2021-05-17 15:43:33-03,UNICAMP,UEC,169770,S,Plantae,Magnoliopsida,,,Asteraceae,Baccharis,platypoda,,Baccharis platypoda,A.DC.,"Monge, M",,,,,"Monge, M; Shimizu, GH; Leoni, LS",958Y14,,2011,08,13,,,Brazil,Espirito Santo,Espera Feliz,"Parque Nacional do Caparaó, Estrada para Casa Queimada, lajão",-41.815278,-20.466389,-41.815278,-20.466389,,,2214,2214,,,,,,,,,"Arbusto, 30 cm de altura, flores amarelas (masculinas).; Vegetação montana",UEC190618,,
2021-05-17 15:43:33-03,UNICAMP,UEC,178557,S,Plantae,Magnoliopsida,,,Asteraceae,Baccharis,platypoda,,Baccharis platypoda,A.DC.,"Monge, M",,,,,"Monge, M; Shimizu, GH; Urbanetz, C",539,,2008,10,01,,,Brazil,Minas Gerais,Cardeal Mota,"Brasil. Minas Gerais, Cardeal Mota, Serra do Cipó, Estrada MG-010, Rio.",-43.546944,-19.266667,-43.546944,-19.266667,,,,,,,,,,,,,"Arbusto 2m de altura. Flores verdes-amareladas, ramos ascendentes.",UEC113410,UEC113410,
2021-05-17 15:43:33-03,UNICAMP,UEC,127897,S,Plantae,Magnoliopsida,,,Asteraceae,Baccharis,platypoda,,Baccharis platypoda,A.DC.,"Heiden, G",2010,11,03,,"Souza, VC; Souza, JP; Capellari Jr, L; Elias, SI; Forster, W",21045,,1998,04,07,,,Brazil,Minas Gerais,Santo Antônio do Itambé,Brasil: Minas Gerais. Município de Santo Antônio do Itambé. Pico do Itambé.,-43.317194,-18.401556,-43.317194,-18.401556,,,1500,1500,,,,,,,,,"Arbusto,ca. 1,4m alt., capítulos creme.; Campo rupestre.",UEC113397,UEC113397,
