MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2020-02-08 08:48:07-03,NBC,NL-BOTANY,U.1110708,PreservedSpecimen,Plantae,,Magnoliopsidae,Asterales,Compositae,Baccharis,serrulata,,Baccharis serrulata,(Lam.) Pers.,Hind DJN,1989,05,01,,Harley RM; Hind DJN,,,1988,12,14,,Southern America,Brazil,Bahia,,,-41.95,-13.533333,-41.95,-13.533333,,,,,,,,,,,,U 0159469,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1110708 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1110708,NL-U1110708,
2020-02-08 08:48:07-03,NBC,NL-BOTANY,U.1110706,PreservedSpecimen,Plantae,,Magnoliopsidae,Asterales,Compositae,Baccharis,serrulata,,Baccharis serrulata,(Lam.) Pers.,Hind DJN,1989,05,01,,Harley RM; Hind DJN,,,1988,12,14,,Southern America,Brazil,Bahia,,,-41.95,-13.533333,-41.95,-13.533333,,,,,,,,,,,,U 0159467,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1110706 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1110706,NL-U1110706,
2020-02-08 08:48:07-03,NBC,NL-BOTANY,U.1110707,PreservedSpecimen,Plantae,,Magnoliopsidae,Asterales,Compositae,Baccharis,serrulata,,Baccharis serrulata,(Lam.) Pers.,Hind DJN,1989,05,01,,Harley RM; Simao R; Hind DJN; Fothergill JM,,,1988,11,06,,Southern America,Brazil,Bahia,,,-41.883333,-13.533333,-41.883333,-13.533333,,,,,,,,,,,,U 0159468,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1110707 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1110707,NL-U1110707,
2021-03-03 11:03:43-03,UFPI,TEPB,22698,PreservedSpecimen,Plantae,,,,Asteraceae,Baccharis,serrulata,,Baccharis serrulata,(Lam.) Pers.,M. F. Cavalcanti,2006,03,28,,Alcina Viana,5,,2000,04,03,,,Brasil,Pernambuco,Buíque,"Vale do Catimbau, chapada de arenito.",-37.1557998657227,-8.62306022644043,,,38964,,,,,,,,,,,,"Herbácea, flores brancas Ambiente: Caatinga",,,auto
2019-08-27 13:27:06-03,IAP,PACA-AGP,48103,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Asterales,Compositae,Baccharis,serrulata,,Baccharis serrulata,Pers.,Emrich-Rambo,1954,07,01,,Spies,,,1950,02,,,,Brasil,RS,Santa Rosa,Campinas,-54.4813995361328,-27.8708000183105,,,19818,,,,,,,,,,,,SEM MATERIAL Habitat: in dumetosis Fenofase: flor,PACA048103,,auto
2021-03-24 17:08:41-03,UFES,SAMES,6232,PreservedSpecimen,Plantae,,,,Asteraceae,Baccharis,serrulata,,Baccharis serrulata,(Lam.) Pers.,,,,,,"Pinto Junior,H.V.; Cruz,G.P.R;Justino,W.S.",316,,2016,05,26,,,Brasil,Espírito Santo,Castelo,,-41.184700012207,-20.6035995483398,,-203066667.0,23588,,,,,,,,,,,,Flores brancas. Habito: Herbácea,SAMES06232,,auto
2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0007954,PreservedSpecimen,Plantae,Magnoliophyta,,Asterales,Asteraceae,Baccharis,serrulata,,Baccharis serrulata,Pers.,Stephen F. Smith,,,,,J. Brinker et alii;,5457,,1989,3,17,,,Brazil,Rio Grande do Sul,,"Caxias do Sul, Ana Rech, Faxinal.",-51.09029,-29.115021,,,,,700,,,,,,,,,,,,,
2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0007955,PreservedSpecimen,Plantae,Magnoliophyta,,Asterales,Asteraceae,Baccharis,serrulata,,Baccharis serrulata,Pers.,Graziela,,,,,J. P. P. Carauta;,247,,1965,1,31,,,Brazil,Rio de Janeiro,,"TIJUCA - RIO DE JANEIRO Guanabara, Pao de Azucar, Costao, 2do lance",-43.233333,-22.9,,,,,200,,,,,,,,,,Na escarpa de gnaisse facoidal. Erva de capitulos branco-amarelados.,,,
2021-05-17 15:43:38-03,UNICAMP,UEC,129837,S,Plantae,Magnoliopsida,,,Asteraceae,Baccharis,serrulata,,Baccharis serrulata,(Lam.) Pers.,,,,,,"Prado, P; Lewinsohn, TM; Buys, B",PIC95006,,1995,02,13,,,Brazil,Minas Gerais,Grão Mogol,,-42.960278,-16.622222,-42.960278,-16.622222,,,,,,,,,,,,,,UEC119593,UEC119593,
2021-05-17 15:43:38-03,UNICAMP,UEC,109541,S,Plantae,Magnoliopsida,,,Asteraceae,Baccharis,serrulata,,Baccharis serrulata,(Lam.) Pers.,"Heiden, G",2010,11,,,"Zappi, DC; Amaral, MCE; Costa, CB; Aona, LYS; Belinello, R",387,,1999,11,22,,,Brazil,Rio de Janeiro,Santa Maria Madalena,Subida a Pedra Dubois.,-41.989722,-21.893333,-41.989722,-21.893333,,,1400,1400,,,,,,,,,"Erva 50 cm, ao sol, inflorescência creme.; Mata e carrasco no topo afloramento de gnaisse.",UEC113662,UEC113662,
