MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:10:06-03,UFES,SAMES,6234,PreservedSpecimen,Plantae,,,,Velloziaceae,Barbacenia,pabstiana,,Barbacenia pabstiana,L.B.Sm. & Ayensu,,,,,,"Pinto Junior,H.V.; Cruz,G.P.R;Justino,W.S.",272,,2016,05,26,,,Brasil,Espírito Santo,Castelo,,-41.184700012207,-20.6035995483398,-410544444.0,-203066667.0,23588,,,,,,,,,,,,"Flores roxas, folhas verdes. Habito: Herbácea",SAMES06234,,auto
2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0014806,PreservedSpecimen,Plantae,Magnoliophyta,,Pandanales,Velloziaceae,Barbacenia,pabstiana,,Barbacenia pabstiana,L.B.Sm. & Ayensu,L. B. Smith,,,,,G. Hatschbach; O. Guimaraes,46888,,1983,10,16,,,Brazil,Espirito Santo,,Pedra Azul,-40.95,-20.433333,,,,,950,,,,,,,,,,flor violeta.,,,
2021-06-30 13:28:52-03,MBM,MBM,24564,S,Plantae,,,,Velloziaceae,Barbacenia,pabstiana,,Barbacenia pabstiana,L.B. Sm. & Ayensu,,,,,ISOTYPE,"Hatschbach, G.; Ahumada, Z.; Ahumada, Z.",31360,,1973,02,07,,Southern America,Brazil,Espírito Santo,Domingos Martins,Aracê,-40.6591987609863,-20.3633003234863,0,0,48150,,800,1000,,,,,,,,,Dos paredões das montanhas de morro. Flor violeta.; Flor violeta.; Dos paredões das montanhas de morro.,MBM024564,MBM024564,auto
2020-11-12 17:02:16-03,UEL,FUEL,4121,PreservedSpecimen,Plantae,Tracheophyta,,Pandanales,Velloziaceae,Barbacenia,pabstiana,,Barbacenia pabstiana,L.B.Sm. & Ayensu,"Smith, LB",1984,,,,"Hatschbach, G",46888,,1983,10,16,,,Brasil,Minas Gerais,Pedra Azul,,-41.2971992492676,-16.0053005218506,0,0,39993,,950,950,,,,,,,,,,FUEL009695,,auto
2021-02-23 13:23:11-03,MN,R-TIPOS,228157,PreservedSpecimen,Plantae,,,,Velloziaceae,Barbacenia,pabstiana,,Barbacenia pabstiana,L.B. Sm. & Ayensu,"Smith, L.B.",1975,,,Isotypus,"Hatschbach, G.; Ahumada, Z.",31360,,1973,02,07,,,Brasil,Espirito Santo,Domingos Martins,Aracê,-40.6591987609863,-20.3633003234863,,,48150,,8001000,8001000,,,,,,,,,,R000228157,R000228157_001,auto
2021-06-13 16:41:00-03,NY,NYBG,247987,PreservedSpecimen,Plantae,Magnoliophyta,,Pandanales,Velloziaceae,Barbacenia,pabstiana,,Barbacenia pabstiana,L.B.Sm. & Ayensu,L. B. Smith,,,,isotype,G. G. Hatschbach,31360,,1973,02,07,,South America,Brazil,Espírito Santo,Domingos Martins,Aracé,-40.6592,-20.3633,,,,,800,1000,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=23484' target='other'> <mi>dwc_moreinfo</mi></a>,NY00247987,NY00247987_01,
2021-06-13 16:41:00-03,NY,NYBG,685918,PreservedSpecimen,Plantae,Magnoliophyta,,Pandanales,Velloziaceae,Barbacenia,pabstiana,,Barbacenia pabstiana,L.B.Sm. & Ayensu,L. B. Smith,,,,,G. G. Hatschbach,46888,,1983,10,16,,South America,Brazil,Espírito Santo,,Pedra Azul,-41.041671,-20.419775,,,,,950,950,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=822584' target='other'> <mi>dwc_moreinfo</mi></a>,NY00685918,NY00685918_01,
2021-06-13 16:41:00-03,NY,NYBG,685919,PreservedSpecimen,Plantae,Magnoliophyta,,Pandanales,Velloziaceae,Barbacenia,pabstiana,,Barbacenia pabstiana,L.B.Sm. & Ayensu,R. de Mello-Silva,,,,,A. C. Brade,19774,,1949,05,12,,South America,Brazil,Espírito Santo,Castelo,Forno Grande,-41.108577,-20.492854,,,,,1200,1200,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=822585' target='other'> <mi>dwc_moreinfo</mi></a>,NY00685919,NY00685919_01,
2020-04-27 16:11:50-03,UFES,VIES,19008,S,Plantae,,,,Velloziaceae,Barbacenia,pabstiana,,Barbacenia pabstiana,L.B.Sm. & Ayensu,"Kollmann, L.J.C.",2009,09,17,,"Lorencini, T.S.; Siqueira, V.B.; Braun, A. & Dutra, S.S.",227,,2009,04,18,,,Brasil,Espírito Santo,Santa Maria de Jetibá,Garrafão. Sítio Renascer. Floresta Ombrófila Densa Montana. Afloramento rochoso.,-40.816667,-20.15,40º49'0''W,20º8'60''S,,,1030,1030,,,,,,,,,,VIES019008,VIES019008,
2020-04-27 16:11:50-03,UFES,VIES,38608,S,Plantae,,,,Velloziaceae,Barbacenia,pabstiana,,Barbacenia pabstiana,L.B.Sm. & Ayensu,"Manhães, V.C.",2014,11,01,,"Manhães, V.C.",527,,2014,12,13,,,Brasil,Espírito Santo,Castelo,,-41.184700012207,-20.6035995483398,,,23588,,,,,,,,,,,,,VIES038608,VIES038608,auto
2019-06-27 10:27:00-03,UFES,VIES,24773,S,Plantae,,,,Velloziaceae,Barbacenia,pabstiana,,Barbacenia pabstiana,L.B.Sm. & Ayensu,"Smith, L.B.",1975,,,Isotipo,"Hatschbach, G.; Ahumada, Z.",31360,,1973,02,07,,,Brasil,Espírito Santo,Domingos Martins,Aracê.,-40.6591987609863,-20.3633003234863,,,48150,,,,,,,,,,,,,VIES024773,VIES024773,auto
2020-11-03 16:40:26-03,UFES,VIES,32241,S,Plantae,,,,Velloziaceae,Barbacenia,pabstiana,,Barbacenia pabstiana,L.B.Sm. & Ayensu,C.A. Ferreira Jr.,2020,09,22,,"Dal col, A.C.S.; Cardoso, W.C. & Borges, W.S.",207,,2013,11,20,,,Brasil,Espírito Santo,Domingos Martins,Parque Estadual Pedra Azul.,-40.6591987609863,-20.3633003234863,,,48150,,1315,1315,,,,,,,,,,VIES032241,VIES032241,auto
2021-06-10 16:18:29-03,UFES,VIES,448,S,Plantae,,,,Velloziaceae,Barbacenia,pabstiana,,Barbacenia pabstiana,L.B.Sm. & Ayensu,"Tamashiro, J.Y.",,,,,"Pereira, O.J.; Shepherd, G.J.",,,1984,06,16,,,Brasil,Espírito Santo,Domingos Martins,Pedra Azul.,-40.6591987609863,-20.3633003234863,,,48150,,,,,,,,,,,,,VIES000448,VIES000448,auto
2021-06-10 16:18:29-03,UFES,VIES,915,S,Plantae,,,,Velloziaceae,Barbacenia,pabstiana,,Barbacenia pabstiana,L.B.Sm. & Ayensu,"Silva, R.M.",1993,05,,,"Santos, G.F.",,,1986,02,14,,,Brasil,Espírito Santo,Domingos Martins,Pedra Azul.,-40.6591987609863,-20.3633003234863,,,48150,,,,,,,,,,,,,VIES000915,VIES000915,auto
