MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:10:06-03,UFES,SAMES,1166,PreservedSpecimen,Plantae,,,,Velloziaceae,Barbacenia,purpurea,,Barbacenia purpurea,Hook.,"PintoJunior,H.V.",2019,01,15,,"Menezes, L.F.T.; Pinto Junior, H.V.; Covre, C.",2176,,2015,04,29,,,Brasil,Espírito Santo,Águia Branca,"Região dos Três Pontões de Águia Branca, afloramento da dissertação do Herval.",-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,"Folhas verdes opacas; flores vináceas, pouco abertas; sobre afloramento granítico.",SAMES01166,,auto
2021-03-24 17:10:06-03,UFES,SAMES,7279,PreservedSpecimen,Plantae,,,,Velloziaceae,Barbacenia,purpurea,,Barbacenia purpurea,Hook.,"PintoJunior,H.V.",2019,01,15,,"Menezes,L.F.T.",2491,,2017,09,26,,,Brasil,Espírito Santo,São Gabriel da Palha,Afloramento rochoso no centro da cidade,-40.5355987548828,-19.0174999237061,-405380555.0,-190166667.0,24907,,,,,,,,,,,,Com flores rochas Habitat: Afloramento Rochoso Habito: Herbácea,SAMES07279,,auto
2021-06-13 16:41:00-03,NY,NYBG,1281775,PreservedSpecimen,Plantae,Magnoliophyta,,Pandanales,Velloziaceae,Barbacenia,purpurea,,Barbacenia purpurea,Hook.,M. L. Dan,,,,,M. L. Dan,Ita7,,2007,09,15,,South America,Brazil,Rio de Janeiro,Campos dos Goytacazes,"Distrito de Ibitioca, Maciço do Itaoca, Morro do Macaco.",-41.4539,-21.7944,,,,,20,200,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1742363' target='other'> <mi>dwc_moreinfo</mi></a>,NY01281775,NY01281775_01,
2021-06-13 16:41:00-03,NY,NYBG,685912,PreservedSpecimen,Plantae,Magnoliophyta,,Pandanales,Velloziaceae,Barbacenia,purpurea,,Barbacenia purpurea,Hook.,L. B. Smith,,,,,M. Weddell,354,,1843,,,,South America,Brazil,Rio de Janeiro,,Environs de Rio Janeiro.,-43.448386,-22.913514,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=822576' target='other'> <mi>dwc_moreinfo</mi></a>,NY00685912,NY00685912_01,
2021-06-13 16:41:00-03,NY,NYBG,685911,PreservedSpecimen,Plantae,Magnoliophyta,,Pandanales,Velloziaceae,Barbacenia,purpurea,,Barbacenia purpurea,Hook.,L. B. Smith,,,,,G. Gardner,131,,1836,08,,,South America,Brazil,Rio de Janeiro,,Neighborhood of Rio de Janeiro,-43.448386,-22.913514,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=822575' target='other'> <mi>dwc_moreinfo</mi></a>,NY00685911,NY00685911_01,
2020-11-13 09:21:05-03,UFRJ,RFA,22864,PreservedSpecimen,Plantae,,,,Velloziaceae,Barbacenia,purpurea,,Barbacenia purpurea,Hook.,L.B. Smith,,,,,F. Segadas-Vianna,,,1945,03,07,,,Brasil,Rio de Janeiro,Itatiaia,Planalto,-44.5633010864258,-22.4960994720459,,,19648,,2000,2000,,,,,,,,,,RFA50399,,auto
2020-11-13 09:21:05-03,UFRJ,RFA,29456,PreservedSpecimen,Plantae,,,,Velloziaceae,Barbacenia,purpurea,,Barbacenia purpurea,Hook.,,,,,,F. Segadas-Vianna,,,1944,02,24,,,Brasil,Rio de Janeiro,Petrópolis,"Morro Assú, Serra dos Órgãos",-43.1786003112793,-22.5049991607666,,,36524,,,,,,,,,,,,,RFA50407,,auto
2020-11-13 09:21:05-03,UFRJ,RFA,29451,PreservedSpecimen,Plantae,,,,Velloziaceae,Barbacenia,purpurea,,Barbacenia purpurea,Hook.,,,,,,F. Segadas-Vianna,,,1945,01,17,,,Brasil,Rio de Janeiro,Petrópolis,"Vale n° 1, Planalto. Morro Assú - Serra dos Órgãos",-43.1786003112793,-22.5049991607666,,,36524,,2100,2100,,,,,,,,,Colônias de ca. 2 m de diâmetro,RFA50402,,auto
2015-09-03 19:17:12-03,MNHN,RECOLNAT_MNHN_P,P02085767,PreservedSpecimen,,,,,Velloziaceae,Barbacenia,purpurea,,Barbacenia purpurea,Hook.,,,,,,"Glaziou, A.",,,1872,8,7,,,Brasil,Rio de Janeiro,Niterói,Forteresse du Pic de Sta. Cruz,-43.1035995483398,-22.88330078125,,,14785,,,,,,,hb,,,,,<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02085767' target='other'> <mi>dwc_moreinfo</mi></a>,P02085767,P02085767_01,auto
2015-09-03 19:17:12-03,MNHN,RECOLNAT_MNHN_P,P02085757,PreservedSpecimen,,,,,Velloziaceae,Barbacenia,purpurea,,Barbacenia purpurea,Hook.,,,,,,"Glaziou, A.",,,,,,,,Brasil,Rio de Janeiro,Rio de Janeiro,"Brésil, prés de Botafogo",-43.2075004577637,-22.9027996063232,,,57442,,,,,,,hb,,,,,"Herbier de A. Glaziou donné par Mme SIMARD, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02085757' target='other'> <mi>dwc_moreinfo</mi></a>",P02085757,P02085757_01,auto
