MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:10:06-03,UFES,SAMES,1180,PreservedSpecimen,Plantae,,,,Velloziaceae,Barbacenia,tomentosa,,Barbacenia tomentosa,Mart.,"PintoJunior,H.V.",2019,01,15,,"Pinto Junior, H.V.; Justino, W.S.",209,,2015,12,04,,,Brasil,Espírito Santo,Mimoso do Sul,Conceição do Muqui. Pedra de pontões.,-41.3664016723633,-21.0641994476318,,,29430,,,,,,,,,,,,Herbácea habitando ilha de vegetação em afloramento granítico; folhas verdes; flores vermelhas; sol pleno.,SAMES01180,,auto
2021-05-17 15:39:48-03,UNICAMP,UEC,47449,S,Plantae,Liliopsida,,,Velloziaceae,Barbacenia,tomentosa,,Barbacenia tomentosa,Mart.,"Mello-Silva, R",2003,06,,,"Shepherd, GJ; Sales, MF; Kinoshita, LS; Miranda, AMCG; Miotto, STS",19182,,1987,07,02,,,Brazil,Minas Gerais,Carrancas,,-44.6425018310547,-21.4874992370605,0,0,21143,,,,,,,,,,,,Erva com 15cm de altura. Flores alaranjadas.; Cerrado.,UEC000888,UEC000888,auto
2021-05-17 15:39:48-03,UNICAMP,UEC,17485,S,Plantae,Liliopsida,,,Velloziaceae,Barbacenia,tomentosa,,Barbacenia tomentosa,Mart.,"Mello-Silva, R",2003,04,,,"Semir, J; Sazima, M",2092,,1972,05,01,,,Brazil,Minas Gerais,Jaboticatubas,"Ao longo da rodovia, Km 128.",-43.7449989318848,-19.513599395752,0,0,31264,,,,,,,,,,,,Flor amarela.,UEC000886,UEC000886,auto
2021-05-17 15:39:48-03,UNICAMP,UEC,23033,S,Plantae,Liliopsida,,,Velloziaceae,Barbacenia,tomentosa,,Barbacenia tomentosa,Mart.,"Mello-Silva, R",2003,06,,,"Leitão Filho, HF; Martins, FR; Shepherd, GJ; et al.",11980,,1980,12,10,,,Brazil,Minas Gerais,Lavras,,-44.999698638916,-21.2453002929688,0,0,20044,,,,,,,,,,,,Herbáceo de até 30cm. Flores vermelho-claro.; Em campo rupestre.,UEC000885,UEC000885,auto
2021-05-17 15:39:48-03,UNICAMP,UEC,46954,S,Plantae,Liliopsida,,,Velloziaceae,Barbacenia,tomentosa,,Barbacenia tomentosa,Mart.,"Mello-Silva, R",1990,08,,,"Semir, J; Martins, AB; Dutilh, JHA; Benacci, JL",19554,,1987,07,01,,,Brazil,Minas Gerais,São Tomé das Letras,Campo Rupestre,-44.9852981567383,-21.7222003936768,0,0,16076,,1300,1300,,,,,,,,,"flor, Planta crescendo entre pedras, flores vermelhas a salmon com estames roxos",UEC000882,UEC000882,auto
2021-06-30 13:28:52-03,MBM,MBM,160878,S,Plantae,,,,Velloziaceae,Barbacenia,tomentosa,,Barbacenia tomentosa,Mart.,"Mello-Silva, R.",,,,,"Mello-Silva, R.; et al.; et al.",213,,,,,,Southern America,Brazil,Minas Gerais,Lavras,Reserva de Poço Bonito,-44.999698638916,-21.2453002929688,0,0,20044,,,,,,,,,,,,,MBM160878,MBM160878,auto
2021-06-30 13:28:52-03,MBM,MBM,340550,S,Plantae,,,,Velloziaceae,Barbacenia,tomentosa,,Barbacenia tomentosa,Mart.,"Ferreira, F.M.",2002,06,12,,"Ferreira, F.M.",15,,2002,02,10,,Southern America,Brazil,Minas Gerais,São Tomé das Letras,"Área particular, proprietário Geraldo Alves Ferreira",-44.9852981567383,-21.7222003936768,0,0,16076,,,,,,,,,,,,"Erva com 30cm de altura, localizada sobre afloramento rochoso, forma aglomerados. A planta inteira possui mucilagem, folhas verdes flores avermelhadas com anteras também avermelhadas com ápice violáceo.",MBM340550,MBM340550,auto
2021-06-30 13:28:52-03,MBM,MBM,340549,S,Plantae,,,,Velloziaceae,Barbacenia,tomentosa,,Barbacenia tomentosa,Mart.,"Mello-Silva, R.",2002,08,,,"Ferreira, F.M.",31,,2001,11,22,,Southern America,Brazil,Minas Gerais,São Tomé das Letras,"Fazenda dos Correia, Paredão",-44.9852981567383,-21.7222003936768,0,0,16076,,,,,,,,,,,,"Erva ca. 30 cm, em campo muito pedregoso. Planta viscosa. Flores vermelhas, filetes alaranjados",MBM340549,MBM340549,auto
2021-06-30 13:28:52-03,MBM,MBM,235594,S,Plantae,,,,Velloziaceae,Barbacenia,tomentosa,,Barbacenia tomentosa,Mart.,"Mello-Silva, R.",,,,,"Mello-Silva, R.; et al.; et al.",1600,,,,,,Southern America,Brazil,Minas Gerais,São Tomé das Letras,Rua João B. Neves,-44.9852981567383,-21.7222003936768,0,0,16076,,,,,,,,,,,,,MBM235594,MBM235594,auto
2020-10-01 14:26:21-03,JBB,HEPH,34395,S,Plantae,Monocotyledon,,Pandanales,Velloziaceae,Barbacenia,tomentosa,,Barbacenia tomentosa,Mart.,,,,,,"Vidal, CV",s.n.,,2018,04,25,,Southern America,Brasil,Minas Gerais,Mariana,Complexo Germano,-43.54,-20.160833,-43.54,-20.160833,,,1432,1432,,,,,,,,,,,,
