MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:08:43-03,UFES,SAMES,1691,PreservedSpecimen,Plantae,,,,Begoniaceae,Begonia,lossiae,,Begonia lossiae,L.Kollmann,,,,,,"Pinto Junior, H.V.; Covre, C.",267,,2016,03,21,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Vertente leste da Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,"Herbácea habitando ilha de vegetação em afloramento rochoso; folhas verdes, brilhosas; flores brancas; abundante; sol.",SAMES01691,,auto
2021-06-30 13:07:42-03,MBM,MBM,392626,S,Plantae,,,,Begoniaceae,Begonia,lossiae,,Begonia lossiae,L. Kollmann,,,,,,"Kollmann, L.; Fraga, C.N.; Fontana, A.P.; Fraga, C.N.; Fontana, A.P.",10682,,2008,02,19,,Southern America,Brazil,Espírito Santo,Nova Venécia,"APA da Pedra do Elefante, Serra de Baixo, Pedra do Elefante",-40.4006004333496,-18.710599899292,0,0,42400,,400,645,,,,,,,,,"Erva rupícola no sol, caule vermelho, folha abaxial avermelhada, estípula translúcida com nervuras salientes, pedúnculo vermelho, frutos verde-avermelhados, sápalas rosadas, estigma amarelo, folhas de margens vermelhas. Material pren",MBM392626,MBM392626,auto
2020-09-10 15:32:59-03,UFES,VIES,41139,S,Plantae,,,,Begoniaceae,Begonia,lossiae,,Begonia lossiae,L.Kollmann,"Pena, N.T.L.",2016,10,10,,"Pena, N.T.L.; Amaral, R.N; Moraes, Q.S.",357,,2015,07,29,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,VIES041139,VIES041139,auto
2020-09-10 15:32:59-03,UFES,VIES,41123,S,Plantae,,,,Begoniaceae,Begonia,lossiae,,Begonia lossiae,L.Kollmann,,,,,,"Alves-Araújo, A.; Pena, N.T.L",1847,,2016,03,08,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,VIES041123,VIES041123,auto
2020-09-10 15:32:59-03,UFES,VIES,38788,S,Plantae,,,,Begoniaceae,Begonia,lossiae,,Begonia lossiae,L.Kollmann,"Pena, N.T.L.",2016,10,10,,"Pena, N.T.L.; Alves-Araújo, A.; Luber, J.; Sossai, B.G. & Souza, W.O.",310,,2015,06,23,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,VIES038788,VIES038788,auto
2021-05-18 10:58:16-03,UEFS,HUEFS,216203,PreservedSpecimen,Plantae,Angiospermae,Rosanae,Cucurbitales,Begoniaceae,Begonia,lossiae,,Begonia lossiae,L. Kollmann,,,,,,"Gregório, B.S.",257,,2013,05,11,,,Brasil,Bahia,Itamaraju,Fazenda Novo Pau-Brasil. Morro Pescoço. Em inselberg.,-39.590556,-16.995278,39W35'26'',16S59'43'',,,,,,,,,,,,,,HUEFS0216203,,
2020-07-23 11:59:46-03,CEPLAC,CEPEC,129727,PreservedSpecimen,Plantae,,,,Begoniaceae,Begonia,lossiae,,Begonia lossiae,,B. de S. Gregório,,,,,C. N. de Fraga,2091,,2008,05,10,,,Brasil,Espírito Santo,NOVA VENÉCIA,"Área de Proteção Ambiental da Pedra do Elefante. Serra de Baixo, Pedra do Elefante.",-40.45,-18.766667,40W27'0,18S46'0,,,,,,,,,,,,18/04/2012,,,,
2020-07-23 11:59:46-03,CEPLAC,CEPEC,129969,PreservedSpecimen,Plantae,,,,Begoniaceae,Begonia,lossiae,,Begonia lossiae,,B. de S. Gregório,,,,,R. C. Forzza,5176,,2008,07,17,,,Brasil,Espírito Santo,NOVA VENÉCIA,Área de Proteção Ambiental da Pedra do Elefante. Pedra do Elefante.,-40.443889,-18.776944,40W26'38,18S46'37,,,,,,,,,,,,18/04/2012,,,,
2020-07-23 11:59:46-03,CEPLAC,CEPEC,129949,PreservedSpecimen,Plantae,,,,Begoniaceae,Begonia,lossiae,,Begonia lossiae,,L. Kollmann,,,,,L. Kollmann,10682,,,,,,,Brasil,Espírito Santo,NOVA VENÉCIA,,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,<ll>dwc_commonname:</ll>,,,auto
2020-07-23 11:59:46-03,CEPLAC,CEPEC,129958,PreservedSpecimen,Plantae,,,,Begoniaceae,Begonia,lossiae,,Begonia lossiae,,L. Kollmann,,,,,L. Kollmann,10679,,,,,,,Brasil,Espírito Santo,NOVA VENÉCIA,,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,<ll>dwc_commonname:</ll>,,,auto
2020-07-23 11:59:46-03,CEPLAC,CEPEC,130128,PreservedSpecimen,Plantae,,,,Begoniaceae,Begonia,lossiae,,Begonia lossiae,,L. Kollmann,,,,,L. Kollmann,11398,,,,,,,Brasil,Espírito Santo,NOVA VENÉCIA,,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,<ll>dwc_commonname:</ll>,,,auto
2020-07-10 09:43:57-03,MBML,MBML-HERBARIO,29787,,Plantae,,,,Begoniaceae,Begonia,lossiae,,Begonia lossiae,L. Kollmann,L. Kollmann/Agosto-2007,,,,HOLOTIPO,L. Kollmann,9627,,2007,04,14,,,Brasil,Espírito Santo,Santa Teresa,"Alto Perdido, fazenda Montanhosa, terreno dos Bridge",-40.741944,-19.828056,40W44'31,19S49'41,,,,,,,,,1,,,,"Erva 40cm no sol, rupícola, pedúnculo caule e pecíolos vermelhos, folha verdes claras, frutos vermelhos, flores masculinas rosas.",MBML029787,MBML029787,
2020-07-10 09:43:57-03,MBML,MBML-HERBARIO,33820,,Plantae,,,,Begoniaceae,Begonia,lossiae,,Begonia lossiae,L.Kollmann,,,,,,L. Kollmann; et al,10679,,2008,02,18,,,Brasil,Espírito Santo,Nova Venécia,Área de Proteção Ambiental da Pedra do Elefante,-40.446389,-18.782778,40W26'47,18S46'58,,,,,,,,,,,,,"Erva rupicola no sol, caule vermelho, folha abaxial avermelhada, estipula translucida com nervuras salientes, pedunculo vermelho, frutos verde-avermelhados, sépalas rosadas, estigma amarelo, folhas de margens vermelhas.Material prensad",MBML033820,MBML033820,
2020-07-10 09:43:57-03,MBML,MBML-HERBARIO,34378,,Plantae,,,,Begoniaceae,Begonia,lossiae,,Begonia lossiae,L.Kollmann,L. Kollmann/16-09-2008,,,,,C. N. de Fraga; et al,2091,,2008,05,10,,,Brasil,Espírito Santo,Nova Venécia,Área de Proteção Ambiental da Pedra do Elefante,-40.45,-18.766667,40W26'60,18S46'0,,,,,,,,,,,,,,MBML034378,MBML034378,
2020-07-10 09:43:57-03,MBML,MBML-HERBARIO,35029,,Plantae,,,,Begoniaceae,Begonia,lossiae,,Begonia lossiae,L.Kollmann,L. Kollmann/29-04-2008,,,,,"L. Kollmann; A.P. Fontana, E. Leme & M. Zanoni",11016,,2008,04,29,,,Brasil,Espírito Santo,Nova Venécia,"Serra de Baixo, APA da Pedra do Elefante, Pedra da Torre",-40.432778,-18.7825,40W25'58,18S46'57,,,,,,,,,,,,,"Erva rupestre no sol, flores rosas. Folhas vermelhas face abaxial.",MBML035029,MBML035029,
2020-07-10 09:43:57-03,MBML,MBML-HERBARIO,36172,,Plantae,,,,Begoniaceae,Begonia,lossiae,,Begonia lossiae,L. Kollmann,,,,,,L. Kollmann; et al,10682,,2008,02,19,,,Brasil,Espírito Santo,Nova Venécia,Área de Proteção Ambiental da Pedra do Elefante,-40.432778,-18.7825,40W25'58,18S46'57,,,,,,,,,,,,,,MBML036172,MBML036172,
2020-07-10 09:43:57-03,MBML,MBML-HERBARIO,36296,,Plantae,,,,Begoniaceae,Begonia,lossiae,,Begonia lossiae,L. Kollmann,L. Kollmann/28-11-2008,,,,,R. C. Forzza; et al,5176,,2008,07,17,,,Brasil,Espírito Santo,Nova Venécia,Área de Proteção Ambiental da Pedra do Elefante,-40.443889,-18.776944,40W26'38,18S46'37,,,,,,,,,,,,,,MBML036296,MBML036296,
2021-06-08 14:01:24-03,MBML,MBML-HERBARIO,39063,,Plantae,,,,Begoniaceae,Begonia,lossiae,,Begonia lossiae,L.Kollmann,L.Kollmann/14-01-2009,2009,01,14,,"L. Kollmann; B.Schwartsburd, A.P.Fontana & P.Labiak Evangelista.",11398,,2009,01,14,,,Brasil,Espírito Santo,Nova Venécia,"APA da Pedra do Elefante. Serra de Baixo, morro lado direito na estrada para a Pedra do Elefante, afloramento rochoso. Inselbergue.",-40.4475,-18.77,40W26'51,18S46'12,,,300,300,,,,,,,,,"Erva rupícola no sol, caule e inflorescência vermelha, flores brancas.",MBML039063,MBML039063,
2020-07-10 09:43:57-03,MBML,MBML-HERBARIO,42381,,Plantae,,,,Begoniaceae,Begonia,lossiae,,Begonia lossiae,L. Kollmann,L.Kollmann/19-8-2010,,,,,L. Kollmann; & R.M.Pizziolo,12000,,2010,08,19,,,Brasil,Espírito Santo,Santa Teresa,Alto Rio Perdido,-40.739722,-19.826944,40W44'23,19S49'37,,,800,800,,,,,,,,,"Erva 30cm rupícola ao sol, caule vermelho, folhas verdes, margens vermelhas, flores branco-rosadas.",MBML042381,MBML042381,
2020-07-10 09:43:57-03,MBML,MBML-HERBARIO,47661,,Plantae,,,,Begoniaceae,Begonia,lossiae,,Begonia lossiae,L. Kollmann,A. Assis,,,,,A. M. Assis; M.D.S. Demuner & M. B. Redighieri,2470,,2010,04,26,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante - Pedra do Elefante,-40.457611,-18.767,"40W27'27,4","18S46'1,2",,,630,630,,,,,,,,,Rupícola; flores brancas; frutos jovens,MBML047661,MBML047661,
2020-07-10 09:43:57-03,MBML,MBML-HERBARIO,50638,,Plantae,,,,Begoniaceae,Begonia,lossiae,,Begonia lossiae,L. Kollmann,L. Kollmann/26-09-2016,,,,,L.O. Azevedo; L.F.A. de Paula & R.C. Forzza,435,,2016,03,16,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. APA da Pedra do Elefante,-40.456667,-18.769167,40W27'24,18S46'9,,,620,620,,,,,,,,,"Flores com corola branca. Frutos imaturos verdes. Face adaxial das folhas com aspecto brilhante. Caule róseo-avermelhado. Indivíduos não muito frequentes. Habitat: Em ilha de vegetação, depressão rasa. Inselberg granitico com entorno f",MBML050638,,
2020-07-10 09:43:57-03,MBML,MBML-HERBARIO,50712,,Plantae,,,,Begoniaceae,Begonia,lossiae,,Begonia lossiae,L. Kollmann,L.Kollmann,,,,,L. Kollmann; R. Pizziolo,12292,,2011,05,10,,,Brasil,Espírito Santo,Santa Teresa,Alto Rio Perdido,-40.738583,-19.825833,"40W44'18,9",19S49'33,,,670,670,,,,,,,,,"Erva rupicola ao sol, caule vermelho, estipulas verdes, folhas verdes de margens vermelhas, inflorescencia vermelha, flores rosas, estamens amarelos, frutos avermelhados.",MBML050712,MBML050712,
