MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:08:43-03,UFES,SAMES,6195,PreservedSpecimen,Plantae,,,,Begoniaceae,Begonia,valdensium,,Begonia valdensium,A.DC.,,,,,,"Pinto Juniro,H.V.; Cruz,G.P.R.;Justino,W.S.",307,,2016,05,26,,,Brasil,Espírito Santo,Castelo,Mirante do Parque.,-41.184700012207,-20.6035995483398,-410908333.0,-205111111.0,23588,,,,,,,,,,,,"Em interior de mata de encosta, próximo a afloramento rochoso; caule roxo; folhas verdes. Habito: Herbáceo",SAMES06195,,auto
2021-03-24 17:08:43-03,UFES,SAMES,6196,PreservedSpecimen,Plantae,,,,Begoniaceae,Begonia,valdensium,,Begonia valdensium,A.DC.,,,,,,"Pinto Juniro,H.V.; Cruz,G.P.R.;Justino,W.S.",318,,2016,05,26,,,Brasil,Espírito Santo,Castelo,Mirante do Parque.,-41.184700012207,-20.6035995483398,-410908333.0,-205111111.0,23588,,,,,,,,,,,,"Interior de Mata de Encosta; folhas verdes com face abaxial roxa; sépalas vermelhas, flores brancas. Habito: Herbáceo",SAMES06196,,auto
2021-05-17 15:47:10-03,UNICAMP,UEC,116329,S,Plantae,Magnoliopsida,,,Begoniaceae,Begonia,valdensium,,Begonia valdensium,A.DC.,"Souza, VC",2000,04,,,"Souza, JP; Souza, VC; Salino, A; Paranaguá, PA; Oliveira, RC; Scarpa, F",3504,,2000,04,25,,,Brazil,São Paulo,Caraguatatuba,"Parque Estadual da Serra do Mar, Núcleo Caraguatatuba. Estrada intermediária, ca. Km 41.",-45.6725,-23.645556,-45.6725,-23.645556,,,1100,1100,,,,,,,,,"Erva, 1m de altitude; flores alvas, frutos róseos. Interior de mata úmida.; Floresta Ombrófila Densa.",UEC041871,UEC041871,
2021-05-17 15:47:10-03,UNICAMP,UEC,81975,S,Plantae,Magnoliopsida,,,Begoniaceae,Begonia,valdensium,,Begonia valdensium,A.DC.,"Jacques, EL",1997,11,11,,"Costa, CB; Kirizawa, M; Rapini, A",199,,1996,03,19,,,Brazil,São Paulo,Cunha,Parque Estadual da Serra do Mar - Núcleo Cunha. Trilha paralela ao Rio Paraibuna.,-45.048056,-23.224444,-45.048056,-23.224444,,,1100,1100,,,,,,,,,"Erva ca. 1,5 m de altura. Flores brancas. Anteras amarelas. Eixo da inflorescência róseo. Ala rósea. Material tratado com formol.; Mata Tropical Pluvial de Altitude, em fase de regeneração.",UEC041876,UEC041876,
2021-05-17 15:47:10-03,UNICAMP,UEC,140754,S,Plantae,Magnoliopsida,,,Begoniaceae,Begonia,valdensium,,Begonia valdensium,A.DC.,,,,,,"Correia, CMB",98,,1990,08,15,,,Brazil,Rio de Janeiro,Nova Friburgo,"Macaé de Cima, proximidades do Sítio Fazenda Velha.",-42.5311012268066,-22.2819004058838,0,0,33190,,,,,,,,,,,,"Erva umbrófila na beira da estrada, folhas discolores, flores com sépalas vináceas, pétalas brancas, androceu amarelo; frutos passados castanho escuro e alas castanho - claras.",UEC041874,UEC041874,auto
2021-05-17 15:47:10-03,UNICAMP,UEC,85858,S,Plantae,Magnoliopsida,,,Begoniaceae,Begonia,valdensium,,Begonia valdensium,A.DC.,"Jacques, EL",1997,11,11,,"Shirasuna, RT; Simão-Bianchini, R; Rossi, L; Kiyama, CY",31,,1994,09,05,,,Brazil,São Paulo,Salesópolis,Estação Biológica de Boracéia. Estrada para a barragem da SABESP no Rio Guaratuba.,-45.8400001525879,-23.5300006866455,0,0,18032,,,,,,,,,,,,"Erva na beira da estrada, folhas discolores, face adaxial verde escuro, abaxial vinho. Pedúnculo vinho, flores branco rosadas, anteras amarelas. Frutos maduros castanhos.",UEC041873,UEC041873,auto
2021-05-17 15:47:10-03,UNICAMP,UEC,497,S,Plantae,Magnoliopsida,,,Begoniaceae,Begonia,valdensium,,Begonia valdensium,A.DC.,"Jacques, EL",1991,12,19,,"Makino, H",41,,1977,05,21,,,Brazil,São Paulo,São Miguel Arcanjo,"Ca. de 70 Km ao Sul de Itapetininga, Reserva Carlos Botelho.",-47.9900016784668,-23.8700008392334,0,0,27904,,,,,,,,,,,,"Herbácea, com mais ou menos 80 cm de altura; inflorescência brancas. Barranco, beira da mata.",UEC041868,UEC041868,auto
2021-05-17 15:47:10-03,UNICAMP,UEC,486,S,Plantae,Magnoliopsida,,,Begoniaceae,Begonia,valdensium,,Begonia valdensium,A.DC.,"Jacques, EL",1991,12,19,,"Vital, DM",s.n.,,1977,05,22,,,Brazil,São Paulo,São Miguel Arcanjo,"Reserva Florestal Carlos Botelho, ca. 55 Km de Itapetininga.",-47.9900016784668,-23.8700008392334,0,0,27904,,,,,,,,,,,,"Herbácea, sobre tronco de árvore, flores brancas e com frutos.",UEC041867,UEC041867,auto
2021-05-17 15:47:10-03,UNICAMP,UEC,507,S,Plantae,Magnoliopsida,,,Begoniaceae,Begonia,valdensium,,Begonia valdensium,A.DC.,"Jacques, EL",1991,12,19,,"Gibbs, PE; Leitão Filho, HF; Andrade, JB",4620,,1977,03,30,,,Brazil,São Paulo,Ubatuba,"Rodovia Ubatuba-Taubaté, no alto da Serra em Mata.",-45.0699996948242,-23.4300003051758,0,0,34265,,,,,,,,,,,,Herbáceo até 80 cm; flores brancacentas com leves tons róseos.,UEC041878,UEC041878,auto
2020-06-29 09:29:45-03,UFRRJ,RBR,38919,S,Plantae,,,,Begoniaceae,Begonia,valdensium,,Begonia valdensium,A.DC.,E.L. Jacques,2016,04,26,,"E.L. Jacques; A.J. Santos-Junior, Marcelo",1973,,2016,04,26,,,Brasil,Rio de Janeiro,Paraty,Estrada Paraty-Cunha; RJ-165;,-44.833889,-23.200278,44º50'2''W,23º12'1''S,,,918,918,,,,,,,,,,RBR00038919,,
