MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-12-04 15:24:48-03,PUCPR,HUCP,12483,S,Plantae,Eudicotiledonea,,,Asteraceae,Bidens,segetum,,Bidens segetum,Mart. ex Colla.,"Cervi, AC",,,,,"Cervi, AC",4078,,1993,04,03,,,Brasil,Paraná,Ponta Grossa,Furnas,-50.1618995666504,-25.0949993133545,0,0,46557,,,,,,,,,,,,Nº 40124.,HUCP00007408,HUCP00007408,auto
2020-02-08 08:48:19-03,NBC,NL-BOTANY,U.1116038,PreservedSpecimen,Plantae,,Magnoliopsidae,Asterales,Compositae,Bidens,segetum,,Bidens segetum,Mart. ex Colla,Barroso GM; Esteves R,,,,,Gottsberger IS; Gottsberger GK,,,1977,04,25,,Southern America,Brazil,São Paulo,,,-48.416667,-22.75,-48.416667,-22.75,,,,,,,,,,,,U 0101737,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1116038 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1116038,NL-U1116038,
2021-03-24 17:08:41-03,UFES,SAMES,6224,PreservedSpecimen,Plantae,,,,Asteraceae,Bidens,segetum,,Bidens segetum,Mart. ex Colla,,2016,05,26,,"Pinto Junior,H.V.; Cruz,G.P.R;Justino,W.S.",315,,,,,,,Brasil,Espírito Santo,Castelo,Mirante do parque.,-41.184700012207,-20.6035995483398,-410544444.0,-203066667.0,23588,,,,,,,,,,,,Habito: Herbácea,SAMES06224,,auto
2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0006018,PreservedSpecimen,Plantae,Magnoliophyta,,Asterales,Asteraceae,Bidens,segetum,,Bidens segetum,Mart. ex Colla,G. Hatschbach,,,,,"G. Hatschbach; M. Hatschbach, E. Barbosa",72022,,2001,,16,,,Brazil,Minas Gerais,,Serra do Cabral (Mun. Joaquim Felicio).,-44.146349,-17.779655,,,,,950,,,,,,,,,,"Arbusto, 1 m, capitulo amarelo.",,,
2021-05-17 15:43:44-03,UNICAMP,UEC,143479,S,Plantae,Magnoliopsida,,,Asteraceae,Bidens,segetum,,Bidens segetum,Mart. ex Colla,,,,,,"Kinoshita, LS; Urbanetz, C; Andreazza, NL",23,,2006,05,04,,,Brazil,Minas Gerais,Extrema,Campo de altitude,-46.483333,-23.433333,-46.483333,-23.433333,,,1373,1373,,,,,,,,,"liana arbustiva, brácteas e pétalas amarelas",UEC131143,UEC131143,
2021-05-17 15:43:44-03,UNICAMP,UEC,112444,S,Plantae,Magnoliopsida,,,Asteraceae,Bidens,segetum,,Bidens segetum,Mart. ex Colla,"Bueno, VR",2016,12,,,"Souza, VC; Souza, JP; Elias, SI; Forster, W; Oliveira, ACP",22596,,1999,05,16,,,Brazil,Minas Gerais,Joaquim Felício,Serra do Cabral,-44.199167,-17.690556,-44.199167,-17.690556,,,,,,,,,,,,,Arbusto ca. 1.5m alt.; flores amarelas; Campo,UEC113774,UEC113774,
2021-05-17 15:43:44-03,UNICAMP,UEC,112445,S,Plantae,Magnoliopsida,,,Asteraceae,Bidens,segetum,,Bidens segetum,Mart. ex Colla,"Bueno, VR",2016,12,,,"Souza, VC; Souza, JP; Elias, SI; Forster, W; Oliveira, ACP",22580,,1999,05,16,,,Brazil,Minas Gerais,Joaquim Felício,Serra do Cabral,-44.267222,-17.698333,-44.267222,-17.698333,,,,,,,,,,,,,"Arbusto, ca. 1.2m alt., capítulos amarelos; Campo rupestre",UEC113732,UEC113732,
2021-05-17 15:43:44-03,UNICAMP,UEC,121923,S,Plantae,Magnoliopsida,,,Asteraceae,Bidens,segetum,,Bidens segetum,Mart. ex Colla,"Reis-Silva, GA",2017,03,,,"Souza, LC",323,,1998,04,20,,,Brazil,São Paulo,Itapetininga,Estação esperimental,-48,-23.566667,-48,-23.566667,,,,,,,,,,,,,"Herbácea, ramos longos, flores amarelas; Campo",UEC113760,UEC113760,
2021-05-17 15:43:44-03,UNICAMP,UEC,162527,S,Plantae,Magnoliopsida,,,Asteraceae,Bidens,segetum,,Bidens segetum,Mart. ex Colla,,,,,,"Kinoshita, LS; Urbanetz, C; Andreazza, NL",23,,2006,05,04,,,Brazil,Minas Gerais,Extrema,Campo de altitude,-46.483333,-23.433333,-46.483333,-23.433333,,,1373,1373,,,,,,,,,"liana arbustiva, brácteas e pétalas amarelas",UEC092908,UEC092908,
2021-05-17 15:43:44-03,UNICAMP,UEC,157286,S,Plantae,Magnoliopsida,,,Asteraceae,Bidens,segetum,,Bidens segetum,Mart. ex Colla,,,,,,"Kinoshita, LS; Yamamoto, LF; Morita, VU",4,,2006,05,04,,,Brazil,Minas Gerais,Extrema,Campo de altitude,-46.483333,-23.433333,-46.483333,-23.433333,,,1373,1373,,,,,,,,,Arbusto trepador de flores amarelas.,UEC015025,UEC015025,
