MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-05-17 15:38:08-03,UNICAMP,UEC,133195,S,Plantae,Liliopsida,,,Orchidaceae,Bifrenaria,tyrianthina,,Bifrenaria tyrianthina,(Loudon) Rchb.f.,"Koehler, S",2002,05,,,"Harley, RM; Hind, DJN",26104,,1988,11,12,,,Brazil,Bahia,Rio de Contas,"Pico das Almas, Vertente leste. Campo do Queiroz.",-41.95,-13.533333,-41.95,-13.533333,,,1200,1200,,,,,,,,,"Orquídea terrestre. Segmentos de perianto purpúreos passando a creme-rosado com a idade. Labelo hirsuto, nervuras purpúreas num fundo branco na fauce. Fauce branca.; Campo arenoso com afloramento de rocha conglomerada. Afloramento na á",UEC083040,UEC083040,
2021-05-17 15:38:08-03,UNICAMP,UEC,35150,S,Plantae,Liliopsida,,,Orchidaceae,Bifrenaria,tyrianthina,,Bifrenaria tyrianthina,(Loudon) Rchb.f.,"Koehler, S",2002,05,,,"Sazima, M",13341,,1971,07,14,,,Brazil,Minas Gerais,Jaboticatubas,Km 128.,-43.7449989318848,-19.513599395752,0,0,31264,,,,,,,,,,,,,UEC083037,UEC083037,auto
2021-05-17 15:38:08-03,UNICAMP,UEC,35206,S,Plantae,Liliopsida,,,Orchidaceae,Bifrenaria,tyrianthina,,Bifrenaria tyrianthina,(Loudon) Rchb.f.,"Koehler, S",2002,05,,,"Sazima, M",13413,,1972,11,02,,,Brazil,Minas Gerais,Jaboticatubas,Km 132.,-43.7449989318848,-19.513599395752,0,0,31264,,,,,,,,,,,,,UEC083035,UEC083035,auto
2021-05-17 15:38:08-03,UNICAMP,UEC,35308,S,Plantae,Liliopsida,,,Orchidaceae,Bifrenaria,tyrianthina,,Bifrenaria tyrianthina,(Loudon) Rchb.f.,"Koehler, S",2002,05,,,"Sazima, M",13386,,1971,12,14,,,Brazil,Minas Gerais,Jaboticatubas,Km 138.,-43.7449989318848,-19.513599395752,0,0,31264,,,,,,,,,,,,,UEC083038,UEC083038,auto
2021-05-17 15:38:08-03,UNICAMP,UEC,117785,S,Plantae,Liliopsida,,,Orchidaceae,Bifrenaria,tyrianthina,,Bifrenaria tyrianthina,(Loudon) Rchb.f.,"Guimarães, LRS",2008,10,17,,"Giulietti, AM; et al.",s.n.,,1985,11,01,,,Brazil,Minas Gerais,Santana do Riacho,km 125,-43.7144012451172,-19.1688995361328,0,0,26557,,,,,,,,,,,,Sobre pedras emtre líquens. Pseudo bulbo amarelo. Flores róseo-alaranjadas com calcar.,UEC083036,UEC083036,auto
2020-10-01 14:25:52-03,JBB,HEPH,21071,S,Plantae,Monocotyledon,,Asparagales,Orchidaceae,Bifrenaria,tyrianthina,,Bifrenaria tyrianthina,(Lodd. ex Loudon) Rchb.f.,"Salles, AEH",2004,06,13,,"Salles, AEH; Oliveira, MS; Jesus, FPR de; Carvalho, FJ de; Azevedo, INC de","3272A,B,C",,2004,06,13,,Southern America,Brasil,Minas Gerais,Jaboticatubas,Serra do Cipó,-43.5505,-19.258972,-43.5505,-19.258972,,,,,,,,,,,,,,,,
2019-06-10 10:11:19-03,FZB-BH,BHZB,10117,S,Plantae,,,,Orchidaceae,Bifrenaria,tyrianthina,,Bifrenaria tyrianthina,,,,,,,"Ferreira Junior, C.A.",717,,2012,11,28,,,Brasil,MG,Santana do Riacho,"RPPN Brumas do Espinhaço e Ermo do Gerais, Brumas",-43.709722,-19.038611,43W 42' 35,19S 02' 19,,,1341,1341,,,,,,,,,"Ponto 85, 635786 7894395 1341m, com duplicata",,,
2019-06-10 10:11:19-03,FZB-BH,BHZB,4460,S,Plantae,,,,Orchidaceae,Bifrenaria,tyrianthina,,Bifrenaria tyrianthina,,R.C. Mota,2008,04,,,"Mendonça, M.P. et al.",,,2004,01,20,,,Brasil,MG,Nova Lima,Capão Xavier,-43.8466987609863,-19.9855995178223,,,29211,,,,,,,,,,,,Canga.,,,auto
2021-06-13 16:41:00-03,NY,NYBG,822482,PreservedSpecimen,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Bifrenaria,tyrianthina,,Bifrenaria tyrianthina,(Lodd.) Rchb.f.,,,,,,W. Ganev,1487,,1992,11,18,,South America,Brazil,Bahia,Abaíra,Campos da Serra do Bicota,-41.85,-13.33,,,,,1550,1550,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=912314' target='other'> <mi>dwc_moreinfo</mi></a>,NY00822482,NY00822482_01,
2021-06-25 18:21:01-03,UFV,VIC,024230,PreservedSpecimen,Plantae,,,,Orchidaceae,Bifrenaria,tyrianthina,,Bifrenaria tyrianthina,(Lodd. ex Loudon) Rchb.f.,,,,,,"Leão, N.A.P.",3,,1999,09,01,,,Brasil,Minas Gerais,Mariana,Cachoeira do Bumbaça.,-43.4160995483398,-20.377799987793,0,0,33524,,,,,,,,,,,,"Espécie rupicola, heliofila, coletada em local de umidade relativa alta em mata nativa, sendo substrato rochoso coberto por m.o.",VIC024230,VIC024230,auto
