MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2020-03-05 09:31:18-03,IAP,PACA-AGP,118939,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Solanales,Convolvulaceae,Bonamia,agrostopolis,,Bonamia agrostopolis,(Vell.) Hallier f.,"Moreira, A.L.C.",2015,12,28,,"Romanos, R.W.R.",,,,,,,,Brasil,PR,Londrina,"Sítio Nossa Senhora de Fátima, estrada do limoeiro",-51.1627998352051,-23.3103008270264,,,63728,,,,,,,,,,,,Herbário FUEL nº 6463&nf;cachos de frutos verdes Habitat: no interior da mata Hábito: trepadeira,PACA118939,,auto
2021-05-17 15:50:18-03,UNICAMP,UEC,118241,S,Plantae,Magnoliopsida,,,Convolvulaceae,Bonamia,agrostopolis,,Bonamia agrostopolis,(Vell.) Hallier f.,"Simão-Bianchini, R",2000,09,,,"Bertoncini, AP; Bertoncini, MP",870,,1998,09,02,,,Brazil,São Paulo,Avaí,Aldeia Guarani.,-49.316667,-22.166667,-49.316667,-22.166667,,,,,,,,,,,,,"Trepadeira, 5m de altura, folhas membranáceas, frutos marrons; Floresta Estacional Semidecidual Submontana perturbada.",UEC097990,UEC097990,
2021-05-17 15:50:18-03,UNICAMP,UEC,118866,S,Plantae,Magnoliopsida,,,Convolvulaceae,Bonamia,agrostopolis,,Bonamia agrostopolis,(Vell.) Hallier f.,"Simão-Bianchini, R",2003,11,,,"Souza, VC; Souza, JP",11399,,1996,06,08,,,Brazil,São Paulo,Rubiácea,"Estrada para Bento de Abreu, Cerca de 2 km da cidade em direção à Rodovia Marechal Rondon.",-50.728889,-21.273611,-50.728889,-21.273611,,,410,410,,,,,,,,,"flor, Mata mesófila semidecídua bastante perturbada.",UEC097982,UEC097982,
2021-06-07 16:26:21-03,UNICAMP,UEC,26965,S,Plantae,Magnoliopsida,,,Convolvulaceae,Bonamia,agrostopolis,,Bonamia agrostopolis,(Vell.) Hallier f.,"Moreira, ALC",2019,01,29,,"Harley, RM",18927,,1977,02,22,,,Brazil,Bahia,Gentio do Ouro,Ca. 4 Km NE from Gentio do Ouro along the road towards Central.,-42.858875,-11.728925,-42.858875,-11.728925,,,1000,1000,,,,,,,,,Climber to ca. 2.5m. Leaves grey-green. Sepals grey-green. Corolla white.; Caatinga on sand and with quartzitic rocks e metamorphosed sandstones forming rock areas with more open vegetation including extensive area of Vellozia.,UEC097977,UEC097977,
2021-06-21 17:46:32-03,UNICAMP,UEC,41683,S,Plantae,Magnoliopsida,,,Convolvulaceae,Bonamia,agrostopolis,,Bonamia agrostopolis,(Vell.) Hallier f.,"Moreira, ALC",2019,01,29,,"Harley, RM",21914,,1980,04,28,,,Brazil,Bahia,Correntina,Chapadão Ocidental da Bahia. 10 Km N. of Correntina on the road to Inhaúmas.,-45.070017,-13.5748,-45.070017,-13.5748,,,600,600,,,,,,,,,"Climber to 3m. Leaves slightly greyish green above, grey-green beneath. Sepals pale grey-green. Corolla white, anthers white.; Roadside margim of tall deciduous forest.",UEC097983,UEC097983,
2021-05-17 15:50:18-03,UNICAMP,UEC,84889,S,Plantae,Magnoliopsida,,,Convolvulaceae,Bonamia,agrostopolis,,Bonamia agrostopolis,(Vell.) Hallier f.,"Simão-Bianchini, R",2003,11,05,,"Souza, VC; Rodrigues, RR; Sakuragui, CM; Moraes, PLR",5695,,1994,04,14,,,Brazil,São Paulo,Matão,Fazenda Cambuhy. Beira da mata.,-48.558056,-21.620833,-48.558056,-21.620833,,,600,600,,,,,,,,,Escandente; corola alva.; Mata mesófila semidecídua.,UEC097981,UEC097981,
2021-05-17 15:50:18-03,UNICAMP,UEC,92775,S,Plantae,Magnoliopsida,,,Convolvulaceae,Bonamia,agrostopolis,,Bonamia agrostopolis,(Vell.) Hallier f.,"Rezende, AA",1997,09,22,,"Rezende, AA",317,,1996,02,23,,,Brazil,São Paulo,,São José do Rio Preto/ Mirassol.,-49.380556,-20.81,-49.380556,-20.81,,,,,,,,,,,,,"Liana lenhosa, até 5m, com flores brancas. Borda da mata. (Estação de coleta 1).",UEC097986,UEC097986,
2021-05-17 15:50:18-03,UNICAMP,UEC,92776,S,Plantae,Magnoliopsida,,,Convolvulaceae,Bonamia,agrostopolis,,Bonamia agrostopolis,(Vell.) Hallier f.,"Rezende, AA",1997,09,22,,"Rezende, AA",235,,1995,10,26,,,Brazil,São Paulo,,São José do Rio Preto/ Mirassol.,-49.380556,-20.81,-49.380556,-20.81,,,,,,,,,,,,,"Liana lenhosa, com frutos secos e folhas aveludadas. Borda da mata. (Estação de coleta 1).",UEC097987,UEC097987,
2021-05-17 15:50:18-03,UNICAMP,UEC,179456,S,Plantae,Magnoliopsida,,,Convolvulaceae,Bonamia,agrostopolis,,Bonamia agrostopolis,(Vell.) Hallier f.,"Ferreira, PPA",2012,03,11,,"Silva, EM",s.n.,,2006,03,18,,,Brazil,Paraná,Goioerê,Associação da COAGEL.,-53.0275001525879,-24.184700012207,0,0,22997,,,,,,,,,,,,"Arbusto escandente, ca. 2m, heliófito, com folhas pilosas e flores amarelas.",UEC031641,UEC031641,auto
2021-05-17 15:50:18-03,UNICAMP,UEC,79095,S,Plantae,Magnoliopsida,,,Convolvulaceae,Bonamia,agrostopolis,,Bonamia agrostopolis,(Vell.) Hallier f.,"Moreira, ALC",2019,01,29,,"Bernacci, LC; Belinello, R; Moreira, JLA; Sciamarelli, A; Andrade, PRP; Silva, AMC",1828,,1995,05,18,,,Brazil,São Paulo,Cardoso,Antigo Porto Militão,-49.9099998474121,-20.0799999237061,0,0,22486,,,,,,,,,,,,"Trepadeira lenhosa,latéx leitoso, frutos imaturos.; Mata Mesófila.",UEC097988,UEC097988,auto
