MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-12-04 15:26:31-03,PUCPR,HUCP,25567,S,Plantae,Monocotiledonea,,,Orchidaceae,Brasiliorchis,picta,,Brasiliorchis picta,"(Hook.) R.B. Singer, S. Koehler & Carnevali.","Kersten, RA",2019,08,13,,"Alves, BKS",24,,2019,07,02,,,Brasil,Parana,Morretes,Morro Mãe Catira,-48.834400177002,-25.476900100708,0,0,30514,,,,,,,,,,,,Hábito de vida: epífito.,HUCP00025567,HUCP00025567,auto
2019-12-04 15:26:31-03,PUCPR,HUCP,24383,S,Plantae,Monocotiledonea,,,Orchidaceae,Brasiliorchis,picta,,Brasiliorchis picta,"(Hook.) R.B. Singer, S. Koehler & Carnevali.","Santos, TF",,,,,"Santos, TF",004,,2013,08,24,,,Brasil,Paraná,Balsa Nova,São Luiz do Purunã,-49.6356010437012,-25.5839004516602,0,0,27346,,,,,,,,,,,,,HUCP00002828,HUCP00002828,auto
2019-08-27 13:26:31-03,IAP,PACA-AGP,55134,PreservedSpecimen,Plantae,Magnoliophyta,Liliatae,Orchidales,Orchidaceae,Brasiliorchis,picta,,Brasiliorchis picta,(Hook.) R. B. Singer et al.,R.B. Singer,2007,07,27,,"Reitz, R.",2998,,1949,07,27,,,Brasil,SC,Brusque,,-48.9174995422363,-27.0981006622314,,,19684,,35,35,,,,,,,,,"HBR 5.551&nf;Flor amarela com pintas roxas, perfumada. Habitat: In silva epiphytica, erva Fenofase: flor Hábito: erva",PACA055134,,auto
2021-03-24 17:09:42-03,UFES,SAMES,6248,PreservedSpecimen,Plantae,,,,Orchidaceae,Brasiliorchis,picta,,Brasiliorchis picta,(Hook.) R.B.Singer et al.,,,,,,"Pinto Junior,H.V.; Cruz,G.P.R;Justino,W.S.",278,,2016,05,26,,,Brasil,Espírito Santo,Castelo,,-41.184700012207,-20.6035995483398,-410544444.0,-203066667.0,23588,,,,,,,,,,,,"Flores amarelas com máculas nas pétalas na parte externa, região central esbranquiçada. Habitat: Habitando ilha de vegetação. Habito: Herbácea",SAMES06248,,auto
2021-05-17 15:38:08-03,UNICAMP,UEC,179638,S,Plantae,Liliopsida,,,Orchidaceae,Brasiliorchis,picta,,Brasiliorchis picta,"(Hooker) R.Singer, S.Koehler & Carnevali","Forster, W",2011,12,,,"Lima, CR; Baitello, JB; Cielo-Filho, R",373,,2010,09,29,,,Brazil,São Paulo,Itapeva,"Estação Experimental, trilha da ilha do rio Pirituba.",-49.588889,-24.683333,-49.588889,-24.683333,,,,,,,,,,,,,"Planta epífita, flores amarelas.",UEC037011,UEC037011,
2021-05-17 15:38:08-03,UNICAMP,UEC,203956,S,Plantae,Liliopsida,,,Orchidaceae,Brasiliorchis,picta,,Brasiliorchis picta,"(Hooker) R.Singer, S.Koehler & Carnevali",,,,,,"Polizelli Ricci, NA",NAPR19,,2018,06,12,,,Brazil,São Paulo,Embú-Guaçú,"Bairro do Penteado, proximidades do município",-46.812222,-23.833056,-46.812222,-23.833056,,,,,,,,,,,,,Descrições originais encontram-se para consulta no livro ata do Orquidário do Estado (IBTSP); Mata Atlântica Brasileira,UEC183111,UEC183111,
2021-05-17 15:38:08-03,UNICAMP,UEC,203966,S,Plantae,Liliopsida,,,Orchidaceae,Brasiliorchis,picta,,Brasiliorchis picta,"(Hooker) R.Singer, S.Koehler & Carnevali",,,,,,"Polizelli Ricci, NA",NAPR30,,2018,07,31,,,Brazil,São Paulo,Cunha,"Caiporinha, 7 Km da estrada Cunha-Parati",-44.959722,-23.074444,-44.959722,-23.074444,,,,,,,,,,,,,Descrições originais encontram-se para consulta no livro ata do Orquidário do Estado (IBTSP); Mata Atlântica Brasileira,UEC162805,UEC162805,
2021-05-17 15:38:08-03,UNICAMP,UEC,203967,S,Plantae,Liliopsida,,,Orchidaceae,Brasiliorchis,picta,,Brasiliorchis picta,"(Hooker) R.Singer, S.Koehler & Carnevali",,,,,,"Polizelli Ricci, NA",NAPR31,,2018,07,31,,,Brazil,São Paulo,Cunha,"Caiporinha, 7 Km da estrada Cunha-Parati",-44.959722,-23.074444,-44.959722,-23.074444,,,,,,,,,,,,,Descrições originais encontram-se para consulta no livro ata do Orquidário do Estado (IBTSP); Mata Atlântica Brasileira,UEC162736,UEC162736,
2021-05-17 15:38:08-03,UNICAMP,UEC,203968,S,Plantae,Liliopsida,,,Orchidaceae,Brasiliorchis,picta,,Brasiliorchis picta,"(Hooker) R.Singer, S.Koehler & Carnevali",,,,,,"Polizelli Ricci, NA",NAPR24,,2018,07,30,,,Brazil,Rio de Janeiro,Parati,Divisa Cunha-Parati,-44.716667,-23.216667,-44.716667,-23.216667,,,150,150,,,,,,,,,Descrições originais encontram-se para consulta no livro ata do Orquidário do Estado (IBTSP); Mata Atlântica Brasileira,UEC162737,UEC162737,
2021-05-17 15:38:12-03,UNICAMP,UEC,203970,S,Plantae,Liliopsida,,,Orchidaceae,Brasiliorchis,picta,,Brasiliorchis picta,"(Hooker) R.Singer, S.Koehler & Carnevali",,,,,,"Polizelli Ricci, NA",NAPR27,,2018,07,30,,,Brazil,Rio de Janeiro,Parati,Divisa Cunha-Parati,-44.716667,-23.216667,-44.716667,-23.216667,,,150,150,,,,,,,,,Descrições originais encontram-se para consulta no livro ata do Orquidário do Estado (IBTSP); Mata Atlântica Brasileira,UEC162738,UEC162738,
