MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2020-04-22 16:26:11-03,UFPB,JPB,31984,PreservedSpecimen,Plantae,Angiosperma,,Monocotyledon,Cyperaceae,Bulbostylis,truncata,,Bulbostylis truncata,(Nees) M.T. Strong,"Lima, IB",2004,06,,,"Barbosa, MR; Lima, IB; Lima, JR",2904,,2004,03,03,,Southern America,Brasil,Paraíba,São José dos Cordeiros,"RPPN Fazenda Almas, Caminho para Pedra da Bola",-36.898222,-7.470556,-36.898222,-7.470556,,,600,600,,,,,,,,,; DESC: Erva sobre banco de areia no lajedo.,JPB0031984,JPB0031984,
2021-06-30 13:10:39-03,MBM,MBM,423353,S,Plantae,,,,Cyperaceae,Bulbostylis,truncata,,Bulbostylis truncata,(Nees) M.T. Strong,,,,,,"Damasceno Jr, G.A.; Nakajima, J.N.; Romero, R.; Pott, V.J.; Nakajima, J.N.; Romero, R.; Pott, V.J.",3115,,2001,11,25,,Southern America,Brazil,Mato Grosso do Sul,Corumbá,"Córrego Retiro, Leito do córrego",-57.559444,-17.841944,-57.559444,-17.841944,,,90,90,,,,,,,,,Erva aquática de 20 cm.; Solo arenoso. Relevo plano.,MBM423353,,
2020-10-01 14:26:22-03,JBB,HEPH,14109,S,Plantae,Monocotyledon,,Poales,Cyperaceae,Bulbostylis,truncata,,Bulbostylis truncata,(Ness) M.T.Strong,"Prata, AP",2000,08,,,"Pereira-Silva, G; et al.",3131,,1995,11,12,,Southern America,Brasil,Bahia,Formosa do Rio Preto,Projeto Ouro Verde,-46.066667,-11.433333,-46.066667,-11.433333,,,800,800,,,,,,,,,Frequente,,,
2020-10-01 14:26:22-03,JBB,HEPH,6685,S,Plantae,Monocotyledon,,Poales,Cyperaceae,Bulbostylis,truncata,,Bulbostylis truncata,(Ness) M.T.Strong,"Prata, AP",2008,11,20,,"Salles, AEH; et al.",1360,,1989,10,01,,Southern America,Brasil,Minas Gerais,Paracatu,Entre Ribeiros à 80km de Paracatu- MG. Reservas nº 2 e 3,-46.874698638916,-17.2222003936768,0,0,72344,,,,,,,,,,,,,,,auto
2021-02-11 17:18:38-03,UFPR,UPCB,61929,PreservedSpecimen,Plantae,,,,Cyperaceae,Bulbostylis,truncata,,Bulbostylis truncata,(Nees) M.T.Strong,"Araujo, A.C.",2007,01,01,,"Kozera, C.",3093,,2006,03,18,,,Brasil,Paraná,Balsa Nova,Ponte dos Arcos,-49.6356010437012,-25.5839004516602,,,27346,,,,,,,,,,,,Herbácea cespitosa sobre afloramento de arenito..,,,auto
2021-05-13 10:48:23-03,Cenargen,CEN,102390,PreservedSpecimen,Plantae,,,,Cyperaceae,Bulbostylis,truncata,,Bulbostylis truncata,(Nees) M.T.Strong,B. M. T. Walter,2017,11,,,Carlos Romero Martins,2433,,2016,12,18,,,Brasil,DF,BRASILIA,Parque Nacional de Brasília. Entorno da Trilha Cristal.,-47.942777,-15.727222,-47.942777,-15.727222,,,,,,,,Exsicatas,1,,,,Ocorre associado a musgo. Doação Flora do Brasil - Distrito Federal.,CEN00102390,CEN00102390,
2021-05-13 10:48:23-03,Cenargen,CEN,105195,PreservedSpecimen,Plantae,,,,Cyperaceae,Bulbostylis,truncata,,Bulbostylis truncata,(Nees) M.T.Strong,B. M. T. Walter,2018,07,,,Carlos Romero Martins,2823,,2017,11,26,,,Brasil,DF,BRASILIA,Parque Nacional de Brasília - Borda da estrada de acesso à Cascalheira do Entrocamento.,-47.933611,-15.735833,-47.933611,-15.735833,,,,,,,,Exsicatas,1,,,,Doação Flora do Brasil - Distrito Federal.,CEN00105195,CEN00105195,
2021-05-13 10:48:23-03,Cenargen,CEN,46807,PreservedSpecimen,Plantae,,,,Cyperaceae,Bulbostylis,truncata,,Bulbostylis truncata,(Nees) M.T.Strong,A. P. Prata,2008,11,,,Glocimar Pereira-Silva,3131,,1995,11,12,,,Brasil,BA,FORMOSA DO RIO PRETO,Projeto Ouro Verde.,-46.06667,-11.43333,-46.06667,-11.43333,,,800,800,,,,Exsicatas,3,,,,,CEN00046807,CEN00046807,
2021-05-13 10:48:23-03,Cenargen,CEN,38901,PreservedSpecimen,Plantae,,,,Cyperaceae,Bulbostylis,truncata,,Bulbostylis truncata,(Nees) M.T.Strong,A. P. Prata,2008,11,,,Glocimar Pereira-Silva,3253,,1995,11,21,,,Brasil,MA,BALSAS,"Projeto gerais de Balsas, Condomínio Kissy.",-46.06667,-11.43333,-46.06667,-11.43333,,,800,800,,,,Exsicatas,2,,,,,CEN00038901,CEN00038901,
2021-05-13 10:48:23-03,Cenargen,CEN,71129,PreservedSpecimen,Plantae,,,,Cyperaceae,Bulbostylis,truncata,,Bulbostylis truncata,(Nees) M.T.Strong,B. M. Gomes,2011,05,,,Glocimar Pereira-Silva,10984,,2006,10,21,,,Brasil,TO,PARANA,"Canteiro da obra do UHE São Salvador, área de empréstimo.",-48.223611,-12.824444,-48.223611,-12.824444,,,260,260,,,,Exsicatas,2,,,,Área de influência direta (lago).,CEN00071129,CEN00071129,
