MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:09:30-03,UFES,SAMES,3651,PreservedSpecimen,Plantae,,,,Myrtaceae,Campomanesia,anemonea,,Campomanesia anemonea,Landrum,M.C.Souza.,2019,09,05,,"Broggio,I.S.; Giaretta,A.O.;Ribeiro,M.",167,,2011,01,25,,,Brasil,Espírito Santo,Pinheiros,"Reserva Biológica Córrego do Veado. Floresta Alta de Tabuleiro, Mata da Água Limpa.",-40.2132987976074,-18.3703002929688,,,28525,,,,,,,,,,,,"Árvore de 5m com frutos verdes, aroma similar a pitanga. Semente possui exsudação laranja.",SAMES03651,,auto
2021-03-24 17:09:30-03,UFES,SAMES,7849,PreservedSpecimen,Plantae,,,,Myrtaceae,Campomanesia,anemonea,,Campomanesia anemonea,Landrum,"Ribeiro,M.",2017,05,17,,"Ribeiro,M.; Scott.A.Mori;Nathan.B.Smith.",872,,2013,09,21,,,Brasil,Espírito Santo,Pinheiros,Reserva Biológica de Córrego do Veado. Começo trilha da anta.,-40.2132987976074,-18.3703002929688,-401466666.0,-183444444.0,28525,,,,,,,,,,,,"Flores de cálice verde claro, corola branca, anteras amarelas. odor doce. Habito: Árvore",SAMES07849,,auto
2018-03-08 09:18:16-03,ASU,ASU-PLANTS,,PreservedSpecimen,Plantae,Magnoliophyta,,Myrtales,Myrtaceae,Campomanesia,anemonea,,Campomanesia anemonea,Landrum,"Landrum, L. R",,,,,"Thomas, W. W.; Carvalho, Kallunki, Clark, Sant'Ana",,,1994,,,,,Brazil,Bahia,Itapetinga,,-40.2477989196777,-15.2489004135132,,,59623,,,,,,,,,,,,Holotype at CEPEC; Tree 5 m,,,auto
2019-12-20 18:46:38-03,UFSJ,HUFSJ,6914,S,Plantae,,,,Myrtaceae,Campomanesia,anemonea,,Campomanesia anemonea,Landrum,"Landrum, L",2010,04,21,,"Folli, DA",6511,,2009,12,10,,,Brasil,Espírito Santo,Pinheiro,"Reserva Biológica do Veado. Rebio, Córrego do Veado.",-40.148661,-18.368681,-40.148661,-18.368681,,,82,82,,,,,,,,,"Porte arbóreo, 10m de altura, fruto imaturo verde.",HUFSJ006914,,
2019-12-20 18:46:38-03,UFSJ,HUFSJ,6958,S,Plantae,,,,Myrtaceae,Campomanesia,anemonea,,Campomanesia anemonea,Landrum,"Landrum, L",2010,04,21,,"Folli, DA",5031,,2005,02,10,,,Brasil,Espírito Santo,Linhares,Reserva Natural Vale.,-40.0722007751465,-19.3910999298096,0,0,48094,,,,,,,,,,,,"Porte arbóre, 12m de altura, fruto maduro amarelo e fruto imaturo verde.",HUFSJ006958,,auto
2019-11-01 15:05:11-03,UnB,UB,191632,PreservedSpecimen,Plantae,Dicotyledoneae,,,Myrtaceae,Campomanesia,anemonea,,Campomanesia anemonea,Landrum,"Faria, JEQ",2012,02,,,"Faria, JEQ; Staggemeier, VG",2543,,2012,04,02,,Southern America,Brasil,Espírito Santo,Águia Branca,"Fazenda do Ciro Ferreira, no leito da cachoeira Arco-Íris",-40.664444,-18.981667,-40.664444,-18.981667,,,230,230,,,,,,,,,"Árvore ca. 6 m de altura, caule acinzentado soltando placas, fruto seco marrom no pé (coletado material em sílica gel); Vegetação rupestre de ca. de 5 m de altura em afloramento rochoso",,,
2019-11-01 15:05:11-03,UnB,UB,200947,PreservedSpecimen,Plantae,Dicotyledoneae,,,Myrtaceae,Campomanesia,anemonea,,Campomanesia anemonea,Landrum,"Landrum, L",2010,04,21,,"Folli, DA",6511,,2009,12,10,,Southern America,Brasil,Espírito Santo,Pinheiros,Reserva Biológica Córrego do Veado,-40.2132987976074,-18.3703002929688,0,0,28525,,0,0,,,,,,,,,Arbóreo 10m. Fruto imaturo verde; Capoeirão,,,auto
2019-11-01 15:05:11-03,UnB,UB,200953,PreservedSpecimen,Plantae,Dicotyledoneae,,,Myrtaceae,Campomanesia,anemonea,,Campomanesia anemonea,Landrum,"Landrum, L",2010,04,21,,"Folli, DA",5031,,2005,02,10,,Southern America,Brasil,Espírito Santo,Linhares,Reserva Natural Vale,-40.0722007751465,-19.3910999298096,0,0,48094,,0,0,,,,,,,,,Arbóreo 12m. Fruto imaturo verde e maduro amarelo,,,auto
2021-06-13 16:41:00-03,NY,NYBG,1163746,PreservedSpecimen,Plantae,Magnoliophyta,,Myrtales,Myrtaceae,Campomanesia,anemonea,,Campomanesia anemonea,Landrum,L. R. Landrum,,,,isotype,W. W. Thomas,10251,,1994,02,03,,South America,Brazil,Bahia,Itapetinga,"Itapetinga, Parque da Matinha.",-40.2347,-15.2392,,,,,270,270,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=537165' target='other'> <mi>dwc_moreinfo</mi></a>,NY01163746,NY01163746_01,
2020-04-27 16:10:43-03,UFES,VIES,28799,S,Plantae,,,,Myrtaceae,Campomanesia,anemonea,,Campomanesia anemonea,Landrum,L. Landrum,2010,04,21,,"Folli, D.A.",6511,,2009,12,10,,,Brasil,Espírito Santo,Pinheiros,Capoeirão. Reserva Biológica Córrego do Veado,-40.148611,-18.368611,40º8'55''W,18º22'7''S,,,82,82,,,,,,,,,,VIES028799,VIES028799,
