MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2020-02-08 10:05:56-03,NBC,NL-BOTANY,L.3917661,PreservedSpecimen,Plantae,,Magnoliopsidae,Myrtales,Myrtaceae,Campomanesia,eugenioides,,Campomanesia eugenioides,(Cambess.) D.Legrand ex Landrum,,,,,,Chaves E; Fank-de-Carvalho SM; Mendes VC,,,2004,12,18,,Southern America,Brazil,,,Brasil. Goiás. Alto de Paraiso de Goiás.,-47.593056,-14.163333,-47.593056,-14.163333,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3917661 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-L3917661,NL-L3917661,
2019-08-27 13:31:18-03,IAP,PACA-AGP,106686,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Myrtales,Myrtaceae,Campomanesia,eugenioides,,Campomanesia eugenioides,(Cambess.) D. Legrand ex Landrum,M. Sobral,2009,03,09,,M. Verdi & S. Dreveck,33,,2007,11,22,,,Brasil,SC,Itaiopolis,,-50.040023,-26.370077,"50°02'24,08190W","26°22'12,27835S",,,,,,,,,,,,,Florística IFFSC 984. FOM estágio médio de regeneração,PACA106686,,
2019-12-04 11:51:28-03,IAP,PACA-AGP,118668,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Myrtales,Myrtaceae,Campomanesia,eugenioides,,Campomanesia eugenioides,(Cambess.) D. Legrand ex Landrum,"Sobral, M.",2015,07,10,,"Korte, A.",4801,,2010,10,27,,,Brasil,SC,Major Vieira,rio da serra,-50.4,-26.64,50º24'0w,26º38'24s,,,1009,1009,,,,,,,,,"furb 32189&nf;flor branca Habitat: floresta ombrófila mista, estagio avançado - ecplorado, interior de fragmento",PACA118668,,
2019-08-27 13:31:18-03,IAP,PACA-AGP,68477,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Myrtales,Myrtaceae,Campomanesia,eugenioides,var. eugenioides,Campomanesia eugenioides var. eugenioides,(Cambess.) D. Legrand ex Landrum,L. R. Landrum,1983,,,,"Hatschbach, G.",40377,,1977,10,05,,,Brasil,PR,Cerro Azul,Rio Turvo,-49.261100769043,-24.823600769043,,,32006,,,,,,,,,,,,6m de altura e flores alvas. Habitat: mata Hábito: árvore ramosa,PACA068477,,auto
2019-08-27 13:31:18-03,IAP,PACA-AGP,102719,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Myrtales,Myrtaceae,Campomanesia,eugenioides,,Campomanesia eugenioides,(Cambess.) D. Legrand ex Landrum,L.H.Soares-Silva,2004,,,,O.C. Pavão & J.A. Ferreira,s/n,,1998,11,25,,,Brasil,PR,Ortigueira,Fazenda Estância do Sol,-50.9494018554688,-24.2082996368408,,,46016,,,,,,,,,,,,Cerca de 4m;&nf;Frutos verdes;&nf;Herbário FUEL número: 24604 Hábito: árvore,PACA102719,,auto
2021-03-24 17:09:30-03,UFES,SAMES,8468,PreservedSpecimen,Plantae,,,,Myrtaceae,Campomanesia,eugenioides,,Campomanesia eugenioides,(Cambess.) D.Legrand ex Landrum,"Sobral,M.",2018,04,14,,Francisco.E.M.,79,,2007,11,19,,,Brasil,Paraná,Ortigueira,"Igrejinha, estrada para Briolandia.",-50.9494018554688,-24.2082996368408,,,46016,,,,,,,,,,,,Fruto maduro amarelo. Habito: Árvore,SAMES08468,,auto
2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0009337,PreservedSpecimen,Plantae,Magnoliophyta,,Myrtales,Myrtaceae,Campomanesia,eugenioides,,Campomanesia eugenioides,(Cambess.) D. Legrand,"L. R. Landrum, 2007",,,,,"Franca, F.; E. Melo, J. G. Miranda, J. S. Cruz",5187,,2005,3,13,,,Brazil,Bahia,,Milagres: Morro Sao Cristovao,-39.8525,-12.8714,,,,,450,,,,,,,,,,"Arbusto com ramos escandente. Folha cartacea, subconcolor. Fruto maduro vinaceo, sabor amargo picante",,,
2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0009338,PreservedSpecimen,Plantae,Magnoliophyta,,Myrtales,Myrtaceae,Campomanesia,eugenioides,,Campomanesia eugenioides,(Cambess.) D. Legrand,"L.R. Landrum, 2001.",,,,,"G. Hatschbach; A. Pott, V. Pott, E. Barbosa",63701,,1995,10,21,,,Brazil,Mato Grosso,Chapada dos Guimaraes,"Base aerea do SINDACTA, arredores.",-55.75,-15.4333,,,,,,,,,,,,,,,"Coor from www.fallingrain.com/world; Arbusto, 1m.",,,
2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0009340,PreservedSpecimen,Plantae,Magnoliophyta,,Myrtales,Myrtaceae,Campomanesia,eugenioides,,Campomanesia eugenioides,(Cambess.) D. Legrand,L.R. Landrum.,,,,,G. Hatschbach; J. M. Silva,54663,,1990,10,16,,,Brazil,Goias,Alto Paraiso,Faz. Mato Fundo,-47.5167,-14.1167,,,,,,,,,,,,,,,"Could be hybridized with C. adamantium; Coor from www.fallingrain.com/world; Arbusto 2m, flores alvas.",,,
2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0009346,PreservedSpecimen,Plantae,Magnoliophyta,,Myrtales,Myrtaceae,Campomanesia,eugenioides,eugenioides,Campomanesia eugenioides eugenioides,(Camb.) Legr.,"L.R. Landrum, 1998.",,,,,"F. C. A. Oliveira; M. L Fonseca, M. L. M. Azevedo, A. J. V. Santos",1009,,1997,11,22,,,Brazil,Goias,,Municipio de Niquelandia. Macedo. Morro a esquerda do trevo para Amcedo Velho.,-48.4194,-14.3583,,,,,,,,,,,,,,,"scanned; Arvoreta heliofita ca. de 2.5m de altura; folhas de cor verde, cartaceas; frutos imaturos de cor verde. Comum.",,,
