MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:09:22-03,UFES,SAMES,1183,PreservedSpecimen,Plantae,,,,Malvaceae,Ceiba,erianthos,,Ceiba erianthos,(Cav.) K.Schum.,,,,,,"Menezes, L.F.T.; Pinto Junior, H.V.; Covre, C.",2196,,2015,07,29,,,Brasil,Espírito Santo,Águia Branca,"Região do Três Pontões de Águia Branca, afloramento dissertação Herval.",-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,Árvore de 15 m de altura com flores vermelhas coletada na sede da secretaria municipal de Águia Branca.,SAMES01183,,auto
2021-03-24 17:09:22-03,UFES,SAMES,1212,PreservedSpecimen,Plantae,,,,Malvaceae,Ceiba,erianthos,,Ceiba erianthos,(Cav.) K.Schum.,,,,,,"Pinto Junior, H.V.",200,,2015,07,29,,,Brasil,Espírito Santo,Águia Branca,Secretaria do Meio Ambiente. NULL.,-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,Flores vermelho escuro.,SAMES01212,,auto
2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0032566,PreservedSpecimen,Plantae,Magnoliophyta,,Malvales,Bixaceae,Ceiba,erianthos,,Ceiba erianthos,(Cav.) K.Schum.,P. E. Gibbs,,,,,"G. Hatschbach; J. M. Silva, F. Deodato",65281,,1986,8,8,,,Brazil,Espirito Santo,,Empossado (Mun. Afonso Cláudio).,-41.120928,-20.074371,,,,,,,,,,,,,,,"Arbusto, 3 m, flor alvacenta, tendendo ao bege, pétalas vinosas do lado interno.",,,
2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0032565,PreservedSpecimen,Plantae,Magnoliophyta,,Malvales,Bixaceae,Ceiba,erianthos,,Ceiba erianthos,(Cav.) K.Schum.,S. F. Smith,,,,,"G. Hatschbach; M. Hatschbach, O. S. Ribas, J. Carneiro",75770,,2003,6,26,,,Brazil,Bahia,,"Rodovia Milagres-laçu, entre km 30-40 (Mun. laçu).",-39.851186,-12.870608,,,,,,,,,,,,,,,"Pequena árvore, 5 m, flor alva, pétalas com centro purpúreo.",,,
2021-05-17 15:47:57-03,UNICAMP,UEC,170372,S,Plantae,Magnoliopsida,,,Bombacaceae,Ceiba,erianthos,,Ceiba erianthos,(Cav.) K.Schum.,"Garcia, LC",,,,,"Garcia, LC",11,,2008,05,16,,,Brazil,São Paulo,Iracemápolis,"Reserva de abastecimento público, mata ciliar em processo de restauração desde 1987, Mata Atlântica, Floresta Estacional Semidecídua.",-47.875303,-22.968303,-47.875303,-22.968303,,,608,608,,,,,,,,,"Árvore plantada, flores.",UEC010417,UEC010417,
2021-05-17 15:47:57-03,UNICAMP,UEC,162252,S,Plantae,Magnoliopsida,,,Bombacaceae,Ceiba,erianthos,,Ceiba erianthos,(Cav.) K.Schum.,"Ferreira, CDM",2018,03,05,,"Martines, LR; Fornari, ARS",s.n.,,2005,08,15,,,Brazil,São Paulo,Campinas,"Barão de Geraldo, 900 m². Paisagismo Universidade Estadual de Campinas.",-47.068611,-22.820278,-47.068611,-22.820278,,,,,,,,,,,,,"Árvore 17 m. Indivíduo com flores pistiladas, estames perfeitos morfologicamente; flores brancas.",UEC024434,UEC024434,
2021-05-17 15:47:57-03,UNICAMP,UEC,41335,S,Plantae,Magnoliopsida,,,Bombacaceae,Ceiba,erianthos,,Ceiba erianthos,(Cav.) K.Schum.,,,,,,"Queiróz, LP",963,,1986,10,04,,,Brazil,Bahia,Ipirá,"Fazenda Recreio. Estrada do feijão, Km 43. Mata estacional.",-38.683333,-12.366667,-38.683333,-12.366667,,,,,,,,,,,,,"fruto, Arbusto, frutos verdes; 1,80 m de altura, coletado em beira de rio.; Árvore com cerca de 3,0 m de altura com tronco cinzento revestido de espinhos cônicos. Folhas membranáceas discolores. Flores alvas. Algumas plantas completame",UEC002484,UEC002484,
2021-05-17 15:47:57-03,UNICAMP,UEC,193694,S,Plantae,Magnoliopsida,,,Bombacaceae,Ceiba,erianthos,,Ceiba erianthos,(Cav.) K.Schum.,"Monge, M",,,,,"Monge, M; Meireles, LD; Saavedra, MM",2746,,2014,03,22,,,Brazil,Rio de Janeiro,Arraial do Cabo,"Pontal do talaia, Descida do Pontal do Atalaia p Praia Brava, trilha fechada",-42.233333,-22.966111,-42.233333,-22.966111,,,,,,,,,,,,,"Subarbusto, 50 cm de altura.&nf;Na frente da rocha.; restinga muito densa",UEC149047,UEC149047,
2021-05-17 15:47:57-03,UNICAMP,UEC,194120,S,Plantae,Magnoliopsida,,,Bombacaceae,Ceiba,erianthos,,Ceiba erianthos,(Cav.) K.Schum.,"Monge, M",,,,,"Monge, M; Meireles, LD; Saavedra, MM",2740,,2014,03,22,,,Brazil,Rio de Janeiro,Arraial do Cabo,"Pontal do Atalaia, vertente p oceano.",-42.233333,-22.966111,-42.233333,-22.966111,,,,,,,,,,,,,"Árvore, 5 m de altura, botões verdes, pétalas albas, centro amorronzado, filete vermelho.; Restinga fdeencosta, densa, nas rochas.",UEC141282,UEC141282,
2021-05-17 15:47:57-03,UNICAMP,UEC,131343,S,Plantae,Magnoliopsida,,,Bombacaceae,Ceiba,erianthos,,Ceiba erianthos,(Cav.) K.Schum.,"Carvalho-Sobrinho, JG",2011,07,27,,"Bortoluzzi, RLC",657,,1999,05,20,,,Brazil,Minas Gerais,Marliéria,"Parque Estadual do Rio Doce, Ponte Queimada, margens do Rio Doce.",-42.7322006225586,-19.7122001647949,0,0,28215,,,,,,,,,,,,"Árvore, ca. de 8m alt. Sem folhas, botões verdes, pedicelos vermelhos, pétalas brancas, internamente com base rosa, filetes rosados, anteras amarelas.; Mata Atlântica, margem do Rio.",UEC002481,UEC002481,auto
2021-05-17 15:47:57-03,UNICAMP,UEC,50933,S,Plantae,Magnoliopsida,,,Bombacaceae,Ceiba,erianthos,,Ceiba erianthos,(Cav.) K.Schum.,"Semir, J",,,,,"Meirelles, ST",21600,,1989,05,23,,,Brazil,Rio de Janeiro,Rio de Janeiro,Pedra da Urca.,-43.2075004577637,-22.9027996063232,0,0,57442,,,,,,,,,,,,"Arvoreta semelhante a bonsai, cresecendo entre as fendas da rocha de granito. Flores brancas de base vinho.",UEC081576,UEC081576,auto
2021-05-17 15:47:57-03,UNICAMP,UEC,80065,S,Plantae,Magnoliopsida,,,Bombacaceae,Ceiba,erianthos,,Ceiba erianthos,(Cav.) K.Schum.,,,,,,"Semir, J",30757,,1994,03,08,,,Brazil,São Paulo,Campinas,Fazenda Santa Elisa - Monjolinho.,-47.060001373291,-22.8999996185303,0,0,23900,,,,,,,,,,,,"Árvore, flores com pétalas creme erva branca no ápice, com base creme forte.",UEC002444,UEC002444,auto
2021-05-17 15:47:57-03,UNICAMP,UEC,80071,S,Plantae,Magnoliopsida,,,Bombacaceae,Ceiba,erianthos,,Ceiba erianthos,(Cav.) K.Schum.,,,,,,"Semir, J",30756,,1994,03,08,,,Brazil,São Paulo,Campinas,Fazenda Santa Elisa - Monjolinho.,-47.060001373291,-22.8999996185303,0,0,23900,,,,,,,,,,,,"Árvore, ca. 6m de altura. flores creme-claro com base creme mais forte.",UEC002445,UEC002445,auto
2021-05-17 15:47:57-03,UNICAMP,UEC,179257,S,Plantae,Magnoliopsida,,,Bombacaceae,Ceiba,erianthos,,Ceiba erianthos,(Cav.) K.Schum.,,,,,,"Semir, J",31647,,1994,03,27,,,Brazil,São Paulo,Campinas,Santa Elisa.,-47.060001373291,-22.8999996185303,0,0,23900,,,,,,,,,,,,"Árvore com flores brancas, base vinho.",UEC002476,UEC002476,auto
2021-05-17 15:47:57-03,UNICAMP,UEC,179255,S,Plantae,Magnoliopsida,,,Bombacaceae,Ceiba,erianthos,,Ceiba erianthos,(Cav.) K.Schum.,"Kämpf, E",1989,07,27,,"Kämpf, E",249,,1989,05,11,,,Brazil,São Paulo,Piracicaba,Parque da ESALQ/USP,-47.6399993896484,-22.7199993133545,0,0,44778,,,,,,,,,,,,"Árvore frondosa de 15 m de altura, presença de acúleos no caule e ramos. Flores brancas lanuginosas na face externa. Visitada por beija-flores e abelhas.",UEC002482,UEC002482,auto
2021-05-17 15:47:57-03,UNICAMP,UEC,179254,S,Plantae,Magnoliopsida,,,Bombacaceae,Ceiba,erianthos,,Ceiba erianthos,(Cav.) K.Schum.,"Kämpf, E",1989,07,27,,"Kämpf, E",63,,1989,05,11,,,Brazil,São Paulo,Piracicaba,Parque da ESALQ/USP,-47.6399993896484,-22.7199993133545,0,0,44778,,,,,,,,,,,,Árvore de 15 m de altura. Flores. Fruto sem folhas. Presença de espinho no tronco.,UEC002480,UEC002480,auto
