MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2020-02-08 09:11:49-03,NBC,NL-BOTANY,U.1242417,PreservedSpecimen,Plantae,,Magnoliopsidae,Fabales,Leguminosae-Pap.,Centrosema,coriaceum,,Centrosema coriaceum,Benth.,,,,,,Harley RM; et al.,,,1977,02,12,,Southern America,Brazil,,,"Estado Bahia. Serra do Sincora. 5km South of Andarai on road to Mucuge, by bridge over the Rio Paraguacu.",-41.316667,-12.833333,-41.316667,-12.833333,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1242417 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1242417,NL-U1242417,
2020-02-08 09:11:49-03,NBC,NL-BOTANY,U.1242418,PreservedSpecimen,Plantae,,Magnoliopsidae,Fabales,Leguminosae-Pap.,Centrosema,coriaceum,,Centrosema coriaceum,Benth.,,,,,,Harley RM; et al.,,,1974,02,05,,Southern America,Brazil,,,"Estado Bahia. Serra do Sincora. By Rio Cumbuca, about 3km N. of Mucuge on the Andarai road.",-41.383333,-13,-41.383333,-13.0,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1242418 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1242418,NL-U1242418,
2021-03-31 16:50:58-03,UFPI,TEPB,9686,PreservedSpecimen,Plantae,,,,Fabaceae,Centrosema,coriaceum,,Centrosema coriaceum,Benth.,,,,,,M S Bona Nascimento,220,,1994,04,19,,,Brasil,Piauí,Castelo do Piauí,Fazenda cipó de Baixo.,-41.5525,-5.322222,41°33'09W,5°19'20S,,,222,222,,,,,,,,,"Relevo plano, numa situação de meia-encosta. Atualmente é utilizada como capoeira. Solo arenoso, erva, estolonífera, folhas compostas, flores roxas. Ambiente: Transição caatinga/cerrado.",,,
2021-04-09 14:46:45-03,UFPI,TEPB,10115,PreservedSpecimen,Plantae,,,,Fabaceae,Centrosema,coriaceum,,Centrosema coriaceum,Benthan,L. Durkee,2005,06,05,,Pedralli & Silva,,,1986,07,17,,,Brasil,Bahia,Palmeiras,Pai Inácio; Chapada Diamantina. No limite com o Parque Nacional da Chapada Diamantina,-41.5588989257812,-12.5289001464844,,,20767,,,,,,,,,,,,"Liana, flor cor -de -rosa, substrato sobre arenito; afloramento na subida da serra. Ambiente: Caatinga",,,auto
2021-03-24 17:09:07-03,UFES,SAMES,1683,PreservedSpecimen,Plantae,,,,Fabaceae,Centrosema,coriaceum,,Centrosema coriaceum,Benth.,"Forzza, R.C.",2016,06,01,,"Pinto Junior, H.V.; Covre, C.",252,,2016,03,21,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Vertente leste da Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,Arbusto habitando vegetação rupícola; folhas verdes; flores roxas; coletada na trilha principal para a Pedra do Elefante.,SAMES01683,,auto
2021-05-17 15:53:08-03,UNICAMP,UEC,190476,S,Plantae,Magnoliopsida,,,Fabaceae,Centrosema,coriaceum,,Centrosema coriaceum,Benth.,,,,,,"Vasconcelos, MF",BHCB36619,,1997,01,10,,,Brazil,Minas Gerais,Belo Horizonte,Serra do Curral,-43.937801361084,-19.9207992553711,0,0,17082,,,,,,,,,,,,Trepadeira. Visitada pelo beija-flor Colibri serrirostris; Campo rupestre,UEC126535,UEC126535,auto
2020-04-22 16:20:18-03,UFPB,JPB,56744,PreservedSpecimen,Plantae,Angiosperma,,Dicotyledon,Leguminosae,Centrosema,coriaceum,,Centrosema coriaceum,Benth.,,,,,,"Mendes, MS; et al.",1163,,2006,01,05,,Southern America,Brasil,Minas Gerais,Ouro Preto,"Área da CVRD, Região de Potreiro",-43.5080986022949,-20.2875003814697,0,0,44599,,,,,,,,,,,,; HABITAT: Cerrado; DESC: Herbáceo.,JPB0056744,,auto
2021-06-30 13:13:28-03,MBM,MBM,69744,S,Plantae,,,,Fabaceae,Centrosema,coriaceum,,Centrosema coriaceum,Benth.,"Barroso, Graziela M",,,,,"Duarte, A.P.",5913,,,,,,Southern America,Brazil,Bahia,Caravelas,"Aeroporto de Caravelas, sul da Bahia",-39.2658004760742,-17.7318992614746,0,0,106553,,,,,,,,,,,,Centrosema virginianum (L.) Benth. (mesma coleta),MBM069744,MBM069744,auto
2021-06-30 13:13:28-03,MBM,MBM,83415,S,Plantae,,,,Fabaceae,Centrosema,coriaceum,,Centrosema coriaceum,Benth.,"Lewis, G.P.",,,,,"Lewis, G.P.; et al.; et al.",760,,,,,,Southern America,Brazil,Bahia,Itamaraju,Fazenda Pau Brasil,-39.5311012268066,-17.0391998291016,0,0,55932,,,,,,,,,,,,,MBM083415,MBM083415,auto
2021-06-30 13:13:28-03,MBM,MBM,240167,S,Plantae,,,,Fabaceae,Centrosema,coriaceum,,Centrosema coriaceum,Benth.,"Queiróz, L.P. de",,,,,"Queiróz, L.P. de; et al.; et al.",5479,,,,,,Southern America,Brazil,Bahia,Jacobina,Serra doTombador,-40.5182991027832,-11.1806001663208,0,0,62396,,,,,,,,,,,,,MBM240167,MBM240167,auto
2021-06-30 13:13:28-03,MBM,MBM,83414,S,Plantae,,,,Fabaceae,Centrosema,coriaceum,,Centrosema coriaceum,Benth.,"Lewis, G.P.",,,,,"Lewis, G.P.; et al.; et al.",950,,,,,,Southern America,Brazil,Bahia,Lençóis,Mucugezinho,-41.3899993896484,-12.563099861145,0,0,47385,,,,,,,,,,,,,MBM083414,MBM083414,auto
2021-06-30 13:13:28-03,MBM,MBM,91266,S,Plantae,,,,Fabaceae,Centrosema,coriaceum,,Centrosema coriaceum,Benth.,"Lewis, G.P.",,,,,"Hatschbach, G.; Kummrow, R.; Kummrow, R.",47967,,,,,,Southern America,Brazil,Bahia,Mucugê,Rio Mucugê,-41.3708000183105,-13.0052995681763,0,0,52493,,,,,,,,,,,,,MBM091266,MBM091266,auto
2021-06-30 13:13:28-03,MBM,MBM,413239,S,Plantae,,,,Fabaceae,Centrosema,coriaceum,,Centrosema coriaceum,Benth.,"Queiroz, L.P.",,,,,"Snak, C.; Barbosa, A.R.; Ribeiro, P.G.; Barbosa, A.R.; Ribeiro, P.G.",541,,2011,06,20,,Southern America,Brazil,Bahia,Ruy Barbosa,Serra do Orobó,-40.4939002990723,-12.2839002609253,0,0,68639,,,,,,,,,,,,"Erva volúvel. Folhas coriáceas, levemente discolores. Flor roxa. Legume maduro, marrom.",MBM413239,MBM413239,auto
2021-06-30 13:13:28-03,MBM,MBM,64302,S,Plantae,,,,Fabaceae,Centrosema,coriaceum,,Centrosema coriaceum,Benth.,"Coradin, L.",,,,,"Hatschbach, G.",42864,,,,,,Southern America,Brazil,Minas Gerais,Grão Mogol,Serra do Pipiri,-42.8897018432617,-16.5594005584717,0,0,67219,,,,,,,,,,,,,MBM064302,MBM064302,auto
2021-06-30 13:13:28-03,MBM,MBM,320798,S,Plantae,,,,Fabaceae,Centrosema,coriaceum,,Centrosema coriaceum,Benth.,"Queiroz, L.P.",1996,,,,"Pirani, J.R.; Mello-Silva, R.; Mello-Silva, R.",s.n.,,1987,05,21,,Southern America,Brazil,Minas Gerais,Grão Mogol,Vale do riacho Ribeirão,-42.8897018432617,-16.5594005584717,0,0,67219,,830,830,,,,,,,,,"Subarbusto volúvel. Folhas verde-escuras, rígido cartáceas, folíolos eretos. Sápalas verde-vináceas. Vexilo externamente alvo-arroxado, internamente roxo com faixa mediana creme. Quilhas e asas roxas.Estilete e filetes alvos. Anteras",MBM320798,MBM320798,auto
2021-06-30 13:13:28-03,MBM,MBM,24305,S,Plantae,,,,Fabaceae,Centrosema,coriaceum,,Centrosema coriaceum,Benth.,"Barneby, R.C.B.",,,,,"Hatschbach, G.; Ahumada, L.Z.; Ahumada, L.Z.",31601,,,,,,Southern America,Brazil,Minas Gerais,Jaboticatubas,Serra do Cipó. Fazenda Palácio,-43.7449989318848,-19.513599395752,0,0,31264,,,,,,,,,,,,,MBM024305,MBM024305,auto
2021-06-30 13:13:28-03,MBM,MBM,82735,S,Plantae,,,,Fabaceae,Centrosema,coriaceum,,Centrosema coriaceum,Benth.,"Coradin, L.",,,,,"Hatschbach, G.",46319,,,,,,Southern America,Brazil,Minas Gerais,Medina,Rod. BR-116,-41.4768981933594,-16.2224998474121,0,0,44236,,,,,,,,,,,,,MBM082735,MBM082735,auto
