MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:09:50-03,UFES,SAMES,5899,PreservedSpecimen,Plantae,,,,Pteridaceae,Cheilanthes,geraniifolia,,Cheilanthes geraniifolia,(Weath.) R.M.Tryon & A.F.Tryon,,,,,,"Coelho,R.; PintoJunior,H.V.;Covre,C.",446,,2015,08,19,,,Brasil,Espírito Santo,Águia Branca,"Inselberg, área de coleta do Herval.",-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,,SAMES05899,,auto
2021-03-24 17:09:50-03,UFES,SAMES,8181,PreservedSpecimen,Plantae,,,,Pteridaceae,Cheilanthes,geraniifolia,,Cheilanthes geraniifolia,(Weath.) R.M.Tryon & A.F.Tryon,,,,,,"Pinto Junior,H.V.; W.S.Justino.;T.Sperandio.;N.S.S.braga.",359,,2017,12,08,,,Brasil,Espírito Santo,Águia Branca,REGIÃOS DOS 3 PONTÕES DE ÁGUIA BRANCA.,-40.7402992248535,-18.9831008911133,-407122222.0,-189786111.0,19701,,,,,,,,,,,,"Folhas verdes, flores amarelas, frutos verdes em forma de vargem, sol, abundante.",SAMES08181,,auto
2021-03-24 17:09:50-03,UFES,SAMES,1693,PreservedSpecimen,Plantae,,,,Pteridaceae,Cheilanthes,geraniifolia,,Cheilanthes geraniifolia,(Weath.) R.M.Tryon & A.F.Tryon,,,,,,"Pinto Junior, H.V.; Covre, C.",268,,2016,03,21,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Vertente leste da Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,Erva habitando ilha de vegetação em afloramento rochoso; folhas verdes; abundante; sol.,SAMES01693,,auto
2021-03-24 17:09:50-03,UFES,SAMES,8213,PreservedSpecimen,Plantae,,,,Pteridaceae,Cheilanthes,geraniifolia,,Cheilanthes geraniifolia,(Weath.) R.M.Tryon & A.F.Tryon,,,,,,"Pinto Junior,H.V.; W.S.Justiuno.;T.Sperandio.;Menezes,L.F.T.",391,,2018,03,22,,,Brasil,Espírito Santo,Vila Pavão,PEDRA DO VIADINHO.,-40.611400604248,-18.6149997711182,-405558333.0,-186230556.0,19647,,,,,,,,,,,,"Folhas verdes pilosa, sombra, abundate, habitando ilha de vegetação inselberg.",SAMES08213,,auto
2019-06-10 10:11:32-03,FZB-BH,BHZB,4614,S,Plantae,,,,Pteridaceae,Cheilanthes,geraniifolia,,Cheilanthes geraniifolia,,,2008,03,19,,"Fernandes, M.G.C. et al.",,,2004,03,19,,,Brasil,MG,Pedra Azul,"Fazenda Bom Jardim,16° 03' 33 S / 41° 17' 26 W.",-41.290556,-16.059167,41W 17' 26,16S 03' 33,,,,,,,,,,,,,Anteriormente Doryopteris sp. por Lucia Porto. 2008,,,
2019-06-10 10:11:32-03,FZB-BH,BHZB,4178,S,Plantae,,,,Pteridaceae,Cheilanthes,geraniifolia,,Cheilanthes geraniifolia,,T.E.Almeida,2014,06,13,,"Botelho, R.D.",,,2003,10,14,,,Brasil,MG,Pedra Azul,"Pedra do Bode, Fazenda Bom Jardim",0,-16.059167,? 41W 17' 65,16S 03' 33,,,2573,2573,,,,,,,,,16°03'33 S / 41°17'65 W 2573 ft de altitude. Anteriormente identificada como Schizaeaceae Anemia.,,,
2015-12-09 09:41:56-02,F,FMNH-PTERIDOPHYTES,C0659467F,PreservedSpecimen,Plantae,Pteridophyta,Pteridopsida,Polypodiales,Pteridaceae,Cheilanthes,geraniifolia,,Cheilanthes geraniifolia,(Weath.) R. M. Tryon & A. F. Tryon,,,,,,,,,,,,,South America,Brazil,Bahia,,,-42,-11,,,,,,,,,,,,,,,,C0659467F,C0659467F_01,
2015-12-09 09:41:56-02,F,FMNH-PTERIDOPHYTES,C0659468F,PreservedSpecimen,Plantae,Pteridophyta,Pteridopsida,Polypodiales,Pteridaceae,Cheilanthes,geraniifolia,,Cheilanthes geraniifolia,(Weath.) R. M. Tryon & A. F. Tryon,,,,,,,,,,,,,South America,Paraguay,,,,-58.1689,-23.2025,,,,,,,,,,,,,,,,C0659468F,C0659468F_01,
2015-12-09 09:41:55-02,F,FMNH-PTERIDOPHYTES,C0659465F,PreservedSpecimen,Plantae,Pteridophyta,Pteridopsida,Polypodiales,Pteridaceae,Cheilanthes,geraniifolia,,Cheilanthes geraniifolia,(Weath.) R. M. Tryon & A. F. Tryon,,,,,,,,,,,,,South America,Brazil,Minas Gerais,,,-44,-18,,,,,,,,,,,,,,,,C0659465F,C0659465F_01,
2015-12-09 09:41:55-02,F,FMNH-PTERIDOPHYTES,C0659466F,PreservedSpecimen,Plantae,Pteridophyta,Pteridopsida,Polypodiales,Pteridaceae,Cheilanthes,geraniifolia,,Cheilanthes geraniifolia,(Weath.) R. M. Tryon & A. F. Tryon,,,,,,,,,,,,,South America,Brazil,Minas Gerais,,,-44,-18,,,,,,,,,,,,,,,,C0659466F,C0659466F_01,
2021-05-18 11:27:50-03,UEFS,HUEFS,24869,PreservedSpecimen,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,geraniifolia,,Cheilanthes geraniifolia,(Weath.) R.M.Tryon & A.F.Tryon,J.Prado,2018,,,,"Melo, E.",1434,,1995,12,17,,,Brasil,Bahia,Itatim,Morro do Agenor ou da Madeira.,-39.7,-12.716667,39W42',12S43',,,310,430,,,,,,,,,,HUEFS0024869,HUEFS0024869 HUEFS0024869_01,
2020-11-26 18:09:28-03,CPAN-UFMS,COR,12953,PreservedSpecimen,Plantae,,,,Pteridaceae,Cheilanthes,geraniifolia,,Cheilanthes geraniifolia,(Weath.) R.M.Tryon & A.F.Tryon,E.L.M. Assis & J. Prado,,,,,E.L.M. Assis; I.H. Ishii; I.M. Bortolotto; G.A. Damasceno; C. Rosso,492,,2004,11,03,,,Brasil,Mato Grosso do Sul,Corumbá,Serra do Amolar - Porto Amolar. Mata Decídua; ; morro.,-57.6533012390137,-19.0091991424561,,,295160,,,,,,,,,,,,,,,auto
2019-11-21 14:54:20-03,UFJF,CESJ,72198,PreservedSpecimen,Plantae,Polypodiopsida,,,Pteridaceae,Cheilanthes,geraniifolia,,Cheilanthes geraniifolia,(Weath.) R.M.Tryon & A.F.Tryon,L.F.A. de Paula,2016,03,14,,L.F.A. de Paula; L.O. Azevedo; R.C. Forzza,915,,2016,03,14,,América do Sul,Brasil,Espirito Santo,Vila Pavão,"Inselberg próximo ao Córrego do Viadinho, ca. 3,5Km de Vila Pavão",-40.582778,-18.643889,-40.582778,-18.643889,,,159,159,,,,,,,,,"Erva rupícola, presença de tricomas ferrugíneos nas folhas. Em trilha de vegetação sobre inselberg.",CESJ072198,,
2019-11-21 14:54:20-03,UFJF,CESJ,56785,PreservedSpecimen,Plantae,Polypodiopsida,,,Pteridaceae,Cheilanthes,geraniifolia,,Cheilanthes geraniifolia,(Weath.) R.M.Tryon & A.F.Tryon,T.E. Almeida,,,,,T.E. Almeida; R.S.Santana,1340,,,,,,América do Sul,Brasil,Minas Gerais,Itinga,Área de Mineração Thomazini,-41.7653007507324,-16.6131000518799,0,0,41806,,,,,,,,,,,,"Afloramentos graníticos. Rupícola, em área aberta, associado a Selaginella microphylla.",CESJ056785,,auto
2020-03-04 20:43:34-03,UFMG,BHCB-SL,94723,PreservedSpecimen,Plantae,,,,Pteridaceae,Cheilanthes,geraniifolia,,Cheilanthes geraniifolia,(Weath.) R.M.Tryon & A.F.Tryon,"Ponce, MM",2012,03,06,,"Almeida, TE; Souza, DT; Mota, NFO; Viana, PL",124,,2005,09,24,,América,Brasil,Minas Gerais,Conceição do Mato Dentro,Rio Santo Antônio,-43.679978,-19.107039,-43.679978,-19.107039,,,,,,,,,,,,,"Rupícola em fenda profunda no cânion, à beira do rio Santo Antônio. No campo rupestre",,,
2020-03-04 20:43:34-03,UFMG,BHCB-SL,159522,PreservedSpecimen,Plantae,,,,Pteridaceae,Cheilanthes,geraniifolia,,Cheilanthes geraniifolia,(Weath.) R.M.Tryon & A.F.Tryon,"Almeida, TE",2012,04,01,,"Paula, LFA de; Mota, NFO; Viana, PL; Jorge, TB; Burkowski, PM",135,,2011,01,08,,América,Brasil,Minas Gerais,Teófilo Otoni,"Afloramento rochoso lado esquerdo da MG 418, cerca de 30km norte de Teófilo Otoni. Em ilha de vegetação em inselbergue.",-41.260833,-17.856111,-41.260833,-17.856111,,,560,560,,,,,,,,,Erva rupícola. Tricomas ferrugíneos na face abaxial.,,,
2020-03-04 20:43:34-03,UFMG,BHCB-SL,99341,PreservedSpecimen,Plantae,,,,Pteridaceae,Cheilanthes,geraniifolia,,Cheilanthes geraniifolia,(Weath.) R.M.Tryon & A.F.Tryon,"Ponce, MM",2012,03,06,,"Salino, A; Lombardi, JA; Mota, RC; Stehmann, JR",10030,,2005,02,21,,América,Brasil,Minas Gerais,Joaíma,Entre Joaíma e a Br 116. Afloramento rochoso com ilhas de vegetação.,-41.349778,-16.768889,-41.349778,-16.768889,,,,,,,,,,,,,Terrestre em ilha de vegetação.,,,
2020-03-04 20:43:34-03,UFMG,BHCB-SL,82889,PreservedSpecimen,Plantae,,,,Pteridaceae,Cheilanthes,geraniifolia,,Cheilanthes geraniifolia,(Weath.) R.M.Tryon & A.F.Tryon,"Ponce, MM",2012,03,06,,"Lombardi, JA; Stehmann, JR; Mota, RC",5592,,,,,,América,Brasil,Minas Gerais,Santa Maria do Salto,,-40.075694,-16.260333,-40.075694,-16.260333,,,235,235,,,,,,,,,Afloramento rochoso de granito a beira da estrada. Terrestre,,,
2020-03-04 20:43:34-03,UFMG,BHCB-SL,100181,PreservedSpecimen,Plantae,,,,Pteridaceae,Cheilanthes,geraniifolia,,Cheilanthes geraniifolia,(Weath.) R.M.Tryon & A.F.Tryon,"Ponce, MM",2012,03,04,,"Pott, VJ",6323,,2003,05,20,,América,Brasil,Mato Grosso do Sul,Corumbá,"Serra do Amolar, Entre o Parque Nacional do Pantanal e Faz. Mandioré",-57.568611,-17.905556,-57.568611,-17.905556,,,605,605,,,,,,,,,Erva de 10cm sobre e entre fendas de rochas.,,,
2020-03-04 20:43:34-03,UFMG,BHCB-SL,109144,PreservedSpecimen,Plantae,,,,Pteridaceae,Cheilanthes,geraniifolia,,Cheilanthes geraniifolia,(Weath.) R.M.Tryon & A.F.Tryon,"Ponce, MM",2012,03,06,,"Almeida, TE; Souza, DT; Giorni, VT",1056,,2007,06,06,,América,Brasil,Minas Gerais,Santana de Pirapama,"Rio Paraúna, Cerradão, Cerrado Rupestre, Campo Rupestre e Mata Ciliar.",-43.946417,-18.631083,-43.946417,-18.631083,,,88,88,,,,,,,,,"Terrestre, em sombra de rocha, em área de Cerrado Rupestre",,,
2020-03-04 20:43:34-03,UFMG,BHCB-SL,159525,PreservedSpecimen,Plantae,,,,Pteridaceae,Cheilanthes,geraniifolia,,Cheilanthes geraniifolia,(Weath.) R.M.Tryon & A.F.Tryon,"Almeida, TE",2012,04,01,,"Paula, LFA de; Augsten, MDF",308,,2011,04,16,,América,Brasil,Minas Gerais,Teófilo Otoni,"Afloramento rochoso lado esquerdo da MG 418, cerca de 30km norte de Teófilo Otoni. Em ilha de vegetação de afloramento granítico.",-41.260833,-17.856111,-41.260833,-17.856111,,,560,560,,,,,,,,,Erva rupícola.,,,
2021-01-12 15:24:42-03,UFMG,BHCB-SL,38053,PreservedSpecimen,Plantae,,,,Pteridaceae,Cheilanthes,geraniifolia,,Cheilanthes geraniifolia,(Weath.) R.M.Tryon & A.F.Tryon,"Ponce, MM",2012,03,06,,"Vasconcelos, MF",s.n.,,1997,07,08,,América,Brasil,Minas Gerais,Aimorés,Pedra da Fazenda do Sr; Olício;,-41.110803,-19.832869,-41.110803,-19.832869,,,,,,,,,,,,,Rupícola,,,
2021-01-12 15:24:42-03,UFMG,BHCB-SL,87109,PreservedSpecimen,Plantae,,,,Pteridaceae,Cheilanthes,geraniifolia,,Cheilanthes geraniifolia,(Weath.) R.M.Tryon & A.F.Tryon,"Salino, A",2003,07,,,"Salino, A",9402,,2004,02,29,,América,Brasil,Minas Gerais,Almenara,"Fazenda Limoeiro, em fresta de rocha, afloramento",-41.459492,-16.009861,-41.459492,-16.009861,,,481,481,,,,,,,,,Rupícola,BHCB002176,BHCB002176,
2020-03-04 20:43:34-03,UFMG,BHCB-SL,132630,PreservedSpecimen,Plantae,,,,Pteridaceae,Cheilanthes,geraniifolia,,Cheilanthes geraniifolia,(Weath.) R.M.Tryon & A.F.Tryon,"Salino, A",2009,08,25,,"Salino, A; Megale, ME; Arruda, AJ",14432,,2009,08,25,,América,Brasil,Espírito Santo,Pancas,"Lajinha, Sítio Floresta, Córrego Floresta. Floresta Estacional Semidecidual e afloramentos rochosos.",-40.787639,-20.535278,-40.787639,-20.535278,,,150,150,,,,,,,,,Rupícola em afloramento rochoso.,,,
2021-01-12 15:24:42-03,UFMG,BHCB-SL,51253,PreservedSpecimen,Plantae,,,,Pteridaceae,Cheilanthes,geraniifolia,,Cheilanthes geraniifolia,(Weath.) R.M.Tryon & A.F.Tryon,"Ponce, MM",2012,03,06,,"Salino, A; et al.",5199,,2000,04,08,,América,Brasil,Minas Gerais,São Gonçalo do Rio Preto,Parque Estadual do Rio Preto,-43.369444,-18.145278,-43.369444,-18.145278,,,,,,,,,,,,,"Rupícola sobre rocha úmida, com bastante húmus, Sphagnum e Vellozia sp., nas margens do córrego.",,,
