MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2020-02-10 08:59:55-03,UFRPE,PEUFR,21389,PreservedSpecimen,Plantae,,,,Clusiaceae,Clusia,cf. dardanoi,,Clusia cf. dardanoi,G.Mariz & Maguire,A.C. Alencar,2019,12,,,M. Tschá; M.J.Hora; S.S.Lira,429,,1995,12,27,,,Brasil,Pernambuco,Bezerros,Parque Ecológico de Serra Negra,-35.816667,-8.2,35º49'00W,8º12'00S,,,471,471,,,,,,,,,Árvore com ca. 12m de altura; frutos imaturos verdes.,PEUFR021389,,
2021-05-13 10:47:43-03,Cenargen,CEN,31886,PreservedSpecimen,Plantae,,,,Clusiaceae,Clusia,cf. gardneri,,Clusia cf. gardneri,Planch. & Triana,B. M. T. Walter,2001,02,,,Bruno Machado Teles Walter,3409,,1996,08,19,,,Brasil,GO,MINACU,"Estrada Minaçu - Serra da Mesa, cerca de 25 km de Minaçu, à direita.",-48.29306,-13.70806,-48.29306,-13.70806,,,1000,1000,,,,Exsicatas,3,,,,Planta comum na borda da Mata. Área de influência do AHE Serra da Mesa.,CEN00031886,CEN00031886,
2021-05-13 10:47:43-03,Cenargen,CEN,73734,PreservedSpecimen,Plantae,,,,Clusiaceae,Clusia,cf. gardneri,,Clusia cf. gardneri,Planch. & Triana,B. M. T. Walter,2011,03,,,Gustavo Martinelli,16539,,2009,04,15,,,Brasil,GO,CAVALCANTE,"Parque Nacional da Chapada dos Veadeiros. Fazenda são Bento, próximo a Cachoeira Almecégas II.",-47.583055,-14.178888,-47.583055,-14.178888,,,,,,,,Exsicatas,1,,,,"Heliófila, saxícola, folhas discolores, flores com cálice verde, corola alva, com base avermelhada, botões florais verdes, látex alvacento. Doação do Jardim Botânico do Rio de Janeiro, RB - 485696",CEN00073734,CEN00073734,
2021-05-13 10:47:43-03,Cenargen,CEN,27910,PreservedSpecimen,Plantae,,,,Clusiaceae,Clusia,cf. gardneri,,Clusia cf. gardneri,Planch. & Triana,B. M. T. Walter,2001,02,,,Bruno Machado Teles Walter,3271,,1996,03,20,,,Brasil,GO,COLINAS DO SUL,Novas estradas abertas para implantação da linha de transmissão Niquêlandia/Serra da Mesa.,-48.2,-13.95,-48.2,-13.95,,,490,490,,,,Exsicatas,5,,,,"Pétalas com a base vinácea, uma pequena faixa vermelha mais clara (1/4) e restante (3/4) branca. Estigma verde e anteras amarela. Botões florais verde. Área de influência do AHE Serra da Mesa.",CEN00027910,CEN00027910,
2021-05-13 10:47:43-03,Cenargen,CEN,28706,PreservedSpecimen,Plantae,,,,Clusiaceae,Clusia,cf. gardneri,,Clusia cf. gardneri,Planch. & Triana,B. M. T. Walter,2001,02,,,Regina Célia Oliveira,794,,1997,09,12,,,Brasil,GO,COLINAS DO SUL,Ca. de 23 km da entrada sul do canteiro da AHE Serra da Mesa.,-48.1275,-13.89361,-48.12750,-13.89361,,,500,500,,,,Exsicatas,1,,,,Fruto verde. Frutos imaturos. Área de influência da Hidrelétrica Serra da Mesa. Doação do Sistema Herbário HEPH (13193-8). Goiás.,CEN00028706,CEN00028706,
2021-05-13 10:47:43-03,Cenargen,CEN,58675,PreservedSpecimen,Plantae,,,,Clusiaceae,Clusia,cf. gardneri,,Clusia cf. gardneri,Planch. & Triana,B. M. T. Walter,2009,12,,,Bruno Machado Teles Walter,4736,,2001,01,22,,,Brasil,GO,COLINAS DO SUL,Arredores da Serra do Jipe. Cerca de 15 km da futura ponte sobre o Rio Tocantins (entre Colinas e Minaçu).,-48.066666,-14.833333,-48.066666,-14.833333,,,500,500,,,,Exsicatas,4,,,,Área de influência da futura hidrelétrica Cana Brava.,CEN00058675,CEN00058675,
2021-05-13 10:47:43-03,Cenargen,CEN,34258,PreservedSpecimen,Plantae,,,,Clusiaceae,Clusia,cf. gardneri,,Clusia cf. gardneri,Planch. & Triana,B. M. T. Walter,2001,02,,,Bruno Machado Teles Walter,4324,,1999,06,23,,,Brasil,GO,COLINAS DO SUL,"Estrada Colinas - Vila Borba. Cerca de 8 km de Colinas, em estradas de fazendas à esquerda.",-48.09528,-14.09583,-48.09528,-14.09583,,,650,650,,,,Exsicatas,2,,,,"Pétalas alvas com a base vinácea, cálice alvo-esverdeado. Planta com látex amarelado. Árvore de copa larga, com cerca de 8 m de diâmetro. Área de influência do AHE Serra da Mesa.",CEN00034258,CEN00034258,
2021-05-13 10:47:43-03,Cenargen,CEN,41049,PreservedSpecimen,Plantae,,,,Clusiaceae,Clusia,cf. gardneri,,Clusia cf. gardneri,Planch. & Triana,B. M. T. Walter,2002,03,,,Glocimar Pereira-Silva,4731,,2001,02,21,,,Brasil,GO,CAVALCANTE,"Estrada para Limoeiro, a cerca de 28 km da balsa dos Paulistas rio Tocantins.",-48.05111,-13.49278,-48.05111,-13.49278,,,450,450,,,,Exsicatas,4,,,,"Pétalas brancas com a base vinácea. Área de influência da futura Hidrelétrica de Cana Brava, influência indireta.",CEN00041049,CEN00041049,
2021-05-13 10:47:43-03,Cenargen,CEN,71397,PreservedSpecimen,Plantae,,,,Clusiaceae,Clusia,cf. gardneri,,Clusia cf. gardneri,Planch. & Triana,B. M. T. Walter,2009,12,,,Glocimar Pereira-Silva,11626,,2007,03,27,,,Brasil,TO,SAO SALVADOR DO TOCANTINS,Fazenda Serrinha (próximo ao curso d'água).,-48.246388,-12.811666,-48.246388,-12.811666,,,260,260,,,,Exsicatas,4,,,,Pétalas branca com base vinácea. Área de influência direta (lago).,CEN00071397,CEN00071397,
2021-05-13 10:47:43-03,Cenargen,CEN,83240,PreservedSpecimen,Plantae,,,,Clusiaceae,Clusia,cf. criuva,,Clusia cf. criuva,Cambess.,B. M. T. Walter,2013,04,,,Clarissa Gouveia Fontes,243,,2008,03,04,,,Brasil,DF,BRASILIA,Fazenda Sucupira. Mata da fitossociologia.,-47.9296989440918,-15.7797002792358,,,70570,,1090,1090,,,,Exsicatas,2,,,,Coleta estéril para testemunho de estudo fitossociológico. Planta com exudado leitoso de coloração alva.,CEN00083240,CEN00083240,auto
