MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2020-10-27 11:21:59-03,PUCPR,HUCP,5576,S,Plantae,Eudicotiledonea,,,Clusiaceae,Clusia,criuva,,Clusia criuva,Camb.,"Shirata, MT",,,,,"Tardivo, RC; Shirata, MT",052,,1992,01,09,,,Brasil,Paraná,Guaraqueçaba,Ilha do Rabelo,-48.3288993835449,-25.3066997528076,0,0,37295,,,,,,,,,,,,,HUCP00010246,HUCP00010246,auto
2019-12-04 15:25:02-03,PUCPR,HUCP,10858,S,Plantae,Eudicotiledonea,,,Clusiaceae,Clusia,criuva,,Clusia criuva,Camb.,"Athayde, SF",,,,,"Athayde, SF; Lima, RX",260,,1994,05,07,,,Brasil,Paraná,Guaraqueçaba,Morro do Quitumbe,-48.3288993835449,-25.3066997528076,0,0,37295,,,,,,,,,,,,,HUCP00010298,HUCP00010298,auto
2019-12-04 15:25:02-03,PUCPR,HUCP,20337,S,Plantae,Eudicotiledonea,,,Clusiaceae,Clusia,criuva,,Clusia criuva,Camb.,"Selusniaki, M",,,,,"Ariati, V",064,,2008,08,17,,,Brasil,Paraná,Morretes,Parque Estadual Pico do Marumbi,-48.834400177002,-25.476900100708,0,0,30514,,,,,,,,,,,,,HUCP00010327,HUCP00010327,auto
2019-12-04 15:25:02-03,PUCPR,HUCP,23048,S,Plantae,Eudicotiledonea,,,Clusiaceae,Clusia,criuva,,Clusia criuva,Camb.,"Bonaldi, R",,,,,"Bonaldi, R",616,,2012,11,26,,,Brasil,Paraná,Pontal do Paraná,,-48.511100769043,-25.6735992431641,0,0,19508,,,,,,,,,,,,,HUCP00010171,HUCP00010171,auto
2019-12-04 15:25:02-03,PUCPR,HUCP,17877,S,Plantae,Eudicotiledonea,,,Clusiaceae,Clusia,criuva,,Clusia criuva,Camb.,"Bonaldi, R",2007,08,03,,"Bonaldi, R",109,,2006,05,14,,,Brasil,Paraná,Pontal do Paraná,,-48.511100769043,-25.6735992431641,0,0,19508,,,,,,,,,,,,,HUCP00019496,HUCP00019496,auto
2019-12-04 15:25:02-03,PUCPR,HUCP,17874,S,Plantae,Eudicotiledonea,,,Clusiaceae,Clusia,criuva,,Clusia criuva,Camb.,"Bonaldi, R",2007,08,03,,"Bonaldi, R",105,,2006,05,14,,,Brasil,Paraná,Pontal do Paraná,,-48.511100769043,-25.6735992431641,0,0,19508,,,,,,,,,,,,,HUCP00010275,HUCP00010275,auto
2019-12-04 15:25:02-03,PUCPR,HUCP,22568,S,Plantae,Eudicotiledonea,,,Clusiaceae,Clusia,criuva,,Clusia criuva,Camb.,"Nardin, EC",,,,,"Nardin, EC; Felitto, G; Eltz, J",017,,2012,05,12,,,Brasil,Paraná,Pontal do Paraná,Cemitério Regional,-48.511100769043,-25.6735992431641,0,0,19508,,,,,,,,,,,,,HUCP00000379,HUCP00000379,auto
2019-12-04 15:25:02-03,PUCPR,HUCP,10922,S,Plantae,Eudicotiledonea,,,Clusiaceae,Clusia,criuva,,Clusia criuva,Camb.,"Wangler, MS",,,,,"Wangler, MS; Quadros, J",136,,1997,09,07,,,Brasil,Santa Catarina,Itapoá,"Reserva Volta Velha, RPPN.",-48.6161003112793,-26.1168994903564,0,0,18121,,,,,,,,,,,,,HUCP00010350,HUCP00010350,auto
2020-02-08 09:53:07-03,NBC,NL-BOTANY,L.2415479,PreservedSpecimen,Plantae,,Magnoliopsidae,Malpighiales,Guttiferae,Clusia,criuva,,Clusia criuva,Cambess.,,,,,,Irwin HS; Souza R; Reis dos Santos R,,,1965,11,30,,Southern America,Brazil,,,"Serra dos Pirineus, Estado de Goiás, Gallery margin. Cerrado and gallery margin, ca. 15 km S. of Corumbá de Goiás.",-48.783333,-15.933333,-48.783333,-15.933333,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2415479 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-L2415479,NL-L2415479,
2021-03-22 17:45:13-03,UFPI,TEPB,28475,PreservedSpecimen,Plantae,,,,Clusiaceae,Clusia,criuva,,Clusia criuva,Clamb.,G. F. Russell,1976,01,01,,George Eiten,8090,,,,,,,Brasil,São Paulo,São Paulo,"Parque do Estado, terrenos do Instituto de Botânica",-46.633333,-23.6,46°38'00W,23°36'00S,,,,,,,,,,,,,Ambiente: Mata Secundária,,,
