MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2020-02-08 09:53:07-03,NBC,NL-BOTANY,L.3878319,PreservedSpecimen,Plantae,,Magnoliopsidae,Malpighiales,Guttiferae,Clusia,melchiori,,Clusia melchiori,Gleason,,,,,,Harley RM; et al.,,,1980,05,30,,Southern America,Brazil,,,"Brazil: Estado da Bahia. Morro do Chapeu. Summit of Morro do Chapeu, ca. 8 km SW of the town of Morro do Chapeu to the west of the road to Utinga.",-41.2,-11.583333,-41.2,-11.583333,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3878319 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-L3878319,NL-L3878319,
2020-02-08 09:53:07-03,NBC,NL-BOTANY,U.1215951,PreservedSpecimen,Plantae,,Magnoliopsidae,Malpighiales,Guttiferae,Clusia,melchiori,,Clusia melchiori,Gleason,,,,,,Steyermark JA; Huber O; Carreño Espinoza V,,,1983,01,26,,Southern America,Venezuela,,,"Plantas de Venezuela. Estado Bolivar, Distrito Piar, Macizo del Chimanta, Sector centro-noreste del Chimanta-tepui, cabeceras orientales del Cano Chimanta.",-62.15,5.3,-62.15,5.3,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1215951 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1215951,NL-U1215951,
2020-02-08 09:53:07-03,NBC,NL-BOTANY,U.1215955,PreservedSpecimen,Plantae,,Magnoliopsidae,Malpighiales,Guttiferae,Clusia,melchiori,,Clusia melchiori,Gleason,,,,,,Steyermark JA,,,1973,05,04,,Southern America,Venezuela,,,"Estado Bolivar, Sierra Pakaraima, Cabeceras del Rio Paragua (Aguapira), a lo largo de la frontera Venezolama-Brasilera, frontera no 15.",-63,3.666667,-63.0,3.666667,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1215955 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1215955,NL-U1215955,
2020-02-08 09:53:07-03,NBC,NL-BOTANY,WAG.1453582,PreservedSpecimen,Plantae,,Magnoliopsidae,Malpighiales,Guttiferae,Clusia,melchiorii,,Clusia melchiorii,Gleason,,,,,,Leeuwenberg AJM,,,1978,02,13,,Southern America,French Guiana,,,N. of Saul.,-53.216667,3.633333,-53.216667,3.633333,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1453582 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-WAG1453582,NL-WAG1453582,
2020-02-08 09:53:07-03,NBC,NL-BOTANY,U.1215367,PreservedSpecimen,Plantae,,Magnoliopsidae,Malpighiales,Guttiferae,Clusia,melchiorii,,Clusia melchiorii,Gleason,Pipoly JJ,,,,,Clarke HD; Watson C; Williams (Guyana) R; Perry C; Clarke J; Hurtubise K,,,1997,09,17,,Southern America,Guyana,Upper Takutu-Upper Essequibo,,,-58.85,3.183333,-58.85,3.183333,,,,,,,,,,,,U 0048512,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1215367 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1215367,NL-U1215367,
2021-04-04 13:43:10-03,UFPI,TEPB,17820,PreservedSpecimen,Plantae,,,,Clusiaceae,Clusia,melchiorii,,Clusia melchiorii,,A. Amorim,1996,01,01,,R.M. Harley,28486,,1997,01,10,,,Brasil,Bahia,Castro Alves,"Serra da Jibóia, subida da serra",-39.475556,-12.851667,39°28'32W,12°51'06S,,,597,597,,,,,,,,,"Árvore, látex incolor e perfumado, frutos verdes, estilete enegrecidos, com caramujos vivendo nas folhas Ambiente: Mata pertubada",,,
2021-05-17 15:49:45-03,UNICAMP,UEC,166649,S,Plantae,Magnoliopsida,,,Clusiaceae,Clusia,melchiorii,,Clusia melchiorii,Gleason,"Marinho, L",2014,08,,,"Paixão, JL; Amorim, AMA; Teixeira, M; et al.",443,,2005,06,05,,,Brazil,Bahia,Camacã,"RPPN Serra Bonita. 9,7 Km W de Camacã na estrada para Jacarecí, daí 6 Km SW na estrada para a RPPN e torre da Embratel. Floresta Ombrófila Densa Montana.",-39.565278,-15.391667,-39.565278,-15.391667,,,850,850,,,,,,,,,"Epífita sobre árvore a ca. 20,0 m alt. folhas discolores brilhantes. Frutos imaturos verdes.",UEC036054,UEC036054,
2021-05-17 15:49:45-03,UNICAMP,UEC,160604,S,Plantae,Magnoliopsida,,,Clusiaceae,Clusia,melchiorii,,Clusia melchiorii,Gleason,"Marinho, L",2014,08,,,"Fiaschi, P; Amorim, AMA; Martini, A; Paixão, JL; Temponi, LG",2206,,2004,04,02,,,Brazil,Bahia,Uruçuca,"Parque Estadual da Serra do Conduru, Estrada de Serra Grande para Uruçuca. Área do Inventário do plano de manejo.&nf;Mata da torre do celular.",-40.094444,-14.499722,-40.094444,-14.499722,,,380,380,,,,,,,,,"Mata-Pau sobre PF2204. Folhas coriáceas, fortemente discolores. Frutos verde-claros, sementes com arilo amarelo.",UEC069687,UEC069687,
2021-05-17 15:49:45-03,UNICAMP,UEC,119462,S,Plantae,Magnoliopsida,,,Clusiaceae,Clusia,melchiorii,,Clusia melchiorii,Gleason,"Bittrich, V",2001,09,,,"Melo, E; França, F; Rodrigues, M; Marques da Silva, B; Sena, L",3302,,2001,04,19,,,Brazil,Bahia,Morro do Chapéu,"c. 5km S do Morro do Chapéu, na estrada",-42.594444,-11.575556,-42.594444,-11.575556,,,1035,1035,,,,,,,,,"Flor, Cerrado entre rochas. Arbusto c. 4m. Folha coriácea discolor: face abaxial verde-clara. Pétala verde. Filete esbranquiçado. Antera amarela. Material tratado com álcool comercial.",UEC141846,UEC141846,
2021-05-17 15:49:45-03,UNICAMP,UEC,158511,S,Plantae,Magnoliopsida,,,Clusiaceae,Clusia,melchiorii,,Clusia melchiorii,Gleason,"Marinho, L",2014,08,,,"Paixão, JL; Nascimento, MS",1344,,2007,08,04,,,Brazil,Bahia,Amargosa,"Serra do Timbó, Mata do Centro Sapucaia, área das Duas Barras. Mata Atlântica.",-39.658611,-14.591667,-39.658611,-14.591667,,,,,,,,,,,,,"Arbusto, com ca 8m alt.ura. Folhas discolores com nervuras róseas. Frutos imaturos esverdeados.",UEC032845,UEC032845,
