MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-05-17 15:49:45-03,UNICAMP,UEC,130823,S,Plantae,Magnoliopsida,,,Clusiaceae,Clusia,mexiae,,Clusia mexiae,P.F.Stevens,,,,,,"Pirani, JR; Marcato, AC; Forzza, RC; Rapini, A; Assis, MC",4096,,1998,03,02,,,Brazil,Minas Gerais,Congonhas do Norte,"Serra da Carapina ( Serra Talhada na folha IBGE), setor N da Serra do Cipó. Campo rupestre, com afloramentos rochosos, matinhas e capões.",-43.737222,-18.87,-43.737222,-18.87,,,1310,1310,,,,,,,,,"Àrvore 6m alt. heliófila, entre rochas perto do riacho, ao sol. Frutos imaturos verdes com perianto persistente seco.",UEC026485,UEC026485,
2021-05-17 15:49:45-03,UNICAMP,UEC,163570,S,Plantae,Magnoliopsida,,,Clusiaceae,Clusia,mexiae,,Clusia mexiae,P.F.Stevens,,,,,,"Pirani, JR; Calió, MFA; Loeuille, BFP; Martins, EG",5594,,2007,01,20,,,Brazil,Minas Gerais,Congonhas do Norte,"Serra do Cipó, Serra Talhada Setor nordeste da Serra do Cipó, 9 km S de Congonhas do Norte na estrada para Conceição do Mato Dentro, entrada para Extrema seguindo 11 km - Fazenda Imbaúbas (propriedade do Sr. Helvécio Lacerda de Queiroz).",-43.671389,-18.93,-43.671389,-18.93,,,1130,1130,,,,,,,,,"Árvore copada, 5 m alt., entre rochas em baixada úmida, ao sol. Folhagem verde- escura; látex amarelo. Flores femininas. Sépalas verdes, pétalas alvas, no interior rubras no fundo; ovário róseo; estigma amarelo.; Campo rupestre e mata",UEC028374,UEC028374,
2021-05-17 15:49:45-03,UNICAMP,UEC,206881,S,Plantae,Magnoliopsida,,,Clusiaceae,Clusia,mexiae,,Clusia mexiae,P.F.Stevens,"Alencar, AC",2020,02,,,"Simonelli, M; Brito, R; Magnago, LFS",1357,,2007,11,25,,,Brazil,Espirito Santo,São Roque do Canaã,"Brasil, ES, Mun. de São Roque do Canaã, Alto Misterioso.",-40.783056,-19.3205,-40.783056,-19.3205,,,953,953,,,,,,,,,"5 m de altura, frutos verdes.; Mata.",UEC179512,,
2021-05-17 15:49:45-03,UNICAMP,UEC,197101,S,Plantae,Magnoliopsida,,,Clusiaceae,Clusia,mexiae,,Clusia mexiae,P.F.Stevens,,,,,,"Romão, GO; et al.",2582,,2010,04,08,,,Brazil,Minas Gerais,Santo Antônio do Itambé,Pico do Itambé. Subida para o Pico.,-43.348333,-18.395833,-43.348333,-18.395833,,,,,,,,,,,,,"Arvoreta, 1,8m alt,. fruto imaturo verde.; Campo rupestre",UEC142058,UEC142058,
2021-05-17 15:49:45-03,UNICAMP,UEC,200316,S,Plantae,Magnoliopsida,,,Clusiaceae,Clusia,mexiae,,Clusia mexiae,P.F.Stevens,,,,,,"Monge, M; Leoni, LS; Scatigna, AV",1246,,2012,09,20,,,Brazil,Minas Gerais,Alto Caparaó,"Parque Nacional do Caparaó. Vale Verde, Rio Caparaó",-41.883333,-20.433333,-41.883333,-20.433333,,,,,,,,,,,,,"Árvore, 5 m de altura, frutos verdes, pétalas persistentes, marrons.; Floresta Estacional Montana",UEC158126,UEC158126,
2021-05-17 15:49:45-03,UNICAMP,UEC,206875,S,Plantae,Magnoliopsida,,,Clusiaceae,Clusia,mexiae,,Clusia mexiae,P.F.Stevens,"Alencar, AC",2020,02,,,"Couto, DR; Couto, TR",564,,2008,06,22,,,Brazil,Espírito Santo,Mimoso do Sul,"Brasil, ES, Mimoso do Sul.Pedra dos Pontões:Jardim dos Pontões.",-41.545833,-20.940556,-41.545833,-20.940556,,,917,960,,,,,,,,,"Árvore rupícola, saxícola.Frutos verdes.",UEC179506,,
2021-05-17 15:49:45-03,UNICAMP,UEC,197316,S,Plantae,Magnoliopsida,,,Clusiaceae,Clusia,mexiae,,Clusia mexiae,P.F.Stevens,"Martins, MV",2017,02,,,"Martins, MV; Shimizu, GH",413,,2017,02,11,,,Brazil,Minas Gerais,Serra do Cipó,"Nas vellozias gigantes, afloramento rochoso",-43.509778,-19.2475,-43.509778,-19.2475,,,1263,1263,,,,,,,,,"Árvore de 2,5m, exsudato amarelo; com flores envelhecendo",UEC177635,UEC177635,
2021-05-17 15:49:45-03,UNICAMP,UEC,206879,S,Plantae,Magnoliopsida,,,Clusiaceae,Clusia,mexiae,,Clusia mexiae,P.F.Stevens,"Alencar, AC",2020,02,,,"Fortuna-Perez, AP; Esgario, C",1550,,2005,07,16,,,Brazil,Espirito Santo,São Roque do Canaã,"Brasil, ES, Município de São Roque do Canaã, Alto Misterioso.",-40.6568984985352,-19.738899230957,0,0,14641,,1100,1100,,,,,,,,,"Árvore 5 m, frutos verdes, látex branco.; Pedra 5a, Inselberg.",UEC179510,,auto
2021-05-17 15:49:45-03,UNICAMP,UEC,206878,S,Plantae,Magnoliopsida,,,Clusiaceae,Clusia,mexiae,,Clusia mexiae,P.F.Stevens,"Alencar, AC",2020,02,,,"Silva, AG; Fortuna-Perez, AP; Esgario, CP",s.n.,,2007,08,18,,,Brazil,Espirito Santo,São Roque do Canaã,"Brasil, ES, São Roque do Canaã, Alto Misterioso.",-40.6568984985352,-19.738899230957,0,0,14641,,850,1143,,,,,,,,,"Árvore 7 m, frutos com sépalas persistentes.; Afloramento rochoso.",UEC179511,,auto
2021-05-17 15:49:45-03,UNICAMP,UEC,206888,S,Plantae,Magnoliopsida,,,Clusiaceae,Clusia,mexiae,,Clusia mexiae,P.F.Stevens,"Alencar, AC",2020,02,,,"Kollmann, L; Kollmann, RL; Fortuna-Perez, AP; Esgario, C",7581,,2005,03,25,,,Brazil,Espírito Santo,Castelo,"Brasil, ES, Município de Castelo, Parque Estadual de Forno Grande.",-41.184700012207,-20.6035995483398,0,0,23588,,,,,,,,,,,,"Arvoreto 4 m no sol.Flores amarelas, base das pétalas vermelhas.",UEC179521,,auto
