MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-02-20 13:41:50-03,INPA,INPA-CARPOTECA,155875,Carpo,Plantae,Dicotyledon Com-Clade,,Malpighiales,Clusiaceae,Clusia,nemorosa,,Clusia nemorosa,G.Mey.,"Pipoly III, JJ",1997,,,,"Ferreira, CAC",9817,,1987,12,10,,Southern America,Brasil,Pará,Oriximinã,10 Km de Oriximiná na estrada para Óbidos (PA 28),-55.833333,-1.7,-55.833333,-1.7,,,,,,,,,,,,,,INPA0155875,INPA0155875 INPA0155875_e INPA0155875_nd,
2019-12-04 15:25:02-03,PUCPR,HUCP,24316,S,Plantae,Eudicotiledonea,,,Clusiaceae,Clusia,nemorosa,,Clusia nemorosa,G. Mey.,"Ribas, OS; Felitto, G",,,,,"Felitto, G",219,,2012,02,08,,,Brasil,Bahia,Andaraí,,-41.3314018249512,-12.8072004318237,0,0,58558,,,,,,,,,,,,,HUCP00010194,HUCP00010194,auto
2020-02-08 09:53:13-03,NBC,NL-BOTANY,U.1215834,PreservedSpecimen,Plantae,,Magnoliopsidae,Malpighiales,Guttiferae,Clusia,nemorosa,,Clusia nemorosa,G.Mey.,Pipoly JJ,,,,,Henkel TW; Williams (Guyana) R; Scrase H,,,1993,08,14,,Southern America,Guyana,Upper Demerara - Berbice,,,-57.95,5.716667,-57.95,5.716667,,,,,,,,,,,,U 0225326,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1215834 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1215834,NL-U1215834,
2020-02-08 09:53:13-03,NBC,NL-BOTANY,U.1215831,PreservedSpecimen,Plantae,,Magnoliopsidae,Malpighiales,Guttiferae,Clusia,nemorosa,,Clusia nemorosa,G.Mey.,Pipoly JJ,,,,,Clarke HD; Williams (Guyana) R; Perry C,,,1998,09,04,,Southern America,Guyana,Upper Takutu-Upper Essequibo,,"Guyana. Region: U.Takutu-U.Essequibo. Acarai Mts., 10 km S of Sipu River, summit of highest peak in central Acarai Mts.",-58.965,1.332778,-58.965,1.332778,,,,,,,,,,,,U 0248731,"Scrub forest on peat and granite, with Erythroxylon, Clusia & Myrtaceae.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1215831 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NL-U1215831,NL-U1215831,
2020-02-08 09:53:13-03,NBC,NL-BOTANY,U.1215833,PreservedSpecimen,Plantae,,Magnoliopsidae,Malpighiales,Guttiferae,Clusia,nemorosa,,Clusia nemorosa,G.Mey.,Crozier F,,,,,Raynal-Roques AM,,,1979,04,18,,Southern America,French Guiana,Cayenne,,,-52.956792,5.376764,-52.956792,5.376764,,,,,,,,,,,,U 0224660,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1215833 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1215833,NL-U1215833,
2020-02-08 09:53:13-03,NBC,NL-BOTANY,U.1215932,PreservedSpecimen,Plantae,,Magnoliopsidae,Malpighiales,Guttiferae,Clusia,nemorosa,,Clusia nemorosa,G.Mey.,,,,,,Liesner RL; Guariglia M,,,1981,05,06,,Southern America,Venezuela,,,"Estado Tachira, Cerro Las Minas, 18 km SE of Santa Ana, Pasture with forest along steep slopes leading to Cerro Azul of Cerro Las Minas.",-72.216667,7.6,-72.216667,7.6,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1215932 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1215932,NL-U1215932,
2020-02-08 09:53:13-03,NBC,NL-BOTANY,L.3810986,PreservedSpecimen,Plantae,,Magnoliopsidae,Malpighiales,Guttiferae,Clusia,nemorosa,,Clusia nemorosa,G.Mey.,,,,,,Pipoly JJ; Gharbarran G; Samuels GJ,,,1987,04,12,,Southern America,Guyana,,,"East Berbice-Corentyne Region: Canje Rover, Cow Savanna E of Digitima Creek.",-57.583333,5.6,-57.583333,5.6,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3810986 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-L3810986,NL-L3810986,
2020-02-08 09:53:13-03,NBC,NL-BOTANY,L.3878294,PreservedSpecimen,Plantae,,Magnoliopsidae,Malpighiales,Guttiferae,Clusia,nemorosa,,Clusia nemorosa,G.Mey.,,,,,,Harley RM; et al.,,,1974,01,21,,Southern America,Brazil,,,"Brazil: Estado de Bahia, Serra do Rio de Contas. About 3km N. of the town of Rio de Contas.",-41.833333,-13.583333,-41.833333,-13.583333,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3878294 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-L3878294,NL-L3878294,
2020-02-08 09:53:13-03,NBC,NL-BOTANY,L.3878295,PreservedSpecimen,Plantae,,Magnoliopsidae,Malpighiales,Guttiferae,Clusia,nemorosa,,Clusia nemorosa,G.Mey.,,,,,,Harley RM; et al.,,,1974,01,29,,Southern America,Brazil,,,"Brazil: Estado de Bahia, Serra do Sincorá, ca. 6km N. of Barra da Estiva not far from Rio Preto.",-41.3,-13.583333,-41.3,-13.583333,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3878295 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-L3878295,NL-L3878295,
2020-02-08 09:53:13-03,NBC,NL-BOTANY,L.3878396,PreservedSpecimen,Plantae,,Magnoliopsidae,Malpighiales,Guttiferae,Clusia,nemorosa,,Clusia nemorosa,G.Mey.,,,,,,Ek RC; Jansen-Jacobs MJ; Vonk R; Pineau K,,,2006,10,01,,Southern America,French Guiana,,,"Flora of French Guiana. French Guiana: Kaw Mts., Trésor Reserve. Halfway enterance and eastern border Trésor Reserve.",-52.25,4.583333,-52.25,4.583333,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3878396 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-L3878396,NL-L3878396,
