MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:08:55-03,UFES,SAMES,6247,PreservedSpecimen,Plantae,,,,Clusiaceae,Clusia,organensis,,Clusia organensis,Planch. & Triana,,,,,,"Pinto Junior,H.V.; Cruz,G.P.R;Justino,W.S.",317,,2016,05,26,,,Brasil,Espírito Santo,Castelo,,-41.184700012207,-20.6035995483398,-410544444.0,-203066667.0,23588,,,,,,,,,,,,Flores com pétalas avermelhadas e estames amarelos. Habito: Árvore,SAMES06247,,auto
2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0039873,PreservedSpecimen,Plantae,Magnoliophyta,,Malpighiales,Clusiaceae,Clusia,organensis,,Clusia organensis,Planch. & Triana,V. Bittrich,,,,,G. Hatschbach; J. M. Silva,61147,,1994,,8,,,Brazil,Espirito Santo,,Sao bento de Urania (Mun. Alfredo Chaves).,-40.74931,-20.635712,,,,,,,,,,,,,,,"Arvore ramosa, 6m, petalas bordo.",,,
2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0039872,PreservedSpecimen,Plantae,Magnoliophyta,,Malpighiales,Clusiaceae,Clusia,organensis,,Clusia organensis,Planch. & Triana,V. Bittrich,,,,,"G. Hatschbach; M. Hatschbach, J. M. Silva",71383,,2000,,18,,,Brazil,Espirito Santo,,Vitor Hugo (Mun. Marechal Candido Rondon).,-40.833333,-20.433333,,,,,900,,,,,,,,,,"Arvore, 4m, flor bordo, anteras amarelas; margem do rio.",,,
2021-05-17 15:49:51-03,UNICAMP,UEC,106268,S,Plantae,Magnoliopsida,,,Clusiaceae,Clusia,organensis,,Clusia organensis,Planch. & Triana,"Bittrich, V",1999,03,,,"Leoni, BS",3122,,1995,11,15,,,Brazil,Minas Gerais,Carangola,Fazenda Neblina,-42.483333,-20.716667,-42.483333,-20.716667,,,1200,1200,,,,,,,,,"Árvore com 3m de altura aproximadamente, tronco liso de cor clara, toda planta apresenta látex, corola com pétalas de cor vinosa.; Surge ao lado de córrego, junto a formações rochosas.",UEC012035,UEC012035,
2021-05-17 15:49:51-03,UNICAMP,UEC,110293,S,Plantae,Magnoliopsida,,,Clusiaceae,Clusia,organensis,,Clusia organensis,Planch. & Triana,"Alencar, AC",2018,04,,,"Zappi, DC; Costa, CB; Aona, LYS; Bellinelo, R",409,,1999,11,24,,,Brazil,Espírito Santo,Vargem Alta,"Estrada para Pedra Azul, c. 30km de Vargem Alta.",-40.993889,-20.553056,-40.993889,-20.553056,,,840,840,,,,,,,,,"Árvore 7m, flores femininas vináceas, estigmas creme, glândulas amarelas. DNA.&nf;; Mata de altitude, beira da estrada.",UEC103348,UEC103348,
2021-05-17 15:49:51-03,UNICAMP,UEC,117412,S,Plantae,Magnoliopsida,,,Clusiaceae,Clusia,organensis,,Clusia organensis,Planch. & Triana,"Bittrich, V",1994,02,,,"Amaral, MCE; Bittrich, V",947a,,1994,01,05,,,Brazil,Espírito Santo,Vargem Alta,"2,2 km antes de Vargem Alta chegando do Aracê.",-41.036667,-20.69,-41.036667,-20.69,,,,,,,,,,,,,"Árvore, 4m.; areia branca em área encharcada.",UEC143415,UEC143415,
2021-05-17 15:49:51-03,UNICAMP,UEC,176958,S,Plantae,Magnoliopsida,,,Clusiaceae,Clusia,organensis,,Clusia organensis,Planch. & Triana,,,,,,"Borges, RAX; Judice, D; Sodré, F; Kutschenko, D; Santos, M; Prieto, PV;",1224,,2011,12,15,,,Brazil,Rio de Janeiro,Nova Friburgo,"Distrito de Lumiar, sítio do Cedro.",-41.433333,-22.35,-41.433333,-22.35,,,930,930,,,,,,,,,"Arvoreta, folhas levemente discolores, flore creme, frutos alvo-esverdeados e arilo alaranjado. Altura: 4m.; Floresta ombrófila densa em encosta de morro, com áreas de floresta nebular no topo.",UEC023938,UEC023938,
2021-05-17 15:49:51-03,UNICAMP,UEC,176960,S,Plantae,Magnoliopsida,,,Clusiaceae,Clusia,organensis,,Clusia organensis,Planch. & Triana,,,,,,"Borges, RAX; Judice, D; Sodré, F; Kutschenko, D; Santos, M; Prieto, PV",1188,,2011,12,15,,,Brazil,Rio de Janeiro,Nova Friburgo,"Distrito de Lumiar, Sítio do Cedro.",-42.443889,-22.364444,-42.443889,-22.364444,,,,,,,,,,,,,"Árvore cin latéx branco, fohas dicolores, flores com pétalas vináceas e anteras amarelas. Altura: 6.; Floresta Ombráfila densa secundária em encosta de morro, com área de floreta nebular no topo.",UEC023924,UEC023924,
2021-05-17 15:49:51-03,UNICAMP,UEC,178074,S,Plantae,Magnoliopsida,,,Clusiaceae,Clusia,organensis,,Clusia organensis,Planch. & Triana,"Alencar, AC",2016,08,,,"Flores, TB; Campos, OR",1571,,2012,10,25,,,Brazil,Espírito Santo,Ibitirama,Pedra roxa- Ao longo do rio do lado do alojamento do ICMBIO. Rio aproximadamente 20m de largura.,-41.736389,-20.406333,-41.736389,-20.406333,,,,,,,,,,,,,"Prensado em álcool 70%; Árvore, ca. 4m de alt. Cálice verde, corola roxa, androceu e gineceu amarelos. Latéx branco,; Pedregoso.",UEC023515,UEC023515,
2021-05-17 15:49:51-03,UNICAMP,UEC,178091,S,Plantae,Magnoliopsida,,,Clusiaceae,Clusia,organensis,,Clusia organensis,Planch. & Triana,"Alencar, AC",2016,08,,,"Flores, TB; Kuntz-Galvão, J; Campos, OR",1472,,2012,10,23,,,Brazil,Espírito Santo,Ibitirama,"Pedra roxa - Alojamento do ICMBIO, Beira do rio.",-41.736389,-20.406333,-41.736389,-20.406333,,,,,,,,,,,,,"Prensado em álcool 70%; Árvore, ca. 4m de alt. Cálice verde, corola roxa, androceu amarelo. Latéx amarelo.",UEC062408,UEC062408,
