MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:09:02-03,UFES,SAMES,1225,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Cnidoscolus,hamosus,,Cnidoscolus hamosus,Pohl,,,,,,"Pinto Junior, H.V.; Covre, C.",144,,2015,06,25,,,Brasil,Espírito Santo,Águia Branca,Região dos Três Pontões de Águia Branca.,-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,"Arbusto de 1,5 a 2 m, habitando ilha de vegetação; folhas verdes; flores brancas; sol pleno.",SAMES01225,,auto
2021-03-24 17:09:02-03,UFES,SAMES,1226,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Cnidoscolus,hamosus,,Cnidoscolus hamosus,Pohl,,,,,,"Pinto Junior, H.V.; Covre, C.; Coelho, R.; Barreto, L.M.",174,,2015,08,19,,,Brasil,Espírito Santo,Águia Branca,"Região dos Três Pontões de Águia Branca, afloramento da dissertação do Herval.",-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,Arbusto habitando ilha de vegetação em afloramento rochoso; folhas verdes; flores brancas; fruto redondo; presença de látex e espinhos.,SAMES01226,,auto
2021-03-24 17:09:02-03,UFES,SAMES,1165,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Cnidoscolus,hamosus,,Cnidoscolus hamosus,Pohl,,,,,,"Pinto Junior, H.V.; Menezes, L.F.T.; Covre, C.",185,,2015,09,18,,,Brasil,Espírito Santo,Vila Pavão,Pedra Tri-gêmea. Afloramento granítico.,-40.611400604248,-18.6149997711182,,,19647,,,,,,,,,,,,Arbusto habitando ilha de vegetação em afloramento rochoso; folhas verdes; flores brancas; presença de látex; sol pleno.,SAMES01165,,auto
2021-03-24 17:09:02-03,UFES,SAMES,1224,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Cnidoscolus,hamosus,,Cnidoscolus hamosus,Pohl,,,,,,"Pinto Junior, H.V.; Menezes, L.F.T.; Covre, C.",166,,2015,07,29,,,Brasil,Espírito Santo,Águia Branca,"Região dos Três Pontões de Águia Branca, afloramento da dissertação do Herval.",-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,Arbusto habitando ilha de vegetação em afloramento rochoso; folhas verdes com pontuações; botão verde; abundante; sol pleno.,SAMES01224,,auto
2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0027383,PreservedSpecimen,Plantae,Magnoliophyta,,Malpighiales,Euphorbiaceae,Cnidoscolus,hamosus,,Cnidoscolus hamosus,Pohl,Fdes. Casas,,,,,G. Hatschbach; J. M. Silva,49996,,1985,11,20,,,Brazil,Minas Gerais,,"Itaobim, arredores.",-41.504009,-16.576158,,,,,,,,,,,,,,,,,,
2021-06-30 13:12:20-03,MBM,MBM,105440,S,Plantae,,,,Euphorbiaceae,Cnidoscolus,hamosus,,Cnidoscolus hamosus,Pohl,"Casas, J.F.",,,,,"Hatschbach, G.; Silva, J.M.; Silva, J.M.",49996,,1985,11,20,,Southern America,Brazil,Minas Gerais,Itaobim,"Itaobim, arredores",-41.5032997131348,-16.5617008209229,0,0,19493,,,,,,,,,,,,,MBM105440,MBM105440,auto
2019-07-11 08:30:54-03,ICAUFMG,MCCA,3032,S,Plantae,,,,Euphorbiaceae,Cnidoscolus,hamosus,,Cnidoscolus hamosus,Pohl,"XAVIER, M.V.B.",,,,,"XAVIER, M.V.B.; ARRUDA, D.M.",,,2018,04,25,,,Brasil,Minas Gerais,Itaobim,,-41.5032997131348,-16.5617008209229,,,19493,,,,,,,,,,,,,MCCA03159,MCCA03159,auto
2021-05-13 10:49:16-03,Cenargen,CEN,114099,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Cnidoscolus,hamosus,,Cnidoscolus hamosus,Pohl,C. C. Oliveira,2016,04,,,C. C. Oliveira,399,,2016,04,07,,,Brasil,MG,ITAOBIM,"BR 367, estrada Itaobim sentido Jequitinhonha, 2 km à esquerda , estrada de terra. Alt. 0 - 24m.",-41.486111,-16.567222,-41.486111,-16.567222,,,,,,,,Exsicatas,1,,,,Ramos decumbentes. Doação Herbário UB - Brasil - Minas Gerais.,CEN00114099,CEN00114099,
2021-05-13 10:49:16-03,Cenargen,CEN,114100,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Cnidoscolus,hamosus,,Cnidoscolus hamosus,Pohl,C. C. Oliveira,2016,04,,,C. C. Oliveira,400,,2016,04,07,,,Brasil,MG,ITAOBIM,"BR 367, estrada Itaobim sentido Jequitinhonha, 2 km à esquerda , estrada de terra. Alt. 0 - 24m.",-41.488888,-16.564444,-41.488888,-16.564444,,,,,,,,Exsicatas,1,,,,Ramos decumbentes. Doação Herbário UB - Brasil - Minas Gerais.,CEN00114100,CEN00114100,
2019-11-01 14:57:29-03,UnB,UB,,PreservedSpecimen,Plantae,Dicotyledoneae,,,Euphorbiaceae,Cnidoscolus,hamosus,,Cnidoscolus hamosus,Pohl,"Oliveira, CC",2016,04,07,,"Oliveira, CC",399,,2016,04,07,,Southern America,Brasil,Minas Gerais,Itaobim,"BR 367, estrada Itaobim sentido Jequitinhonha, 2 km à esquerda, estrada de terra",-41.486111,-16.567222,-41.486111,-16.567222,,,,,,,,,,,,,"Arvoreta 4 m, ramos decumbentes",,,
