MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-01-06 11:42:14-03,UFPI-MRV,HDELTA,811,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Cnidoscolus,urens,,Cnidoscolus urens,(L.) Arthur,,,,,,"Neves, M. C. A.",81,,2013,03,08,,,Brasil,Piauí,Parnaíba,Baixa da onça,-41.745611,-3.070528,"41°44'44,20''W","03°04'13,90''S",,,,,,,,,,,,,Subarbusto Etnomedicina <ll>dwc_commonname:</ll> Cançanção,HDELTA000811,,
2021-06-15 11:06:59-03,UFPI-MRV,HDELTA,6858,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Cnidoscolus,urens,,Cnidoscolus urens,(L.) Arthur,"Santos-Filho, F. S.",2019,07,08,,"Sá, A. A.; Luz, A. R. M..; Sousa, A. R.; Sousa, W.G. M.",141,,2019,05,24,,,Brasil,Piauí,Campinas do Piauí,Angical,-41.888056,-7.695833,"41°53'17,00W","7°41'45,00S",,,,,,,,,,,,,Campo fechado <ll>dwc_commonname:</ll> Cansanção,HDELTA006858,,
2021-06-15 11:06:59-03,UFPI-MRV,HDELTA,3359,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Cnidoscolus,urens,,Cnidoscolus urens,(L.) Arthur,"Carvalho, Y.S.",2015,04,11,,"Carvalho, Y.S.",31,,2015,04,11,,,Brasil,Piauí,Caxingó,Fazenda do trapiá,-41.896111,-3.4175,"41º53'46,00W","03º25'03,00S",,,,,,,,,,,,,<ll>dwc_commonname:</ll> Cansansão de boi,HDELTA003359,,
2021-06-15 11:06:59-03,UFPI-MRV,HDELTA,3167,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Cnidoscolus,urens,,Cnidoscolus urens,(L.) Arthur,"Araújo, M.F.P",2015,02,21,,"Araujo, M.F.P",19,,2015,02,21,,,Brasil,Piauí,Luís Correia,Povoado Macapá,-41.468664,-2.921117,"41°28'07,19W","02°55'16,02S",,,,,,,,,,,,,<ll>dwc_commonname:</ll> Cansanção branco,HDELTA003167,,
2021-06-15 11:06:59-03,UFPI-MRV,HDELTA,6854,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Cnidoscolus,urens,,Cnidoscolus urens,(L.) Arthur,"Sá, A. A.",2019,10,26,,"Sá, A. A.; Luz, A. R. M..; Sousa, A. R.; Sousa, W.G. M.",97,,2019,05,24,,,Brasil,Piauí,Santa Rosa do Piauí,Rio (Chegando na cidadae) - Gerona,-42.270556,-6.810278,"42°16'14,00W","6°48'37,00S",,,,,,,,,,,,,Campo úmido <ll>dwc_commonname:</ll> Cansanção,HDELTA006854,,
2021-06-15 11:06:59-03,UFPI-MRV,HDELTA,6109,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Cnidoscolus,urens,,Cnidoscolus urens,(L.) Arthur,"Araújo, L.S.",2018,07,18,,"Araújo, L.S.; Lemos, J.R.",197,,2018,07,18,,,Brasil,Piauí,Brasileira,,-41.7811012268066,-4.13166999816895,,,51782,,,,,,,,,,,,<ll>dwc_commonname:</ll> Urtiga,HDELTA006109,,auto
2021-01-06 11:42:14-03,UFPI-MRV,HDELTA,4598,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Cnidoscolus,urens,,Cnidoscolus urens,(L.) Arthur,"Sousa, R.M.S.",2017,10,13,,"Sousa, R.M.S.",111,,2017,08,11,,,Brasil,Piauí,Caxingó,Piçarreira,-41.8960990905762,-3.41750001907349,,,21291,,,,,,,,,,,,Material depositado em carpoteca n° 49 <ll>dwc_commonname:</ll> Cansanção,HDELTA004598,,auto
2021-04-23 14:37:15-03,UFPI-MRV,HDELTA,6694,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Cnidoscolus,urens,,Cnidoscolus urens,(L.) Arthur,"Souza, R.T.B",2020,02,11,,"Souza, R.T.B; Andrade, I.M.",11,,,,,,,Brasil,Piauí,Ilha grande,Labino,-41.8213996887207,-2.8583300113678,"41°45#?#53,45#?#W","2°49#?#55,06#?##?#s",13228,,,,,,,,,,,,<ll>dwc_commonname:</ll> urtiga branca,HDELTA006694,,auto
2021-01-06 11:42:14-03,UFPI-MRV,HDELTA,321,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Cnidoscolus,urens,,Cnidoscolus urens,(L.) Arthur,Souza.,2013,10,14,,"Silva, A. G.",,,2009,07,30,,,Brasil,Piauí,Ilha Grande,,-41.8213996887207,-2.8583300113678,,,13228,,,,,,,,,,,,Erva,HDELTA000321,,auto
2021-01-06 11:42:14-03,UFPI-MRV,HDELTA,6238,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Cnidoscolus,urens,,Cnidoscolus urens,(L.) Arthur,"Araújo, L.S.",2018,08,19,,"Araújo, L.S.; Lemos, J.R.",273,,2018,08,19,,,Brasil,Piauí,Murici dos Portelas,,-42.0938987731934,-3.31889009475708,,,25662,,,,,,,,,,,,,HDELTA006238,,auto
2021-01-06 11:42:14-03,UFPI-MRV,HDELTA,6562,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Cnidoscolus,urens,,Cnidoscolus urens,(L.) Arthur,"Vieira, L.S.",2020,01,,,"Meireles, M.P.A",51,,2018,07,,,,Brasil,Piauí,Picos,,-41.4668998718262,-7.07694005966187,"41°55'70,63W","7°68'84,60S",31259,,,,,,,,,,,,Casa do seu Vicente (cantor) <ll>dwc_commonname:</ll> Cansanção,HDELTA006562,,auto
2021-01-06 11:42:14-03,UFPI-MRV,HDELTA,3830,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Cnidoscolus,urens,,Cnidoscolus urens,(L.) Arthur,"Silva, A.K.C.",,,,,"Silva, A. K. C.",122,,2016,02,05,,,Brasil,Piauí,Piracuruca,Fazenda Capitão de Campos,-41.7092018127441,-3.92806005477905,,,41625,,,,,,,,,,,,<ll>dwc_commonname:</ll> Cançação branco,HDELTA003830,,auto
2021-04-28 07:45:15-03,UFPI,TEPB,26668,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Cnidoscolus,urens,,Cnidoscolus urens,(L.) Arthur,,,,,,"SOUSA, R. S.",18,,2008,04,04,,,Brasil,Piauí,Ilha Grande,Caminho para a Lagoa Pantanal,-41.804333,-2.843361,"41°48'15,6W","02°50'36,1S",,,9,9,,,,,,,,,subarbusto de flores brancas Ambiente: Tabuleiro <ll>dwc_commonname:</ll> cansansão-branco,,,
