MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:08:50-03,UFES,SAMES,1181,PreservedSpecimen,Plantae,,,,Cactaceae,Coleocephalocereus,pluricostatus,,Coleocephalocereus pluricostatus,Buining & Brederoo,,,,,,"Pinto Junior, H.V.; Justino, W.S.",213,,2015,12,04,,,Brasil,Espírito Santo,Mimoso do Sul,Conceição do Muqui. Pedra de pontões.,-41.3664016723633,-21.0641994476318,,,29430,,,,,,,,,,,,Habitando ilha de vegetação em afloramento granítico; flores brancas; abundante; sol pleno.,SAMES01181,,auto
2021-03-24 17:08:50-03,UFES,SAMES,1217,PreservedSpecimen,Plantae,,,,Cactaceae,Coleocephalocereus,pluricostatus,,Coleocephalocereus pluricostatus,Buining & Brederoo,,,,,,"Pinto Junior, H.V.; Covre, C.",154,,2015,06,25,,,Brasil,Espírito Santo,Águia Branca,Região dos Três Pontões de Águia Branca.,-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,Herbácea habitando ilha de vegetação em afloramento rochoso; caule verde; flores brancas somente de um lado do cefálio; abundante; sol pleno.,SAMES01217,,auto
2021-03-24 17:08:50-03,UFES,SAMES,8196,PreservedSpecimen,Plantae,,,,Cactaceae,Coleocephalocereus,pluricostatus,,Coleocephalocereus pluricostatus,Buining & Brederoo,,,,,,"Pinto Junior,H.V.; W.S.Justino.;T.Sperandio.;N.S.S.braga.",374,,2017,12,08,,,Brasil,Espírito Santo,Nova Venécia,APA PEDRA DO ELEFANTE.,-40.4006004333496,-18.710599899292,-404611111.0,-187700000.0,42400,,,,,,,,,,,,"Folhas verdes, inflorescência branca - esverdeada, sol, abundante.",SAMES08196,,auto
2021-03-24 17:08:50-03,UFES,SAMES,8218,PreservedSpecimen,Plantae,,,,Cactaceae,Coleocephalocereus,pluricostatus,,Coleocephalocereus pluricostatus,Buining & Brederoo,,,,,,"Pinto Junior,H.V.; W.S.Justiuno.;T.Sperandio.;Menezes,L.F.T.",396,,2018,03,22,,,Brasil,Espírito Santo,Vila Pavão,PEDRA DO VIADINHO.,-40.611400604248,-18.6149997711182,-405558333.0,-186230556.0,19647,,,,,,,,,,,,"Flores brancas, sol, habitando ilha de vegetação inselberg.",SAMES08218,,auto
2020-06-15 15:29:44-03,UNESP-RC,HRCB,13505,PreservedSpecimen,Plantae,,,,Cactaceae,Coleocephalocereus,pluricostatus,,Coleocephalocereus pluricostatus,Buining & Brederoo,,,,,,"Taylor, N. P.",1990,,1990,12,15,,,Brasil,Minas Gerais,Conselheiro Pena,,-41.4721984863281,-19.1721992492676,,,46509,,100,100,,,,,,,,,"Ramos simples, até 300x11 cm, epiderme verde escura, 23 ou mais costelas abaixo do cefálio, até 20 na região do cefálio (excl. cefálio). Flores 35x22 mm, alvas, segmentos do perianto curtos. Frutos ve",,,auto
2019-06-27 10:24:25-03,UFES,VIES,21242,S,Plantae,,,,Cactaceae,Coleocephalocereus,pluricostatus,,Coleocephalocereus pluricostatus,Buining & Brederoo,,,,,,"Couto, D.R.",1729,,2010,11,10,,,Brasil,Espírito Santo,Jerônimo Monteiro,,-41.3950004577637,-20.789400100708,,,14151,,150,150,,,,,,,,,,VIES021242,,auto
2019-11-13 11:17:19-03,USP,SPF,189557,PreservedSpecimen,Plantae,,,,Cactaceae,Coleocephalocereus,pluricostatus,,Coleocephalocereus pluricostatus,Buining & Brederoo,"Zappi, DC",2009,,,,"Salino, A",9304,,2003,10,11,,,Brasil,Minas Gerais,Santa Maria do Salto,,-40.156533,-16.255833,-40.156533,-16.255833,,,,,,,,,,,,,,SPF00189557,,
2020-12-11 11:34:14-03,UFMG,BHCB,20919,PreservedSpecimen,Plantae,Dicotyledon,,,Cactaceae,Coleocephalocereus,pluricostatus,,Coleocephalocereus pluricostatus,Buining & Brederoo,,,,,,"Taylor, NP; Zappi, DC",776,,1990,12,15,,Southern America,Brasil,Minas Gerais,Conselheiro Pena,,-41.4721984863281,-19.1721992492676,0,0,46509,,0,0,,,,,,,,,,,,auto
2020-12-11 11:34:14-03,UFMG,BHCB,20919,PreservedSpecimen,Plantae,Dicotyledon,,,Cactaceae,Coleocephalocereus,pluricostatus,,Coleocephalocereus pluricostatus,Buining & Brederoo,,,,,,"Taylor, NP; Zappi, DC",776,,1990,12,15,,Southern America,Brasil,Minas Gerais,Conselheiro Pena,,-41.4721984863281,-19.1721992492676,0,0,46509,,0,0,,,,,,,,,,,,auto
2020-07-10 09:44:56-03,MBML,MBML-HERBARIO,39769,,Plantae,,,,Cactaceae,Coleocephalocereus,pluricostatus,,Coleocephalocereus pluricostatus,Buining & Brederoo,D.R. Gonzaga/10-06-2015,,,,,"L. Kollmann; E. Leme, J.Batista Anchadi de Oliveira & A. Souza",11931,,2010,03,25,,,Brasil,Minas Gerais,Santa Maria do Salto,"6 km de Santa Maria do Salto indo para Talismã, afloramento rochoso.",-40.127778,-16.278611,40W7'40,16S16'43,,,66,66,,,,,,,,,"Rupicola ao sol, cephalium negro, flores rosa.",MBML039769,MBML039769,
