MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-12-04 15:25:11-03,PUCPR,HUCP,18105,S,Plantae,Eudicotiledonea,,,Fabaceae,Collaea,speciosa,,Collaea speciosa,(Loisel.) Dc.,"Selusniaki, M",2007,,,,"Selusniaki, M; Beltrami, L",1224,,2006,08,26,,,Brasil,Paraná,Balsa Nova,,-49.6356010437012,-25.5839004516602,0,0,27346,,,,,,,,,,,,,HUCP00011105,HUCP00011105,auto
2019-12-04 15:25:11-03,PUCPR,HUCP,18850,S,Plantae,Eudicotiledonea,,,Fabaceae,Collaea,speciosa,,Collaea speciosa,(Loisel.) Dc.,"Selusniaki, M",,,,,"Selusniaki, M",1299,,2007,08,,,,Brasil,Paraná,Balsa Nova,,-49.6356010437012,-25.5839004516602,0,0,27346,,,,,,,,,,,,,,,auto
2019-12-04 15:25:11-03,PUCPR,HUCP,20188,S,Plantae,Eudicotiledonea,,,Fabaceae,Collaea,speciosa,,Collaea speciosa,(Loisel.) Dc.,"Selusniaki, M",,,,,"Selusniaki, M; Ariati, V; Moledo, R",2563,,2009,03,23,,,Brasil,Paraná,Balsa Nova,,-49.6356010437012,-25.5839004516602,0,0,27346,,,,,,,,,,,,,HUCP00011244,HUCP00011244,auto
2019-12-04 15:25:11-03,PUCPR,HUCP,20805,S,Plantae,Eudicotiledonea,,,Fabaceae,Collaea,speciosa,,Collaea speciosa,(Loisel.) Dc.,"Selusniaki, M",,,,,"Selusniaki, M; Ariati, V; Moledo, R",2543,,2009,03,23,,,Brasil,Paraná,Balsa Nova,,-49.6356010437012,-25.5839004516602,0,0,27346,,,,,,,,,,,,,,,auto
2019-12-04 15:25:11-03,PUCPR,HUCP,21235,S,Plantae,Eudicotiledonea,,,Fabaceae,Collaea,speciosa,,Collaea speciosa,(Loisel.) Dc.,"Barboza, E",,,,,"Lozano, E",138,,2009,08,15,,,Brasil,Paraná,Balsa Nova,,-49.6356010437012,-25.5839004516602,0,0,27346,,,,,,,,,,,,,HUCP00011149,HUCP00011149,auto
2019-12-04 15:25:11-03,PUCPR,HUCP,22587,S,Plantae,Eudicotiledonea,,,Fabaceae,Collaea,speciosa,,Collaea speciosa,(Loisel.) Dc.,"Hatschbach, GG",,,,,"Cordeiro, J; Abe, LM",2216,,2005,08,30,,,Brasil,Paraná,Campina Grande do Sul,Rio Capivari,-49.0553016662598,-25.3055992126465,0,0,55154,,,,,,,,,,,,,HUCP00011192,HUCP00011192,auto
2019-12-04 15:25:11-03,PUCPR,HUCP,98,S,Plantae,Eudicotiledonea,,,Fabaceae,Collaea,speciosa,,Collaea speciosa,(Champ. ex Benth.) Schot.,"Hatschbach, GG",,,,,"Kummrow, R",2043,,1982,09,22,,,Brasil,Paraná,Campo do Tenente,,-49.6828002929688,-25.978099822998,0,0,17005,,,,,,,,,,,,,HUCP00009683,HUCP00009683,auto
2019-12-04 15:25:11-03,PUCPR,HUCP,15428,S,Plantae,Eudicotiledonea,,,Fabaceae,Collaea,speciosa,,Collaea speciosa,(Loisel.) Dc.,,,,,,"Frosa, E; Kanano, G",s.n.,,2002,11,10,,,Brasil,Paraná,Curitiba,,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00012026,HUCP00012026,auto
2019-12-04 15:25:11-03,PUCPR,HUCP,16702,S,Plantae,Eudicotiledonea,,,Fabaceae,Collaea,speciosa,,Collaea speciosa,(Loisel.) Dc.,"Hatschbach, GG",,,,,"Selusniaki, M",383,,2005,06,04,,,Brasil,Paraná,Curitiba,Bosque da Fazendinha,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00011400,HUCP00011400,auto
2019-12-04 15:25:11-03,PUCPR,HUCP,16752,S,Plantae,Eudicotiledonea,,,Fabaceae,Collaea,speciosa,,Collaea speciosa,(Loisel.) Dc.,"Selusniaki, M",,,,,"Selusniaki, M",381,,2005,06,04,,,Brasil,Paraná,Curitiba,Bosque da Fazendinha,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00011034,HUCP00011034,auto
2019-12-04 15:25:11-03,PUCPR,HUCP,16753,S,Plantae,Eudicotiledonea,,,Fabaceae,Collaea,speciosa,,Collaea speciosa,(Loisel.) Dc.,"Selusniaki, M",,,,,"Selusniaki, M",382,,2005,06,04,,,Brasil,Paraná,Curitiba,Bosque da Fazendinha,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00011013,HUCP00011013,auto
2019-12-04 15:25:11-03,PUCPR,HUCP,16762,S,Plantae,Eudicotiledonea,,,Fabaceae,Collaea,speciosa,,Collaea speciosa,(Loisel.) Dc.,"Selusniaki, M",,,,,"Selusniaki, M",282,,2005,03,20,,,Brasil,Paraná,Curitiba,Bosque da Fazendinha,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00011065,HUCP00011065,auto
2019-12-04 15:25:11-03,PUCPR,HUCP,17054,S,Plantae,Eudicotiledonea,,,Fabaceae,Collaea,speciosa,,Collaea speciosa,(Loisel.) Dc.,"Hatschbach, GG",,,,,"Cordeiro, J",2199,,2003,11,01,,,Brasil,Paraná,Curitiba,Umbará,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00011139,HUCP00011139,auto
2019-12-04 15:25:11-03,PUCPR,HUCP,17129,S,Plantae,Eudicotiledonea,,,Fabaceae,Collaea,speciosa,,Collaea speciosa,(Loisel.) Dc.,"Selusniaki, M",,,,,"Gonçalves, FAS",s.n.,,2001,05,19,,,Brasil,Paraná,Lapa,Parque Estadua do Monge,-49.7158012390137,-25.7696990966797,0,0,49965,,,,,,,,,,,,,HUCP00011001,HUCP00011001,auto
2019-12-04 15:25:11-03,PUCPR,HUCP,13804,S,Plantae,Eudicotiledonea,,,Fabaceae,Collaea,speciosa,,Collaea speciosa,(Loisel.) Dc.,"Hatschbach, GG",,,,,"Ribas, OS",1887,,1997,07,05,,,Brasil,Paraná,Palmeira,Rio Lajeado,-50.0064010620117,-25.4293994903564,0,0,35166,,,,,,,,,,,,,,,auto
2019-12-04 15:25:11-03,PUCPR,HUCP,16865,S,Plantae,Eudicotiledonea,,,Fabaceae,Collaea,speciosa,,Collaea speciosa,(Loisel.) Dc.,"Selusniaki, M",,,,,"Gruber, JS",010,,2000,06,03,,,Brasil,Paraná,Rio Negro,Fazendinha,-49.7975006103516,-26.1058006286621,0,0,31514,,,,,,,,,,,,,HUCP00011117,HUCP00011117,auto
2019-12-04 15:25:11-03,PUCPR,HUCP,17213,S,Plantae,Eudicotiledonea,,,Fabaceae,Collaea,speciosa,,Collaea speciosa,(Loisel.) Dc.,,,,,,"Seluem, M",708,,,,,,,Brasil,São Paulo,Mairiporã,Mato Dentro,-46.5800018310547,-23.3099994659424,0,0,15840,,,,,,,,,,,,,HUCP00011053,HUCP00011053,auto
2020-02-08 09:12:01-03,NBC,NL-BOTANY,L.3892601,PreservedSpecimen,Plantae,,Magnoliopsidae,Fabales,Leguminosae-Pap.,Collaea,speciosa,,Collaea speciosa,(Lois.) DC.,,,,,,Araujo-M; et al.,,,2006,09,16,,Southern America,Bolivia,,,La Paz: Bautista Saavedra. parque Nacional Madidi.,-68.950278,-15.181944,-68.950278,-15.181944,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3892601 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-L3892601,NL-L3892601,
2020-02-08 09:12:01-03,NBC,NL-BOTANY,U.1300709,PreservedSpecimen,Plantae,,Magnoliopsidae,Fabales,Leguminosae-Pap.,Collaea,speciosa,,Collaea speciosa,(Lois.) DC.,,,,,,Lewis MA,,,1988,08,11,,Southern America,Bolivia,,,La Paz: Inquisivi: Along the road 1 - 2 km W of Quime.,-67.233333,-16.966667,-67.233333,-16.966667,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1300709 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1300709,NL-U1300709,
