MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-05-17 15:44:09-03,UNICAMP,UEC,194006,S,Plantae,Magnoliopsida,,,Asteraceae,Cololobus,rupestris,,Cololobus rupestris,(Gardner) H.Rob.,"Monge, M",2017,04,,,"Cardoso, WC",147,,2012,06,20,,,Brazil,Espírito Santo,Vitória,Morro da Gamela.,-40.503889,-20.508889,-40.503889,-20.508889,,,,,,,,,,,,,,UEC190042,,
2021-05-17 15:44:09-03,UNICAMP,UEC,193997,S,Plantae,Magnoliopsida,,,Asteraceae,Cololobus,rupestris,,Cololobus rupestris,(Gardner) H.Rob.,"Monge, M",2017,04,,,"Martins, GN",105,,2004,,,,,Brazil,Espírito Santo,Vitória,Parque Estadual da Fonte Grande.,-40.558333,-20.506944,-40.558333,-20.506944,,,,,,,,,,,,,Frutos.,UEC190040,,
2021-06-30 13:05:51-03,MBM,MBM,422953,S,Plantae,,,,Asteraceae,Cololobus,rupestris,,Cololobus rupestris,(Gardn.) H. Rob.,"Barboza, E.",2019,06,26,,"Cordeiro, J.; Brotto, M.L.; Brotto, M.L.",6273,,2019,04,09,,Southern America,Brazil,Espírito Santo,Venda Nova do Imigrante,"Pedra do Rego, trilha",-41.167778,-20.301389,-41.167778,-20.301389,,,1400,1400,,,,,,,,,Erva com 1 m de altura; capítulos roxos.; Refúgio Vegetacional Altomontano (campo de altitude).,MBM422953,,
2021-06-30 13:05:51-03,MBM,MBM,26867,S,Plantae,,,,Asteraceae,Cololobus,rupestris,,Cololobus rupestris,(Gardn.) H. Rob.,"Barroso, G.M.",,,,,"Sucre, D.; Braga, P.I.S.; Braga, P.I.S.",2686,,1968,04,12,,Southern America,Brazil,Rio de Janeiro,Petrópolis,Petrópolis,-43.1786003112793,-22.5049991607666,0,0,36524,,,,,,,,,,,,,MBM026867,MBM026867,auto
2021-06-13 16:41:00-03,NY,NYBG,806611,PreservedSpecimen,Plantae,Magnoliophyta,,Asterales,Asteraceae,Cololobus,rupestris,,Cololobus rupestris,(Gardner) H.Rob.,H. E. Robinson,,,,,G. G. Hatschbach,69174,,1999,05,20,,South America,Brazil,Espírito Santo,Conceiçao do Castelo,"Rod. BR-262, viaduto, km 161.",-41.2439,-20.3683,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801700' target='other'> <mi>dwc_moreinfo</mi></a>,NY00806611,NY00806611_01,
2020-04-27 16:08:50-03,UFES,VIES,32856,S,Plantae,,,,Asteraceae,Cololobus,rupestris,,Cololobus rupestris,(Gardner) H.Rob.,"Heiden, G.",2016,04,08,,"Martins, G.N.",105,,2004,,,,,Brasil,Espírito Santo,Vitória,Parque Estadual da Fonte Grande.,-40.333056,-20.298611,40º19'59''W,20º17'55''S,,,,,,,,,,,,,,VIES032856,VIES032856,
2019-09-27 18:03:48-03,UFES,VIES,33544,S,Plantae,,,,Asteraceae,Cololobus,rupestris,,Cololobus rupestris,(Gardner) H.Rob.,"Couto, D.R.",2013,12,10,,"Pinto Júnior, H.V.",114,,2013,08,09,,,Brasil,Espírito Santo,Mimoso do Sul,Conceição do Muqui.,-41.3664016723633,-21.0641994476318,,,29430,,977,977,,,,,,,,,,VIES033544,VIES033544,auto
2019-09-27 18:03:48-03,UFES,VIES,38779,S,Plantae,,,,Asteraceae,Cololobus,rupestris,,Cololobus rupestris,(Gardner) H.Rob.,"Pena, N.T.L.; Amaral, R.N.",2016,10,10,,"Pena, N.T.L.; Alves-Araújo, A. & Miranda, V.S.",664,,2016,07,26,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,VIES038779,VIES038779,auto
2021-02-10 15:39:30-03,UFES,VIES,48701,S,Plantae,,,,Asteraceae,Cololobus,rupestris,,Cololobus rupestris,(Gardner) H.Rob.,"Cardoso, W.C.",2018,07,16,,"Cardoso, W.C.; Ulian, C.M.V.",451,,2018,07,16,,,Brasil,Espírito Santo,Serra,APA Mestre Álvaro. Trilha principal.,-40.3078002929688,-20.1285991668701,,,16451,,,,,,,,,,,,,VIES048701,VIES048701,auto
2020-04-27 16:08:50-03,UFES,VIES,26631,S,Plantae,,,,Asteraceae,Cololobus,rupestris,,Cololobus rupestris,(Gardner) H.Rob.,"Nakajima, J.N.",2014,12,,,"Cardoso, W.C.",147,,2012,06,20,,,Brasil,Espírito Santo,Vitória,Morro da Gamela.,-40.3377990722656,-20.3194007873535,,,15291,,,,,,,,,,,,,VIES026631,VIES026631,auto
