MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-12-04 15:25:08-03,PUCPR,HUCP,25182,S,Plantae,Eudicotiledonea,,,Euphorbiaceae,Croton,floribundus,,Croton floribundus,Spreng.,"Assumpção, MZ",2009,06,30,,"Dias, AT",s.n.,,1995,12,01,,,Brasil,Paraná,Ibiporã,Fazenda Doralice,-51.0480995178223,-23.2691993713379,0,0,20625,,,,,,,,,,,,"Árvore 5m de alt., flores femininas esverdeadas.",HUCP00025182,HUCP00025182,auto
2019-12-04 15:25:08-03,PUCPR,HUCP,24452,S,Plantae,Eudicotiledonea,,,Euphorbiaceae,Croton,floribundus,,Croton floribundus,Spreng.,"Selusniaki, M",,,,,"Selusniaki, M; Lozano, E",403,,2011,12,10,,,Brasil,Paraná,Ortigueira,,-50.9494018554688,-24.2082996368408,0,0,46016,,,,,,,,,,,,,HUCP00010587,HUCP00010587,auto
2019-12-04 15:25:08-03,PUCPR,HUCP,18244,S,Plantae,Eudicotiledonea,,,Euphorbiaceae,Croton,floribundus,,Croton floribundus,Spreng.,"Beltrami, L",2007,11,12,,"Beltrami, L",s.n.,,2007,09,08,,,Brasil,Paraná,Tibagi,,-50.4136009216309,-24.5093994140625,0,0,56988,,,,,,,,,,,,,HUCP00010725,HUCP00010725,auto
2021-04-10 13:10:46-03,UFPI,TEPB,1730,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Croton,floribundus,,Croton floribundus,Spreng.,,,,,,F. R. Martins,,,1976,01,20,,,Brasil,São Paulo,Santa Rita do Passa Quatro,Parque Estadual de Vassunga,-47.4700012207031,-21.7099990844727,,,24893,,,,,,,,,,,,"Árvore de 4 a 5m, flor creme Ambiente: Mata <ll>dwc_commonname:</ll> cipó de bardecia",,,auto
2021-04-10 13:10:46-03,UFPI,TEPB,2265,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Croton,floribundus,,Croton floribundus,Spreng.,,,,,,"Martins, F.R",,,1976,01,20,,,Brasil,São Paulo,Santa Rita do Passa Quatro,Parque Estadual de Vassununga,-47.4700012207031,-21.7099990844727,,,24893,,,,,,,,,,,,"Árvore ca.4m, flor creme Ambiente: Orla de Mata <ll>dwc_commonname:</ll> Feijão-de-rolinha",,,auto
2020-06-12 12:04:32-03,UFPI,TEPB,1776,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Croton,floribundus,,Croton floribundus,Spreng.,C. A. Joly,1977,06,14,,C. A. Joly,,,1977,06,14,,,Brasil,São Paulo,Sumaré,"Horto Florestal, FEPASA",-47.2599983215332,-22.8199996948242,,,11359,,,,,,,,,,,,"Árvore de 4 a 5 m, flor creme",,,auto
2019-08-27 13:29:02-03,IAP,PACA-AGP,3518,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Euphorbiales,Euphorbiaceae,Croton,floribundus,,Croton floribundus,Spreng.,"Cordeiro, I.",2017,11,,,"Rambo, B.",,,1940,01,13,,,Brasil,BA,Porto Seguro,,-39.0647010803223,-16.4496994018555,,,68835,,,,,,,,,,,,Habitat: ad aerodromum Fenofase: flor e fruto,PACA003518,,auto
2021-05-17 15:51:38-03,UNICAMP,UEC,168781,S,Plantae,Magnoliopsida,,,Euphorbiaceae,Croton,floribundus,,Croton floribundus,Spreng.,"Melis, J van",2008,09,,,"Sims; Melis, J van",1509,,2008,08,,,,Brazil,São Paulo,Campinas,Mata Ribeirão Cachoeira.,-47.535186,-23.368519,-47.535186,-23.368519,,,650,760,,,,,,,,,,UEC007864,UEC007864,
2021-05-17 15:51:38-03,UNICAMP,UEC,172147,S,Plantae,Magnoliopsida,,,Euphorbiaceae,Croton,floribundus,,Croton floribundus,Spreng.,"Garcia, LC",,,,,"Garcia, LC",21,,2008,11,15,,,Brazil,São Paulo,Cosmópolis,Usina Ester.,-47.348864,-23.121553,-47.348864,-23.121553,,,652,652,,,,,,,,,"Árvore, botões e flores.; Mata ciliar em processo de restauração desde 1955. Mata atlântica, floresta estacional semidecídual.",UEC016303,UEC016303,
2021-05-17 15:51:38-03,UNICAMP,UEC,148739,S,Plantae,Magnoliopsida,,,Euphorbiaceae,Croton,floribundus,,Croton floribundus,Spreng.,,,,,,"Queiroz, RT; Galvão, JC; Tozzi, AMGA; Aragaki, S; Fortuna-Perez, AP; Silva, MJ; Guerin, N; S",1225,,2008,11,18,,,Brazil,Minas Gerais,São Pedro da União,"beira de estrada, beira de estrada",-46,-21.266667,-46,-21.266667,,,1084,1084,,,,,,,,,"árvore, 10m, inflorescencias verdes, folhas discolores",UEC143609,UEC143609,
2021-05-17 15:51:38-03,UNICAMP,UEC,89204,S,Plantae,Magnoliopsida,,,Euphorbiaceae,Croton,floribundus,,Croton floribundus,Spreng.,,,,,,"Leite, EC",29415,,1993,11,11,,,Brazil,São Paulo,Ubatuba,Praia da Puruba,-44.966667,-23.35,-44.966667,-23.35,,,,,,,,,,,,,"flor, Árvore 5 - 8 m, borda de mata",UEC142025,UEC142025,
