MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-01-06 11:42:09-03,UFPI-MRV,HDELTA,5248,PreservedSpecimen,Plantae,,,,Cyperaceae,Cyperus,odoratus,,Cyperus odoratus,L.,"Silva, M.S.",2018,08,23,,"Silva, M.S.; Reis, R.B.; Cerqueira, E.C.",148,,2018,08,23,,,Brasil,Piauí,Cajueiro da praia,,-41.343906,-3.039722,"41°20'38,06W","03°02'23,00S",,,,,,,,,,,,,,HDELTA005248,,
2021-01-06 11:42:09-03,UFPI-MRV,HDELTA,3616,PreservedSpecimen,Plantae,,,,Cyperaceae,Cyperus,odoratus,,Cyperus odoratus,L.,"Fontinele, K. M.",2017,01,27,,"Fontinele, K. M.",100,,2014,09,02,,,Brasil,Piauí,Caxingó,,-41.895833,-3.417778,"41º53'45,00''W","03º25'04,00''S",,,,,,,,,,,,,,HDELTA003616,,
2021-01-06 11:42:09-03,UFPI-MRV,HDELTA,719,PreservedSpecimen,Plantae,,,,Cyperaceae,Cyperus,odoratus,,Cyperus odoratus,L.,,,,,,"Neves, M. J. C.",62,,2012,06,25,,,Brasil,Piauí,Buriti dos Lopes,,-41.8669013977051,-3.17499995231628,,,21335,,,,,,,,,,,,"Arbusto, Inflorescência verde <ll>dwc_commonname:</ll> Tiririca amarela",HDELTA000719,,auto
2021-01-06 11:42:09-03,UFPI-MRV,HDELTA,3717,PreservedSpecimen,Plantae,,,,Cyperaceae,Cyperus,odoratus,,Cyperus odoratus,L.,"Silva, M.S.",2017,06,28,,"Nascimento, M.P.G.",23,,2010,04,10,,,Brasil,Piauí,Ilha Grande,,-41.8213996887207,-2.8583300113678,,,13228,,,,,,,,,,,,,HDELTA003717,,auto
2021-04-30 07:50:55-03,PUCPR,HUCP,25715,S,Plantae,Monocotiledonea,,,Cyperaceae,Cyperus,odoratus,,Cyperus odoratus,L.,"Trevisan, R",2018,12,12,,"Buttura, E",538,,1980,06,11,,,Brasil,Parana,Guaíra,Parque Nacional Sete Quedas,-54.295555,-24.068888,-54.295555,-24.068888,,,,,,,,,,,,,Erva. Coleção Ecomuseu/ITAIPU.,HUCP00025715,,
2021-04-30 07:50:55-03,PUCPR,HUCP,24705,S,Plantae,Monocotiledonea,,,Cyperaceae,Cyperus,odoratus,,Cyperus odoratus,L.,,,,,,Rafaella,0001,,2013,04,07,,,Brasil,Paraná,Araucária,,-49.4103012084961,-25.5930995941162,0,0,21346,,,,,,,,,,,,,HUCP00024705,HUCP00024705,auto
2021-04-30 07:50:55-03,PUCPR,HUCP,10373,S,Plantae,Monocotiledonea,,,Cyperaceae,Cyperus,odoratus,,Cyperus odoratus,L.,"Mattos, J",,,,,"Timmermann, AP",004,,1997,05,11,,,Brasil,Paraná,Araucária,Represa do Passaúna,-49.4103012084961,-25.5930995941162,0,0,21346,,,,,,,,,,,,,HUCP00003460,HUCP00003460,auto
2021-04-30 07:50:55-03,PUCPR,HUCP,24490,S,Plantae,Monocotiledonea,,,Cyperaceae,Cyperus,odoratus,,Cyperus odoratus,L.,"Visetin, RR",,,,,"Ariati, V",148,,2008,12,14,,,Brasil,Paraná,Campina Grande do Sul,,-49.0553016662598,-25.3055992126465,0,0,55154,,,,,,,,,,,,,HUCP00003632,HUCP00003632,auto
2021-04-30 07:50:55-03,PUCPR,HUCP,10992,S,Plantae,Monocotiledonea,,,Cyperaceae,Cyperus,odoratus,,Cyperus odoratus,L.,"Araújo, AC",,,,,"Silva, SM",s.n.,,1993,03,21,,,Brasil,Paraná,Capitão Leônidas Marques,Salto Caxias,-53.614200592041,-25.4792003631592,0,0,14258,,,,,,,,,,,,,HUCP00003967,HUCP00003967,auto
2021-04-30 07:50:55-03,PUCPR,HUCP,23864,S,Plantae,Monocotiledonea,,,Cyperaceae,Cyperus,odoratus,,Cyperus odoratus,L.,"Dunaiski, A",,,,,"Dunaiski, A",2772,,2005,04,15,,,Brasil,Paraná,Curitiba,,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00003684,HUCP00003684,auto
