MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2020-02-08 10:13:32-03,NBC,NL-BOTANY,U.1297625,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Cyperaceae,Cyperus,pohlii,,Cyperus pohlii,(Nees) Steud.,,,,,,Harley RM; et al.,,,1974,01,24,,Southern America,Brazil,,,"Brazil: estado de bahia, serra do rio de contas. lower slopes of the Pico das almas, ca.25km W,N,W. of the town of Rio de Contas.",-41.916667,-13.533333,-41.916667,-13.533333,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1297625 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1297625,NL-U1297625,
2020-02-08 10:13:32-03,NBC,NL-BOTANY,U.1297626,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Cyperaceae,Cyperus,pohlii,,Cyperus pohlii,(Nees) Steud.,,,,,,Harley RM; et al.,,,1974,02,04,,Southern America,Brazil,,,"Brazil: estado de bahia, serra do sincora, by rio cumbuca ca.3km S of Mucuge, near site of smaal dam on road to cascavel. Riverside, damp sandy soil, sandstone rocks and partly burnt - over vegetation.",-41.35,-13.016667,-41.35,-13.016667,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1297626 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1297626,NL-U1297626,
2020-02-08 10:13:32-03,NBC,NL-BOTANY,U.1297627,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Cyperaceae,Cyperus,pohlii,,Cyperus pohlii,(Nees) Steud.,,,,,,Harley RM; et al.,,,1977,02,17,,Southern America,Brazil,,,"Brazil: estado da bahia, serra das almas, lower N.E. slopes of thePico das almas, ca. 25km W.N.W. of the vila do rio de contas.",-41.95,-13.55,-41.95,-13.55,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1297627 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1297627,NL-U1297627,
2020-02-08 10:13:32-03,NBC,NL-BOTANY,U.1297628,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Cyperaceae,Cyperus,pohlii,,Cyperus pohlii,(Nees) Steud.,,,,,,Harley RM; et al.,,,1977,02,17,,Southern America,Brazil,,,"Brazil: estado da bahia, serra das almas, lower N.E. slopes of thePico das almas, ca. 25km W.N.W. of the vila do rio de contas.",-41.95,-13.55,-41.95,-13.55,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1297628 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1297628,NL-U1297628,
2020-02-08 10:13:32-03,NBC,NL-BOTANY,U.1297629,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Cyperaceae,Cyperus,pohlii,,Cyperus pohlii,(Nees) Steud.,,,,,,Harley RM; et al.,,,1974,02,05,,Southern America,Brazil,,,"Brazil: estado de bahia, serra do sincora, by rio cumbuca, abput 3km N. of Mucuge on sandstone rock with partly burnt - over vegetation among rocks by rive and neighbouring hillside.",-41.216667,-13,-41.216667,-13.0,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1297629 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1297629,NL-U1297629,
2020-02-08 10:13:32-03,NBC,NL-BOTANY,U.1297630,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Cyperaceae,Cyperus,pohlii,,Cyperus pohlii,(Nees) Steud.,,,,,,Harley RM; et al.,,,1977,02,15,,Southern America,Brazil,,,"Brazil: estado da bahia, serra do sincora. By rio Cumbuca about 3km N. of Mucuge on the road to Anderai. On conglomerate sandstone rock with scrubby vegetation among rocks river and neighbouring hillsides.",-41.35,-12.983333,-41.35,-12.983333,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1297630 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1297630,NL-U1297630,
2020-02-08 10:13:32-03,NBC,NL-BOTANY,U.1297631,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Cyperaceae,Cyperus,pohlii,,Cyperus pohlii,(Nees) Steud.,,,,,,Harley RM; et al.,,,1977,02,17,,Southern America,Brazil,,,"Brazil; estado da bahia, serra do sincora, 2 - 3km approximately SW of Mucuge on the road to cascavel, open scrub on white sand with dampareas and extensive sedge meadow.",-41.4,-13.016667,-41.4,-13.016667,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1297631 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1297631,NL-U1297631,
2019-08-27 13:25:30-03,IAP,PACA-AGP,106616,PreservedSpecimen,Plantae,Magnoliophyta,Liliatae,Cyperales,Cyperaceae,Cyperus,pohlii,,Cyperus pohlii,(Nees) Steud.,S.M. Hefler,2005,01,29,,S. M. Hefler & G.H. Silveira,734,,2005,01,29,,,Brasil,SC,Piçarras,"BR 101, em frente ao posto Leão Branco, passando Piçarras",-48.696528,-26.745944,48°41'47.5W,26° 44' 45.4S,,,,,,,,,,,,,"ICN: 147297 Habitat: em brejo, beira de asfalto, muito abundante forma aglomerações",PACA106616,,
2019-08-27 13:25:30-03,IAP,PACA-AGP,4788,PreservedSpecimen,Plantae,Magnoliophyta,Liliatae,Cyperales,Cyperaceae,Cyperus,pohlii,,Cyperus pohlii,(Nees) Steud.,Sonia M. Hefler,2007,01,12,,"Rambo, B.",,,1942,01,14,,,Brasil,RS,Bom Jesus,Serra da Rocinha,-50.4166984558105,-28.6678009033203,,,55856,,,,,,,,,,,,Habitat: in turfosis graminosis Fenofase: flor e fruto,PACA004788,,auto
2019-08-27 13:25:30-03,IAP,PACA-AGP,53766,PreservedSpecimen,Plantae,Magnoliophyta,Liliatae,Cyperales,Cyperaceae,Cyperus,pohlii,,Cyperus pohlii,(Nees) Steud.,Sonia M. Hefler,2007,01,12,,"Rambo, B.",,,1953,02,03,,,Brasil,RS,Bom Jesus,Serra da Rocinha,-50.4166984558105,-28.6678009033203,,,55856,,,,,,,,,,,,Habitat: in paludosis dumetosis Fenofase: flor e fruto,PACA053766,,auto
2019-08-27 13:25:30-03,IAP,PACA-AGP,8742,PreservedSpecimen,Plantae,Magnoliophyta,Liliatae,Cyperales,Cyperaceae,Cyperus,pohlii,,Cyperus pohlii,(Nees) Steud.,Sonia M. Hefler,2007,01,12,,"Rambo, B.",,,1942,01,14,,,Brasil,RS,Bom Jesus,Serra da Rocinha,-50.4166984558105,-28.6678009033203,,,55856,,,,,,,,,,,,Habitat: in turfosis graminosis Fenofase: flor e fruto,PACA008742,,auto
2019-08-27 13:25:30-03,IAP,PACA-AGP,61958,PreservedSpecimen,Plantae,Magnoliophyta,Liliatae,Cyperales,Cyperaceae,Cyperus,pohlii,,Cyperus pohlii,(Nees) Steud.,Sonia M. Hefler,2007,01,12,,"Camargo, O. R.",2611,,1957,11,22,,,Brasil,RS,Farroupilha,,-51.3478012084961,-29.2250003814697,,,19545,,,,,,,,,,,,Habitat: in humidis Fenofase: flor,PACA061958,,auto
