MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-12-04 15:24:49-03,PUCPR,HUCP,21431,S,Plantae,Eudicotiledonea,,,Asteraceae,Cyrtocymura,scorpioides,,Cyrtocymura scorpioides,(Lam.) H. Rob.,"Hatschbach, GG",,,,,"Silva, JM; Cordeiro, J",6153,,2007,11,12,,,Brasil,Paraná,Adrianópolis,Parque Estadual das Lauráceas,-48.9911003112793,-24.6571998596191,0,0,49901,,,,,,,,,,,,,,,auto
2019-12-04 15:24:49-03,PUCPR,HUCP,19342,S,Plantae,Eudicotiledonea,,,Asteraceae,Cyrtocymura,scorpioides,,Cyrtocymura scorpioides,(Lam.) H. Rob.,,,,,,"Bolson, M",003,,2007,09,12,,,Brasil,Paraná,Foz do Iguaçu,Itaipu,-54.5881004333496,-25.5478000640869,0,0,39570,,,,,,,,,,,,,,,auto
2019-12-04 15:24:49-03,PUCPR,HUCP,12439,S,Plantae,Eudicotiledonea,,,Asteraceae,Cyrtocymura,scorpioides,,Cyrtocymura scorpioides,(Lam.) H.Rob.,"Gatti, G",,,,,"Gatti, G; Dittrich, VAO",265,,1998,09,15,,,Brasil,Paraná,Guaraqueçaba,,-48.3288993835449,-25.3066997528076,0,0,37295,,,,,,,,,,,,Nº 41048.,HUCP00008516,HUCP00008516,auto
2019-12-04 15:24:49-03,PUCPR,HUCP,23774,S,Plantae,Eudicotiledonea,,,Asteraceae,Cyrtocymura,scorpioides,,Cyrtocymura scorpioides,(Lam.) H. Rob.,,,,,,"Bohrer, P",202,,2012,10,21,,,Brasil,Paraná,Pontal do Paraná,Balneário Barrancos,-48.511100769043,-25.6735992431641,0,0,19508,,,,,,,,,,,,,HUCP00008041,HUCP00008041,auto
2019-08-27 13:27:21-03,IAP,PACA-AGP,87326,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Asterales,Compositae,Cyrtocymura,scorpioides,,Cyrtocymura scorpioides,(Lam.) H. Rob.,H. Robinson,,,,,E. Barbosa,560,,2000,11,09,,,Brasil,PR,Guaratuba,Usina Chaminé,-48.5746994018555,-25.8827991485596,,,41937,,,,,,,,,,,,apoiante capítulo lilás Habitat: orla da floresta,PACA087326,,auto
2019-10-25 11:37:57-03,IECOS,HBRA,4768,S,Plantae,,,,Asteraceae,Cyrtocymura,scorpioides,,Cyrtocymura scorpioides,(Lam.) H. Rob.,U. Mehlig,2018,01,16,,U. Mehlig,905,,2011,02,27,,América do Sul,Brasil,Pará,Bragança,"margem de ramal entre Chaú e Jararaca, aprox. 12 km ao SSW de Bragança",-46.79036111,-1.16102778,-46.79036111,-1.16102778,,,,,,,,exsicata,,,,,,HBRA0000471,HBRA0000471,
2019-10-25 11:37:57-03,IECOS,HBRA,7040,S,Plantae,,,,Asteraceae,Cyrtocymura,scorpioides,,Cyrtocymura scorpioides,(Lam.) H. Rob.,U. Mehlig,2018,01,16,,U. Mehlig,1381,,2013,05,11,,América do Sul,Brasil,Pará,Bragança,"Vila Fátima, vegetação secundária na margem do ramal entre as comunidades Tracuateuazinho e Cajueiro Boa Esperança, aprox. 2 km ao leste de Tracuateuazinho",-46.99066667,-1.22327778,-46.99066667,-1.22327778,,,,,,,,exsicata,,,,,"Arbusto escandescente. Flores brancas, em parte com ton de cor rosa",HBRA0000402,HBRA0000402,
2019-10-25 11:37:57-03,IECOS,HBRA,5949,S,Plantae,,,,Asteraceae,Cyrtocymura,scorpioides,,Cyrtocymura scorpioides,(Lam.) H. Rob.,U. Mehlig,2018,01,16,,U. Mehlig,1200,,2012,04,28,,América do Sul,Brasil,Pará,Bragança,"margem de ramal entre as comunidades Olho d'Água e Emboraí, atravessando bosque de capoeira, aprox. 2,1 km ao sudeste de Olho d'Água",-46.61152778,-1.26177778,-46.61152778,-1.26177778,,,,,,,,exsicata,,,,,Arbusto escandescente. Capítulos brancos,HBRA0000491,HBRA0000491,
2019-10-25 11:37:57-03,IECOS,HBRA,8052,S,Plantae,,,,Asteraceae,Cyrtocymura,scorpioides,,Cyrtocymura scorpioides,(Lam.) H. Rob.,,,,,,A. S. S. Pereira,73,,2011,12,29,,América do Sul,Brasil,Pará,Belém,Campus de pesquisa do Museu Paraense Emílio Goeldi,-48.5043983459473,-1.4558299779892,,,48462,,,,,,,exsicata,,,,,"Arbusto de cerca de 1,50m de altura. Flores pequenas de coloração violácea",HBRA0000363,HBRA0000363,auto
2021-03-24 17:08:41-03,UFES,SAMES,1746,PreservedSpecimen,Plantae,,,,Asteraceae,Cyrtocymura,scorpioides,,Cyrtocymura scorpioides,(Lam.) H.Rob.,"PintoJunior,H.V.",2019,01,15,,"Menezes,L.F.T.; Fanticelle,B.S.;Coelho,R.;Scheidegger,A.F.A.",2128,,,,,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Encontrado numa floresta de Restinga na zona de amortecimento da Rebio de Comboios.,-40.4006004333496,-18.710599899292,-402741667.0,-184552778.0,42400,,,,,,,,,,,,Flores brancas. cheiro forte das flores quando maceradas. Borda da vegetação no topo da pedra. Habito: Arbusto,SAMES01746,,auto
