MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:09:42-03,UFES,SAMES,1704,PreservedSpecimen,Plantae,,,,Orchidaceae,Cyrtopodium,glutiniferum,,Cyrtopodium glutiniferum,Raddi,,,,,,"Pinto Junior, H.V.; Luber, J.",227,,2016,03,16,,,Brasil,Espírito Santo,Águia Branca,Santa Luzia. Antiga propriedade do Sr. Ciro Ferreira; afloramento próximo a cachoeira do Arco-íris.,-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,Herbácea habitando ilha de vegetação em afloramento rochoso; folhas verdes; caule amarelo-amarronzado; sombra.,SAMES01704,,auto
2021-03-24 17:09:42-03,UFES,SAMES,1677,PreservedSpecimen,Plantae,,,,Orchidaceae,Cyrtopodium,glutiniferum,,Cyrtopodium glutiniferum,Raddi,,,,,,"Pinto Junior, H.V.; Covre, C.",233,,2016,03,21,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Vertente leste da Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,Herbácea habitando ilha de vegetação em afloramento rochoso; folhas verdes; caule marrom-amarelado; sem flores; com fruto.,SAMES01677,,auto
2021-03-24 17:09:42-03,UFES,SAMES,1179,PreservedSpecimen,Plantae,,,,Orchidaceae,Cyrtopodium,glutiniferum,,Cyrtopodium glutiniferum,Raddi,,,,,,"Pinto Junior, H.V.",183,,2015,09,03,,,Brasil,Espírito Santo,Mimoso do Sul,Conceição do Muqui. Pedra de pontões.,-41.3664016723633,-21.0641994476318,,,29430,,,,,,,,,,,,Herbácea habitando ilha de vegetação em afloramento rochoso; bulbo amarelado; flores amarelas; sol.,SAMES01179,,auto
2021-03-24 17:09:42-03,UFES,SAMES,8221,PreservedSpecimen,Plantae,,,,Orchidaceae,Cyrtopodium,glutiniferum,,Cyrtopodium glutiniferum,Raddi,,,,,,"Pinto Junior,H.V.; W.S.Justiuno.;T.Sperandio.;Menezes,L.F.T.",399,,2018,03,22,,,Brasil,Espírito Santo,Vila Pavão,PEDRA DO VIADINHO.,-40.611400604248,-18.6149997711182,-405558333.0,-186230556.0,19647,,,,,,,,,,,,"Frutos negros, sol, habitando a ilha de vegetação inselberg.",SAMES08221,,auto
2020-10-01 14:25:53-03,JBB,HEPH,20820,S,Plantae,Monocotyledon,,Asparagales,Orchidaceae,Cyrtopodium,glutiniferum,,Cyrtopodium glutiniferum,Raddi,"Salles, AEH",2002,08,10,,"Salles, AEH; et al.",2154,,2002,08,10,,Southern America,Brasil,Pará,São Félix do Xingu,Serra de Campo,-51.9949989318848,-6.64472007751465,0,0,354043,,,,,,,,,,,,,,,auto
2021-05-13 11:00:05-03,Cenargen,CEN,94559,PreservedSpecimen,Plantae,,,,Orchidaceae,Cyrtopodium,glutiniferum,,Cyrtopodium glutiniferum,Raddi,J. A. N. Batista,2006,10,,,João Aguiar Nogueira Batista,1649,,2006,10,00,,,Brasil,MG,BELO HORIZONTE,Em cultivo nos jardins da reitoria da Universidade Federal de Minas Gerais - UFMG,-43.937801361084,-19.9207992553711,,,17082,,,,,,,Exsicatas,1,,,,"Procedência desconhecida. Pseudobulbos fusiformes, expostos. Inflorescência com até 6 ramificações laterais. Flores completamente amarelas. Doação Herbário UFMG. BHCB n° 113719.",CEN00094559,CEN00094559,auto
2021-05-13 11:00:05-03,Cenargen,CEN,94742,PreservedSpecimen,Plantae,,,,Orchidaceae,Cyrtopodium,glutiniferum,,Cyrtopodium glutiniferum,Raddi,J. A. N. Batista,2008,08,,,João Aguiar Nogueira Batista,2698,,2008,08,06,,,Brasil,RJ,RIO DE JANEIRO,"Botafogo, Morro dos Cabritos.",-43.2075004577637,-22.9027996063232,,,57442,,86,86,,,,Exsicatas,1,,,,"Sobre afloramento de granito, crescendo associada a manchas de vegetação sobre a rocha, com matéria orgânica na base, sob arbustos e árvores baixas. Em plena floração, calo avermelhado. Doação do Herbário do Departamento de Botânica ICB - UFMG - Plantas do Brasil - BHCB 132412.",CEN00094742,CEN00094742,auto
2020-06-29 11:31:47-03,UFRJ,RFA,43324,PreservedSpecimen,Plantae,,,,Orchidaceae,Cyrtopodium,glutiniferum,,Cyrtopodium glutiniferum,Raddi,"Silva, R.",,,,,"Silva, R.",,,2018,08,09,,,Brasil,Rio de Janeiro,Rio de Janeiro,"Copacabana, Parque Estadual da Chacrinha",-43.179722,-22.958611,43º10'47''W,22º57'31''S,,,,,,,,,,,,,"Pouca incidência no parque. Coletada em flor em meio arbustos, em plena luminosidade.",RFA45353,,
2021-06-25 18:21:02-03,UFV,VIC,052605,PreservedSpecimen,Plantae,,,,Orchidaceae,Cyrtopodium,glutiniferum,,Cyrtopodium glutiniferum,Lindl,,,,,,H.V. Pinto Junior,450,,2019,02,18,,,Brasil,Espírito Santo,Mimoso do Sul,"Pedra dos Pontões, Inselberg granitico, Jardim dos Pontões.",-41.3664016723633,-21.0641994476318,0,0,29430,,,,,,,,,,,,"Planta com cerca de 1 m, ilha de vegetação,folhas verdes, fruto capsular,freguente, sol.",VIC052605,VIC052605,auto
2021-06-25 18:21:02-03,UFV,VIC,005141,PreservedSpecimen,Plantae,,,,Orchidaceae,Cyrtopodium,glutiniferum,,Cyrtopodium glutiniferum,Lindl,,,,,,Shimoya; Alunos do curso de agronomia.,44H,,1962,10,10,,,Brasil,Minas Gerais,Viçosa,,-42.8819007873535,-20.7539005279541,0,0,13937,,,,,,,,,,,,"Flores amarelas apresentando sépalas e pétalas na parte dorsal, pintadas de sombras marrom -bronzeado muito claro. As Brácteas são Também amarelas ,folhagem verde, psudobulbos muito grandes, caindo as folhas em periodo de repouso veget",VIC005141,VIC005141,auto
2020-04-27 16:10:56-03,UFES,VIES,21464,S,Plantae,,,,Orchidaceae,Cyrtopodium,glutiniferum,,Cyrtopodium glutiniferum,Raddi,"Couto, D.R.",2012,02,28,,"Zorzanelli, J.P.F.",333,,2012,02,20,,,Brasil,Espírito Santo,Iúna,Ponte Alta.,-41.5358009338379,-20.3458003997803,,,32198,,,,,,,,,,,,,VIES021464,VIES021464 VIES021464_1,auto
2019-09-27 18:05:45-03,UFES,VIES,21470,S,Plantae,,,,Orchidaceae,Cyrtopodium,glutiniferum,,Cyrtopodium glutiniferum,Raddi,"Couto, D.R.",2011,12,13,,"Zorzanelli, J.P.F.",226,,2011,12,11,,,Brasil,Espírito Santo,Iúna,Serra do Valentim.,-41.5358009338379,-20.3458003997803,,,32198,,,,,,,,,,,,,VIES021470,VIES021470,auto
2020-04-27 16:10:56-03,UFES,VIES,30482,S,Plantae,,,,Orchidaceae,Cyrtopodium,glutiniferum,,Cyrtopodium glutiniferum,Raddi,"Zorzanelli, J.P.F.",2014,09,11,,"Zorzanelli, J.P.F.; Couto, D.R.; Dias, H.M. & Perini, M.",1093,,2014,09,11,,,Brasil,Espírito Santo,Mimoso do Sul,Pedra dos Pontões.,-41.3664016723633,-21.0641994476318,,,29430,,767,767,,,,,,,,,,VIES030482,VIES030482 VIES030482_1,auto
2020-04-27 16:10:56-03,UFES,VIES,19023,S,Plantae,,,,Orchidaceae,Cyrtopodium,glutiniferum,,Cyrtopodium glutiniferum,Raddi,"Kollmann, L.J.C.",2009,09,16,,"Lorencini, T.S.; Siqueira, V.B. & Braun, A.",110,,2008,11,08,,,Brasil,Espírito Santo,Santa Maria de Jetibá,Garrafão.,-40.7461013793945,-20.040599822998,,,31867,,,,,,,,,,,,,VIES019023,VIES019023,auto
2020-04-27 16:10:56-03,UFES,VIES,19013,S,Plantae,,,,Orchidaceae,Cyrtopodium,glutiniferum,,Cyrtopodium glutiniferum,Raddi,"Kollmann, L.J.C.",2009,09,17,,"Lorencini, T.S.; Siqueira, V.B.",350,,2009,08,08,,,Brasil,Espírito Santo,Santa Maria de Jetibá,Garrafão.,-40.7461013793945,-20.040599822998,,,31867,,,,,,,,,,,,,VIES019013,VIES019013,auto
2020-04-27 16:10:56-03,UFES,VIES,10620,S,Plantae,,,,Orchidaceae,Cyrtopodium,glutiniferum,,Cyrtopodium glutiniferum,Raddi,"Freitas, J.C.",2010,06,21,,"Botelho, R.M.; Assis, A.M. & Menezes, B.D.",64,,2010,05,21,,,Brasil,Espírito Santo,Serra,Mestre Álvaro.,-40.3078002929688,-20.1285991668701,,,16451,,50,50,,,,,,,,,,VIES010620,VIES010620,auto
2021-06-28 11:19:59-03,MN,R,239597,PreservedSpecimen,Plantae,,,,Orchidaceae,Cyrtopodium,glutiniferum,,Cyrtopodium glutiniferum,Raddi,"Couto, D.R.",2013,08,09,,"Couto, D.R. 2369; Manhães, V.C.",,,2013,08,08,,,Brasil,Rio de Janeiro,"Campos dos Goytacazes, distrito Morro do Coco",Pedra Lisa,0,-21.346111,41°56W,21°20'46S,,,496,496,,,,,,,,,,R010070104,,
2021-06-28 11:19:59-03,MN,R,239596,PreservedSpecimen,Plantae,,,,Orchidaceae,Cyrtopodium,glutiniferum,,Cyrtopodium glutiniferum,Raddi,"Couto, D.R.",2013,08,06,,"Couto, D.R. 2333; Manhães, V.C.",,,2013,08,05,,,Brasil,Espírito Santo,Jerônimo Monteiro,Pedra da Andorinha,0,-20.766667,41°W,20°46'S,,,282,282,,,,,,,,,,R010070103,,
2021-06-28 11:19:59-03,MN,R,239601,PreservedSpecimen,Plantae,,,,Orchidaceae,Cyrtopodium,glutiniferum,,Cyrtopodium glutiniferum,Raddi,"Couto, D.R.",2013,12,10,,"Couto, D.R. 2422; Paixão-Souza, B.; Jacques, S. & Uribbe, F.P.",,,2013,09,07,,,Brasil,Minas Gerais,Pedra Azul,Pedra da Cabeça Torta,0,-16.025,41°50W,16°1'30S,,,890,890,,,,,,,,,,R010070105,,
