MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:08:56-03,UFES,SAMES,8210,PreservedSpecimen,Plantae,,,,Commelinaceae,Dichorisandra,paranaensis,,Dichorisandra paranaensis,D.Maia Cervi & Tardivo,,,,,,"Pinto Junior,H.V.; W.S.Justino.;T.Sperandio.",388,,2018,03,21,,,Brasil,Espírito Santo,Nova Venécia,APA PEDRA DO ELEFANTE.,-40.4006004333496,-18.710599899292,-404611111.0,-187700000.0,42400,,,,,,,,,,,,"Frutos verdes claros, sombra, abundante, trilha para pedra do elefante.",SAMES08210,,auto
2021-03-24 17:08:56-03,UFES,SAMES,8188,PreservedSpecimen,Plantae,,,,Commelinaceae,Dichorisandra,paranaensis,,Dichorisandra paranaensis,D.Maia Cervi & Tardivo,,,,,,"Pinto Junior,H.V.; W.S.Justino.;T.Sperandio.;N.S.S.braga.",366,,2017,12,08,,,Brasil,Espírito Santo,Nova Venécia,APA PEDRA DO ELEFANTE.,-40.4006004333496,-18.710599899292,-404611111.0,-187700000.0,42400,,,,,,,,,,,,"Folhas verdes, flores amarelas co máculas, frutos verdes, sol, abundante.",SAMES08188,,auto
2021-05-17 15:36:41-03,UNICAMP,UEC,146350,S,Plantae,Liliopsida,,,Commelinaceae,Dichorisandra,paranaensis,,Dichorisandra paranaensis,"D.Corrêa da Maia, A.C.Cervi & R.Capuano Tardivo","Aona, LYS",2007,07,,,"Catharino, ELM",816,,1986,06,13,,,Brazil,São Paulo,Iguape,"Peropava, Fazenda Boa Vista. Latitude: 24°34#?# - 24°36#?#S. Longitude: 47°37#?# - 47°40#?#W.",-47.616667,-24.566667,-47.616667,-24.566667,,,,,,,,,,,,,"Erva, cerca de 0,5 a 1,0m de altura, flores com pétalas arroxeadas e estames amaelos de deiscência.",UEC057584,UEC057584,
2021-05-17 15:36:41-03,UNICAMP,UEC,134971,S,Plantae,Liliopsida,,,Commelinaceae,Dichorisandra,paranaensis,,Dichorisandra paranaensis,"D.Corrêa da Maia, A.C.Cervi & R.Capuano Tardivo","Aona, LYS",2007,07,,,"Urbanetz, C; Muniz, MRA; Harder, ICF; Destro, GFG; Moreira-Coneglian, IR",87,,2003,04,19,,,Brazil,São Paulo,Ribeirão Grande,"Parque Estadual Intervales, Trilha saindo 500m antes da sede do Núcleo Barra Grande em direção à E.E. Xituê.",-48.35,-24.3,-48.35,-24.3,,,790,790,,,,,,,,,"Erva de 1,3m, fruto roxo escuro, semente negra com arilo branco, bráctea do fruto verde-azulada.; Vegetação bem conservada de Floresta Ombrófila Densa Montana, com escorregamentos naturais e com exploração de palmito.",UEC057590,UEC057590,
2021-05-17 15:36:41-03,UNICAMP,UEC,142882,S,Plantae,Liliopsida,,,Commelinaceae,Dichorisandra,paranaensis,,Dichorisandra paranaensis,"D.Corrêa da Maia, A.C.Cervi & R.Capuano Tardivo","Aona, LYS",2007,07,,,"Oriani, A; Muniz, MRA; Souza, V; Miachir, JIN; Carvalho, MLS",492,,2005,03,22,,,Brazil,São Paulo,Eldorado,"Parque Estadual de Jacupiranga, Núcleo Caverna do Diabo. Trilha do Araçá. Floresta Ombrófila Densa Baixo Montana Degradada com afloramento de calcáreo.",-48.400278,-24.639444,-48.400278,-24.639444,,,400,400,,,,,,,,,Erva; frutos de coloração roxa com sementes brancas.,UEC057597,UEC057597,
2021-05-17 15:36:41-03,UNICAMP,UEC,144326,S,Plantae,Liliopsida,,,Commelinaceae,Dichorisandra,paranaensis,,Dichorisandra paranaensis,"D.Corrêa da Maia, A.C.Cervi & R.Capuano Tardivo","Pellegrini, MOO",2013,09,20,,"Destefani, ACC; Jacovac, ACC; Campos-Filho, EM; Lima, RAF; Vosgueritchian, SB",78,,2005,03,23,,,Brazil,São Paulo,Eldorado,Parque Estadual de Jacupiranga,-48.400278,-24.6525,-48.400278,-24.6525,,,400,400,,,,,,,,,"Erva ereta com 1,30 de altura, sépalas com manchas liláses, frutos arroxeados e semente branca.",UEC057453,UEC057453,
2021-05-17 15:36:41-03,UNICAMP,UEC,145045,S,Plantae,Liliopsida,,,Commelinaceae,Dichorisandra,paranaensis,,Dichorisandra paranaensis,"D.Corrêa da Maia, A.C.Cervi & R.Capuano Tardivo","Aona, LYS",2007,07,,,"Sztutman, M; Cezare, CHG; Santos, JD; Brito, MCC; Santos, MJC",218,,1999,01,08,,,Brazil,São Paulo,Cananéia,"Parque Estadual da Ilha do Cardoso, Floresta Ombrófila Densa. Trilha da captação.",-47.833333,-25.666667,-47.833333,-25.666667,,,,,,,,,,,,,"Erva 1,50m de altura; frutos violeta.",UEC057581,UEC057581,
2021-05-17 15:36:41-03,UNICAMP,UEC,146348,S,Plantae,Liliopsida,,,Commelinaceae,Dichorisandra,paranaensis,,Dichorisandra paranaensis,"D.Corrêa da Maia, A.C.Cervi & R.Capuano Tardivo","Aona, LYS",2007,07,,,"Moraes, PLR",808,,1993,01,22,,,Brazil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho,-47.968889,-24.0675,-47.968889,-24.0675,,,,,,,,,,,,,"Flores roxas, pedúnculo vermelho, subosque.",UEC057596,UEC057596,
2021-05-17 15:36:41-03,UNICAMP,UEC,146358,S,Plantae,Liliopsida,,,Commelinaceae,Dichorisandra,paranaensis,,Dichorisandra paranaensis,"D.Corrêa da Maia, A.C.Cervi & R.Capuano Tardivo","Aona, LYS",2007,07,,,"Kozera, C; Vanini, A; Hayashi, AH; Lima, CBK",870,,1999,01,12,,,Brazil,São Paulo,Sete Barras,"Fazenda Intervales, Núcleo Saibadela. Floresta Ombrófila Densa. Trilha da Encosta, atrás da casa de pesquisa, no trecho de Floresta Ombrófila Densa, nas terras baixas (relevo pouco declivoso).",-48.214167,-24.225278,-48.214167,-24.225278,,,,,,,,,,,,,"Erva simples de 1,5m.",UEC057605,UEC057605,
2021-05-17 15:36:41-03,UNICAMP,UEC,146352,S,Plantae,Liliopsida,,,Commelinaceae,Dichorisandra,paranaensis,,Dichorisandra paranaensis,"D.Corrêa da Maia, A.C.Cervi & R.Capuano Tardivo","Aona, LYS",2007,07,,,"Sampaio, D; Maltez, HM; Silva, C; Almeida, A; Silva, MMR",23,,1999,01,05,,,Brazil,São Paulo,Pariquera-Açu,"Parque Ecológico de Pariquera Abaixo, Trilha da Campina. Floresta Ombrófila Densa. Floresta de Restinga em morrete, com exploração de palmito.",-40.616667,-22.716667,-40.616667,-22.716667,,,,,,,,,,,,,Erva de 50cm. Botões florais alvos com estrias lilasases.,UEC057601,UEC057601,
