MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-04-26 11:55:48-03,UFPI,TEPB,19271,PreservedSpecimen,Plantae,,,,Dioscoreaceae,Dioscorea,campestris,,Dioscorea campestris,Griser in Mart.,"Harley, R",1996,09,01,,"WALTER, B. M. T.",1234,,1992,04,13,,,Brasil,Goiás,Niquelandia,"Estrada de terra vicinal GO-237 (Niquelandia/Colinas), entrada a 600m da ponte sobre o bagagem, a 2.5km desta",-48.2,-14.35,48°12'W,14°21'S,,,430,430,,,,,,,,,"Trepadeira sobre cipó na mata, flor creme-claro, planta extrorsa, relevo ondulado, solo areno-argiloso Ambiente: Mata de galeria fechada",,,
2019-08-27 13:26:20-03,IAP,PACA-AGP,32197,PreservedSpecimen,Plantae,Magnoliophyta,Liliatae,Liliales,Dioscoreaceae,Dioscorea,campestris,,Dioscorea campestris,Griseb.,Emrich-Rambo,1954,07,28,,"Emrich, K.",,,1948,02,20,,,Brasil,RS,Canela,Caracol,-50.815601348877,-29.3656005859375,,,16452,,,,,,,,,,,,fl. fr.submaturo Habitat: in dumetosis scandens Fenofase: flor e fruto,PACA032197,,auto
2019-08-27 13:26:20-03,IAP,PACA-AGP,31292,PreservedSpecimen,Plantae,Magnoliophyta,Liliatae,Liliales,Dioscoreaceae,Dioscorea,campestris,,Dioscorea campestris,Griseb.,Emrich-Rambo,1954,07,28,,"Rambo, B.",,,1946,02,21,,,Brasil,RS,Caxias do Sul,Vila Oliva - ad flumen Cai,-51.1794013977051,-29.1681003570557,,,49662,,,,,,,,,,,,Habitat: in dumetosis scandens Fenofase: fs,PACA031292,,auto
2019-08-27 13:26:20-03,IAP,PACA-AGP,61063,PreservedSpecimen,Plantae,Magnoliophyta,Liliatae,Liliales,Dioscoreaceae,Dioscorea,campestris,,Dioscorea campestris,Griseb.,Emrich-Rambo,1957,08,08,,J. Mattos,,,1956,12,25,,,Brasil,SC,Lages,,-50.326099395752,-27.8160991668701,,,70701,,,,,,,,,,,,Habitat: in dumetosis Fenofase: estéril,PACA061063,,auto
2021-03-24 17:08:59-03,UFES,SAMES,7059,PreservedSpecimen,Plantae,,,,Dioscoreaceae,Dioscorea,campestris,,Dioscorea campestris,Griseb.,"Ribeiro,M.",2019,06,03,,"Menezes,L.F.T.",2337,,2016,09,05,,,Brasil,Espírito Santo,Águia Branca,,-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,Com flores brancas. Habitat: Afloramento rochoso. Habito: Trepadeira,SAMES07059,,auto
2021-03-24 17:08:59-03,UFES,SAMES,8201,PreservedSpecimen,Plantae,,,,Dioscoreaceae,Dioscorea,campestris,,Dioscorea campestris,Griseb.,M. Ribeiro,2019,05,23,,"Pinto Junior,H.V.; W.S.Justino.;T.Sperandio.",379,,2018,03,20,,,Brasil,Espírito Santo,Águia Branca,REGIÃOS DOS 3 PONTÕES DE ÁGUIA BRANCA.,-40.7402992248535,-18.9831008911133,-407122222.0,-189786111.0,19701,,,,,,,,,,,,"Flores amarelas, sol, habitando ilha de vegetação em inselberg granítico.",SAMES08201,,auto
2021-03-24 17:08:59-03,UFES,SAMES,8237,PreservedSpecimen,Plantae,,,,Dioscoreaceae,Dioscorea,campestris,,Dioscorea campestris,Griseb.,M. Ribeiro,2019,05,23,,"Pinto Junior,H.V.; W.S.Justiuno.;T.Sperandio.;Menezes,L.F.T.",415,,2018,03,22,,,Brasil,Espírito Santo,Vila Pavão,PEDRA DO VIADINHO.,-40.611400604248,-18.6149997711182,-405558333.0,-186230556.0,19647,,,,,,,,,,,,"Folhas verdes, inflorescência diminuta, interior de ilha de vegetação inselberg",SAMES08237,,auto
2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0006625,PreservedSpecimen,Plantae,Magnoliophyta,,Dioscoreales,Dioscoreaceae,Dioscorea,campestris,,Dioscorea campestris,Griseb.,G. Pedralli,,,,,G. Hatschbach; A. C. Cervi,48877,,1985,2,1,,,Brazil,Parana,,Canta Galo (Mun. Guarapuava),-52.1667,-25.3667,,,,,,,,,,,,,,,,,,
2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0006624,PreservedSpecimen,Plantae,Magnoliophyta,,Dioscoreales,Dioscoreaceae,Dioscorea,campestris,,Dioscorea campestris,Griseb.,,,,,,J. M. Silva; J. Cordeiro,320,,1987,6,9,,,Brazil,Parana,,Rio dos Padres (Mun. Morretes),-48.8167,-25.4667,,,,,,,,,,,,,,,"Voluvel, flor creme esverdeada.",,,
2021-05-17 15:37:40-03,UNICAMP,UEC,200424,S,Plantae,Liliopsida,,,Dioscoreaceae,Dioscorea,campestris,,Dioscorea campestris,Griseb.,"Francener, A",2016,07,02,,"Francener, A; Torres, CS; Garcia, GS; Gonçalves, LMG; Cunha, DSZ",1442,,2016,06,28,,,Brazil,Rio Grande do Norte,Serra Caiada,,-35.726389,-6.093889,-35.726389,-6.093889,,,204,204,,,,,,,,,"Trepadeira, folhas e caule verde claros. Folhas membranáceas discolores. Flores inconspícuas cremes.; Caatinga florestada.",UEC160997,UEC160997,
