MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2020-02-08 10:42:34-03,NBC,NL-BOTANY,U.1041698,PreservedSpecimen,Plantae,,Pteropsida,Polypodiales,Adiantaceae,Doryopteris,collina,,Doryopteris collina,(Raddi) J.Sm.,McKee GS,2000,08,01,,Clarke HD,,,1997,06,04,,Southern America,Guyana,Upper Takutu-Upper Essequibo,,,-59.416667,2.816667,-59.416667,2.816667,,,,,,,,,,,,U 0080463,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1041698 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1041698,NL-U1041698,
2021-04-22 07:29:00-03,UFPI,TEPB,28451,PreservedSpecimen,Plantae,,,,Adiantaceae,Doryopteris,collina,,Doryopteris collina,(Radd.) J.Sm,,2012,12,04,,"Siqueira, S. T.",757,,2012,05,20,,,Brasil,Piauí,Bom Jesus,Riacho do Cedro,-44.3586006164551,-9.07444000244141,,,107707,,,,,,,,,,,,Ambiente: Mata de galeria,,,auto
2019-08-27 13:36:15-03,IAP,PACA-AGP,116146,PreservedSpecimen,Plantae,Pteridophyta,Filicopsida,Polypodiales,Pteridaceae,Doryopteris,collina,,Doryopteris collina,(Raddi) J. Sm.,Brade,,,,,Brade,14518,,1935,05,21,,,Brasil,RJ,Itatiaia,,-44.5633010864258,-22.4960994720459,,,19648,,,,,,,,,,,,,PACA116146,,auto
2019-08-27 13:36:15-03,IAP,PACA-AGP,77735,PreservedSpecimen,Plantae,Pteridophyta,Filicopsida,Polypodiales,Pteridaceae,Doryopteris,collina,,Doryopteris collina,(Raddi) J. Sm.,Sehnem,1969,08,,,Koczicki,191,,1968,12,01,,,Brasil,RJ,Rio de Janeiro,Pao de Acucar,-43.2075004577637,-22.9027996063232,,,57442,,,,,,,,,,,,,PACA077735,,auto
2019-08-27 13:36:15-03,IAP,PACA-AGP,77731,PreservedSpecimen,Plantae,Pteridophyta,Filicopsida,Polypodiales,Pteridaceae,Doryopteris,collina,,Doryopteris collina,(Raddi) J. Sm.,Sehnem,,,,,"Reitz, R.",,,1942,03,12,,,Brasil,SC,Araranguá,Morro da Moca,-49.4858016967773,-28.934700012207,,,19353,,,,,,,,,,,,Habitat: in cacumine montis,PACA077731,,auto
2019-08-27 13:36:15-03,IAP,PACA-AGP,77741,PreservedSpecimen,Plantae,Pteridophyta,Filicopsida,Polypodiales,Pteridaceae,Doryopteris,collina,,Doryopteris collina,(Raddi) J. Sm.,Sehnem,1976,05,23,,"Reitz, R.",4342,,1951,12,13,,,Brasil,SC,Santo Amaro da Imperatriz,Piloes,-48.7785987854004,-27.6881008148193,,,22435,,,,,,,,,,,,Habitat: rupestre,PACA077741,,auto
2019-08-27 13:36:15-03,IAP,PACA-AGP,77739,PreservedSpecimen,Plantae,Pteridophyta,Filicopsida,Polypodiales,Pteridaceae,Doryopteris,collina,,Doryopteris collina,(Raddi) J. Sm.,Sehnem,1975,11,10,,"Reitz, R.",2846,,1956,02,23,,,Brasil,SC,Santo Amaro da Imperatriz,Piloes,-48.7785987854004,-27.6881008148193,,,22435,,,,,,,,,,,,Ecossistema: Mata Atlântica,PACA077739,,auto
2021-03-24 17:09:50-03,UFES,SAMES,5903,PreservedSpecimen,Plantae,,,,Pteridaceae,Doryopteris,collina,,Doryopteris collina,(Raddi) J.Sm.,Smith-Braga,2017,12,05,,"Coelho,R.; PintoJunior,H.V.;Covre,C.",449,,2015,08,19,,,Brasil,Espírito Santo,Águia Branca,"Inselberg, área de coleta do Herval.",-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,,SAMES05903,,auto
2021-03-24 17:09:50-03,UFES,SAMES,5900,PreservedSpecimen,Plantae,,,,Pteridaceae,Doryopteris,collina,,Doryopteris collina,(Raddi) J.Sm.,Smith-Braga,2017,12,05,,"Coelho,R.; Fanticelle,B.S.;PintoJunior,H.V.;Ribeiro,I.F.",426,,2015,04,06,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Vegetação no alto de inselberg.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,SAMES05900,,auto
2021-03-24 17:09:50-03,UFES,SAMES,1685,PreservedSpecimen,Plantae,,,,Pteridaceae,Doryopteris,collina,,Doryopteris collina,(Raddi) J.Sm.,Smith-Braga,2017,12,05,,"Pinto Junior, H.V.; Covre, C.",250,,2016,03,21,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Vertente leste da Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,Erva habitando ilha de vegetação em afloramento rochoso; folhas verdes; sol pleno.,SAMES01685,,auto
